           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
37 :          @,          0,        300,         44,         53,         -1, 
38 :          @,          0,        301,         53,         62,         -1, 
39 :          @,          0,        302,         62,        999,         -1, 
40 : arts_one_one_m2,         10,        278,         24,         33,         -1, 
41 :          @,          0,        279,         33,         42,         -1, 
42 :          @,          0,        280,         42,         51,         -1, 
43 :          @,          0,        281,         51,         60,         -1, 
44 :          @,          0,        282,         60,        999,         -1, 
45 :          @,          0,        303,         35,         44,         -1, 
46 :          @,          0,        304,         44,         53,         -1, 
47 :          @,          0,        305,         53,         62,         -1, 
48 :          @,          0,        306,         62,         71,         -1, 
49 :          @,          0,        307,         71,        999,         -1, 
50 : arts_one_two,         10,        558,          6,         15,         -1, 
51 :          @,          0,        559,         15,         24,         -1, 
52 :          @,          0,        560,         24,         33,         -1, 
53 :          @,          0,        561,         33,         42,         -1, 
54 :          @,          0,        562,         42,        999,         -1, 
55 :          @,          0,        583,         17,         26,         -1, 
56 :          @,          0,        584,         26,         35,         -1, 
57 :          @,          0,        585,         35,         44,         -1, 
58 :          @,          0,        586,         44,         53,         -1, 
59 :          @,          0,        587,         53,        999,         -1, 
60 : arts_one_two_p1,         10,        563,         15,         24,         -1, 
61 :          @,          0,        564,         24,         33,         -1, 
62 :          @,          0,        565,         33,         42,         -1, 
63 :          @,          0,        566,         42,         51,         -1, 
64 :          @,          0,        567,         51,        999,         -1, 
65 :          @,          0,        588,         26,         35,         -1, 
66 :          @,          0,        589,         35,         44,         -1, 
67 :          @,          0,        590,         44,         53,         -1, 
68 :          @,          0,        591,         53,         62,         -1, 
69 :          @,          0,        592,         62,        999,         -1, 
70 : arts_one_two_p2,         10,        568,         24,         33,         -1, 
71 :          @,          0,        569,         33,         42,         -1, 
72 :          @,          0,        570,         42,         51,         -1, 
73 :          @,          0,        571,         51,         60,         -1, 
74 :          @,          0,        572,         60,        999,         -1, 
75 :          @,          0,        593,         35,         44,         -1, 
76 :          @,          0,        594,         44,         53,         -1, 
77 :          @,          0,        595,         53,         62,         -1, 
78 :          @,          0,        596,         62,         71,         -1, 
79 :          @,          0,        597,         71,        999,         -1, 
80 : arts_one_two_m1,         10,        573,         15,         24,         -1, 
81 :          @,          0,        574,         24,         33,         -1, 
82 :          @,          0,        575,         33,         42,         -1, 
83 :          @,          0,        576,         42,         51,         -1, 
84 :          @,          0,        577,         51,        999,         -1, 
85 :          @,          0,        598,         26,         35,         -1, 
86 :          @,          0,        599,         35,         44,         -1, 
87 :          @,          0,        600,         44,         53,         -1, 
88 :          @,          0,        601,         53,         62,         -1, 
89 :          @,          0,        602,         62,        999,         -1, 
90 : arts_one_two_m2,         10,        578,         24,         33,         -1, 
91 :          @,          0,        579,         33,         42,         -1, 
92 :          @,          0,        580,         42,         51,         -1, 
93 :          @,          0,        581,         51,         60,         -1, 
94 :          @,          0,        582,         60,        999,         -1, 
95 :          @,          0,        603,         35,         44,         -1, 
96 :          @,          0,        604,         44,         53,         -1, 
97 :          @,          0,        605,         53,         62,         -1, 
98 :          @,          0,        606,         62,         71,         -1, 
99 :          @,          0,        607,         71,        999,         -1, 
100 : arts_one_dw,         10,        858,          6,         15,         -1, 
101 :          @,          0,        859,         15,         24,         -1, 
102 :          @,          0,        860,         24,         33,         -1, 
103 :          @,          0,        861,         33,         42,         -1, 
104 :          @,          0,        862,         42,        999,         -1, 
105 :          @,          0,        883,         17,         26,         -1, 
106 :          @,          0,        884,         26,         35,         -1, 
107 :          @,          0,        885,         35,         44,         -1, 
108 :          @,          0,        886,         44,         53,         -1, 
109 :          @,          0,        887,         53,        999,         -1, 
110 : arts_one_dw_p1,         10,        863,         15,         24,         -1, 
111 :          @,          0,        864,         24,         33,         -1, 
112 :          @,          0,        865,         33,         42,         -1, 
113 :          @,          0,        866,         42,         51,         -1, 
114 :          @,          0,        867,         51,        999,         -1, 
115 :          @,          0,        888,         26,         35,         -1, 
116 :          @,          0,        889,         35,         44,         -1, 
117 :          @,          0,        890,         44,         53,         -1, 
118 :          @,          0,        891,         53,         62,         -1, 
119 :          @,          0,        892,         62,        999,         -1, 
120 : arts_one_dw_p2,         10,        868,         24,         33,         -1, 
121 :          @,          0,        869,         33,         42,         -1, 
122 :          @,          0,        870,         42,         51,         -1, 
123 :          @,          0,        871,         51,         60,         -1, 
124 :          @,          0,        872,         60,        999,         -1, 
125 :          @,          0,        893,         35,         44,         -1, 
126 :          @,          0,        894,         44,         53,         -1, 
127 :          @,          0,        895,         53,         62,         -1, 
128 :          @,          0,        896,         62,         71,         -1, 
129 :          @,          0,        897,         71,        999,         -1, 
130 : arts_one_dw_m1,         10,        873,         15,         24,         -1, 
131 :          @,          0,        874,         24,         33,         -1, 
132 :          @,          0,        875,         33,         42,         -1, 
133 :          @,          0,        876,         42,         51,         -1, 
134 :          @,          0,        877,         51,        999,         -1, 
135 :          @,          0,        898,         26,         35,         -1, 
136 :          @,          0,        899,         35,         44,         -1, 
137 :          @,          0,        900,         44,         53,         -1, 
138 :          @,          0,        901,         53,         62,         -1, 
139 :          @,          0,        902,         62,        999,         -1, 
140 : arts_one_dw_m2,         10,        878,         24,         33,         -1, 
141 :          @,          0,        879,         33,         42,         -1, 
142 :          @,          0,        880,         42,         51,         -1, 
143 :          @,          0,        881,         51,         60,         -1, 
144 :          @,          0,        882,         60,        999,         -1, 
145 :          @,          0,        903,         35,         44,         -1, 
146 :          @,          0,        904,         44,         53,         -1, 
147 :          @,          0,        905,         53,         62,         -1, 
148 :          @,          0,        906,         62,         71,         -1, 
149 :          @,          0,        907,         71,        999,         -1, 
150 :   arts_two,         10,       1158,          6,         15,         -1, 
151 :          @,          0,       1159,         15,         24,         -1, 
152 :          @,          0,       1160,         24,         33,         -1, 
153 :          @,          0,       1161,         33,         42,         -1, 
154 :          @,          0,       1162,         42,        999,         -1, 
155 :          @,          0,       1183,         17,         26,         -1, 
156 :          @,          0,       1184,         26,         35,         -1, 
157 :          @,          0,       1185,         35,         44,         -1, 
158 :          @,          0,       1186,         44,         53,         -1, 
159 :          @,          0,       1187,         53,        999,         -1, 
160 : arts_two_p1,         10,       1163,         15,         24,         -1, 
161 :          @,          0,       1164,         24,         33,         -1, 
162 :          @,          0,       1165,         33,         42,         -1, 
163 :          @,          0,       1166,         42,         51,         -1, 
164 :          @,          0,       1167,         51,        999,         -1, 
165 :          @,          0,       1188,         26,         35,         -1, 
166 :          @,          0,       1189,         35,         44,         -1, 
167 :          @,          0,       1190,         44,         53,         -1, 
168 :          @,          0,       1191,         53,         62,         -1, 
169 :          @,          0,       1192,         62,        999,         -1, 
170 : arts_two_p2,         10,       1168,         24,         33,         -1, 
171 :          @,          0,       1169,         33,         42,         -1, 
172 :          @,          0,       1170,         42,         51,         -1, 
173 :          @,          0,       1171,         51,         60,         -1, 
174 :          @,          0,       1172,         60,        999,         -1, 
175 :          @,          0,       1193,         35,         44,         -1, 
176 :          @,          0,       1194,         44,         53,         -1, 
177 :          @,          0,       1195,         53,         62,         -1, 
178 :          @,          0,       1196,         62,         71,         -1, 
179 :          @,          0,       1197,         71,        999,         -1, 
180 : arts_two_m1,         10,       1173,         15,         24,         -1, 
181 :          @,          0,       1174,         24,         33,         -1, 
182 :          @,          0,       1175,         33,         42,         -1, 
183 :          @,          0,       1176,         42,         51,         -1, 
184 :          @,          0,       1177,         51,        999,         -1, 
185 :          @,          0,       1198,         26,         35,         -1, 
186 :          @,          0,       1199,         35,         44,         -1, 
187 :          @,          0,       1200,         44,         53,         -1, 
188 :          @,          0,       1201,         53,         62,         -1, 
189 :          @,          0,       1202,         62,        999,         -1, 
190 : arts_two_m2,         10,       1178,         24,         33,         -1, 
191 :          @,          0,       1179,         33,         42,         -1, 
192 :          @,          0,       1180,         42,         51,         -1, 
193 :          @,          0,       1181,         51,         60,         -1, 
194 :          @,          0,       1182,         60,        999,         -1, 
195 :          @,          0,       1203,         35,         44,         -1, 
196 :          @,          0,       1204,         44,         53,         -1, 
197 :          @,          0,       1205,         53,         62,         -1, 
198 :          @,          0,       1206,         62,         71,         -1, 
199 :          @,          0,       1207,         71,        999,         -1, 
200 : magic_assault,         25,       1658,          1,          9,         -1, 
201 :          @,          0,       1659,          9,         16,         -1, 
202 :          @,          0,       1660,         16,         23,         -1, 
203 :          @,          0,       1661,         23,         30,         -1, 
204 :          @,          0,       1662,         30,        999,         -1, 
205 :          @,          0,       1663,         17,         24,         -1, 
206 :          @,          0,       1664,         24,         31,         -1, 
207 :          @,          0,       1665,         31,         38,         -1, 
208 :          @,          0,       1666,         38,         45,         -1, 
209 :          @,          0,       1667,         45,        999,         -1, 
210 :          @,          0,       1668,         17,         24,         -1, 
211 :          @,          0,       1669,         24,         31,         -1, 
212 :          @,          0,       1670,         31,         38,         -1, 
213 :          @,          0,       1671,         38,         45,         -1, 
214 :          @,          0,       1672,         45,        999,         -1, 
215 :          @,          0,       1673,         43,         50,         -1, 
216 :          @,          0,       1674,         50,         58,         -1, 
217 :          @,          0,       1675,         58,         65,         -1, 
218 :          @,          0,       1676,         65,         71,         -1, 
219 :          @,          0,       1677,         71,        999,         -1, 
220 :          @,          0,       1678,         59,         66,         -1, 
221 :          @,          0,       1679,         66,         72,         -1, 
222 :          @,          0,       1680,         72,         79,         -1, 
223 :          @,          0,       1681,         79,         86,         -1, 
224 :          @,          0,       1682,         86,        999,         -1, 
225 : magic_spine,         25,       1693,         10,         18,         -1, 
226 :          @,          0,       1694,         18,         25,         -1, 
227 :          @,          0,       1695,         25,         32,         -1, 
228 :          @,          0,       1696,         32,         39,         -1, 
229 :          @,          0,       1697,         39,        999,         -1, 
230 :          @,          0,       1698,         22,         29,         -1, 
231 :          @,          0,       1699,         29,         36,         -1, 
232 :          @,          0,       1700,         36,         43,         -1, 
233 :          @,          0,       1701,         43,         50,         -1, 
234 :          @,          0,       1702,         50,        999,         -1, 
235 :          @,          0,       1703,         37,         44,         -1, 
236 :          @,          0,       1704,         44,         51,         -1, 
237 :          @,          0,       1705,         51,         58,         -1, 
238 :          @,          0,       1706,         58,         66,         -1, 
239 :          @,          0,       1707,         66,        999,         -1, 
240 :          @,          0,       1708,         32,         39,         -1, 
241 :          @,          0,       1709,         39,         46,         -1, 
242 :          @,          0,       1710,         46,         53,         -1, 
243 :          @,          0,       1711,         53,         61,         -1, 
244 :          @,          0,       1712,         61,        999,         -1, 
245 :          @,          0,       1713,         47,         54,         -1, 
246 :          @,          0,       1714,         54,         62,         -1, 
247 :          @,          0,       1715,         62,         69,         -1, 
248 :          @,          0,       1716,         69,         75,         -1, 
249 :          @,          0,       1717,         75,        999,         -1, 
250 : magic_assault2,         15,       1658,          1,          9,         -1, 
251 :          @,          0,       1659,          9,         16,         -1, 
252 :          @,          0,       1660,         16,         23,         -1, 
253 :          @,          0,       1661,         23,         30,         -1, 
254 :          @,          0,       1662,         30,        999,         -1, 
255 :          @,          0,       1663,         17,         24,         -1, 
256 :          @,          0,       1664,         24,         31,         -1, 
257 :          @,          0,       1665,         31,         38,         -1, 
258 :          @,          0,       1666,         38,         45,         -1, 
259 :          @,          0,       1667,         45,        999,         -1, 
260 :          @,          0,       1678,         59,         66,         -1, 
261 :          @,          0,       1679,         66,         72,         -1, 
262 :          @,          0,       1680,         72,         79,         -1, 
263 :          @,          0,       1681,         79,         86,         -1, 
264 :          @,          0,       1682,         86,        999,         -1, 
265 : magic_spine2,         20,       1693,         10,         18,         -1, 
266 :          @,          0,       1694,         18,         25,         -1, 
267 :          @,          0,       1695,         25,         32,         -1, 
268 :          @,          0,       1696,         32,         39,         -1, 
269 :          @,          0,       1697,         39,        999,         -1, 
270 :          @,          0,       1698,         22,         29,         -1, 
271 :          @,          0,       1699,         29,         36,         -1, 
272 :          @,          0,       1700,         36,         43,         -1, 
273 :          @,          0,       1701,         43,         50,         -1, 
274 :          @,          0,       1702,         50,        999,         -1, 
275 :          @,          0,       1703,         37,         44,         -1, 
276 :          @,          0,       1704,         44,         51,         -1, 
277 :          @,          0,       1705,         51,         58,         -1, 
278 :          @,          0,       1706,         58,         66,         -1, 
279 :          @,          0,       1707,         66,        999,         -1, 
280 :          @,          0,       1708,         32,         39,         -1, 
281 :          @,          0,       1709,         39,         46,         -1, 
282 :          @,          0,       1710,         46,         53,         -1, 
283 :          @,          0,       1711,         53,         61,         -1, 
284 :          @,          0,       1712,         61,        999,         -1, 
285 : magic_agent,         25,       1728,         34,         42,         -1, 
286 :          @,          0,       1729,         42,         49,         -1, 
287 :          @,          0,       1730,         49,         56,         -1, 
288 :          @,          0,       1731,         56,         63,         -1, 
289 :          @,          0,       1732,         63,        999,         -1, 
290 :          @,          0,       1733,         45,         52,         -1, 
291 :          @,          0,       1734,         52,         59,         -1, 
292 :          @,          0,       1735,         59,         66,         -1, 
293 :          @,          0,       1736,         66,         73,         -1, 
294 :          @,          0,       1737,         73,        999,         -1, 
295 :          @,          0,       1738,         45,         52,         -1, 
296 :          @,          0,       1739,         52,         59,         -1, 
297 :          @,          0,       1740,         59,         66,         -1, 
298 :          @,          0,       1741,         66,         73,         -1, 
299 :          @,          0,       1742,         73,        999,         -1, 
300 :          @,          0,       1743,         45,         52,         -1, 
301 :          @,          0,       1744,         52,         59,         -1, 
302 :          @,          0,       1745,         59,         66,         -1, 
303 :          @,          0,       1746,         66,         73,         -1, 
304 :          @,          0,       1747,         73,        999,         -1, 
305 :          @,          0,       1748,         60,         67,         -1, 
306 :          @,          0,       1749,         67,         74,         -1, 
307 :          @,          0,       1750,         74,         81,         -1, 
308 :          @,          0,       1751,         81,         89,         -1, 
309 :          @,          0,       1752,         89,        999,         -1, 
310 : magic_heal,         25,       1763,         15,         23,         -1, 
311 :          @,          0,       1764,         23,         30,         -1, 
312 :          @,          0,       1765,         30,         37,         -1, 
313 :          @,          0,       1766,         37,         44,         -1, 
314 :          @,          0,       1767,         44,        999,         -1, 
315 :          @,          0,       1768,         26,         33,         -1, 
316 :          @,          0,       1769,         33,         40,         -1, 
317 :          @,          0,       1770,         40,         47,         -1, 
318 :          @,          0,       1771,         47,         54,         -1, 
319 :          @,          0,       1772,         54,        999,         -1, 
320 :          @,          0,       1773,         26,         33,         -1, 
321 :          @,          0,       1774,         33,         40,         -1, 
322 :          @,          0,       1775,         40,         47,         -1, 
323 :          @,          0,       1776,         47,         54,         -1, 
324 :          @,          0,       1777,         54,        999,         -1, 
325 :          @,          0,       1778,         41,         48,         -1, 
326 :          @,          0,       1779,         48,         55,         -1, 
327 :          @,          0,       1780,         55,         62,         -1, 
328 :          @,          0,       1781,         62,         70,         -1, 
329 :          @,          0,       1782,         70,        999,         -1, 
330 :          @,          0,       1783,         41,         48,         -1, 
331 :          @,          0,       1784,         48,         55,         -1, 
332 :          @,          0,       1785,         55,         62,         -1, 
333 :          @,          0,       1786,         62,         70,         -1, 
334 :          @,          0,       1787,         70,        999,         -1, 
335 : magic_tactics,         20,       1798,         44,         52,         -1, 
336 :          @,          0,       1799,         52,         59,         -1, 
337 :          @,          0,       1800,         59,         66,         -1, 
338 :          @,          0,       1801,         66,         73,         -1, 
339 :          @,          0,       1802,         73,        999,         -1, 
340 :          @,          0,       1803,         55,         62,         -1, 
341 :          @,          0,       1804,         62,         69,         -1, 
342 :          @,          0,       1805,         69,         76,         -1, 
343 :          @,          0,       1806,         76,         83,         -1, 
344 :          @,          0,       1807,         83,        999,         -1, 
345 :          @,          0,       1808,         55,         62,         -1, 
346 :          @,          0,       1809,         62,         69,         -1, 
347 :          @,          0,       1810,         69,         76,         -1, 
348 :          @,          0,       1811,         76,         83,         -1, 
349 :          @,          0,       1812,         83,        999,         -1, 
350 :          @,          0,       1813,         70,         77,         -1, 
351 :          @,          0,       1814,         77,         84,         -1, 
352 :          @,          0,       1815,         84,         91,         -1, 
353 :          @,          0,       1816,         91,         99,         -1, 
354 :          @,          0,       1817,         99,        999,         -1, 
355 : item_yakusou,         15,       1883,          0,          8,         -1, 
356 :          @,          0,       1884,          8,         15,         -1, 
357 :          @,          0,       1885,         15,         22,         -1, 
358 :          @,          0,       1886,         22,         29,         -1, 
359 :          @,          0,       1887,         29,        999,         -1, 
360 :          @,          0,       1893,         11,         18,         -1, 
361 :          @,          0,       1894,         18,         25,         -1, 
362 :          @,          0,       1895,         25,         32,         -1, 
363 :          @,          0,       1896,         32,         39,         -1, 
364 :          @,          0,       1897,         39,        999,         -1, 
365 :          @,          0,       1898,         26,         33,         -1, 
366 :          @,          0,       1899,         33,         40,         -1, 
367 :          @,          0,       1900,         40,         47,         -1, 
368 :          @,          0,       1901,         47,         55,         -1, 
369 :          @,          0,       1902,         55,        999,         -1, 
370 : item_potion,         25,       1913,         10,         18,         -1, 
371 :          @,          0,       1914,         18,         25,         -1, 
372 :          @,          0,       1915,         25,         32,         -1, 
373 :          @,          0,       1916,         32,         39,         -1, 
374 :          @,          0,       1917,         39,        999,         -1, 
375 :          @,          0,       1918,         21,         28,         -1, 
376 :          @,          0,       1919,         28,         35,         -1, 
377 :          @,          0,       1920,         35,         42,         -1, 
378 :          @,          0,       1921,         42,         49,         -1, 
379 :          @,          0,       1922,         49,        999,         -1, 
380 :          @,          0,       1923,         21,         28,         -1, 
381 :          @,          0,       1924,         28,         35,         -1, 
382 :          @,          0,       1925,         35,         42,         -1, 
383 :          @,          0,       1926,         42,         49,         -1, 
384 :          @,          0,       1927,         49,        999,         -1, 
385 :          @,          0,       1928,         36,         43,         -1, 
386 :          @,          0,       1929,         43,         50,         -1, 
387 :          @,          0,       1930,         50,         57,         -1, 
388 :          @,          0,       1931,         57,         65,         -1, 
389 :          @,          0,       1932,         65,        999,         -1, 
390 :          @,          0,       1933,         36,         43,         -1, 
391 :          @,          0,       1934,         43,         50,         -1, 
392 :          @,          0,       1935,         50,         57,         -1, 
393 :          @,          0,       1936,         57,         65,         -1, 
394 :          @,          0,       1937,         65,        999,         -1, 
395 : item_rotion,         20,       1943,         20,         28,         -1, 
396 :          @,          0,       1944,         28,         35,         -1, 
397 :          @,          0,       1945,         35,         42,         -1, 
398 :          @,          0,       1946,         42,         49,         -1, 
399 :          @,          0,       1947,         49,        999,         -1, 
400 :          @,          0,       1948,         31,         38,         -1, 
401 :          @,          0,       1949,         38,         45,         -1, 
402 :          @,          0,       1950,         45,         52,         -1, 
403 :          @,          0,       1951,         52,         58,         -1, 
404 :          @,          0,       1952,         58,        999,         -1, 
405 :          @,          0,       1953,         31,         38,         -1, 
406 :          @,          0,       1954,         38,         45,         -1, 
407 :          @,          0,       1955,         45,         52,         -1, 
408 :          @,          0,       1956,         52,         58,         -1, 
409 :          @,          0,       1957,         58,        999,         -1, 
410 :          @,          0,       1958,         46,         53,         -1, 
411 :          @,          0,       1959,         53,         60,         -1, 
412 :          @,          0,       1960,         60,         67,         -1, 
413 :          @,          0,       1961,         67,         75,         -1, 
414 :          @,          0,       1962,         75,        999,         -1, 
415 :  item_bomb,         25,       1973,         40,         60,         -1, 
416 :          @,          0,       1974,         60,         80,         -1, 
417 :          @,          0,       1975,         80,        100,         -1, 
418 :          @,          0,       1976,        100,        120,         -1, 
419 :          @,          0,       1977,        120,        999,         -1, 
420 :          @,          0,       1978,         60,         80,         -1, 
421 :          @,          0,       1979,         80,        100,         -1, 
422 :          @,          0,       1980,        100,        120,         -1, 
423 :          @,          0,       1981,        120,        140,         -1, 
424 :          @,          0,       1982,        140,        999,         -1, 
425 :          @,          0,       1983,         60,         80,         -1, 
426 :          @,          0,       1984,         80,        100,         -1, 
427 :          @,          0,       1985,        100,        120,         -1, 
428 :          @,          0,       1986,        120,        140,         -1, 
429 :          @,          0,       1987,        140,        999,         -1, 
430 :          @,          0,       1988,        999,        999,         -1, 
431 :          @,          0,       1989,        999,        999,         -1, 
432 :          @,          0,       1990,        999,        999,         -1, 
433 :          @,          0,       1991,        999,        999,         -1, 
434 :          @,          0,       1992,        999,        999,         -1, 
435 :          @,          0,       1993,        999,        999,         -1, 
436 :          @,          0,       1994,        999,        999,         -1, 
437 :          @,          0,       1995,        999,        999,         -1, 
438 :          @,          0,       1996,        999,        999,         -1, 
439 :          @,          0,       1997,        999,        999,         -1, 
440 : item_special,         15,       2033,         20,         40,         -1, 
441 :          @,          0,       2034,         40,         60,         -1, 
442 :          @,          0,       2035,         60,         80,         -1, 
443 :          @,          0,       2036,         80,        100,         -1, 
444 :          @,          0,       2037,        100,        999,         -1, 
445 :          @,          0,       2038,         40,         60,         -1, 
446 :          @,          0,       2039,         60,         80,         -1, 
447 :          @,          0,       2040,         80,        100,         -1, 
448 :          @,          0,       2041,        100,        120,         -1, 
449 :          @,          0,       2042,        120,        999,         -1, 
450 :          @,          0,       2043,         60,         80,         -1, 
451 :          @,          0,       2044,         80,        100,         -1, 
452 :          @,          0,       2045,        100,        120,         -1, 
453 :          @,          0,       2046,        120,        140,         -1, 
454 :          @,          0,       2047,        140,        999,         -1, 
455 : sub_pack_friend_call,          3,       2531,          0,         33,         -1, 
456 :          @,          0,       2532,         33,         66,         -1, 
457 :          @,          0,       2533,         66,        999,         -1, 
458 : summons_cyclops,         12,       2148,          0,         53,         -1, 
459 :          @,          0,       2149,         53,         67,         -1, 
460 :          @,          0,       2150,         67,        999,         -1, 
461 :          @,          0,       2152,          0,         53,         -1, 
462 :          @,          0,       2153,         53,         67,         -1, 
463 :          @,          0,       2154,         67,        999,         -1, 
464 :          @,          0,       2495,          0,         25,         -1, 
465 :          @,          0,       2496,         25,         39,         -1, 
466 :          @,          0,       2497,         39,        999,         -1, 
467 :          @,          0,       2501,        999,        999,         -1, 
468 :          @,          0,       2502,        999,        999,         -1, 
469 :          @,          0,       2503,        999,        999,         -1, 
470 : summons_lob_omen,          9,       2159,          0,         53,         -1, 
471 :          @,          0,       2160,         53,         67,         -1, 
472 :          @,          0,       2161,         67,        999,         -1, 
473 :          @,          0,       2165,        999,        999,         -1, 
474 :          @,          0,       2166,        999,        999,         -1, 
475 :          @,          0,       2167,        999,        999,         -1, 
476 :          @,          0,       2501,        999,        999,         -1, 
477 :          @,          0,       2502,        999,        999,         -1, 
478 :          @,          0,       2503,        999,        999,         -1, 
479 : summons_namul_niram,          9,       2168,          0,         53,         -1, 
480 :          @,          0,       2169,         53,         67,         -1, 
481 :          @,          0,       2170,         67,        999,         -1, 
482 :          @,          0,       2171,          0,         53,         -1, 
483 :          @,          0,       2172,         53,         67,         -1, 
484 :          @,          0,       2173,         67,        999,         -1, 
485 :          @,          0,       2501,        999,        999,         -1, 
486 :          @,          0,       2502,        999,        999,         -1, 
487 :          @,          0,       2503,        999,        999,         -1, 
488 : EV0170_001_BTL_01,          6,        258,          0,         15,         -1, 
489 :          @,          0,        259,         15,         24,         -1, 
490 :          @,          0,        260,         24,         33,         -1, 
491 :          @,          0,        261,         33,         42,         -1, 
492 :          @,          0,        262,         42,        999,         -1, 
493 :          @,          0,         -1,         -1,         -1,        355, 
494 : mons_MF0010_100_clr0_00,         22,       2174,          5,         20,         -1, 
495 :          @,          0,       2175,         20,         34,         -1, 
496 :          @,          0,       2176,         34,         45,         -1, 
497 :          @,          0,       2177,         17,         31,         -1, 
498 :          @,          0,       2178,         31,         45,         -1, 
499 :          @,          0,       2179,         45,        999,         -1, 
500 :          @,          0,       2180,         17,         31,         -1, 
501 :          @,          0,       2181,         31,         45,         -1, 
502 :          @,          0,       2182,         45,         61,         -1, 
503 :          @,          0,       2183,         32,         46,         -1, 
504 :          @,          0,       2184,         46,         61,         -1, 
505 :          @,          0,       2185,         61,        999,         -1, 
506 :          @,          0,       2483,         17,         31,         -1, 
507 :          @,          0,       2484,         31,         45,         -1, 
508 :          @,          0,       2485,         45,        999,         -1, 
509 :          @,          0,       2489,         27,         41,         -1, 
510 :          @,          0,       2490,         41,         56,         -1, 
511 :          @,          0,       2491,         56,        999,         -1, 
512 :          @,          0,       2495,         10,         25,         -1, 
513 :          @,          0,       2496,         25,         39,         -1, 
514 :          @,          0,       2497,         39,         61,         -1, 
515 :          @,          0,         -1,         -1,         -1,        370, 
516 : mons_MF0010_100_clr0_DLC,          3,       2179,          0,        999,         -1, 
517 :          @,          0,       2185,          0,        999,         -1, 
518 :          @,          0,         -1,         -1,         -1,        200, 
519 : mons_MF0010_100_clr0_NM_001,          5,       2178,          0,         45,         -1, 
520 :          @,          0,       2179,         45,        999,         -1, 
521 :          @,          0,       2184,          0,         61,         -1, 
522 :          @,          0,       2185,         61,        999,         -1, 
523 :          @,          0,       2497,          0,        999,         -1, 
524 : mons_MF0010_100_clr0_NM_002,         10,       2174,          0,         20,         -1, 
525 :          @,          0,       2175,         20,         34,         -1, 
526 :          @,          0,       2176,         34,        999,         -1, 
527 :          @,          0,       2489,          0,         41,         -1, 
528 :          @,          0,       2490,         41,         56,         -1, 
529 :          @,          0,       2491,         56,        999,         -1, 
530 :          @,          0,       2495,          0,         25,         -1, 
531 :          @,          0,       2496,         25,         39,         -1, 
532 :          @,          0,       2497,         39,        999,         -1, 
533 :          @,          0,         -1,         -1,         -1,        355, 
534 : mons_MF0010_100_clr1_00,         15,       2174,          5,         20,         -1, 
535 :          @,          0,       2175,         20,         34,         -1, 
536 :          @,          0,       2176,         34,         45,         -1, 
537 :          @,          0,       2179,         45,        999,         -1, 
538 :          @,          0,       2492,         20,         52,         -1, 
539 :          @,          0,       2493,         52,         65,         -1, 
540 :          @,          0,       2494,         65,        999,         -1, 
541 :          @,          0,       2507,         45,         59,         -1, 
542 :          @,          0,       2508,         59,         73,         -1, 
543 :          @,          0,       2509,         73,        999,         -1, 
544 :          @,          0,       2510,         45,         59,         -1, 
545 :          @,          0,       2511,         59,         73,         -1, 
546 :          @,          0,       2512,         73,        999,         -1, 
547 :          @,          0,         -1,         -1,         -1,        285, 
548 :          @,          0,         -1,         -1,         -1,        310, 
