           km_,   km_ms_lv, km_needxp_eqsukill_oh_oh, km_needxp_eqsukill_oh_th, km_needxp_eqsukill_oh_ww, km_needxp_eqsukill_th_th, km_needxp_eqsukill_s_fw, km_needxp_eqsukill_s_oh, km_needxp_eqsukill_s_th, km_needxp_artsskill_sword, km_needxp_artsskill_katana, km_needxp_artsskill_axe, km_needxp_artsskill_mace, km_needxp_artsskill_spear, km_needxp_artsskill_staff, km_needxp_mgcskill_01, km_needxp_mgcskill_02, km_needxp_mgcskill_03, km_needxp_mgcskill_04, km_needxp_mgcskill_05, km_needxp_mgcskill_06, km_needxp_mgcskill_07, km_needxp_itemskill_01, km_needxp_itemskill_02, km_needxp_itemskill_03, km_needxp_itemskill_04, km_needxp_itemskill_05, km_needxp_itemskill_06, 
11 :       lv12,         12,       1080,       1080,       1080,       1080,       1080,       1080,       1080,       1540,       1540,       1540,       1540,       1540,       1540,       2000,       2000,       2000,       1000,       1000,       1000,       1000,       1000,       1000,       1000,       1000,       1000,       1000, 
12 :       lv13,         13,       1200,       1200,       1200,       1200,       1200,       1200,       1200,       1680,       1680,       1680,       1680,       1680,       1680,       2150,       2150,       2150,       1200,       1200,       1200,       1200,       1200,       1200,       1200,       1200,       1200,       1200, 
13 :       lv14,         14,       1400,       1400,       1400,       1400,       1400,       1400,       1400,       1820,       1820,       1820,       1820,       1820,       1820,       2300,       2300,       2300,       1400,       1400,       1400,       1400,       1400,       1400,       1400,       1400,       1400,       1400, 
14 :       lv15,         15,       1600,       1600,       1600,       1600,       1600,       1600,       1600,       1960,       1960,       1960,       1960,       1960,       1960,       2450,       2450,       2450,       1600,       1600,       1600,       1600,       1600,       1600,       1600,       1600,       1600,       1600, 
15 :       lv16,         16,       1800,       1800,       1800,       1800,       1800,       1800,       1800,       2100,       2100,       2100,       2100,       2100,       2100,       2600,       2600,       2600,       1800,       1800,       1800,       1800,       1800,       1800,       1800,       1800,       1800,       1800, 
16 :       lv17,         17,       2000,       2000,       2000,       2000,       2000,       2000,       2000,       2240,       2240,       2240,       2240,       2240,       2240,       2750,       2750,       2750,       2000,       2000,       2000,       2000,       2000,       2000,       2000,       2000,       2000,       2000, 
17 :       lv18,         18,       2200,       2200,       2200,       2200,       2200,       2200,       2200,       2380,       2380,       2380,       2380,       2380,       2380,       2900,       2900,       2900,       2200,       2200,       2200,       2200,       2200,       2200,       2200,       2200,       2200,       2200, 
18 :       lv19,         19,       2400,       2400,       2400,       2400,       2400,       2400,       2400,       2520,       2520,       2520,       2520,       2520,       2520,       3050,       3050,       3050,       2400,       2400,       2400,       2400,       2400,       2400,       2400,       2400,       2400,       2400, 
19 :       lv20,         20,       2600,       2600,       2600,       2600,       2600,       2600,       2600,       2660,       2660,       2660,       2660,       2660,       2660,       3200,       3200,       3200,       2600,       2600,       2600,       2600,       2600,       2600,       2600,       2600,       2600,       2600, 
20 :       lv21,         21,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       3350,       3350,       3350,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800,       2800, 
21 :       lv22,         22,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3500,       3500,       3500,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000,       3000, 
22 :       lv23,         23,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3650,       3650,       3650,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200,       3200, 
23 :       lv24,         24,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3800,       3800,       3800,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400,       3400, 
24 :       lv25,         25,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3950,       3950,       3950,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600,       3600, 
25 :       lv26,         26,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       4100,       4100,       4100,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800,       3800, 
26 :       lv27,         27,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4250,       4250,       4250,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000,       4000, 
27 :       lv28,         28,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4400,       4400,       4400,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200,       4200, 
28 :       lv29,         29,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4550,       4550,       4550,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400,       4400, 
29 :       lv30,         30,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4700,       4700,       4700,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600,       4600, 
30 :       lv31,         31,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4850,       4850,       4850,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800,       4800, 
31 :       lv32,         32,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000,       5000, 

