           km_,      km_id, 
132 : mons_breed_type_010_NM_008,       1011, 
133 : mons_breed_type_011,       1100, 
134 : mons_breed_type_011_001,       1101, 
135 : mons_breed_type_011_002,       1102, 
136 : mons_breed_type_011_003,       1103, 
137 : mons_breed_type_011_NM_001,       1104, 
138 : mons_breed_type_011_NM_002,       1105, 
139 : mons_breed_type_011_NM_003,       1106, 
140 : mons_breed_type_011_NM_004,       1107, 
141 : mons_breed_type_011_NM_005,       1108, 
142 : mons_breed_type_011_NM_006,       1109, 
143 : mons_breed_type_011_NM_007,       1110, 
144 : mons_breed_type_011_NM_008,       1111, 
145 : mons_breed_type_012,       1200, 
146 : mons_breed_type_012_001,       1201, 
147 : mons_breed_type_012_002,       1202, 
148 : mons_breed_type_012_003,       1203, 
149 : mons_breed_type_012_004,       1204, 
150 : mons_breed_type_012_005,       1205, 
151 : mons_breed_type_012_NM_001,       1206, 
152 : mons_breed_type_012_NM_002,       1207, 
153 : mons_breed_type_012_NM_003,       1208, 
154 : mons_breed_type_012_NM_004,       1209, 
155 : mons_breed_type_012_NM_005,       1210, 
156 : mons_breed_type_012_NM_006,       1211, 
157 : mons_breed_type_012_NM_007,       1212, 
158 : mons_breed_type_012_NM_008,       1213, 
159 : mons_breed_type_013,       1300, 
160 : mons_breed_type_013_001,       1301, 
161 : mons_breed_type_013_002,       1302, 
162 : mons_breed_type_013_003,       1303, 
163 : mons_breed_type_013_004,       1304, 
164 : mons_breed_type_013_NM_001,       1305, 
165 : mons_breed_type_013_NM_002,       1306, 
166 : mons_breed_type_013_NM_003,       1307, 
167 : mons_breed_type_013_NM_004,       1308, 
168 : mons_breed_type_013_NM_005,       1309, 
169 : mons_breed_type_013_NM_006,       1310, 
170 : mons_breed_type_013_NM_007,       1311, 
171 : mons_breed_type_013_NM_008,       1312, 
172 : mons_breed_type_014,       1400, 
173 : mons_breed_type_014_001,       1401, 
174 : mons_breed_type_014_002,       1402, 
175 : mons_breed_type_014_003,       1403, 
176 : mons_breed_type_014_004,       1404, 
177 : mons_breed_type_014_NM_001,       1405, 
178 : mons_breed_type_014_NM_002,       1406, 
179 : mons_breed_type_014_NM_003,       1407, 
180 : mons_breed_type_014_NM_004,       1408, 
181 : mons_breed_type_014_NM_005,       1409, 
182 : mons_breed_type_014_NM_006,       1410, 
183 : mons_breed_type_014_NM_007,       1411, 
184 : mons_breed_type_014_NM_008,       1412, 
185 : mons_breed_type_015,       1500, 
186 : mons_breed_type_015_001,       1501, 
187 : mons_breed_type_015_002,       1502, 
188 : mons_breed_type_015_003,       1503, 
189 : mons_breed_type_015_NM_001,       1504, 
190 : mons_breed_type_015_NM_002,       1505, 
191 : mons_breed_type_015_NM_003,       1506, 
192 : mons_breed_type_015_NM_004,       1507, 
193 : mons_breed_type_015_NM_005,       1508, 
194 : mons_breed_type_015_NM_006,       1509, 
195 : mons_breed_type_015_NM_007,       1510, 
196 : mons_breed_type_015_NM_008,       1511, 
197 : mons_breed_type_016,       1600, 
198 : mons_breed_type_016_001,       1601, 
199 : mons_breed_type_016_002,       1602, 
200 : mons_breed_type_016_003,       1603, 
201 : mons_breed_type_016_NM_001,       1604, 
202 : mons_breed_type_016_NM_002,       1605, 
203 : mons_breed_type_016_NM_003,       1606, 
204 : mons_breed_type_016_NM_004,       1607, 
205 : mons_breed_type_016_NM_005,       1608, 
206 : mons_breed_type_016_NM_006,       1609, 
207 : mons_breed_type_016_NM_007,       1610, 
208 : mons_breed_type_016_NM_008,       1611, 
209 : mons_breed_type_017,       1700, 
210 : mons_breed_type_017_001,       1701, 
211 : mons_breed_type_017_002,       1702, 
212 : mons_breed_type_017_003,       1703, 
213 : mons_breed_type_017_NM_001,       1704, 
214 : mons_breed_type_017_NM_002,       1705, 
215 : mons_breed_type_017_NM_003,       1706, 
216 : mons_breed_type_017_NM_004,       1707, 
217 : mons_breed_type_017_NM_005,       1708, 
218 : mons_breed_type_017_NM_006,       1709, 
219 : mons_breed_type_017_NM_007,       1710, 
220 : mons_breed_type_017_NM_008,       1711, 
221 : mons_breed_type_018,       1800, 
222 : mons_breed_type_018_001,       1801, 
223 : mons_breed_type_018_002,       1802, 
224 : mons_breed_type_018_003,       1803, 
225 : mons_breed_type_018_004,       1804, 
226 : mons_breed_type_018_005,       1805, 
227 : mons_breed_type_018_006,       1806, 
228 : mons_breed_type_018_NM_001,       1807, 
229 : mons_breed_type_018_NM_002,       1808, 
230 : mons_breed_type_018_NM_003,       1809, 
231 : mons_breed_type_018_NM_004,       1810, 
232 : mons_breed_type_018_NM_005,       1811, 
233 : mons_breed_type_018_NM_006,       1812, 
234 : mons_breed_type_018_NM_007,       1813, 
235 : mons_breed_type_018_NM_008,       1814, 
236 : mons_breed_type_019,       1900, 
237 : mons_breed_type_019_001,       1901, 
238 : mons_breed_type_019_002,       1902, 
239 : mons_breed_type_019_003,       1903, 
240 : mons_breed_type_019_004,       1904, 
241 : mons_breed_type_019_NM_001,       1905, 
242 : mons_breed_type_019_NM_002,       1906, 
243 : mons_breed_type_019_NM_003,       1907, 
244 : mons_breed_type_019_NM_004,       1908, 
245 : mons_breed_type_019_NM_005,       1909, 
246 : mons_breed_type_019_NM_006,       1910, 
247 : mons_breed_type_019_NM_007,       1911, 
248 : mons_breed_type_019_NM_008,       1912, 
249 : mons_breed_type_020,       2000, 
250 : mons_breed_type_020_001,       2001, 
251 : mons_breed_type_020_002,       2002, 
252 : mons_breed_type_020_003,       2003, 
253 : mons_breed_type_020_004,       2004, 
254 : mons_breed_type_020_NM_001,       2005, 
255 : mons_breed_type_020_NM_002,       2006, 
256 : mons_breed_type_020_NM_003,       2007, 
257 : mons_breed_type_020_NM_004,       2008, 
258 : mons_breed_type_020_NM_005,       2009, 
259 : mons_breed_type_020_NM_006,       2010, 
260 : mons_breed_type_020_NM_007,       2011, 
261 : mons_breed_type_020_NM_008,       2012, 
262 : mons_breed_type_021,       2100, 
263 : mons_breed_type_021_001,       2101, 
264 : mons_breed_type_021_002,       2102, 
265 : mons_breed_type_021_003,       2103, 
266 : mons_breed_type_021_NM_001,       2104, 
267 : mons_breed_type_021_NM_002,       2105, 
268 : mons_breed_type_021_NM_003,       2106, 
269 : mons_breed_type_021_NM_004,       2107, 
270 : mons_breed_type_021_NM_005,       2108, 
271 : mons_breed_type_021_NM_006,       2109, 
272 : mons_breed_type_021_NM_007,       2110, 
273 : mons_breed_type_021_NM_008,       2111, 
274 : mons_breed_type_022,       2200, 
275 : mons_breed_type_022_001,       2201, 
276 : mons_breed_type_022_002,       2202, 
277 : mons_breed_type_022_003,       2203, 
278 : mons_breed_type_022_NM_001,       2204, 
279 : mons_breed_type_022_NM_002,       2205, 
280 : mons_breed_type_022_NM_003,       2206, 
281 : mons_breed_type_022_NM_004,       2207, 
282 : mons_breed_type_022_NM_005,       2208, 
283 : mons_breed_type_022_NM_006,       2209, 
284 : mons_breed_type_022_NM_007,       2210, 
285 : mons_breed_type_022_NM_008,       2211, 
286 : mons_breed_type_023,       2300, 
287 : mons_breed_type_023_001,       2301, 
288 : mons_breed_type_023_002,       2302, 
289 : mons_breed_type_023_003,       2303, 
290 : mons_breed_type_023_NM_001,       2304, 
291 : mons_breed_type_023_NM_002,       2305, 
292 : mons_breed_type_023_NM_003,       2306, 
293 : mons_breed_type_023_NM_004,       2307, 
294 : mons_breed_type_023_NM_005,       2308, 
295 : mons_breed_type_023_NM_006,       2309, 
296 : mons_breed_type_023_NM_007,       2310, 
297 : mons_breed_type_023_NM_008,       2311, 
298 : mons_breed_type_024,       2400, 
299 : mons_breed_type_024_001,       2401, 
300 : mons_breed_type_024_002,       2402, 
301 : mons_breed_type_024_003,       2403, 
302 : mons_breed_type_024_NM_001,       2404, 
303 : mons_breed_type_024_NM_002,       2405, 
304 : mons_breed_type_024_NM_003,       2406, 
305 : mons_breed_type_024_NM_004,       2407, 
306 : mons_breed_type_024_NM_005,       2408, 
307 : mons_breed_type_024_NM_006,       2409, 
308 : mons_breed_type_024_NM_007,       2410, 
309 : mons_breed_type_024_NM_008,       2411, 
310 : mons_breed_type_025,       2500, 
311 : mons_breed_type_025_001,       2501, 
312 : mons_breed_type_025_002,       2502, 
313 : mons_breed_type_025_003,       2503, 
314 : mons_breed_type_025_004,       2504, 
315 : mons_breed_type_025_NM_001,       2505, 
316 : mons_breed_type_025_NM_002,       2506, 
317 : mons_breed_type_025_NM_003,       2507, 
318 : mons_breed_type_025_NM_004,       2508, 
319 : mons_breed_type_025_NM_005,       2509, 
320 : mons_breed_type_025_NM_006,       2510, 
321 : mons_breed_type_025_NM_007,       2511, 
322 : mons_breed_type_025_NM_008,       2512, 
323 : mons_breed_type_026,       2600, 
324 : mons_breed_type_026_001,       2601, 
325 : mons_breed_type_026_002,       2602, 
326 : mons_breed_type_026_003,       2603, 
327 : mons_breed_type_026_NM_001,       2604, 
328 : mons_breed_type_026_NM_002,       2605, 
329 : mons_breed_type_026_NM_003,       2606, 
330 : mons_breed_type_026_NM_004,       2607, 
331 : mons_breed_type_026_NM_005,       2608, 
332 : mons_breed_type_026_NM_006,       2609, 
333 : mons_breed_type_026_NM_007,       2610, 
334 : mons_breed_type_026_NM_008,       2611, 
335 : mons_breed_type_027,       2700, 
336 : mons_breed_type_027_001,       2701, 
337 : mons_breed_type_027_002,       2702, 
338 : mons_breed_type_027_003,       2703, 
339 : mons_breed_type_027_004,       2704, 
340 : mons_breed_type_027_005,       2705, 
341 : mons_breed_type_027_006,       2706, 
342 : mons_breed_type_027_NM_001,       2707, 
343 : mons_breed_type_027_NM_002,       2708, 
344 : mons_breed_type_027_NM_003,       2709, 
345 : mons_breed_type_027_NM_004,       2710, 
346 : mons_breed_type_027_NM_005,       2711, 
347 : mons_breed_type_027_NM_006,       2712, 
348 : mons_breed_type_027_NM_007,       2713, 
349 : mons_breed_type_027_NM_008,       2714, 
350 : mons_breed_type_028,       2800, 
351 : mons_breed_type_028_001,       2801, 
352 : mons_breed_type_028_002,       2802, 
353 : mons_breed_type_028_003,       2803, 
354 : mons_breed_type_028_NM_001,       2804, 
355 : mons_breed_type_028_NM_002,       2805, 
356 : mons_breed_type_028_NM_003,       2806, 
357 : mons_breed_type_028_NM_004,       2807, 
358 : mons_breed_type_028_NM_005,       2808, 
359 : mons_breed_type_028_NM_006,       2809, 
360 : mons_breed_type_028_NM_007,       2810, 
361 : mons_breed_type_028_NM_008,       2811, 
362 : mons_breed_type_029,       2900, 
363 : mons_breed_type_029_001,       2901, 
364 : mons_breed_type_029_NM_001,       2902, 
365 : mons_breed_type_029_NM_002,       2903, 
366 : mons_breed_type_029_NM_003,       2904, 
367 : mons_breed_type_029_NM_004,       2905, 
368 : mons_breed_type_030,       3000, 
369 : mons_breed_type_030_001,       3001, 
370 : mons_breed_type_030_002,       3004, 
371 : mons_breed_type_030_NM_001,       3002, 
372 : mons_breed_type_030_NM_002,       3003, 
373 : mons_breed_type_030_NM_003,       3005, 
374 : mons_breed_type_030_NM_004,       3006, 
375 : mons_breed_type_031,       3100, 
376 : mons_breed_type_031_001,       3101, 
377 : mons_breed_type_031_002,       3102, 
378 : mons_breed_type_031_003,       3103, 
379 : mons_breed_type_032,       3200, 
380 : mons_breed_type_032_001,       3201, 
381 : mons_breed_type_032_002,       3202, 
382 : mons_breed_type_032_003,       3203, 
383 : mons_breed_type_032_004,       3204, 
384 : mons_breed_type_033,       3300, 
385 : mons_breed_type_033_001,       3301, 
386 : mons_breed_type_033_002,       3302, 
387 : mons_breed_type_033_003,       3303, 
388 : mons_breed_type_033_004,       3304, 
389 : mons_breed_type_033_005,       3305, 
390 : mons_breed_type_033_006,       3306, 
391 : mons_breed_type_033_007,       3307, 
392 : mons_breed_type_033_008,       3308, 
393 : mons_breed_type_033_009,       3309, 
394 : mons_breed_type_033_010,       3310, 
395 : mons_breed_type_033_011,       3311, 
396 : mons_breed_type_033_012,       3312, 
397 : mons_breed_type_033_013,       3313, 
398 : mons_breed_type_033_014,       3314, 
399 : achievement_001,       4000, 
400 : achievement_002,       4001, 
401 : achievement_003,       4002, 
402 : achievement_004,       4003, 
403 : achievement_005,       4004, 
404 : achievement_006,       4005, 
405 : achievement_007,       4006, 
406 : achievement_008,       4007, 
407 :    dlc_001,       3400, 
408 :    dlc_002,       3401, 
409 :    dlc_003,       3402, 
410 :    dlc_004,       3403, 
411 :    dlc_005,       3404, 
412 :    dlc_006,       3405, 
413 :    dlc_007,       3406, 
414 :    dlc_008,       3407, 
415 :    dlc_009,       3408, 
416 :    dlc_010,       3409, 
417 :    dlc_011,       3410, 
418 :    dlc_012,       3411, 
419 :    dlc_013,       3412, 
420 :    dlc_014,       3413, 
421 :    dlc_015,       3414, 
422 :    dlc_016,       3415, 
423 :    dlc_017,       3416, 

