           km_, km_get_item, km_get_eplv,    km_cost, km_auto_only,  km_sortid,   km_daiji, km_material_1, km_material_1_num, km_material_1_key, km_material_2, km_material_2_num, km_material_2_key, km_material_3, km_material_3_num, km_material_3_key, km_material_4, km_material_4_num, km_material_4_key, 
38 : shield_x_uniq_02,    8324217,          0,      71610,          0,       1004,         -1,    9044259,          2,          1,    9044204,          1,          0,    9044308,          1,          0,         -1,          0,          0, 
39 : accessories_necklace,    8324231,          0,       2020,          0,       2000,         -1,    9044536,          1,          0,    9044327,          2,          0,    9044399,          3,          0,         -1,          0,          0, 
40 : accessories_necklace,    8324232,          0,       3020,          0,       2001,         -1,    9044041,          1,          0,    9044397,          5,          0,    9044386,          2,          0,         -1,          0,          0, 
41 : accessories_necklace,    8324233,          0,       7560,          0,       2002,         -1,    9044396,          4,          1,    9044387,          2,          0,    9044348,          2,          0,         -1,          0,          0, 
42 : accessories_necklace,    8324239,          0,       7560,          0,       2003,         -1,    9044042,          1,          0,    9044337,          2,          1,    9044341,          4,          0,         -1,          0,          0, 
43 : accessories_necklace,    8324234,          0,       8820,          0,       2004,         -1,    9044043,          1,          1,    9044401,          3,          0,    9044422,          1,          0,         -1,          0,          0, 
44 : accessories_necklace,    8324235,          0,      13230,          0,       2005,         -1,    9044044,          1,          1,    9044465,          4,          0,    9044245,          1,          0,         -1,          0,          0, 
45 : accessories_necklace,    8324226,          0,      13230,          0,       2006,        286,    9044220,          1,          1,    9044417,          2,          0,    9044712,          5,          0,         -1,          0,          0, 
46 : accessories_necklace,    8324236,          0,      17640,          0,       2007,         -1,    9044689,          1,          0,    9044352,          1,          1,    9044380,          4,          0,         -1,          0,          0, 
47 : accessories_necklace,    8324240,          0,      17640,          0,       2008,         -1,    9044045,          1,          1,    9044419,          4,          0,    9044441,          3,          0,         -1,          0,          0, 
48 : accessories_necklace,    8324237,          0,      20790,          0,       2009,         -1,    9044712,          1,          1,    9044316,          1,          0,    9044616,          2,          0,         -1,          0,          0, 
49 : accessories_necklace,    8324227,          0,      20790,          0,       2010,        286,    9044224,          1,          1,    9044464,          2,          0,    9044694,          2,          0,         -1,          0,          0, 
50 : accessories_necklace,    8324225,          0,      32130,          0,       2011,         -1,    9044283,          1,          0,    9044260,          1,          1,    9044274,          1,          0,         -1,          0,          0, 
51 : accessories_necklace,    8324241,          0,      32130,          0,       2012,         -1,    9044046,          1,          0,    9044473,          2,          1,    9044405,          3,          0,         -1,          0,          0, 
52 : accessories_necklace_09,    8324222,          0,      32130,          0,       2013,         -1,    9044047,          1,          1,    9044240,          1,          0,    9044747,          2,          0,         -1,          0,          0, 
53 : accessories_necklace,    8324223,          0,      39690,          0,       2014,         -1,    9044048,          1,          0,    9044241,          1,          1,    9044333,          1,          0,         -1,          0,          0, 
54 : accessories_necklace,    8324228,          0,      39690,          0,       2015,        286,    9044234,          1,          1,    9044563,          2,          0,    9044490,          2,          0,         -1,          0,          0, 
55 : accessories_necklace,    8324238,          0,      49140,          0,       2016,         -1,    9044714,          3,          1,    9044333,          2,          0,    9044744,          1,          0,         -1,          0,          0, 
56 : accessories_necklace,    8324224,          0,      49140,          0,       2017,        286,    9044297,          1,          1,    9044242,          1,          0,    9044371,          2,          0,         -1,          0,          0, 
57 : accessories_necklace,    8324242,          0,      60480,          0,       2018,        287,    9044248,          1,          1,    9044403,          2,          0,    9044754,          1,          0,         -1,          0,          0, 
58 : accessories_necklace,    8324230,          0,      32130,          0,       2019,         -1,    9044791,          1,          1,    9044185,          1,          0,    9044240,          2,          0,         -1,          0,          0, 
59 : accessories_necklace,    8324243,          0,      60480,          0,       2020,         -1,    9044793,          1,          1,    9044782,          1,          0,    9044249,          3,          0,         -1,          0,          0, 
60 : accessories_necklace,    8324244,          0,      71820,          0,       2021,         -1,    9044780,          1,          1,    9044782,          1,          1,    9044784,          1,          1,         -1,          0,          0, 
61 : accessories_ring,    8324262,          0,       3600,          0,       2100,         -1,    9044049,          1,          0,    9044354,          2,          0,    9044392,          3,          0,         -1,          0,          0, 
62 : accessories_ring,    8324273,          0,       3600,          0,       2101,         -1,    9044050,          1,          0,    9044169,          1,          1,    9044334,          6,          0,         -1,          0,          0, 
63 : accessories_ring,    8324256,          0,       5400,          0,       2102,         -1,    9044216,          1,          1,    9044674,          4,          0,    9044457,          4,          0,         -1,          0,          0, 
64 : accessories_ring,    8324263,          0,       6300,          0,       2103,         -1,    9044401,          3,          1,    9044448,          2,          0,    9044445,          3,          0,         -1,          0,          0, 
65 : accessories_ring,    8324267,          0,       6300,          0,       2104,         -1,    9044051,          1,          0,    9044342,          2,          1,    9044195,          1,          0,         -1,          0,          0, 
66 : accessories_ring,    8324257,          0,       6300,          0,       2105,         -1,    9044218,          1,          1,    9044639,          2,          0,    9044349,          2,          0,         -1,          0,          0, 
67 : accessories_ring,    8324258,          0,       9450,          0,       2106,        286,    9044219,          1,          1,    9044417,          2,          0,    9044713,          3,          0,         -1,          0,          0, 
68 : accessories_ring,    8324264,          0,       9450,          0,       2107,         -1,    9044052,          1,          1,    9044396,          4,          0,    9044311,          2,          0,         -1,          0,          0, 
69 : accessories_ring,    8324268,          0,      12600,          0,       2108,         -1,    9044053,          1,          1,    9044338,          1,          0,    9044373,          1,          0,         -1,          0,          0, 
70 : accessories_ring,    8324252,          0,      14850,          0,       2109,         -1,    9044258,          1,          1,    9044752,          1,          0,    9044519,          2,          0,         -1,          0,          0, 
71 : accessories_ring,    8324253,          0,      14850,          0,       2110,         -1,    9044259,          1,          1,    9044752,          1,          0,    9044519,          2,          0,         -1,          0,          0, 
72 : accessories_ring,    8324254,          0,      14850,          0,       2111,         -1,    9044260,          1,          1,    9044752,          1,          0,    9044519,          2,          0,         -1,          0,          0, 
73 : accessories_ring,    8324255,          0,      14850,          0,       2112,         -1,    9044261,          1,          1,    9044752,          1,          0,    9044498,          2,          0,         -1,          0,          0, 
74 : accessories_ring,    8324270,          0,      22950,          0,       2113,         -1,    9044054,          1,          0,    9044367,          3,          1,    9044312,          1,          0,         -1,          0,          0, 
75 : accessories_ring_09,    8324249,          0,      22950,          0,       2114,         -1,    9044055,          1,          0,    9044240,          1,          1,    9044747,          2,          0,         -1,          0,          0, 
76 : accessories_ring,    8324250,          0,      28350,          0,       2115,         -1,    9044056,          1,          1,    9044241,          1,          0,    9044333,          1,          0,         -1,          0,          0, 
77 : accessories_ring,    8324275,          0,      28350,          0,       2116,         -1,    9044284,          1,          1,    9044187,          1,          0,    9044475,          2,          0,         -1,          0,          0, 
78 : accessories_ring,    8324266,          0,      35100,          0,       2117,         -1,    9044550,          3,          1,    9044333,          2,          0,    9044744,          1,          0,         -1,          0,          0, 
79 : accessories_ring,    8324251,          0,      35100,          0,       2118,        286,    9044298,          1,          1,    9044242,          1,          0,    9044368,          3,          0,         -1,          0,          0, 
80 : accessories_ring,    8324271,          0,      35100,          0,       2119,        287,    9044190,          1,          0,    9044317,          1,          0,    9044270,          1,          0,         -1,          0,          0, 
81 : accessories_ring,    8324272,          0,      43200,          0,       2120,        286,    9044333,          2,          1,    9044344,          2,          0,    9044427,          6,          0,         -1,          0,          0, 
82 : accessories_ring,    8324260,          0,      14850,          0,       2121,         -1,    9044787,          1,          1,    9044181,          1,          0,    9044239,          2,          0,         -1,          0,          0, 
83 : accessories_ring,    8324261,          0,      28350,          0,       2122,         -1,    9044797,          1,          1,    9044247,          1,          0,    9044768,          3,          0,         -1,          0,          0, 
84 : accessories_bangle,    8324290,          0,       1780,          0,       2200,         -1,    9044057,          1,          0,    9044420,          6,          0,    9044318,          2,          0,         -1,          0,          0, 
85 : accessories_bangle_22_01,    8324283,          0,       4440,          0,       2201,         -1,    9044215,          1,          1,    9044731,          2,          0,    9044445,          4,          0,         -1,          0,          0, 
86 : accessories_bangle_22_02,    8324283,          0,       4440,          0,       2202,         -1,    9044059,          1,          0,    9044193,          1,          1,    9044469,          4,          0,         -1,          0,          0, 
87 : accessories_bangle,    8324304,          0,       4440,          0,       2203,         -1,    9044058,          1,          0,    9044171,          1,          1,    9044767,          2,          0,         -1,          0,          0, 
88 : accessories_bangle,    8324292,          0,       5180,          0,       2204,         -1,    9044767,          2,          0,    9044478,          5,          1,         -1,          0,          0,         -1,          0,          0, 
89 : accessories_bangle,    8324297,          0,       5180,          0,       2205,         -1,    9044271,          1,          0,    9044310,          2,          1,    9044557,          4,          0,         -1,          0,          0, 
90 : accessories_bangle,    8324293,          0,       7770,          0,       2206,         -1,    9044552,          1,          0,    9044245,          1,          1,    9044335,          3,          0,         -1,          0,          0, 
91 : accessories_bangle,    8324298,          0,       7770,          0,       2207,         -1,    9044060,          1,          0,    9044332,          1,          1,    9044645,          4,          0,         -1,          0,          0, 
92 : accessories_bangle,    8324284,          0,       7770,          0,       2208,        286,    9044222,          1,          1,    9044417,          2,          0,    9044742,          2,          0,         -1,          0,          0, 
93 : accessories_bangle,    8324295,          0,      12210,          0,       2209,         -1,    9044061,          1,          0,    9044388,          4,          1,    9044547,          4,          0,         -1,          0,          0, 
94 : accessories_bangle,    8324285,          0,      12210,          0,       2210,        286,    9044226,          1,          1,    9044452,          2,          0,    9044694,          1,          0,         -1,          0,          0, 
95 : accessories_bangle,    8324299,          0,      15540,          0,       2211,         -1,    9044062,          1,          0,    9044367,          2,          1,    9044375,          3,          0,         -1,          0,          0, 
96 : accessories_bangle,    8324282,          0,      18870,          0,       2212,         -1,    9044285,          1,          0,    9044258,          1,          1,    9044274,          1,          0,         -1,          0,          0, 
97 : accessories_bangle_09,    8324279,          0,      18870,          0,       2213,         -1,    9044063,          1,          1,    9044240,          1,          0,    9044747,          2,          0,         -1,          0,          0, 
98 : accessories_bangle,    8324280,          0,      23310,          0,       2214,         -1,    9044064,          1,          0,    9044241,          1,          1,    9044333,          1,          0,         -1,          0,          0, 
99 : accessories_bangle,    8324281,          0,      28860,          0,       2215,        286,    9044299,          1,          1,    9044242,          1,          0,    9044371,          2,          0,         -1,          0,          0, 
100 : accessories_bangle,    8324301,          0,      28860,          0,       2216,        287,    9044189,          1,          0,    9044317,          1,          0,    9044270,          1,          0,         -1,          0,          0, 
101 : accessories_bangle,    8324288,          0,      10360,          0,       2217,         -1,    9044787,          1,          1,    9044272,          1,          0,    9044734,          3,          0,         -1,          0,          0, 
102 : accessories_bangle,    8324289,          0,      23310,          0,       2218,         -1,    9044800,          1,          1,    9044247,          1,          0,    9044539,          3,          0,         -1,          0,          0, 
103 : accessories_earring,    8324323,          0,       1600,          0,       2300,         -1,    9044438,          3,          0,    9044406,          3,          0,    9044495,          2,          0,         -1,          0,          0, 
104 : accessories_earring,    8324324,          0,       2400,          0,       2301,         -1,    9044065,          1,          0,    9044397,          5,          0,    9044430,          5,          0,         -1,          0,          0, 
105 : accessories_earring_22_01,    8324317,          0,       4000,          0,       2302,         -1,    9044066,          1,          1,    9044192,          1,          0,    9044584,          3,          0,         -1,          0,          0, 
106 : accessories_earring_22_02,    8324317,          0,       4000,          0,       2303,         -1,    9044214,          1,          0,    9044264,          1,          0,    9044304,          3,          0,         -1,          0,          0, 
107 : accessories_earring,    8324325,          0,       6000,          0,       2304,         -1,    9044400,          3,          1,    9044387,          2,          0,    9044314,          3,          0,         -1,          0,          0, 
108 : accessories_earring,    8324326,          0,       7000,          0,       2305,         -1,    9044067,          1,          1,    9044407,          3,          0,    9044383,          4,          0,         -1,          0,          0, 
109 : accessories_earring_23_01,    8324318,          0,      10500,          0,       2306,        286,    9044221,          1,          1,    9044417,          2,          0,    9044640,          1,          0,         -1,          0,          0, 
110 : accessories_earring_23_02,    8324318,          0,      10500,          0,       2307,         -1,    9044068,          1,          0,    9044199,          1,          1,    9044640,          1,          0,         -1,          0,          0, 
111 : accessories_earring,    8324328,          0,      14000,          0,       2308,         -1,    9044712,          1,          0,    9044352,          1,          1,    9044616,          2,          0,         -1,          0,          0, 
112 : accessories_earring,    8324312,          0,      16500,          0,       2309,         -1,    9044258,          1,          1,    9044329,          1,          0,    9044498,          2,          0,         -1,          0,          0, 
113 : accessories_earring,    8324313,          0,      16500,          0,       2310,         -1,    9044259,          1,          1,    9044329,          1,          0,    9044498,          2,          0,         -1,          0,          0, 
114 : accessories_earring,    8324314,          0,      16500,          0,       2311,         -1,    9044260,          1,          1,    9044329,          1,          0,    9044617,          2,          0,         -1,          0,          0, 
115 : accessories_earring,    8324315,          0,      16500,          0,       2312,         -1,    9044261,          1,          1,    9044329,          1,          0,    9044617,          2,          0,         -1,          0,          0, 
116 : accessories_earring,    8324319,          0,      16500,          0,       2313,         -1,    9044069,          1,          0,    9044225,          1,          1,    9044321,          1,          0,         -1,          0,          0, 
117 : accessories_earring,    8324331,          0,      21000,          0,       2314,         -1,    9044070,          1,          1,    9044184,          1,          0,    9044708,          1,          0,         -1,          0,          0, 
118 : accessories_earring,    8324332,          0,      25500,          0,       2315,         -1,    9044668,          2,          1,    9044414,          2,          0,    9044353,          3,          0,         -1,          0,          0, 
119 : accessories_earring_09,    8324309,          0,      25500,          0,       2316,         -1,    9044071,          1,          0,    9044240,          1,          1,    9044339,          1,          0,         -1,          0,          0, 
120 : accessories_earring,    8324316,          0,      25500,          0,       2317,         -1,    9044286,          1,          0,    9044262,          1,          1,    9044274,          1,          0,         -1,          0,          0, 
121 : accessories_earring,    8324310,          0,      31500,          0,       2318,         -1,    9044072,          1,          1,    9044241,          1,          0,    9044333,          1,          0,         -1,          0,          0, 
122 : accessories_earring,    8324311,          0,      39000,          0,       2319,        286,    9044300,          1,          1,    9044242,          1,          0,    9044631,          2,          0,         -1,          0,          0, 
123 : accessories_earring,    8324333,          0,      39000,          0,       2320,         -1,    9044361,          1,          0,    9044242,          1,          1,    9044774,          3,          0,         -1,          0,          0, 
124 : accessories_earring,    8324321,          0,      16500,          0,       2321,         -1,    9044787,          1,          1,    9044182,          1,          0,    9044239,          2,          0,         -1,          0,          0, 
125 : accessories_earring,    8324322,          0,      31500,          0,       2322,         -1,    9044799,          1,          1,    9044247,          1,          0,    9044768,          3,          0,         -1,          0,          0, 
126 : accessories_belt,    8324348,          0,       1380,          0,       2400,         -1,    9044521,          1,          0,    9044330,          2,          0,         -1,          0,          0,         -1,          0,          0, 
127 : accessories_belt,    8324349,          0,       2060,          0,       2401,         -1,    9044073,          1,          0,    9044683,          6,          0,    9044327,          2,          0,         -1,          0,          0, 
128 : accessories_belt,    8324350,          0,       3440,          0,       2402,         -1,    9044386,          3,          0,    9044358,          2,          0,    9044389,          2,          0,         -1,          0,          0, 
129 : accessories_belt_62_02,    8324351,          0,       5160,          0,       2403,         -1,    9044074,          1,          0,    9044351,          3,          1,    9044331,          2,          0,         -1,          0,          0, 
130 : accessories_belt,    8324352,          0,       6020,          0,       2404,         -1,    9044075,          3,          0,    9044372,          3,          1,    9044496,          3,          0,         -1,          0,          0, 
131 : accessories_belt,    8324355,          0,      12040,          0,       2405,         -1,    9044076,          1,          1,    9044373,          3,          0,    9044722,          1,          0,         -1,          0,          0, 
132 : accessories_belt,    8324356,          0,      14190,          0,       2406,         -1,    9044374,          3,          1,    9044609,          2,          0,    9044484,          3,          0,         -1,          0,          0, 
133 : accessories_belt,    8324358,          0,      14190,          0,       2407,         -1,    9044077,          1,          1,    9044512,          2,          0,    9044321,          1,          0,         -1,          0,          0, 
134 : accessories_belt,    8324342,          0,      14190,          0,       2408,        286,    9044223,          1,          1,    9044402,          3,          0,    9044360,          1,          0,         -1,          0,          0, 
135 : accessories_belt,    8324343,          0,      18060,          0,       2409,         -1,    9044078,          1,          0,    9044227,          1,          1,    9044696,          3,          0,         -1,          0,          0, 
136 : accessories_belt,    8324344,          0,      18060,          0,       2410,        286,    9044229,          1,          1,    9044572,          2,          0,    9044704,          3,          0,         -1,          0,          0, 
137 : accessories_belt,    8324341,          0,      21930,          0,       2411,         -1,    9044287,          1,          0,    9044259,          1,          1,    9044274,          1,          0,         -1,          0,          0, 
138 : accessories_belt,    8324357,          0,      21930,          0,       2412,         -1,    9044079,          1,          0,    9044414,          3,          1,    9044353,          3,          0,         -1,          0,          0, 
139 : accessories_belt_69_01,    8324359,          0,      33540,          0,       2413,         -1,    9044301,          1,          1,    9044361,          1,          0,    9044582,          2,          0,         -1,          0,          0, 
140 : accessories_belt_69_02,    8324359,          0,      33540,          0,       2414,         -1,    9044080,          1,          1,    9044361,          1,          0,    9044582,          2,          0,         -1,          0,          0, 
141 : accessories_belt,    8324346,          0,      12040,          0,       2415,         -1,    9044787,          1,          1,    9044272,          1,          0,    9044600,          2,          0,         -1,          0,          0, 
142 : accessories_belt,    8324347,          0,      27090,          0,       2416,         -1,    9044794,          1,          1,    9044247,          1,          0,    9044714,          3,          0,         -1,          0,          0, 
143 : accessories_anklet,    8324376,          0,       1060,          0,       2500,         -1,    9044535,          3,          0,    9044330,          2,          0,    9044515,          2,          0,         -1,          0,          0, 
144 : accessories_anklet,    8324381,          0,       2640,          0,       2501,         -1,    9044081,          1,          0,    9044365,          3,          1,    9044389,          3,          0,         -1,          0,          0, 
145 : accessories_anklet,    8324377,          0,       2640,          0,       2502,         -1,    9044521,          1,          0,    9044354,          2,          0,    9044633,          1,          0,         -1,          0,          0, 
146 : accessories_anklet,    8324378,          0,       3960,          0,       2503,         -1,    9044082,          1,          1,    9044444,          5,          0,    9044615,          2,          0,         -1,          0,          0, 
147 : accessories_anklet,    8324370,          0,       4620,          0,       2504,         -1,    9044084,          1,          0,    9044217,          1,          1,    9044541,          1,          0,         -1,          0,          0, 
148 : accessories_anklet,    8324379,          0,       6930,          0,       2505,         -1,    9044083,          1,          1,    9044400,          4,          0,    9044373,          3,          0,         -1,          0,          0, 
149 : accessories_anklet,    8324382,          0,       9240,          0,       2506,         -1,    9044325,          6,          1,    9044350,          2,          0,    9044332,          1,          0,         -1,          0,          0, 
150 : accessories_anklet,    8324383,          0,      10890,          0,       2507,         -1,    9044085,          1,          1,    9044343,          1,          0,    9044360,          1,          0,         -1,          0,          0, 
151 : accessories_anklet,    8324371,          0,      13860,          0,       2508,         -1,    9044086,          1,          1,    9044228,          1,          0,    9044606,          4,          0,         -1,          0,          0, 
152 : accessories_anklet,    8324369,          0,      16830,          0,       2509,         -1,    9044288,          1,          0,    9044261,          1,          1,    9044274,          1,          0,         -1,          0,          0, 
153 : accessories_anklet_09,    8324366,          0,      16830,          0,       2510,         -1,    9044087,          1,          1,    9044240,          1,          0,    9044339,          1,          0,         -1,          0,          0, 
154 : accessories_anklet,    8324384,          0,      20790,          0,       2511,         -1,    9044394,          3,          1,    9044188,          1,          0,         -1,          0,          0,         -1,          0,          0, 
155 : accessories_anklet,    8324367,          0,      20790,          0,       2512,         -1,    9044088,          1,          0,    9044241,          1,          1,    9044333,          1,          0,         -1,          0,          0, 
156 : accessories_anklet,    8324372,          0,      20790,          0,       2513,        286,    9044233,          1,          1,    9044668,          2,          0,    9044533,          2,          0,         -1,          0,          0, 
157 : accessories_anklet,    8324368,          0,      25740,          0,       2514,        286,    9044302,          1,          1,    9044242,          1,          0,    9044641,          2,          0,         -1,          0,          0, 
158 : accessories_anklet,    8324387,          0,      16830,          0,       2515,        286,    9044208,          1,          0,    9044743,          1,          1,    9044696,          3,          0,         -1,          0,          0, 
159 : accessories_anklet,    8324375,          0,      16830,          0,       2516,         -1,    9044791,          1,          1,    9044186,          1,          0,    9044240,          2,          0,         -1,          0,          0, 
160 : accessories_amulet,    8324397,          0,       2350,          0,       2600,         -1,    9044089,          1,          0,    9044397,          5,          0,    9044406,          3,          0,         -1,          0,          0, 
161 : accessories_amulet,    8324398,          0,       5880,          0,       2601,         -1,    9044090,          1,          1,    9044396,          4,          0,    9044626,          2,          0,         -1,          0,          0, 
162 : accessories_amulet,    8324399,          0,       6860,          0,       2602,         -1,    9044091,          1,          1,    9044407,          3,          0,    9044527,          2,          0,         -1,          0,          0, 
163 : accessories_amulet,    8324405,          0,       6860,          0,       2603,         -1,    9044401,          3,          1,    9044266,          2,          0,    9044196,          1,          0,         -1,          0,          0, 
164 : accessories_amulet,    8324400,          0,      13720,          0,       2604,         -1,    9044092,          1,          1,    9044497,          3,          0,    9044373,          1,          0,         -1,          0,          0, 
165 : accessories_amulet_70_01,    8324406,          0,      24990,          0,       2605,         -1,    9044094,          1,          0,    9044393,          3,          1,    9044322,          1,          0,         -1,          0,          0, 
166 : accessories_amulet_70_02,    8324406,          0,      24990,          0,       2606,         -1,    9044289,          1,          1,    9044727,          1,          0,    9044205,          1,          0,         -1,          0,          0, 
167 : accessories_amulet_09,    8324391,          0,      24990,          0,       2607,         -1,    9044095,          1,          0,    9044240,          1,          1,    9044339,          1,          0,         -1,          0,          0, 
168 : accessories_amulet,    8324402,          0,      30870,          0,       2608,         -1,    9044470,          3,          1,    9044655,          2,          0,         -1,          0,          0,         -1,          0,          0, 
169 : accessories_amulet,    8324392,          0,      30870,          0,       2609,         -1,    9044096,          1,          1,    9044241,          1,          0,    9044333,          1,          0,         -1,          0,          0, 
170 : accessories_amulet,    8324393,          0,      38220,          0,       2610,        286,    9044303,          1,          1,    9044242,          1,          0,    9044368,          3,          0,         -1,          0,          0, 
