           km_, km_StrNo_SkeletalMesh, km_StrNo_AnimSet, km_StrNo_AnimTree, km_StrNo_effect_upk, km_StrNo_se_upk,  km_w_root, km_w_range, km_menu_scale,  km_menu_x,  km_menu_y, 
44 :     WXD010,      62328,      62329,      62330,      62331,      62332,        990,       1880,        200,        -50,         30, 
45 :     WXD020,      62333,      62334,      62335,      62336,      62337,        860,       2160,        200,        -30,         30, 
46 :     WXD030,      62338,      62339,      62340,      62341,      62342,        560,       2090,        200,        -30,         30, 
47 :     WSE010,      62343,      62344,      62345,      62346,      62347,        370,        410,        350,         95,       -120, 
48 :     WSE020,      62348,      62349,      62350,      62351,      62352,        280,        470,        350,         95,       -120, 
49 :     WME010,      62353,      62354,      62355,      62356,      62357,        750,        270,        300,         90,        -90, 
50 :     WME020,      62358,      62359,      62360,      62361,      62362,        470,        600,        300,         90,        -90, 
51 :     WME030,      62363,      62364,      62365,      62366,      62367,        570,        620,        300,         80,        -80, 
52 :     WLE010,      62368,      62369,      62370,      62371,      62372,        740,        830,        230,        100,       -100, 
53 :     WLE020,      62373,      62374,      62375,      62376,      62377,        940,        940,        230,        100,       -100, 
54 :     WLE030,      62378,      62379,      62380,      62381,      62382,        400,       1330,        230,        100,       -100, 
55 :     WLE040,      62383,      62384,      62385,      62386,      62387,       1000,       1010,        230,        100,       -100, 
56 :     WXE010,      62388,      62389,      62390,      62391,      62392,        150,       2120,        200,        170,       -170, 
57 :     WXE020,      62393,      62394,      62395,      62396,      62397,        710,       1510,        200,        140,       -140, 
58 :     WSF010,      62398,      62399,      62400,      62401,      62402,        570,        150,        350,         95,       -120, 
59 :     WSF020,      62403,      62404,      62405,      62406,      62407,        480,        250,        350,         95,       -120, 
60 :     WSF030,      62408,      62409,      62410,      62411,      62412,        410,        350,        350,         95,       -120, 
61 :     WMF010,      62413,      62414,      62415,      62416,      62417,        670,        340,        300,        110,       -110, 
62 :     WMF020,      62418,      62419,      62420,      62421,      62422,        440,        570,        300,        110,       -110, 
63 :     WMF030,      62423,      62424,      62425,      62426,      62427,        540,        490,        300,        110,       -110, 
64 :     WMF040,      62428,      62429,      62430,      62431,      62432,        420,        640,        300,        110,       -110, 
65 :     WLF010,      62433,      62434,      62435,      62436,      62437,        970,       1150,        230,         80,        -80, 
66 :     WLF020,      62438,      62439,      62440,      62441,      62442,       1150,        480,        230,        110,       -110, 
67 :     WXF010,      62443,      62444,      62445,      62446,      62447,       1220,       1590,        190,         90,        -90, 
68 :     WSG010,      62448,      62449,      62450,      62451,      62452,          0,        230,        350,          0,          0, 
69 :     WSG020,      62453,      62454,      62455,      62456,      62457,          0,        210,        350,          0,          0, 
70 :     WMG010,      62458,      62459,      62460,      62461,      62462,          0,        340,        300,          0,          0, 
71 :     WMG020,      62463,      62464,      62465,      62466,      62467,          0,        400,        300,          0,          0, 
72 :     WMG030,      62468,      62469,      62470,      62471,      62472,          0,        400,        300,          0,          0, 
73 :     WLG010,      62473,      62474,      62475,      62476,      62477,          0,        560,        300,          0,          0, 
74 :     WLG020,      62478,      62479,      62480,      62481,      62482,          0,        590,        300,          0,          0, 
75 :     WLG030,      62483,      62484,      62485,      62486,      62487,          0,        880,        300,          0,          0, 
76 :     WXG010,      62488,      62489,      62490,      62491,      62492,          0,       1100,        200,          0,          0, 
77 :     WXG020,      62493,      62494,      62495,      62496,      62497,          0,       1100,        200,          0,          0, 
78 :     WLA050,      62498,      62499,      62500,      62501,      62502,        170,       1150,        300,         10,        -10, 
79 :     WLA060,      62503,      62504,      62505,      62506,      62507,        260,       1070,        300,         10,        -10, 
80 :     WXA030,      62508,      62509,      62510,      62511,      62512,        540,       2650,        200,        -10,         10, 
81 :     WMB040,      62513,      62514,      62515,      62516,      62517,         70,        760,        300,         40,        -40, 
82 :     WXC030,      62518,      62519,      62520,      62521,      62522,       1040,       2130,        200,        -20,         20, 
83 :     WMD040,      62523,      62524,      62525,      62526,      62527,        450,        460,        300,         60,        -60, 
84 :     WLE050,      62528,      62529,      62530,      62531,      62532,        700,        890,        300,        100,       -100, 
85 :     WME040,      62533,      62534,      62535,      62536,      62537,        530,        490,        300,        140,       -140, 
86 :     WSF040,      62538,      62539,      62540,      62541,      62542,        420,        320,        350,         95,       -120, 
87 :     WMA070,      62543,      62544,      62545,      62546,      62547,        120,        840,        300,         60,        -60, 
88 :     WXB020,      62548,      62549,      62550,      62551,      62552,          0,       3450,        200,        -10,         10, 
89 :     WSC030,      62553,      62554,      62555,      62556,      62557,         90,        480,        350,         75,        -90, 
90 :     WLD050,      62558,      62559,      62560,      62561,      62562,        600,        700,        300,         10,        -10, 
91 :     WSE030,      62563,      62564,      62565,      62566,      62567,        460,        440,        350,         95,       -120, 
92 :     WMF050,      62568,      62569,      62570,      62571,      62572,        420,        720,        300,        110,       -110, 
93 :     WMG040,      62573,      62574,      62575,      62576,      62577,          0,        510,        300,          0,          0, 
94 :    MONS001,      62578,      62579,      62580,      62581,      62582,        300,        500,        300,          0,          0, 
95 :    MONS002,      62583,      62584,      62585,      62586,      62587,        300,        500,        300,          0,          0, 
96 :    MONS003,      62588,      62589,      62590,      62591,      62592,        300,        500,        300,          0,          0, 
97 :    MONS004,      62593,      62594,      62595,      62596,      62597,        300,        500,        300,          0,          0, 

