           km_,   km_namen,    km_help, km_st_type_st_type_15, km_st_type_st_type_14, km_st_type_st_type_13, km_st_type_st_type_12, km_st_type_st_type_11, km_st_type_st_type_10, km_st_type_st_type_9, km_st_type_st_type_8, km_st_type_st_type_7, km_st_type_st_type_6, km_st_type_st_type_5, km_st_type_st_type_4, km_st_type_st_type_3, km_st_type_st_type_2, km_st_type_st_type_1, km_st_type_st_type_0,   km_count, km_st_clr_st_clr_15, km_st_clr_st_clr_14, km_st_clr_st_clr_13, km_st_clr_st_clr_12, km_st_clr_st_clr_11, km_st_clr_st_clr_10, km_st_clr_st_clr_9, km_st_clr_st_clr_8, km_st_clr_st_clr_7, km_st_clr_st_clr_6, km_st_clr_st_clr_5, km_st_clr_st_clr_4, km_st_clr_st_clr_3, km_st_clr_st_clr_2, km_st_clr_st_clr_1, km_st_clr_st_clr_0,   km_stchk, km_st_seigyo_st_seigyo_15, km_st_seigyo_st_seigyo_14, km_st_seigyo_st_seigyo_13, km_st_seigyo_st_seigyo_12, km_st_seigyo_st_seigyo_11, km_st_seigyo_st_seigyo_10, km_st_seigyo_st_seigyo_9, km_st_seigyo_st_seigyo_8, km_st_seigyo_st_seigyo_7, km_st_seigyo_st_seigyo_6, km_st_seigyo_st_seigyo_5, km_st_seigyo_st_seigyo_4, km_st_seigyo_st_seigyo_3, km_st_seigyo_st_seigyo_2, km_st_seigyo_st_seigyo_1, km_st_seigyo_st_seigyo_0, km_act_ctrl_act_ctrl_31, km_act_ctrl_act_ctrl_30, km_act_ctrl_act_ctrl_29, km_act_ctrl_act_ctrl_28, km_act_ctrl_act_ctrl_27, km_act_ctrl_act_ctrl_26, km_act_ctrl_act_ctrl_25, km_act_ctrl_act_ctrl_24, km_act_ctrl_act_ctrl_23, km_act_ctrl_act_ctrl_22, km_act_ctrl_act_ctrl_21, km_act_ctrl_act_ctrl_20, km_act_ctrl_act_ctrl_19, km_act_ctrl_act_ctrl_18, km_act_ctrl_act_ctrl_17, km_act_ctrl_act_ctrl_16, km_act_ctrl_act_ctrl_15, km_act_ctrl_act_ctrl_14, km_act_ctrl_act_ctrl_13, km_act_ctrl_act_ctrl_12, km_act_ctrl_act_ctrl_11, km_act_ctrl_act_ctrl_10, km_act_ctrl_act_ctrl_9, km_act_ctrl_act_ctrl_8, km_act_ctrl_act_ctrl_7, km_act_ctrl_act_ctrl_6, km_act_ctrl_act_ctrl_5, km_act_ctrl_act_ctrl_4, km_act_ctrl_act_ctrl_3, km_act_ctrl_act_ctrl_2, km_act_ctrl_act_ctrl_1, km_act_ctrl_act_ctrl_0, km_prog_id_status_turn, km_prog_id_status_count, km_prog_id_status_prog, km_prog_id_status_prog_off, km_sort_id, km_menu_unitstatusinfo_on_text_id, km_menu_unitstatusinfo_on_text_id_one, km_menu_unitstatusinfo_off_text_id, km_menu_unitstatusinfo_off_text_id_one, km_menu_sequence_off_text_id, km_rend_model, km_rend_model_motion, km_font_pop_model, km_font_pop_model_mons, km_sp_script_id, km_sp_logic_id, km_unit_logic_act_no_target, km_unit_act_off, km_multi_react_off, km_unit_sp_damage_to_death_odds, km_unit_actx5, km_unit_invi_physics_num, km_unit_invi_magic_num, km_unit_offset_minus_damage, km_union_jin_offset, km_union_jin_no_vanguard, km_union_logic_act_target_change, km_union_logic_come_target, km_union_logic_no_lockup, km_union_offset_str, km_union_offset_int, km_union_offset_spd, km_union_offset_eq_ap, km_union_offset_eq_ac, km_union_offset_eq_guard, km_union_offset_apc, km_union_offset_act_ct_odds, km_union_offset_plus_damage, km_union_offset_minus_damage, 
 9 : unit_status_010,         10,         50,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        240,        255,        255,        255,        140,         -1,          0,         -1,          0,         -1,         30,          0,        112,        496,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 : unit_status_011,         11,         51,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        240,        255,        255,        255,        141,         -1,          0,         -1,          0,         -1,         31,          0,        113,        497,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 : unit_status_012,         12,         52,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        240,        255,        255,        255,        142,         -1,          0,         -1,          0,         -1,         32,          0,        114,        498,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : unit_status_013,         13,         53,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        240,        255,        255,        255,        143,         -1,          0,         -1,          0,         -1,         33,          0,        115,        499,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : unit_status_014,         14,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : unit_status_015,         15,         55,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : unit_status_016,         16,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : unit_status_017,         17,         57,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : unit_status_018,         18,         58,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : unit_status_019,         19,         59,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : unit_status_020,         20,         60,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : unit_status_021,         21,         61,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        240,        255,        255,        255,        200,         -1,          0,         -1,          0,         -1,         37,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : unit_status_022,         22,         62,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        242,        255,        255,         30,         -1,          0,         -1,          0,         -1,         35,          0,        124,        508,         -1,         -1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 : unit_status_023,         23,         63,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        240,        255,        255,        255,         32,         -1,          0,         -1,          0,         -1,         35,          0,        125,        509,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 : unit_status_024,         24,         64,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        243,        255,        255,         31,         -1,          0,         -1,          0,         -1,         35,          0,        126,        510,         -1,         -1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
