           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu, km_use_action_1, km_use_action_2, km_use_action_3, 
15 : dougu_potion_2_03,         16,         16,          5,         43,       2102,        150,          6,          0,          0,        113,         -1,         -1, 
16 : dougu_potion_2_04,         17,         17,          5,         43,       2103,        610,         21,          0,          0,        114,         -1,         -1, 
17 : dougu_potion_2_05,         18,         18,          5,         43,       2104,        630,         22,          0,          0,        115,         -1,         -1, 
18 : dougu_potion_2_06,         19,         19,          5,         43,       2105,        690,         24,          0,          0,        116,         -1,         -1, 
19 : dougu_cream_1_01,         20,         20,          6,         44,       3000,         40,          2,          0,          0,        117,        118,         -1, 
20 : dougu_cream_1_02,         21,         21,          6,         44,       3001,        140,          6,          0,          0,        119,        120,         -1, 
21 : dougu_cream_1_03,         22,         22,          6,         44,       3002,        160,          6,          0,          0,        121,         -1,         -1, 
22 : dougu_cream_1_04,         23,         23,          6,         44,       3003,        410,         15,          0,          0,        122,         -1,         -1, 
23 : dougu_cream_2_01,         24,         24,          6,         44,       3100,         30,          2,          0,          0,        117,         -1,         -1, 
24 : dougu_cream_2_02,         25,         25,          6,         44,       3101,        120,          5,          0,          0,        118,         -1,         -1, 
25 : dougu_cream_2_03,         26,         26,          6,         44,       3102,        180,          7,          0,          0,        119,         -1,         -1, 
26 : dougu_cream_2_04,         27,         27,          6,         44,       3103,        260,         10,          0,          0,        120,         -1,         -1, 
27 : dougu_cream_2_05,         28,         28,          6,         44,       3104,        230,          9,          0,          0,        121,         -1,         -1, 
28 : dougu_cream_2_06,         29,         29,          6,         44,       3105,        530,         19,          0,          0,        122,         -1,         -1, 
29 : dougu_handhibom_1_01,         30,         30,          7,         45,       4000,        340,         12,          0,          0,        123,         -1,         -1, 
30 : dougu_handhibom_1_02,         31,         31,          7,         45,       4001,        520,         18,          0,          0,        124,        125,         -1, 
31 : dougu_handhibom_1_03,         32,         32,          7,         45,       4002,        630,         22,          0,          0,        126,         -1,         -1, 
32 : dougu_handhibom_1_04,         33,         33,          7,         45,       4003,        780,         27,          0,          0,        127,         -1,         -1, 
33 : dougu_handhibom_1_05,         34,         34,          7,         45,       4004,        910,         31,          0,          0,        128,         -1,         -1, 
34 : dougu_handhibom_2_01,         35,         35,          7,         45,       4100,         80,          4,          0,          0,        123,         -1,         -1, 
35 : dougu_handhibom_2_02,         36,         36,          7,         45,       4101,        140,          6,          0,          0,        124,         -1,         -1, 
36 : dougu_handhibom_2_03,         37,         37,          7,         45,       4102,        180,          7,          0,          0,        125,         -1,         -1, 
37 : dougu_handhibom_2_04,         38,         38,          7,         45,       4103,        230,          9,          0,          0,        126,         -1,         -1, 
38 : dougu_handhibom_2_05,         39,         39,          7,         45,       4104,        360,         13,          0,          0,        127,         -1,         -1, 
39 : dougu_handhibom_2_06,         40,         40,          7,         45,       4105,        320,         12,          0,          0,        128,         -1,         -1, 
40 : dougu_scroll_1_01,         41,         41,          8,         46,       5000,        740,         26,          0,          0,        129,        130,         -1, 
41 : dougu_scroll_1_02,         42,         42,          8,         46,       5001,        940,         32,          0,          0,        131,         -1,         -1, 
42 : dougu_scroll_1_03,         43,         43,          8,         46,       5002,       1220,         42,          0,          0,        132,        133,         -1, 
43 : dougu_scroll_1_04,         44,         44,          8,         46,       5003,       1400,         48,          0,          0,        134,         -1,         -1, 
44 : dougu_scroll_2_01,         45,         45,          8,         46,       5100,         50,          3,          0,          0,        129,         -1,         -1, 
45 : dougu_scroll_2_02,         46,         46,          8,         46,       5101,        120,          5,          0,          0,        130,         -1,         -1, 
46 : dougu_scroll_2_03,         47,         47,          8,         46,       5102,        190,          7,          0,          0,        131,         -1,         -1, 
47 : dougu_scroll_2_04,         48,         48,          8,         46,       5103,        260,         10,          0,          0,        132,         -1,         -1, 
48 : dougu_scroll_2_05,         49,         49,          8,         46,       5104,        410,         15,          0,          0,        133,         -1,         -1, 
49 : dougu_scroll_2_06,         50,         50,          8,         46,       5105,        540,         19,          0,          0,        134,         -1,         -1, 
50 : dougu_spatk_1_01,         51,         51,          9,         47,       6000,        100,          4,          0,          0,        135,        136,         -1, 
51 : dougu_spatk_1_02,         52,         52,          9,         47,       6001,        130,          5,          0,          0,        137,        139,         -1, 
52 : dougu_spatk_1_03,         53,         53,          9,         47,       6002,       1500,         51,          0,          0,        138,         -1,         -1, 
53 : dougu_spatk_2_01,         54,         54,          9,         47,       6100,        150,          6,          0,          0,        135,         -1,         -1, 
54 : dougu_spatk_2_02,         55,         55,          9,         47,       6101,        280,         10,          0,          0,        136,         -1,         -1, 
55 : dougu_spatk_2_03,         56,         56,          9,         47,       6102,        210,          8,          0,          0,        137,         -1,         -1, 
56 : dougu_spatk_2_04,         57,         57,          9,         47,       6103,        280,         10,          0,          0,        138,         -1,         -1, 
57 : dougu_spatk_2_05,         58,         58,          9,         47,       6104,        540,         19,          0,          0,        139,         -1,         -1, 
58 : QE0820_S_000,         59,         59,          0,         71,       7000,       1500,         51,          0,          0,         -1,         -1,         -1, 
59 : QE1020_S_000,         60,         60,          0,         71,       7001,       1200,         41,          0,          0,         -1,         -1,         -1, 

