           km_,   km_namen,    km_help, km_skill_type, km_skill_lv, km_need_str, km_need_art, km_need_see,  km_kaisu0,  km_kaisu1,  km_kaisu2,  km_kaisu3, km_normal_num0, km_normal_num1, km_normal_num2, km_normal_num3, km_rare_odds0, km_rare_odds1, km_rare_odds2, km_rare_odds3, km_rare_num0, km_rare_num1, km_rare_num2, km_rare_num3, km_tre_rank_chk0, km_tre_rank_chk1, km_tre_rank_chk2, km_tre_rank_chk3, km_tre_num0, km_tre_num1, km_tre_num2, km_tre_num3, km_tre_money0, km_tre_money1, km_tre_money2, km_tre_money3, 
 9 : pick_rare_odds0,          9,          9,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 : pick_rare_odds1,         10,         10,          3,          1,          0,          3,          3,          0,          0,          0,          0,          0,          0,          0,          0,         90,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 : pick_rare_odds2,         11,         11,          3,          2,          0,          9,          9,          0,          0,          0,          0,          0,          0,          0,          0,         80,         15,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : pick_rare_odds3,         12,         12,          3,          3,          0,         15,         15,          0,          0,          0,          0,          0,          0,          0,          0,         70,         15,         10,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : pick_rare_num0,         13,         13,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : pick_rare_num1,         14,         14,          4,          1,          4,          4,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         90,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : pick_rare_num2,         15,         15,          4,          2,          9,          9,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         80,         15,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : pick_rare_num3,         16,         16,          4,          3,         16,         16,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         15,         10,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : tre_rank_chk0,         17,         17,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         95,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : tre_rank_chk1,         18,         18,          5,          1,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         90,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : tre_rank_chk2,         19,         19,          5,          2,          0,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         80,         15,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : tre_rank_chk3,         20,         20,          5,          3,          0,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         15,         10,          5,          0,          0,          0,          0,          0,          0,          0,          0, 
21 :   tre_num0,         21,         21,          6,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         95,          5,          0,          0,          0,          0,          0,          0, 
22 :   tre_num1,         22,         22,          6,          1,          2,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         90,         10,          0,          0,          0,          0,          0,          0, 
23 :   tre_num2,         23,         23,          6,          2,          6,          6,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         80,         15,          5,          0,          0,          0,          0,          0, 
24 :   tre_num3,         24,         24,          6,          3,         10,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         15,         10,          5,          0,          0,          0,          0, 
25 : tre_money0,         25,         25,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         95,          5,          0,          0, 
26 : tre_money1,         26,         26,          7,          1,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         90,         10,          0,          0, 
27 : tre_money2,         27,         27,          7,          2,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         80,         15,          5,          0, 
28 : tre_money3,         28,         28,          7,          3,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         15,         10,          5, 

