           km_,   km_chara, km_mons_count_id, km_mons_rare, km_mons_boss, km_shield_weapon_chg, km_chara_class, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise, km_item_money, km_item_surely, km_eqlv_surely, km_item_surely_num, km_item_normal1, km_eqlv_normal1, km_item_normal1_num, km_item_normal2, km_eqlv_normal2, km_item_normal2_num, km_item_rare, km_eqlv_rare, km_item_rare_num, km_item_veryrare, km_eqlv_veryrare, km_item_veryrare_num, km_item_tuika1, km_eqlv_tuika1, km_item_tuika1_num, km_item_tuika1_odd, km_item_tuika1_getd, km_item_tuika2, km_eqlv_tuika2, km_item_tuika2_num, km_item_tuika2_odd, km_item_tuika2_getd, 
 9 : RBC_99_E01,       1736,         -1,          1,          0,          0,        346,       7600,        124,         27,         33,         23,         20,          0,         20,         40,          0,          8,         62,        116,         14,         68,        122,         26,         80,        134,         38,         92,        146,         47,        101,        155,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,         10,         10,         10,         10,         10,         10,         10,         -1,         -1,         -1,       1479,          0,          3,         -1,         -1,         -1,         -1,         36,       3222,         -1,         -1,        150,        355,         -1,         -1,          1,        375,    9044081,         99,          1,    8978432,         99,          2,    8978438,         99,          2,    8324338,         99,          1,    8324376,         99,          1,         -1,         -1,        255,        255,         -1,         -1,         -1,        255,        255,         -1, 
10 : RBC_99_E06,        738,        181,          1,          0,          1,        363,       3040,         45,          9,         26,         19,         17,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,          5,         10,          5,         20,         10,         -1,         -1,         -1,       1394,          0,         48,         -1,         -1,         -1,         -1,         15,       5130,         -1,         -1,       1562,         -1,         -1,         -1,          1,          0,         -1,         -1,        255,    9044624,         99,          3,    9109699,         99,          1,    9044379,         99,          2,    8978438,         99,          1,    9044627,         99,          1,         30,        239,    9044628,         99,          1,         15,        269, 
11 : RBC_99_E07,        603,         64,          1,          0,          1,        354,       7980,        118,         22,         29,         26,         15,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1409,          0,         28,         -1,         -1,         -1,         -1,         15,       4860,         -1,         -1,        844,         -1,         -1,         -1,          1,          0,    9109564,         99,          1,    9044536,         99,          3,    9044379,         99,          3,    9044108,         99,          1,    9044443,         99,          1,    9044539,         99,          1,         30,        230,    9044540,         99,          1,         15,        260, 
12 : GAS_00_E00_v0,        815,        250,          0,          0,          0,        369,         91,         22,          4,         19,         14,         18,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,          5,         20,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1445,          0,         61,         -1,         -1,         -1,         -1,        355,       5259,         -1,         -1,       2066,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044682,         99,          1,    9044683,         99,          1,    8978438,         99,          1,    9109776,         99,          1,    9044686,         99,          1,         30,        245,    9044687,         99,          1,         15,        275, 
13 : GAS_00_E00_v1,        818,        250,          0,          0,          0,        369,         91,         22,          4,         19,         14,         18,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,          5,         20,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1445,          0,         61,         -1,         -1,         -1,         -1,        355,       5259,         -1,         -1,       2066,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044682,         99,          2,    9044683,         99,          2,    9109776,         99,          1,    8978438,         99,          2,    9044686,         99,          1,         30,        245,    9044687,         99,          1,         15,        275, 
14 : GAS_00_E01_v0,        683,        134,          0,          0,          0,        360,        144,         36,          7,         19,         10,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,         10,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1445,          0,         41,         -1,         -1,         -1,         -1,        313,       5032,         -1,         -1,       1352,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044593,         99,          1,    9044594,         99,          1,    8978432,         99,          1,    9109644,         99,          1,    9044597,         99,          1,         30,        236,    9044598,         99,          1,         15,        266, 
15 : GAS_00_E01_v1,        686,        134,          0,          0,          0,        360,        144,         36,          7,         19,         10,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,         10,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1445,          0,         41,         -1,         -1,         -1,         -1,        313,       5032,         -1,         -1,       1352,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044593,         99,          2,    9044594,         99,          2,    9109644,         99,          1,    8978432,         99,          2,    9044597,         99,          1,         30,        236,    9044598,         99,          1,         15,        266, 
16 : GAS_00_E01_v2,        689,        134,          0,          0,          0,        360,        144,         36,          7,         19,         10,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,         10,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1445,          0,         41,         -1,         -1,         -1,         -1,        313,       5032,         -1,         -1,       1352,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044593,         99,          3,    9044594,         99,          3,    9109644,         99,          1,    8978432,         99,          3,    9044597,         99,          1,         30,        236,    9044598,         99,          1,         15,        266, 
17 : GAS_00_E02_v0,        540,          5,          0,          0,          0,        350,        190,         38,          7,         19,         14,         15,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         20,         10,          5,          5,         10,         -1,         -1,         -1,       1466,          0,         21,         -1,         -1,         -1,         -1,        196,       4715,         -1,         -1,        494,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044494,         99,          1,    9044458,         99,          1,    9109504,         99,          1,    8324276,         99,          1,    9044498,         99,          1,         30,        226,    9044499,         99,          1,         15,        256, 
18 : GAS_00_E02_v1,        545,          8,          0,          0,          0,        350,        190,         38,          7,         19,         14,         15,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         20,         10,          5,          5,         10,         -1,         -1,         -1,       1466,          0,         21,         -1,         -1,         -1,         -1,        200,       4715,         -1,         -1,        494,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044494,         99,          2,    9109507,         99,          1,    9044458,         99,          2,    9044496,         99,          1,    9044498,         99,          1,         30,        226,    9044499,         99,          1,         15,        256, 
19 : GAS_00_E03_v0,        801,        237,          0,          0,          0,        368,        152,         38,          7,         20,         19,         14,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         10,          5,          5,         20,         10,         -1,         -1,         -1,       1387,          0,         59,         -1,         -1,         -1,         -1,        350,       5239,         -1,         -1,       1970,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044673,         99,          1,    9044398,         99,          1,    8978440,         99,          1,    9044675,         99,          1,    9044676,         99,          1,         30,        244,    9044677,         99,          1,         15,        274, 
20 : GAS_00_E03_v1,        804,        240,          0,          0,          0,        368,        152,         38,          7,         20,         19,         14,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         10,          5,          5,         20,         10,         -1,         -1,         -1,       1395,          0,         59,         -1,         -1,         -1,         -1,        350,       5239,         -1,         -1,       1970,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044673,         99,          2,    9044398,         99,          2,    9044675,         99,          1,    8978440,         99,          2,    9044676,         99,          1,         30,        244,    9044677,         99,          1,         15,        274, 
21 : GAS_99_E01,        824,        257,          1,          0,          1,        369,       2280,         33,          6,         26,         19,         19,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,          5,         20,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1456,          0,         61,         -1,         -1,         -1,         -1,         15,       5277,         -1,         -1,       2091,         -1,         -1,         -1,          1,          0,         -1,         -1,        255,    9044683,         99,          3,    9109785,         99,          1,    9044468,         99,          3,    8978438,         99,          1,    9044686,         99,          1,         30,        245,    9044687,         99,          1,         15,        275, 
22 : GAS_99_E02,        765,        201,          1,          0,          1,        365,       4740,         70,         13,         28,         21,         17,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         10,         20,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1373,          0,         52,         -1,         -1,         -1,         -1,         15,       5184,         -1,         -1,       1684,         -1,         -1,         -1,          1,          0,         -1,         -1,        255,    9044397,         99,          3,    9109726,         99,          1,    9044384,         99,          2,    9044642,         99,          1,    9044646,         99,          1,         30,        241,    9044647,         99,          1,         15,        271, 
23 : GAS_99_E03,        616,         75,          1,          0,          1,        355,       8638,        240,         48,         33,         26,         13,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         20,         10,         10,         10,          5,         10,         20,          5,         -1,         -1,         -1,       1457,          0,         30,         -1,         -1,         -1,         -1,         15,       4890,         -1,         -1,        920,         -1,         -1,         -1,          1,          0,    9109577,         99,          1,    9044397,         99,          3,    9044546,         99,          2,    9044108,         99,          1,    9044443,         99,          1,    9044550,         99,          1,         30,        231,    9044551,         99,          1,         15,        261, 
24 : DLP_00_E00_v0,        582,         45,          0,          0,          0,        353,        209,         41,          8,         20,         15,         19,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,         10,         10,         10,         20,          5,          5,         -1,         -1,         -1,       1413,          0,         26,         -1,         -1,         -1,         -1,        257,       4824,         -1,         -1,        789,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044525,         99,          1,    9044423,         99,          1,    8978432,         99,          1,    9109543,         99,          1,    9044529,         99,          1,         30,        229,    9044530,         99,          1,         15,        259, 
25 : DLP_00_E00_v1,        585,         45,          0,          0,          0,        353,        209,         41,          8,         20,         15,         19,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,         10,         10,         10,         20,          5,          5,         -1,         -1,         -1,       1413,          0,         26,         -1,         -1,         -1,         -1,        263,       4824,         -1,         -1,        789,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044525,         99,          2,    9044423,         99,          2,    9109543,         99,          1,    8978432,         99,          2,    9044529,         99,          1,         30,        229,    9044530,         99,          1,         15,        259, 
26 : DLP_00_E01_v0,        568,         32,          0,          0,          0,        352,        380,         76,         15,         23,         10,         14,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,         20,          5,          5,         20,          5,         10,         10,         -1,         -1,         -1,       1429,          0,         24,         -1,         -1,         -1,         -1,        254,       4801,         -1,         -1,        726,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044515,         99,          1,    9044516,         99,          1,    9109529,         99,          1,    8978438,         99,          1,    9044519,         99,          1,         30,        228,    9044520,         99,          1,         15,        258, 
