           km_, km_check_num, km_btl_action, km_logic_ctrl_15, km_logic_ctrl_14, km_logic_ctrl_13, km_logic_ctrl_12, km_logic_ctrl_11, km_logic_ctrl_10, km_logic_ctrl_9, km_logic_ctrl_8, km_logic_ctrl_7, km_logic_ctrl_6, km_logic_ctrl_5, km_logic_ctrl_4, km_logic_ctrl_3, km_logic_ctrl_2, km_logic_ctrl_1, km_logic_ctrl_0,   km_ratio,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2,  km_ex_tgt, km_ex_cond, km_ex_arg_1, km_ex_arg_2, 
 9 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
10 : hyakupaa_arts,          2,    9175077,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
11 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
12 : CT_Perfect,          4,    9175143,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,          1,        152,   20381697,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
13 :          @,          0,    9175148,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,          1,        152,   20381701,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 :          @,          0,    9175073,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
15 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
16 : QE0270_vs3rd,          2,    9175077,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
17 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
18 : cant_target_01,          1,    4718598,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
19 : cant_target_02,          1,    4718598,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 : bad_status_01,          1,    4718597,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
21 : bad_status_02,          1,    4718597,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
22 : approach_01,          1,    4718598,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 : waiting_01,          1,    4718595,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
24 : waiting_02,          3,    9175074,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :          @,          0,    4718595,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
27 : waiting_03,         23,    4718595,          0,          0,          0,          0,          1,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        429,          0,         30,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        305,       2000,         -1,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
30 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
31 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
32 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        429,         30,         60,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
33 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        209,       1000,       2000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
34 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         30,         60,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
35 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
36 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         60,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
37 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
38 :          @,          0,    9175257,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
39 :          @,          0,    9175257,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         30,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
40 :          @,          0,    9175194,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        429,         60,         80,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
41 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        209,        500,       1000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
42 :          @,          0,    9175185,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         60,         80,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
43 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
44 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         90,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
45 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
46 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,         11,        443,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
47 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         11,        443,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
48 :          @,          0,    4718595,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
49 :          @,          0,    9175185,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
50 : waiting_04,          7,    9175143,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,         67,          4,        158,         -1,         -1,          1,        152,   20381697,          0,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
51 :          @,          0,    9175148,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,         67,          4,        158,         -1,         -1,          1,        152,   20381701,          0,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
52 :          @,          0,    9175153,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,         67,          4,        158,         -1,         -1,          1,        152,   20381699,          0,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
53 :          @,          0,    9175073,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,         67,          4,        158,         -1,         -1,          1,        152,   20381700,          0,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
54 :          @,          0,    9175073,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,         67,          4,        158,         -1,         -1,          1,        152,   20381698,          0,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
55 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
56 :          @,          0,    4718595,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
57 : waiting_04_01,          2,    9175074,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
58 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
59 : waiting_05,         25,    9175214,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,         60,         11,        441,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
60 :          @,          0,    9175226,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,         11,        441,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
61 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        429,          0,         30,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
62 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        305,       2000,         -1,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
63 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
64 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
65 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        429,         30,         60,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
66 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        209,       1000,       2000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
67 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         30,         60,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
68 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
69 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         60,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
70 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
71 :          @,          0,    9175257,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
72 :          @,          0,    9175257,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         30,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
73 :          @,          0,    9175194,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        429,         60,         80,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
74 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        209,        500,       1000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
75 :          @,          0,    9175185,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         60,         80,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
76 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
77 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         90,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
78 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
79 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,         11,        443,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
80 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         11,        443,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
81 :          @,          0,    9175270,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         11,        431,          0,         80,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
82 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
83 :          @,          0,    4718595,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
84 : waiting_05_a,         26,    4915376,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,         60,         11,        441,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
85 :          @,          0,    9175214,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,         11,        441,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
86 :          @,          0,    9175226,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,         11,        441,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
87 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        429,          0,         30,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
88 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        305,       2000,         -1,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
89 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
90 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
91 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        429,         30,         60,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
92 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        209,       1000,       2000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
93 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         30,         60,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
94 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
95 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         60,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
96 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
97 :          @,          0,    9175257,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
98 :          @,          0,    9175257,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         30,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
99 :          @,          0,    9175194,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        429,         60,         80,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
100 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        209,        500,       1000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
