           km_, km_eq_data, km_eq_work,      km_lv, km_rush_eq, km_impro_flag, km_sort_id, km_default_sort_id, 
45 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
46 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
47 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
48 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
49 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
50 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
51 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
52 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
53 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
54 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
55 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
56 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
57 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
58 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
59 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
60 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
61 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
62 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
63 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
64 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
65 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
66 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
67 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
68 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
69 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
70 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
71 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
72 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
73 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
74 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
75 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
76 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
77 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
78 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
79 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
80 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
81 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
82 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
83 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
84 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
85 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
86 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
87 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
88 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
89 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
90 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
91 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
92 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
93 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
94 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
95 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
96 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
97 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
98 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
99 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
100 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
101 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
102 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
103 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 
104 :       Slot,         -1,         -1,          0,          0,          0,         -1,         -1, 

