           km_, km_is01_exp, km_is01_exp2, km_is01_lv, km_is02_exp, km_is02_exp2, km_is02_lv, km_is03_exp, km_is03_exp2, km_is03_lv, km_is04_exp, km_is04_exp2, km_is04_lv, km_is05_exp, km_is05_exp2, km_is05_lv, km_is06_exp, km_is06_exp2, km_is06_lv, km_is07_exp, km_is07_exp2, km_is07_lv, km_is08_exp, km_is08_exp2, km_is08_lv, km_is09_exp, km_is09_exp2, km_is09_lv, km_is10_exp, km_is10_exp2, km_is10_lv, km_is11_exp, km_is11_exp2, km_is11_lv, km_is12_exp, km_is12_exp2, km_is12_lv, km_is13_exp, km_is13_exp2, km_is13_lv, km_is14_exp, km_is14_exp2, km_is14_lv, km_is15_exp, km_is15_exp2, km_is15_lv, km_is16_exp, km_is16_exp2, km_is16_lv, 
 9 : david_nassau_s_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
10 : david_nassau_s_item_mahen,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
11 : david_nassau_s_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
12 : emma_honeywell_s_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
13 : emma_honeywell_s_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
14 : emma_honeywell_s_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
15 : emma_honeywell_s_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
16 : emma_honeywell_s_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
17 : emma_honeywell_s_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
18 : plocter_item_yakusou,        118,          0,          4,        797,          0,          5,          0,          0,          1,        174,          0,          4,          8,          0,          1,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
19 : plocter_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
20 : plocter_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
21 : plocter_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
22 : plocter_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
23 : plocter_item_special,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
24 : pagus_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
25 : pagus_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
26 : pagus_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
27 : pagus_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
28 : pagus_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
29 : pagus_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
30 : torgal_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
31 : torgal_item_potion,         12,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
32 : torgal_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
33 : torgal_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
34 : torgal_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
35 : torgal_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
36 : david_nassau_s_2_item_yakusou,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
37 : david_nassau_s_2_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
38 : david_nassau_s_2_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
39 : david_nassau_s_2_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
40 : david_nassau_s_2_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
41 : david_nassau_s_2_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
42 : btl_pc_baulson_item_yakusou,         90,          0,          3,        797,          0,          5,         32,          0,          1,         76,          0,          3,          2,          0,          1,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
43 : btl_pc_baulson_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
44 : btl_pc_baulson_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
45 : btl_pc_baulson_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
46 : btl_pc_baulson_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
47 : btl_pc_baulson_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
48 : btl_free_npc_300_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
49 : btl_free_npc_300_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
50 : btl_free_npc_300_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
51 : btl_free_npc_300_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
52 : btl_free_npc_300_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
53 : btl_free_npc_300_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
54 : btl_free_npc_218_item_yakusou,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
55 : btl_free_npc_218_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
56 : btl_free_npc_218_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
57 : btl_free_npc_218_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
58 : btl_free_npc_218_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
59 : btl_free_npc_218_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
60 : btl_free_npc_163_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
61 : btl_free_npc_163_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
62 : btl_free_npc_163_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
63 : btl_free_npc_163_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
64 : btl_free_npc_163_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
65 : btl_free_npc_163_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
66 : btl_free_npc_190_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
67 : btl_free_npc_190_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
68 : btl_free_npc_190_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
69 : btl_free_npc_190_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
70 : btl_free_npc_190_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
