           km_,   km_namen,    km_help, km_st_type_st_type_15, km_st_type_st_type_14, km_st_type_st_type_13, km_st_type_st_type_12, km_st_type_st_type_11, km_st_type_st_type_10, km_st_type_st_type_9, km_st_type_st_type_8, km_st_type_st_type_7, km_st_type_st_type_6, km_st_type_st_type_5, km_st_type_st_type_4, km_st_type_st_type_3, km_st_type_st_type_2, km_st_type_st_type_1, km_st_type_st_type_0,   km_count, km_st_clr_st_clr_15, km_st_clr_st_clr_14, km_st_clr_st_clr_13, km_st_clr_st_clr_12, km_st_clr_st_clr_11, km_st_clr_st_clr_10, km_st_clr_st_clr_9, km_st_clr_st_clr_8, km_st_clr_st_clr_7, km_st_clr_st_clr_6, km_st_clr_st_clr_5, km_st_clr_st_clr_4, km_st_clr_st_clr_3, km_st_clr_st_clr_2, km_st_clr_st_clr_1, km_st_clr_st_clr_0,   km_stchk, km_st_seigyo_st_seigyo_15, km_st_seigyo_st_seigyo_14, km_st_seigyo_st_seigyo_13, km_st_seigyo_st_seigyo_12, km_st_seigyo_st_seigyo_11, km_st_seigyo_st_seigyo_10, km_st_seigyo_st_seigyo_9, km_st_seigyo_st_seigyo_8, km_st_seigyo_st_seigyo_7, km_st_seigyo_st_seigyo_6, km_st_seigyo_st_seigyo_5, km_st_seigyo_st_seigyo_4, km_st_seigyo_st_seigyo_3, km_st_seigyo_st_seigyo_2, km_st_seigyo_st_seigyo_1, km_st_seigyo_st_seigyo_0, km_act_ctrl_act_ctrl_31, km_act_ctrl_act_ctrl_30, km_act_ctrl_act_ctrl_29, km_act_ctrl_act_ctrl_28, km_act_ctrl_act_ctrl_27, km_act_ctrl_act_ctrl_26, km_act_ctrl_act_ctrl_25, km_act_ctrl_act_ctrl_24, km_act_ctrl_act_ctrl_23, km_act_ctrl_act_ctrl_22, km_act_ctrl_act_ctrl_21, km_act_ctrl_act_ctrl_20, km_act_ctrl_act_ctrl_19, km_act_ctrl_act_ctrl_18, km_act_ctrl_act_ctrl_17, km_act_ctrl_act_ctrl_16, km_act_ctrl_act_ctrl_15, km_act_ctrl_act_ctrl_14, km_act_ctrl_act_ctrl_13, km_act_ctrl_act_ctrl_12, km_act_ctrl_act_ctrl_11, km_act_ctrl_act_ctrl_10, km_act_ctrl_act_ctrl_9, km_act_ctrl_act_ctrl_8, km_act_ctrl_act_ctrl_7, km_act_ctrl_act_ctrl_6, km_act_ctrl_act_ctrl_5, km_act_ctrl_act_ctrl_4, km_act_ctrl_act_ctrl_3, km_act_ctrl_act_ctrl_2, km_act_ctrl_act_ctrl_1, km_act_ctrl_act_ctrl_0, km_prog_id_status_turn, km_prog_id_status_count, km_prog_id_status_prog, km_prog_id_status_prog_off, km_sort_id, km_menu_unitstatusinfo_on_text_id, km_menu_unitstatusinfo_on_text_id_one, km_menu_unitstatusinfo_off_text_id, km_menu_unitstatusinfo_off_text_id_one, km_enu_sequence_off_text_id, km_rend_model, km_rend_model_motion, km_font_pop_model, km_font_pop_model_mons, km_sp_script_id, km_sp_logic_id, km_unit_logic_act_no_target, km_unit_act_off, km_multi_react_off, km_unit_sp_damage_to_death_odds, km_unit_actx5, km_unit_invi_physics_num, km_unit_invi_magic_num, km_unit_offset_minus_damage, km_union_jin_offset, km_union_jin_no_vanguard, km_union_logic_act_target_change, km_union_logic_come_target, km_union_logic_no_lockup, km_union_offset_str, km_union_offset_int, km_union_offset_spd, km_union_offset_eq_ap, km_union_offset_eq_ac, km_union_offset_eq_guard, km_union_offset_apc, km_union_offset_act_ct_odds, km_union_offset_plus_damage, km_union_offset_minus_damage, 
 9 : union_status_010,         74,        114,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 : union_status_011,         75,        115,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 : union_status_012,         76,        116,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        255,        255,        160,         -1,          0,         18,          1,         -1,         27,          0,        178,        562,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : union_status_013,         77,        117,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : union_status_014,         78,        118,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         13,          0,          0,          1,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,        161,          7,          0,         20,          1,         -1,         28,          0,        180,        564,         -1,         -1,          1,          0,          0,        100,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : union_status_015,         79,        119,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : union_status_016,         80,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : union_status_017,         81,        121,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : union_status_018,         82,        122,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : union_status_019,         83,        123,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : union_status_020,         84,        124,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         19,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        252,        255,        110,         -1,          0,         21,          1,         -1,         -1,          0,        186,        570,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : union_status_021,         85,        125,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        253,        255,        111,         -1,          0,         22,          1,         -1,         -1,          0,        187,        571,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : union_status_022,         86,        126,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        255,        255,        112,         -1,          0,         -1,          0,         -1,         36,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 : union_status_023,         87,        127,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        201,        202,         80,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          3,          3,          0,          0,          0,          0,          0,          0,          0, 
23 : union_status_024,         88,        128,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        201,        202,         81,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,          5,          3,          3,          3,          0,         20,         10,          0, 
