           km_,   km_money,   km_item1,   km_eqlv1,    km_num1,   km_item2,   km_eqlv2,    km_num2,   km_item3,   km_eqlv3,    km_num3,   km_item4,   km_eqlv4,    km_num4, 
13 : QE0040_R_000,          0,    8912898,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
14 : QE0170_R_000,          0,    8913205,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
15 : QE0170_R_010,          0,    8912903,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
16 : QE0170_R_020,          0,    8912904,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
17 : QE0170_R_030,          0,    8912905,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
18 : QE0170_R_040,          0,    8912906,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
19 : QE0170_R_050,          0,    8912907,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
20 : QE0170_R_060,          0,    8912908,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
21 : QE0170_R_070,          0,    8912909,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
22 : QE0170_R_080,          0,    8912910,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
23 : QE0450_R_000,      20000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
24 : QE0650_R_000,          0,    8912939,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
25 : QE0650_R_010,          0,    8912938,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
26 : QE0530_R_000,       2000,    9044191,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
27 : QE0530_R_001,       5000,    8912955,         99,          1,    8913216,         99,          1,    9044191,         99,          1,         -1,         -1,          0, 
28 : QE0540_R_000,       2500,    8912955,         99,          1,    8913216,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
29 : QE1220_R_000,       3000,    8323229,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
30 : QE0460_R_000,          0,    8912936,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
31 : QE0460_R_010,          0,    8912935,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
32 : QE0470_R_000,      18000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
33 : QE0470_R_010,          0,    8912937,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
34 : QE0470_R_020,          0,    8323122,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
35 : QE0470_R_021,          0,    8323123,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
36 : QE0470_R_022,          0,    8323118,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
37 : QE1050_R_000,          0,    9044243,         99,          6,    9044236,         99,          4,    9044264,         99,          2,    9044192,         99,          1, 
38 : QE0030_R_000,       2000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
39 : QE1150_R_000,          0,    8324399,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
40 : QE0230_R_000,       4000,    8912915,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
41 : QE0230_R_010,          0,    8912916,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
42 : QE0230_R_011,          0,    8912917,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
43 : QE0230_R_012,          0,    8912918,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
44 : QE0230_R_013,          0,    8912919,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
45 : QE0230_R_014,          0,    8912920,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
46 : QE0230_R_015,          0,    8912921,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
47 : QE0310_R_000,       3000,    8912932,         99,          1,    8913182,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
48 : QE0070_R_000,          0,    8913100,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
49 : QE0240_R_000,       2500,    8912922,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
50 : QE0320_R_000,          0,    8912931,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
51 : QE0250_R_000,       2000,    8912923,         99,          1,    8912924,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
52 : QE0250_R_001,          0,    8912925,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
53 : QE0250_R_002,          0,    8912926,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
54 : QE0050_R_000,       3000,    8324292,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
55 : QE0270_R_000,          0,    8912929,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
56 : QE0260_R_000,          0,    8912927,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
57 : QE0260_R_010,          0,    8912928,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
58 : QE0480_R_000,      30000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
59 : QE1070_R_000,       5000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
60 : QE1070_R_010,          0,    8912946,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
61 : QE0220_R_000,       1000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
62 : QE0220_R_001,          0,    8912913,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
63 : QE0220_R_010,          0,    8912914,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
64 : QE1140_R_000,          0,    8978452,         99,          6,    8978457,         99,          3,    8978458,         99,          3,         -1,         -1,          0, 
65 : QE1020_R_000,          0,    8978491,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
66 : QE1020_R_001,          0,    9043974,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
67 : QE1020_R_003,          0,    8912941,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
68 : QE1020_R_010,          0,    8912940,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
69 : QE1020_R_020,          0,    8912942,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
70 : QE1020_R_021,          0,    8323212,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
71 : QE1020_R_030,          0,    8912943,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
72 : QE1020_R_031,          0,    8323124,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
73 : QE1020_R_032,          0,    8912944,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
74 : QE1020_R_040,          0,    8912945,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
75 : QE0080_R_000,       4800,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
76 : QE0080_R_010,          0,    8912899,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
77 : QE1080_R_000,         25,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
78 : QE1080_R_010,          0,    8912947,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
79 : QE0120_R_000,          0,    8912951,         99,          1,    8913302,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
80 : QE0120_R_001,          0,    8912901,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
81 : QE0100_R_000,       5000,    8323768,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
82 : QE0100_R_001,       6000,    9044267,         99,          2,    9044311,         99,          2,    9044315,         99,          2,         -1,         -1,          0, 
83 : QE0100_R_002,       4700,    9044238,         99,          2,    9044363,         99,          2,    9044325,         99,          2,         -1,         -1,          0, 
84 : QE1230_R_000,       8000,    8324278,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
85 : QE0090_R_000,      20000,    8912900,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
86 : QE0090_R_001,       7000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
87 : QE0440_R_000,          0,    8912934,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
88 : QE0940_R_000,       5000,    8324356,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
89 : QE0060_R_000,      20000,    9044201,         99,          1,    9044202,         99,          1,    9044203,         99,          1,    9044204,         99,          1, 
90 : QE0060_R_001,      15000,    9044239,         99,          5,    9044246,         99,          5,         -1,         -1,          0,         -1,         -1,          0, 
91 : QE0060_R_002,       8000,    9044239,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
92 : QE0060_R_003,       2500,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
93 : QE0140_R_000,          0,    8913222,         99,          1,    8913183,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
94 : QE1240_R_000,      30000,    8324409,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
95 : QE1240_R_001,      15000,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
96 : QE0300_R_000,          0,    8913277,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
97 : QE0820_R_000,       6000,    8978490,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
98 : QE0820_R_001,        400,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
99 : QE0820_R_002,        800,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
100 : QE0820_R_003,       1600,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
101 : QE0840_R_000,      10000,    9043973,         99,          1,    8913291,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
102 : QE0330_R_000,          0,    8324105,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
103 : QE0190_R_000,       5000,    9044258,         99,          2,    9044259,         99,          2,         -1,         -1,          0,         -1,         -1,          0, 
104 : QE0110_R_000,       5000,    9044260,         99,          2,    9044261,         99,          2,         -1,         -1,          0,         -1,         -1,          0, 
105 : QE0390_R_000,          0,    8912933,         99,          1,    8913115,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
106 : QE0370_R_000,          0,    8323102,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
107 : QE0380_R_000,          0,    8323076,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
108 : QE0420_R_000,          0,    8323104,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
109 : QE0430_R_000,          0,    8323105,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
110 : QE0150_R_000,          0,    8913103,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
111 : QE1210_R_000,      12800,    8324312,          0,          1,    8324313,          0,          1,    8324314,          0,          1,    8324315,          0,          1, 
112 : QE0400_R_000,      10000,    9044257,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
113 : QE0400_R_001,          0,    8913116,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
114 : QE0350_R_000,       7500,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
115 : QE0350_R_010,          0,    8323103,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
116 : QE0280_R_000,          0,    8913111,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
117 : QE1170_R_000,          0,    8324282,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
118 : QE1180_R_000,          0,    9044274,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
119 : QE1190_R_000,          0,    8323965,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
120 : QE1200_R_000,          0,    8913101,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
121 : QE0160_R_000,     250000,    8912902,         99,          1,    8913104,         99,          1,    8913063,         99,          1,         -1,         -1,          0, 
122 : QE1160_R_000,          0,    8324250,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
123 : QE0180_R_000,          0,    8913213,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
124 : QE0180_R_001,          0,    8912911,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
125 : QE0340_R_000,          0,    8913259,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
126 : QE0340_R_010,          0,    8323125,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
127 : QE0130_R_000,          0,    8912952,         99,          1,    8913217,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
128 : QE0130_R_001,          0,    8913295,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
129 : QE0130_R_002,          0,    8913110,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
130 : QE0130_R_003,          0,    8323121,          0,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
131 : QE1100_R_000,    1000000,    8912949,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
132 : QE0000_R_000,          0,    8912957,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
133 : QE0000_R_001,          0,    8912958,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
134 : QE0000_R_002,          0,    8912959,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
135 : QE0000_R_003,          0,    8912960,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
136 : QE0000_R_004,          0,    8912961,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
137 : QE0000_R_005,          0,    8912962,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
138 : QE0000_R_006,          0,    8912963,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
139 : QE0000_R_007,          0,    8912964,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
140 : QE0000_R_008,          0,    8912965,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
141 : QE0000_R_009,          0,    8912966,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
142 : QE0000_R_010,          0,    8912967,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
143 : QE0000_R_011,          0,    8912968,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
144 : QE0000_R_012,          0,    8912969,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
145 : QE0000_R_013,          0,    8912970,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
146 : QE0000_R_014,          0,    8912971,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
147 : QE0000_R_015,          0,    8912972,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
148 : QE0000_R_016,          0,    8912973,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
149 : QE0000_R_017,          0,    8912974,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
150 : QE0000_R_018,          0,    8912975,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
151 : QE0000_R_019,          0,    8912976,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
152 : QE0000_R_020,          0,    8912977,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
153 : QE0000_R_021,          0,    8912978,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
154 : QE0000_R_022,          0,    8912979,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
155 : QE0000_R_023,          0,    8912980,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
156 : QE0000_R_024,          0,    8912981,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
157 : QE0000_R_025,          0,    8912982,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
158 : QE0000_R_026,          0,    8912983,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
159 : QE0000_R_027,          0,    8912984,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
160 : QE0000_R_028,          0,    8912985,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
161 : QE0000_R_029,          0,    8912986,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
162 : QE0000_R_030,          0,    8912987,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
163 : QE0000_R_031,          0,    8912988,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
164 : QE0000_R_032,          0,    8912989,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
165 : QE0000_R_033,          0,    8912990,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
166 : QE0000_R_034,          0,    8912991,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
167 : QE0000_R_035,          0,    8912992,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
168 : QE0000_R_036,          0,    8912993,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
169 : QE0000_R_037,          0,    8912994,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
170 : QE0000_R_038,          0,    8912995,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
171 : QE0000_R_039,          0,    8912996,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
172 : QE0000_R_040,          0,    8912997,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
173 : QE0000_R_041,          0,    8912998,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
174 : QE0000_R_042,          0,    8912999,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
175 : QE0000_R_043,          0,    8913000,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
176 : QE0000_R_044,          0,    8913001,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
177 : QE0000_R_045,          0,    8913002,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
178 : QE0000_R_046,          0,    8913003,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
179 : QE0000_R_047,          0,    8913004,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
180 : QE0000_R_048,          0,    8913005,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
181 : QE0000_R_049,          0,    8913006,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 

