           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell,  km_no_buy, km_no_menu, km_mons_dissec, km_continue_count, 
20 : recipe_weapon_012,         21,         21,         15,         57,       2011,       1200,         12,          0,          1,          0,          0,        100, 
21 : recipe_weapon_013,         22,         22,         15,         57,       2012,       1300,         13,          0,          1,          0,          0,        100, 
22 : recipe_weapon_014,         23,         23,         15,         57,       2013,       1400,         14,          0,          1,          0,          0,        100, 
23 : recipe_weapon_015,         24,         24,         15,         57,       2014,       1500,         15,          0,          1,          0,          0,        100, 
24 : recipe_weapon_016,         25,         25,         15,         57,       2015,       1600,         16,          0,          1,          0,          0,        100, 
25 : recipe_weapon_017,         26,         26,         15,         57,       2016,       1700,         17,          0,          1,          0,          0,        100, 
26 : recipe_weapon_018,         27,         27,         15,         57,       2017,       1800,         18,          0,          1,          0,          0,        100, 
27 : recipe_weapon_019,         28,         28,         15,         57,       2018,       1900,         19,          0,          1,          0,          0,        100, 
28 : recipe_weapon_020,         29,         29,         15,         57,       2019,       2000,         20,          0,          1,          0,          0,        100, 
29 : recipe_weapon_021,         30,         30,         15,         57,       2020,       2100,         21,          0,          1,          0,          0,        100, 
30 : recipe_weapon_022,         31,         31,         15,         57,       2021,       2200,         22,          0,          1,          0,          0,        100, 
31 : recipe_weapon_023,         32,         32,         15,         57,       2022,       2300,         23,          0,          1,          0,          0,        100, 
32 : recipe_weapon_024,         33,         33,         15,         57,       2023,       2400,         24,          0,          1,          0,          0,        100, 
33 : recipe_weapon_025,         34,         34,         15,         57,       2024,       2500,         25,          0,          1,          0,          0,        100, 
34 : recipe_weapon_026,         35,         35,         15,         57,       2025,       2600,         26,          0,          1,          0,          0,        100, 
35 : recipe_weapon_027,         36,         36,         15,         57,       2026,       2700,         27,          0,          1,          0,          0,        100, 
36 : recipe_weapon_028,         37,         37,         15,         57,       2027,       2800,         28,          0,          1,          0,          0,        100, 
37 : recipe_weapon_029,         38,         38,         15,         57,       2028,       2900,         29,          0,          1,          0,          0,        100, 
38 : recipe_weapon_030,         39,         39,         15,         57,       2029,       3000,         30,          0,          1,          0,          0,        100, 
39 : recipe_weapon_031,         40,         40,         15,         57,       2030,       3100,         31,          0,          1,          0,          0,        100, 
40 : recipe_weapon_032,         41,         41,         15,         57,       2031,       3200,         32,          0,          1,          0,          0,        100, 
41 : recipe_weapon_033,         42,         42,         15,         57,       2032,       3300,         33,          0,          1,          0,          0,        100, 
42 : recipe_weapon_034,         43,         43,         15,         57,       2033,       3400,         34,          0,          1,          0,          0,        100, 
43 : recipe_weapon_035,         44,         44,         15,         57,       2034,       3500,         35,          0,          1,          0,          0,        100, 
44 : recipe_weapon_036,         45,         45,         15,         57,       2035,       3600,         36,          0,          1,          0,          0,        100, 
45 : recipe_weapon_037,         46,         46,         15,         57,       2036,       3700,         37,          0,          1,          0,          0,        100, 
46 : recipe_weapon_038,         47,         47,         15,         57,       2037,       3800,         38,          0,          1,          0,          0,        100, 
47 : recipe_weapon_039,         48,         48,         15,         57,       2038,       3900,         39,          0,          1,          0,          0,        100, 
48 : recipe_weapon_040,         49,         49,         15,         57,       2039,       4000,         40,          0,          1,          0,          0,        100, 
49 : recipe_weapon_041,         50,         50,         15,         57,       2040,       4100,         41,          0,          1,          0,          0,        100, 
50 : recipe_weapon_042,         51,         51,         15,         57,       2041,       4200,         42,          0,          1,          0,          0,        100, 
51 : recipe_weapon_043,         52,         52,         15,         57,       2042,       4300,         43,          0,          1,          0,          0,        100, 
52 : recipe_weapon_044,         53,         53,         15,         57,       2043,       4400,         44,          0,          1,          0,          0,        100, 
53 : recipe_weapon_045,         54,         54,         15,         57,       2044,       4500,         45,          0,          1,          0,          0,        100, 
54 : recipe_weapon_046,         55,         55,         15,         57,       2045,       4600,         46,          0,          1,          0,          0,        100, 
55 : recipe_weapon_047,         56,         56,         15,         57,       2046,       4700,         47,          0,          1,          0,          0,        100, 
56 : recipe_weapon_048,         57,         57,         15,         57,       2047,       4800,         48,          0,          1,          0,          0,        100, 
57 : recipe_weapon_049,         58,         58,         15,         57,       2048,       4900,         49,          0,          1,          0,          0,        100, 
58 : recipe_weapon_050,         59,         59,         15,         57,       2049,       5000,         50,          0,          1,          0,          0,        100, 
59 : recipe_weapon_051,         60,         60,         15,         57,       2050,       5100,         51,          0,          1,          0,          0,        100, 
60 : recipe_weapon_052,         61,         61,         15,         57,       2051,       5200,         52,          0,          1,          0,          0,        100, 
61 : recipe_weapon_053,         62,         62,         15,         57,       2052,       5300,         53,          0,          1,          0,          0,        100, 
62 : recipe_weapon_054,         63,         63,         15,         57,       2053,       5400,         54,          0,          1,          0,          0,        100, 
63 : recipe_weapon_055,         64,         64,         15,         57,       2054,       5500,         55,          0,          1,          0,          0,        100, 
64 : recipe_weapon_056,         65,         65,         15,         57,       2055,       5600,         56,          0,          1,          0,          0,        100, 
65 : recipe_weapon_057,         66,         66,         15,         57,       2056,       5700,         57,          0,          1,          0,          0,        100, 
66 : recipe_weapon_058,         67,         67,         15,         57,       2057,       5800,         58,          0,          1,          0,          0,        100, 
67 : recipe_weapon_059,         68,         68,         15,         57,       2058,       5900,         59,          0,          1,          0,          0,        100, 
68 : recipe_weapon_060,         69,         69,         15,         57,       2059,       6000,         60,          0,          1,          0,          0,        100, 
69 : recipe_weapon_061,         70,         70,         15,         57,       2060,       6100,         61,          0,          1,          0,          0,        100, 
70 : recipe_weapon_062,         71,         71,         15,         57,       2061,       6200,         62,          0,          1,          0,          0,        100, 
71 : recipe_weapon_063,         72,         72,         15,         57,       2062,       6300,         63,          0,          1,          0,          0,        100, 
72 : recipe_weapon_064,         73,         73,         15,         57,       2063,       6400,         64,          0,          1,          0,          0,        100, 
73 : recipe_necklace_001,         74,         74,         15,         57,       2100,        100,          1,          0,          1,          0,          0,        100, 
74 : recipe_necklace_002,         75,         75,         15,         57,       2101,        200,          2,          0,          1,          0,          0,        100, 
75 : recipe_necklace_003,         76,         76,         15,         57,       2102,        400,          4,          0,          1,          0,          0,        100, 
76 : recipe_necklace_004,         77,         77,         15,         57,       2103,        600,          6,          0,          1,          0,          0,        100, 
77 : recipe_necklace_005,         78,         78,         15,         57,       2104,        800,          8,          0,          1,          0,          0,        100, 
78 : recipe_necklace_006,         79,         79,         15,         57,       2105,       1600,         16,          0,          1,          0,          0,        100, 
79 : recipe_necklace_007,         80,         80,         15,         57,       2106,       3200,         32,          0,          1,          0,          0,        100, 
80 : recipe_necklace_008,         81,         81,         15,         57,       2107,       6400,         64,          0,          1,          0,          0,        100, 
81 : recipe_ring_001,         82,         82,         15,         57,       2200,        100,          1,          0,          1,          0,          0,        100, 
82 : recipe_ring_002,         83,         83,         15,         57,       2201,        200,          2,          0,          1,          0,          0,        100, 
83 : recipe_ring_003,         84,         84,         15,         57,       2202,        400,          4,          0,          1,          0,          0,        100, 
84 : recipe_ring_004,         85,         85,         15,         57,       2203,        600,          6,          0,          1,          0,          0,        100, 
85 : recipe_ring_005,         86,         86,         15,         57,       2204,        800,          8,          0,          1,          0,          0,        100, 
86 : recipe_ring_006,         87,         87,         15,         57,       2205,       1600,         16,          0,          1,          0,          0,        100, 
87 : recipe_ring_007,         88,         88,         15,         57,       2206,       3200,         32,          0,          1,          0,          0,        100, 
88 : recipe_ring_008,         89,         89,         15,         57,       2207,       6400,         64,          0,          1,          0,          0,        100, 
89 : recipe_bangle_001,         90,         90,         15,         57,       2300,        100,          1,          0,          1,          0,          0,        100, 
90 : recipe_bangle_002,         91,         91,         15,         57,       2301,        200,          2,          0,          1,          0,          0,        100, 
91 : recipe_bangle_003,         92,         92,         15,         57,       2302,        400,          4,          0,          1,          0,          0,        100, 
92 : recipe_bangle_004,         93,         93,         15,         57,       2303,        600,          6,          0,          1,          0,          0,        100, 
93 : recipe_bangle_005,         94,         94,         15,         57,       2304,        800,          8,          0,          1,          0,          0,        100, 
94 : recipe_bangle_006,         95,         95,         15,         57,       2305,       1600,         16,          0,          1,          0,          0,        100, 
95 : recipe_bangle_007,         96,         96,         15,         57,       2306,       3200,         32,          0,          1,          0,          0,        100, 
96 : recipe_bangle_008,         97,         97,         15,         57,       2307,       6400,         64,          0,          1,          0,          0,        100, 
97 : recipe_earring_001,         98,         98,         15,         57,       2400,        100,          1,          0,          1,          0,          0,        100, 
98 : recipe_earring_002,         99,         99,         15,         57,       2401,        200,          2,          0,          1,          0,          0,        100, 
99 : recipe_earring_003,        100,        100,         15,         57,       2402,        400,          4,          0,          1,          0,          0,        100, 
100 : recipe_earring_004,        101,        101,         15,         57,       2403,        600,          6,          0,          1,          0,          0,        100, 
101 : recipe_earring_005,        102,        102,         15,         57,       2404,        800,          8,          0,          1,          0,          0,        100, 
102 : recipe_earring_006,        103,        103,         15,         57,       2405,       1600,         16,          0,          1,          0,          0,        100, 
103 : recipe_earring_007,        104,        104,         15,         57,       2406,       3200,         32,          0,          1,          0,          0,        100, 
104 : recipe_earring_008,        105,        105,         15,         57,       2407,       6400,         64,          0,          1,          0,          0,        100, 
105 : recipe_belt_001,        106,        106,         15,         57,       2500,        100,          1,          0,          1,          0,          0,        100, 
106 : recipe_belt_002,        107,        107,         15,         57,       2501,        200,          2,          0,          1,          0,          0,        100, 
107 : recipe_belt_003,        108,        108,         15,         57,       2502,        400,          4,          0,          1,          0,          0,        100, 
108 : recipe_belt_004,        109,        109,         15,         57,       2503,        600,          6,          0,          1,          0,          0,        100, 
109 : recipe_belt_005,        110,        110,         15,         57,       2504,        800,          8,          0,          1,          0,          0,        100, 
110 : recipe_belt_006,        111,        111,         15,         57,       2505,       1600,         16,          0,          1,          0,          0,        100, 
111 : recipe_belt_007,        112,        112,         15,         57,       2506,       3200,         32,          0,          1,          0,          0,        100, 
112 : recipe_belt_008,        113,        113,         15,         57,       2507,       6400,         64,          0,          1,          0,          0,        100, 
113 : recipe_anklet_001,        114,        114,         15,         57,       2600,        100,          1,          0,          1,          0,          0,        100, 
114 : recipe_anklet_002,        115,        115,         15,         57,       2601,        200,          2,          0,          1,          0,          0,        100, 
115 : recipe_anklet_003,        116,        116,         15,         57,       2602,        400,          4,          0,          1,          0,          0,        100, 
116 : recipe_anklet_004,        117,        117,         15,         57,       2603,        600,          6,          0,          1,          0,          0,        100, 
117 : recipe_anklet_005,        118,        118,         15,         57,       2604,        800,          8,          0,          1,          0,          0,        100, 
118 : recipe_anklet_006,        119,        119,         15,         57,       2605,       1600,         16,          0,          1,          0,          0,        100, 
119 : recipe_anklet_007,        120,        120,         15,         57,       2606,       3200,         32,          0,          1,          0,          0,        100, 
120 : recipe_anklet_008,        121,        121,         15,         57,       2607,       6400,         64,          0,          1,          0,          0,        100, 
121 : recipe_amulet_001,        122,        122,         15,         57,       2700,        100,          1,          0,          1,          0,          0,        100, 
122 : recipe_amulet_002,        123,        123,         15,         57,       2701,        200,          2,          0,          1,          0,          0,        100, 
123 : recipe_amulet_003,        124,        124,         15,         57,       2702,        400,          4,          0,          1,          0,          0,        100, 
124 : recipe_amulet_004,        125,        125,         15,         57,       2703,        600,          6,          0,          1,          0,          0,        100, 
125 : recipe_amulet_005,        126,        126,         15,         57,       2704,        800,          8,          0,          1,          0,          0,        100, 
126 : recipe_amulet_006,        127,        127,         15,         57,       2705,       1600,         16,          0,          1,          0,          0,        100, 
127 : recipe_amulet_007,        128,        128,         15,         57,       2706,       3200,         32,          0,          1,          0,          0,        100, 
128 : recipe_amulet_008,        129,        129,         15,         57,       2707,       6400,         64,          0,          1,          0,          0,        100, 
129 : recipe_jewel_001,        130,        130,         15,         57,       2800,        100,          1,          0,          1,          0,          0,        100, 
130 : recipe_jewel_002,        131,        131,         15,         57,       2801,        200,          2,          0,          1,          0,          0,        100, 
131 : recipe_jewel_003,        132,        132,         15,         57,       2802,        400,          4,          0,          1,          0,          0,        100, 
132 : recipe_jewel_004,        133,        133,         15,         57,       2803,        600,          6,          0,          1,          0,          0,        100, 
133 : recipe_jewel_005,        134,        134,         15,         57,       2804,        800,          8,          0,          1,          0,          0,        100, 
134 : recipe_jewel_006,        135,        135,         15,         57,       2805,       1600,         16,          0,          1,          0,          0,        100, 
135 : recipe_jewel_007,        136,        136,         15,         57,       2806,       3200,         32,          0,          1,          0,          0,        100, 
136 : recipe_jewel_008,        137,        137,         15,         57,       2807,       6400,         64,          0,          1,          0,          0,        100, 
137 : recipe_blueprint_001,        138,        138,         15,         57,       3000,        600,        200,          0,          1,          0,          0,        100, 
138 : recipe_blueprint_002,        139,        139,         15,         57,       3001,        600,        300,          0,          1,          0,          0,        100, 
139 : recipe_blueprint_003,        140,        140,         15,         57,       3002,        600,        500,          0,          1,          0,          0,        100, 
140 : recipe_blueprint_004,        141,        141,         15,         57,       3003,        600,          6,          0,          1,          0,          0,        100, 
141 : recipe_blueprint_005,        142,        142,         15,         57,       3004,        600,          6,          0,          1,          0,          0,        100, 
142 : recipe_blueprint_006,        143,        143,         15,         57,       3005,        600,          6,          0,          1,          0,          0,        100, 
143 : recipe_blueprint_007,        144,        144,         15,         57,       3006,        600,          6,          0,          1,          0,          0,        100, 
144 : recipe_blueprint_008,        145,        145,         15,         57,       3007,        600,          6,          0,          1,          0,          0,        100, 
145 : recipe_blueprint_009,        146,        146,         15,         57,       3008,        700,          7,          0,          1,          0,          0,        100, 
146 : recipe_blueprint_010,        147,        147,         15,         57,       3009,        700,          7,          0,          1,          0,          0,        100, 
147 : recipe_blueprint_011,        148,        148,         15,         57,       3010,        700,          7,          0,          1,          0,          0,        100, 
148 : recipe_blueprint_012,        149,        149,         15,         57,       3011,        700,          7,          0,          1,          0,          0,        100, 
149 : recipe_blueprint_013,        150,        150,         15,         57,       3012,        700,          7,          0,          1,          0,          0,        100, 
150 : recipe_blueprint_014,        151,        151,         15,         57,       3013,        700,          7,          0,          1,          0,          0,        100, 
151 : recipe_blueprint_015,        152,        152,         15,         57,       3014,        700,          7,          0,          1,          0,          0,        100, 
152 : recipe_blueprint_016,        153,        153,         15,         57,       3015,        700,          7,          0,          1,          0,          0,        100, 
153 : recipe_blueprint_017,        154,        154,         15,         57,       3016,        800,          8,          0,          1,          0,          0,        100, 
154 : recipe_blueprint_018,        155,        155,         15,         57,       3017,        800,          8,          0,          1,          0,          0,        100, 
155 : recipe_blueprint_019,        156,        156,         15,         57,       3018,        800,          8,          0,          1,          0,          0,        100, 
156 : recipe_blueprint_020,        157,        157,         15,         57,       3019,        800,          8,          0,          1,          0,          0,        100, 
157 : recipe_blueprint_021,        158,        158,         15,         57,       3020,        800,          8,          0,          1,          0,          0,        100, 
158 : recipe_blueprint_022,        159,        159,         15,         57,       3021,        800,          8,          0,          1,          0,          0,        100, 
159 : recipe_blueprint_023,        160,        160,         15,         57,       3022,        800,          8,          0,          1,          0,          0,        100, 
160 : recipe_blueprint_024,        161,        161,         15,         57,       3023,        800,          8,          0,          1,          0,          0,        100, 
161 : recipe_blueprint_025,        162,        162,         15,         57,       3024,        800,          8,          0,          1,          0,          0,        100, 
162 : recipe_blueprint_026,        163,        163,         15,         57,       3025,        800,          8,          0,          1,          0,          0,        100, 
163 : recipe_blueprint_027,        164,        164,         15,         57,       3026,        800,          8,          0,          1,          0,          0,        100, 
164 : recipe_blueprint_028,        165,        165,         15,         57,       3027,        800,          8,          0,          1,          0,          0,        100, 
165 : recipe_blueprint_029,        166,        166,         15,         57,       3028,        800,          8,          0,          1,          0,          0,        100, 
166 : recipe_blueprint_030,        167,        167,         15,         57,       3029,        800,          8,          0,          1,          0,          0,        100, 
167 : recipe_blueprint_031,        168,        168,         15,         57,       3030,        800,          8,          0,          1,          0,          0,        100, 
168 : recipe_blueprint_032,        169,        169,         15,         57,       3031,        800,          8,          0,          1,          0,          0,        100, 
169 : recipe_blueprint_033,        170,        170,         15,         57,       3032,        900,          9,          0,          1,          0,          0,        100, 
170 : recipe_blueprint_034,        171,        171,         15,         57,       3033,        900,          9,          0,          1,          0,          0,        100, 
171 : recipe_blueprint_035,        172,        172,         15,         57,       3034,        900,          9,          0,          1,          0,          0,        100, 
172 : recipe_blueprint_036,        173,        173,         15,         57,       3035,        900,          9,          0,          1,          0,          0,        100, 
173 : recipe_blueprint_037,        174,        174,         15,         57,       3036,        900,          9,          0,          1,          0,          0,        100, 
174 : recipe_blueprint_038,        175,        175,         15,         57,       3037,        900,          9,          0,          1,          0,          0,        100, 
175 : recipe_blueprint_039,        176,        176,         15,         57,       3038,        900,          9,          0,          1,          0,          0,        100, 
176 : recipe_blueprint_040,        177,        177,         15,         57,       3039,        900,          9,          0,          1,          0,          0,        100, 
177 : recipe_blueprint_041,        178,        178,         15,         57,       3040,       1000,         10,          0,          1,          0,          0,        100, 
178 : recipe_blueprint_042,        179,        179,         15,         57,       3041,       1000,         10,          0,          1,          0,          0,        100, 
179 : recipe_blueprint_043,        180,        180,         15,         57,       3042,       1000,         10,          0,          1,          0,          0,        100, 
180 : recipe_blueprint_044,        181,        181,         15,         57,       3043,       1000,         10,          0,          1,          0,          0,        100, 
181 : recipe_blueprint_045,        182,        182,         15,         57,       3044,       1000,         10,          0,          1,          0,          0,        100, 
182 : recipe_blueprint_046,        183,        183,         15,         57,       3045,       1000,         10,          0,          1,          0,          0,        100, 
183 : recipe_blueprint_047,        184,        184,         15,         57,       3046,       1000,         10,          0,          1,          0,          0,        100, 
184 : recipe_blueprint_048,        185,        185,         15,         57,       3047,       1000,         10,          0,          1,          0,          0,        100, 
185 : recipe_blueprint_049,        186,        186,         15,         57,       3048,       1100,         11,          0,          1,          0,          0,        100, 
186 : recipe_blueprint_050,        187,        187,         15,         57,       3049,       1100,         11,          0,          1,          0,          0,        100, 
187 : recipe_blueprint_051,        188,        188,         15,         57,       3050,       1100,         11,          0,          1,          0,          0,        100, 
188 : recipe_blueprint_052,        189,        189,         15,         57,       3051,       1100,         11,          0,          1,          0,          0,        100, 
189 : recipe_blueprint_053,        190,        190,         15,         57,       3052,       1100,         11,          0,          1,          0,          0,        100, 
190 : recipe_blueprint_054,        191,        191,         15,         57,       3053,       1100,         11,          0,          1,          0,          0,        100, 
191 : recipe_blueprint_055,        192,        192,         15,         57,       3054,       1200,         12,          0,          1,          0,          0,        100, 
192 : recipe_blueprint_056,        193,        193,         15,         57,       3055,       1200,         12,          0,          1,          0,          0,        100, 
193 : recipe_blueprint_057,        194,        194,         15,         57,       3056,       1200,         12,          0,          1,          0,          0,        100, 
194 : recipe_blueprint_058,        195,        195,         15,         57,       3057,       1200,         12,          0,          1,          0,          0,        100, 
195 : recipe_blueprint_059,        196,        196,         15,         57,       3058,       1200,         12,          0,          1,          0,          0,        100, 
196 : recipe_blueprint_060,        197,        197,         15,         57,       3059,       1500,         15,          0,          1,          0,          0,        100, 
197 : recipe_blueprint_061,        198,        198,         15,         57,       3060,       1500,         15,          0,          1,          0,          0,        100, 
198 : recipe_blueprint_062,        199,        199,         15,         57,       3061,       1500,         15,          0,          1,          0,          0,        100, 
199 : recipe_blueprint_063,        200,        200,         15,         57,       3062,       1500,         15,          0,          1,          0,          0,        100, 
200 : recipe_blueprint_064,        201,        201,         15,         57,       3063,       1500,         15,          0,          1,          0,          0,        100, 
201 : gem_nucleus_001,        202,        202,         10,         52,       4000,      60000,        600,          0,          0,          0,          1,        100, 
202 : gem_nucleus_002,        203,        203,         10,         52,       4001,      60000,        600,          0,          0,          0,          1,        100, 
203 : gem_nucleus_003,        204,        204,         10,         52,       4002,      90000,        900,          0,          0,          0,          1,        100, 
204 : gem_nucleus_004,        205,        205,         10,         52,       4003,      90000,        900,          0,          0,          0,          1,        100, 
205 : gem_nucleus_005,        206,        206,         10,         52,       4004,     120000,       1200,          0,          0,          0,          1,        100, 
206 : gem_nucleus_006,        207,        207,         10,         52,       4005,     120000,       1200,          0,          0,          0,          1,        100, 
207 : gem_nucleus_007,        208,        208,         10,         52,       4006,     150000,       1500,          0,          0,          0,          1,        100, 
208 : gem_nucleus_008,        209,        209,         10,         52,       4007,     150000,       1500,          0,          0,          0,          1,        100, 
209 : gem_nucleus_009,        210,        210,         10,         52,       4008,     150000,       1500,          0,          0,          0,          1,        100, 
210 : gem_nucleus_010,        211,        211,         10,         52,       4009,     150000,       1500,          0,          0,          0,          1,        100, 
211 : gem_nucleus_011,        212,        212,         10,         52,       4010,     180000,       1800,          0,          0,          0,          1,        100, 
212 : gem_nucleus_012,        213,        213,         10,         52,       4011,     180000,       1800,          0,          0,          0,          1,        100, 
213 : gem_nucleus_013,        214,        214,         10,         52,       4012,     180000,       1800,          0,          0,          0,          1,        100, 
214 : gem_nucleus_014,        215,        215,         10,         52,       4013,     180000,       1800,          0,          0,          0,          1,        100, 
215 : gem_nucleus_015,        216,        216,         10,         52,       4014,     210000,       2100,          0,          0,          0,          1,        100, 
216 : gem_nucleus_016,        217,        217,         10,         52,       4015,     210000,       2100,          0,          0,          0,          1,        100, 
217 : gem_nucleus_017,        218,        218,         10,         52,       4016,     210000,       2100,          0,          0,          0,          1,        100, 
218 : gem_nucleus_018,        219,        219,         10,         52,       4017,     210000,       2100,          0,          0,          0,          1,        100, 
219 : gem_nucleus_019,        220,        220,         10,         52,       4018,     240000,       2400,          0,          0,          0,          1,        100, 
220 : gem_nucleus_020,        221,        221,         10,         52,       4019,     240000,       2400,          0,          0,          0,          1,        100, 
221 : gem_nucleus_021,        222,        222,         10,         52,       4020,     330000,       3300,          0,          0,          0,          1,        100, 
222 : gem_nucleus_022,        223,        223,         10,         52,       4021,     330000,       3300,          0,          0,          0,          1,        100, 
223 : gem_rude_001,        224,        224,         10,         52,       4100,      30000,        300,          0,          0,          0,          0,        100, 
224 : gem_rude_002,        225,        225,         10,         52,       4101,      30000,        300,          0,          0,          0,          0,        100, 
225 : gem_rude_003,        226,        226,         10,         52,       4102,      45000,        450,          0,          0,          0,          0,        100, 
226 : gem_rude_004,        227,        227,         10,         52,       4103,      45000,        450,          0,          0,          0,          0,        100, 
227 : gem_rude_005,        228,        228,         10,         52,       4104,      60000,        600,          0,          0,          0,          0,        100, 
228 : gem_rude_006,        229,        229,         10,         52,       4105,      60000,        600,          0,          0,          0,          0,        100, 
229 : gem_rude_007,        230,        230,         10,         52,       4106,      75000,        750,          0,          0,          0,          0,        100, 
230 : gem_rude_008,        231,        231,         10,         52,       4107,      75000,        750,          0,          0,          0,          0,        100, 
231 : gem_rude_009,        232,        232,         10,         52,       4108,      75000,        750,          0,          0,          0,          0,        100, 
232 : gem_rude_010,        233,        233,         10,         52,       4109,      75000,        750,          0,          0,          0,          0,        100, 
233 : gem_rude_011,        234,        234,         10,         52,       4110,      90000,        900,          0,          0,          0,          0,        100, 
234 : gem_rude_012,        235,        235,         10,         52,       4111,      90000,        900,          0,          0,          0,          0,        100, 
235 : gem_rude_013,        236,        236,         10,         52,       4112,      90000,        900,          0,          0,          0,          0,        100, 
236 : gem_rude_014,        237,        237,         10,         52,       4113,      90000,        900,          0,          0,          0,          0,        100, 
237 : gem_rude_015,        238,        238,         10,         52,       4114,     105000,       1050,          0,          0,          0,          0,        100, 
238 : gem_rude_016,        239,        239,         10,         52,       4115,     105000,       1050,          0,          0,          0,          0,        100, 
239 : gem_rude_017,        240,        240,         10,         52,       4116,     105000,       1050,          0,          0,          0,          0,        100, 
240 : gem_rude_018,        241,        241,         10,         52,       4117,     105000,       1050,          0,          0,          0,          0,        100, 
241 : gem_rude_019,        242,        242,         10,         52,       4118,     120000,       1200,          0,          0,          0,          0,        100, 
242 : gem_rude_020,        243,        243,         10,         52,       4119,     120000,       1200,          0,          0,          0,          0,        100, 
243 : gem_rude_021,        244,        244,         10,         52,       4120,     165000,       1650,          0,          0,          0,          0,        100, 
244 : gem_rude_022,        245,        245,         10,         52,       4121,     165000,       1650,          0,          0,          0,          0,        100, 
245 : gem_jewel_001,        246,        246,         10,         52,       4200,      90000,        900,          0,          0,          0,          0,        100, 
246 : gem_jewel_002,        247,        247,         10,         52,       4201,      90000,        900,          0,          0,          0,          0,        100, 
247 : gem_jewel_003,        248,        248,         10,         52,       4202,     135000,       1350,          0,          0,          0,          0,        100, 
248 : gem_jewel_004,        249,        249,         10,         52,       4203,     135000,       1350,          0,          0,          0,          0,        100, 
249 : gem_jewel_005,        250,        250,         10,         52,       4204,     180000,       1800,          0,          0,          0,          0,        100, 
250 : gem_jewel_006,        251,        251,         10,         52,       4205,     180000,       1800,          0,          0,          0,          0,        100, 
251 : gem_jewel_007,        252,        252,         10,         52,       4206,     225000,       2250,          0,          0,          0,          0,        100, 
252 : gem_jewel_008,        253,        253,         10,         52,       4207,     225000,       2250,          0,          0,          0,          0,        100, 
253 : gem_jewel_009,        254,        254,         10,         52,       4208,     225000,       2250,          0,          0,          0,          0,        100, 
254 : gem_jewel_010,        255,        255,         10,         52,       4209,     225000,       2250,          0,          0,          0,          0,        100, 
255 : gem_jewel_011,        256,        256,         10,         52,       4210,     270000,       2700,          0,          0,          0,          0,        100, 
256 : gem_jewel_012,        257,        257,         10,         52,       4211,     270000,       2700,          0,          0,          0,          0,        100, 
257 : gem_jewel_013,        258,        258,         10,         52,       4212,     270000,       2700,          0,          0,          0,          0,        100, 
258 : gem_jewel_014,        259,        259,         10,         52,       4213,     270000,       2700,          0,          0,          0,          0,        100, 
259 : gem_jewel_015,        260,        260,         10,         52,       4214,     315000,       3150,          0,          0,          0,          0,        100, 
