           km_,   km_namen,    km_help, km_jin_type,  km_jin_lv, km_argument, km_need_daiji, km_need_hero01, km_need_hero02, km_need_hero03, km_need_hero04, km_need_hero05, km_need_hero06, km_need_hero07, km_need_hero08, km_need_hero09, km_need_hero10, km_need_hero11, km_need_hero12, km_need_hero13, km_jin_formation, km_selected_front_ratio, km_add_select_front_ratio, km_add_impress_1, km_add_impress_2, km_add_para_butsu_ap_1, km_add_para_butsu_ac_1, km_add_para_mgc_ap_1, km_add_para_mgc_ac_1, km_add_para_str_1, km_add_para_int_1, km_add_para_spd_1, km_add_para_butsu_ap_2, km_add_para_butsu_ac_2, km_add_para_mgc_ap_2, km_add_para_mgc_ac_2, km_add_para_str_2, km_add_para_int_2, km_add_para_spd_2, km_add_para_butsu_ap_3, km_add_para_butsu_ac_3, km_add_para_mgc_ap_3, km_add_para_mgc_ac_3, km_add_para_str_3, km_add_para_int_3, km_add_para_spd_3, km_add_para_butsu_ap_4, km_add_para_butsu_ac_4, km_add_para_mgc_ap_4, km_add_para_mgc_ac_4, km_add_para_str_4, km_add_para_int_4, km_add_para_spd_4, km_add_para_butsu_ap_5, km_add_para_butsu_ac_5, km_add_para_mgc_ap_5, km_add_para_mgc_ac_5, km_add_para_str_5, km_add_para_int_5, km_add_para_spd_5, 
11 : freefight_type_D_003,         12,          4,          4,          3,          0,    8913205,          3,          1,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         15,         75,          0,        228,        228,        100,        100,        110,        100,        100,        100,         62,        110,        100,        100,        100,        100,        100,        110,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        110, 
12 : freefight_type_E_001,         13,          5,          5,          1,          0,    8913206,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         80,          0,        221,        221,        100,        100,        100,        105,        100,        100,        100,        105,        105,        100,        100,        100,        100,         50,        105,        105,        100,        100,        100,        100,         50,        105,        100,        100,        100,        100,        100,         50,        105,        100,        100,        100,        100,        100,         50, 
13 : freefight_type_E_002,         14,          5,          5,          2,          0,    8913206,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         20,         80,          0,        222,        222,        100,        100,        100,        108,        100,        100,        100,        108,        108,        100,        100,        100,        100,         51,        108,        108,        100,        100,        100,        100,         51,        108,        100,        100,        100,        100,        100,         51,        108,        100,        100,        100,        100,        100,         51, 
14 : freefight_type_E_003,         15,          5,          5,          3,          0,    8913206,          3,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,         20,         80,          0,        223,        223,        100,        100,        100,        110,        100,        100,        100,        110,        110,        100,        100,        100,        100,         52,        110,        110,        100,        100,        100,        100,         52,        110,        100,        100,        100,        100,        100,         52,        110,        100,        100,        100,        100,        100,         52, 
15 : freefight_type_F_001,         16,          6,          5,          4,          0,    8913207,          3,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         20,         80,          0,        171,        171,        100,        100,        100,        113,        100,        100,        100,        113,        113,        100,        100,        100,        100,         53,        113,        113,        100,        100,        100,        100,         53,        113,        100,        100,        100,        100,        100,         53,        113,        100,        100,        100,        100,        100,         53, 
16 : freefight_type_F_002,         17,          6,          5,          5,          0,    8913207,          4,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         20,         80,          0,        172,        172,        100,        100,        100,        115,        100,        100,        100,        115,        115,        100,        100,        100,        100,         54,        115,        115,        100,        100,        100,        100,         54,        115,        100,        100,        100,        100,        100,         54,        115,        100,        100,        100,        100,        100,         54, 
17 : freefight_type_F_003,         18,          6,          5,          6,          0,    8913207,          5,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         20,         80,          0,        173,        173,        100,        100,        100,        120,        100,        100,        100,        120,        120,        100,        100,        100,        100,         55,        120,        120,        100,        100,        100,        100,         55,        120,        100,        100,        100,        100,        100,         55,        120,        100,        100,        100,        100,        100,         55, 
18 : freefight_type_G_001,         19,          7,          6,          1,          0,    8913208,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         25,         67,          0,         -1,         -1,        105,         50,        100,         50,        100,        100,        105,        100,         50,        105,         50,        100,        100,        105,        105,         50,        100,         50,        100,        100,        105,        100,         50,        105,         50,        100,        100,        100,        105,         50,        100,         50,        100,        100,        100, 
19 : freefight_type_G_002,         20,          7,          6,          2,          0,    8913208,          0,          0,          0,          0,          0,          0,          0,          1,          0,          2,          0,          0,          0,         25,         67,          0,         -1,         -1,        108,         51,        100,         51,        100,        100,        108,        100,         51,        108,         51,        100,        100,        108,        108,         51,        100,         51,        100,        100,        108,        100,         51,        108,         51,        100,        100,        100,        108,         51,        100,         51,        100,        100,        100, 
20 : freefight_type_G_003,         21,          7,          6,          3,          0,    8913208,          0,          0,          0,          0,          0,          0,          0,          2,          0,          3,          0,          0,          0,         25,         67,          0,         -1,         -1,        110,         52,        100,         52,        100,        100,        110,        100,         52,        110,         52,        100,        100,        110,        110,         52,        100,         52,        100,        100,        110,        100,         52,        110,         52,        100,        100,        100,        110,         52,        100,         52,        100,        100,        100, 
21 : freefight_type_H_001,         22,          8,          6,          4,          0,    8913209,          0,          0,          0,          0,          0,          0,          0,          3,          0,          3,          0,          0,          0,         25,         67,          0,        271,        271,        113,         53,        100,         53,        100,        100,        113,        100,         53,        113,         53,        100,        100,        113,        113,         53,        100,         53,        100,        100,        113,        100,         53,        113,         53,        100,        100,        100,        113,         53,        100,         53,        100,        100,        100, 
22 : freefight_type_H_002,         23,          8,          6,          5,          0,    8913209,          0,          0,          0,          0,          0,          0,          0,          3,          0,          4,          0,          0,          0,         25,         67,          0,        271,        271,        115,         54,        100,         54,        100,        100,        115,        100,         54,        115,         54,        100,        100,        115,        115,         54,        100,         54,        100,        100,        115,        100,         54,        115,         54,        100,        100,        100,        115,         54,        100,         54,        100,        100,        100, 
23 : freefight_type_H_003,         24,          8,          6,          6,          0,    8913209,          0,          0,          0,          0,          0,          0,          0,          3,          0,          5,          0,          0,          0,         25,         67,          0,        271,        271,        120,         55,        100,         55,        100,        100,        120,        100,         55,        120,         55,        100,        100,        120,        120,         55,        100,         55,        100,        100,        120,        100,         55,        120,         55,        100,        100,        100,        120,         55,        100,         55,        100,        100,        100, 
24 : freefight_type_I_001,         25,          9,          7,          1,          0,    8913210,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         80,          0,        474,        474,        100,        100,        105,        100,        100,        100,        100,        105,        105,        100,        100,        100,        100,        100,        105,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,         60,        100,        105,        100,        100,        100,        100,         60, 
25 : freefight_type_I_002,         26,          9,          7,          2,          0,    8913210,          2,          1,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         30,         80,          0,        475,        475,        100,        100,        108,        100,        100,        100,        100,        108,        108,        100,        100,        100,        100,        100,        108,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,         61,        100,        108,        100,        100,        100,        100,         61, 
26 : freefight_type_I_003,         27,          9,          7,          3,          0,    8913210,          3,          1,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         30,         80,          0,        476,        476,        100,        100,        110,        100,        100,        100,        100,        110,        110,        100,        100,        100,        100,        100,        110,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,         62,        100,        110,        100,        100,        100,        100,         62, 
27 : freefight_type_J_001,         28,         10,          8,          1,          0,    8913211,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,         67,          0,         -1,         -1,        105,        105,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         40,        100,        105,        100,        100,         40,        100,        100,        100,        105,        100,        100,         40,        100,        100,        100,        100,        100,        100,        100,        100,         40, 
28 : freefight_type_J_002,         29,         10,          8,          2,          0,    8913211,          2,          0,          0,          0,          0,          1,          0,          0,          0,          3,          0,          0,          0,         35,         67,          0,         -1,         -1,        108,        108,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         41,        100,        108,        100,        100,         41,        100,        100,        100,        108,        100,        100,         41,        100,        100,        100,        100,        100,        100,        100,        100,         41, 
29 : freefight_type_J_003,         30,         10,          8,          3,          0,    8913211,          2,          0,          0,          0,          0,          2,          0,          0,          0,          3,          0,          0,          0,         35,         67,          0,         -1,         -1,        110,        110,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         42,        100,        110,        100,        100,         42,        100,        100,        100,        110,        100,        100,         42,        100,        100,        100,        100,        100,        100,        100,        100,         42, 
30 : freefight_type_K_001,         31,         11,          8,          4,          0,    8913212,          2,          1,          0,          0,          0,          2,          1,          0,          0,          4,          0,          0,          0,         35,         67,          0,        241,        241,        113,        113,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         43,        100,        113,        100,        100,         43,        100,        100,        100,        113,        100,        100,         43,        100,        100,        100,        100,        100,        100,        100,        100,         43, 
31 : freefight_type_K_002,         32,         11,          8,          5,          0,    8913212,          2,          1,          0,          0,          0,          2,          1,          1,          0,          4,          0,          0,          0,         35,         67,          0,        242,        242,        115,        115,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         44,        100,        115,        100,        100,         44,        100,        100,        100,        115,        100,        100,         44,        100,        100,        100,        100,        100,        100,        100,        100,         44, 
32 : freefight_type_K_003,         33,         11,          8,          6,          0,    8913212,          2,          1,          0,          0,          0,          2,          1,          1,          1,          4,          0,          0,          0,         35,         67,          0,        243,        243,        120,        120,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         45,        100,        120,        100,        100,         45,        100,        100,        100,        120,        100,        100,         45,        100,        100,        100,        100,        100,        100,        100,        100,         45, 
33 : freefight_type_L_001,         34,         12,          8,          7,          0,    8913213,          3,          1,          0,          0,          0,          2,          1,          1,          1,          4,          0,          0,          0,         35,         67,          0,        166,        166,        125,        125,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         46,        100,        125,        100,        100,         46,        100,        100,        100,        125,        100,        100,         46,        100,        100,        100,        100,        100,        100,        100,        100,         46, 
34 : freefight_type_L_002,         35,         12,          8,          8,          0,    8913213,          3,          1,          0,          0,          0,          2,          1,          1,          1,          5,          0,          0,          0,         35,         67,          0,        167,        167,        130,        130,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         47,        100,        130,        100,        100,         47,        100,        100,        100,        130,        100,        100,         47,        100,        100,        100,        100,        100,        100,        100,        100,         47, 
35 : freefight_type_L_003,         36,         12,          8,          9,          0,    8913213,          3,          2,          0,          0,          0,          2,          1,          1,          1,          5,          0,          0,          0,         35,         67,          0,        168,        168,        135,        135,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,         48,        100,        135,        100,        100,         48,        100,        100,        100,        135,        100,        100,         48,        100,        100,        100,        100,        100,        100,        100,        100,         48, 
36 : freefight_type_M_001,         37,         13,          9,          1,          0,    8913214,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         67,          0,        283,        283,        105,        100,        105,        100,        105,        100,        105,        105,        100,        100,        100,        100,        100,        105,        105,        100,        100,        100,        100,        100,        105,        100,        105,        100,        100,        100,        100,         45,        100,        105,        100,        100,        100,        100,         45, 
37 : freefight_type_M_002,         38,         13,          9,          2,          0,    8913214,          2,          0,          0,          0,          0,          1,          1,          1,          1,          3,          0,          3,          0,         40,         67,          0,        283,        283,        108,        100,        108,        100,        108,        100,        108,        108,        100,        100,        100,        100,        100,        108,        108,        100,        100,        100,        100,        100,        108,        100,        108,        100,        100,        100,        100,         46,        100,        108,        100,        100,        100,        100,         46, 
38 : freefight_type_M_003,         39,         13,          9,          3,          0,    8913214,          3,          0,          0,          0,          0,          1,          1,          1,          1,          4,          0,          5,          0,         40,         67,          0,        283,        283,        110,        100,        110,        100,        110,        100,        110,        110,        100,        100,        100,        100,        100,        110,        110,        100,        100,        100,        100,        100,        110,        100,        110,        100,        100,        100,        100,         47,        100,        110,        100,        100,        100,        100,         47, 
39 : freefight_type_O_001,         40,         14,         10,          1,          0,    8913215,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         45,         67,          0,        161,        161,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        105,        100,        100,        100,        113,        100,        100,        105,        100,        100,        100,        100,        113,        100,        100,        105,        100,        100,        100,        113,        100,        100,        105,        100, 
40 : freefight_type_O_002,         41,         14,         10,          2,          0,    8913215,          2,          0,          0,          0,          1,          1,          1,          1,          1,          4,          0,          0,          0,         45,         67,          0,        162,        162,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        108,        100,        100,        100,        115,        100,        100,        108,        100,        100,        100,        100,        115,        100,        100,        108,        100,        100,        100,        115,        100,        100,        108,        100, 
41 : freefight_type_O_003,         42,         14,         10,          3,          0,    8913215,          3,          0,          0,          0,          2,          1,          1,          1,          1,          5,          0,          0,          0,         45,         67,          0,        163,        163,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        110,        100,        100,        100,        120,        100,        100,        110,        100,        100,        100,        100,        120,        100,        100,        110,        100,        100,        100,        120,        100,        100,        110,        100, 
42 : freefight_type_QUEST1_001,         43,         15,         11,          1,          0,    8913216,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         67,          0,         -1,         -1,        100,        105,        100,        105,        100,        100,        100,        100,        105,        100,        100,        100,         60,         60,        100,        105,        100,        100,        100,         60,         60,        100,        100,        105,        100,        100,        105,        100,        100,        100,        105,        100,        100,        105,        100, 
43 : freefight_type_QUEST1_002,         44,         15,         11,          2,          0,    8913216,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         50,         67,          0,         -1,         -1,        100,        108,        100,        108,        100,        100,        100,        100,        108,        100,        100,        100,         61,         61,        100,        108,        100,        100,        100,         61,         61,        100,        100,        108,        100,        100,        108,        100,        100,        100,        108,        100,        100,        108,        100, 
44 : freefight_type_QUEST1_003,         45,         15,         11,          3,          0,    8913216,          4,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         50,         67,          0,         -1,         -1,        100,        110,        100,        110,        100,        100,        100,        100,        110,        100,        100,        100,         62,         62,        100,        110,        100,        100,        100,         62,         62,        100,        100,        110,        100,        100,        110,        100,        100,        100,        110,        100,        100,        110,        100, 
45 : freefight_type_QUEST2_001,         46,         16,         12,          1,          0,    8913217,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         55,         67,          0,         -1,         -1,         60,        105,        105,         60,        100,        100,        100,         60,        105,        105,         60,        100,        100,        100,         60,        105,        105,         60,        100,        100,        100,        105,         60,         60,        105,        100,        100,        100,        105,         60,         60,        105,        100,        100,        100, 
46 : freefight_type_QUEST2_002,         47,         16,         12,          2,          0,    8913217,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         55,         67,          0,         -1,         -1,         61,        108,        108,         61,        100,        100,        100,         61,        108,        108,         61,        100,        100,        100,         61,        108,        108,         61,        100,        100,        100,        108,         61,         61,        108,        100,        100,        100,        108,         61,         61,        108,        100,        100,        100, 
47 : freefight_type_QUEST2_003,         48,         16,         12,          3,          0,    8913217,          4,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         55,         67,          0,         -1,         -1,         62,        110,        110,         62,        100,        100,        100,         62,        110,        110,         62,        100,        100,        100,         62,        110,        110,         62,        100,        100,        100,        110,         62,         62,        110,        100,        100,        100,        110,         62,         62,        110,        100,        100,        100, 
48 : butsu_attack_type_A_001,         49,         17,         20,          1,          0,    8913218,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,         75,          0,         -1,         -1,        105,        100,        100,        100,        105,        100,        100,        105,        100,        100,        100,        105,        100,        100,        100,        105,        100,        100,        100,        100,         60,        100,        105,        100,        100,        100,        100,         60,        100,        100,        100,        100,        100,        105,         60, 
49 : butsu_attack_type_A_002,         50,         17,         20,          2,          0,    8913218,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,         75,          0,         -1,         -1,        108,        100,        100,        100,        108,        100,        100,        108,        100,        100,        100,        108,        100,        100,        100,        108,        100,        100,        100,        100,         61,        100,        108,        100,        100,        100,        100,         61,        100,        100,        100,        100,        100,        108,         61, 
50 : butsu_attack_type_A_003,         51,         17,         20,          3,          0,    8913218,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         60,         75,          0,         -1,         -1,        110,        100,        100,        100,        110,        100,        100,        110,        100,        100,        100,        110,        100,        100,        100,        110,        100,        100,        100,        100,         62,        100,        110,        100,        100,        100,        100,         62,        100,        100,        100,        100,        100,        110,         62, 
51 : butsu_attack_type_B_001,         52,         18,         21,          1,          0,    8913219,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         65,        100,          0,         -1,         -1,        105,        100,        100,        100,        105,        100,         60,        105,        100,        100,        100,        105,        100,         60,        105,        100,        100,        100,        105,        100,         60,        105,        100,        100,        100,        100,        100,         60,        105,        100,        100,        100,        100,        100,         60, 
52 : butsu_attack_type_B_002,         53,         18,         21,          2,          0,    8913219,          2,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,         65,        100,          0,         -1,         -1,        108,        100,        100,        100,        108,        100,         61,        108,        100,        100,        100,        108,        100,         61,        108,        100,        100,        100,        108,        100,         61,        108,        100,        100,        100,        100,        100,         61,        108,        100,        100,        100,        100,        100,         61, 
53 : butsu_attack_type_B_003,         54,         18,         21,          3,          0,    8913219,          3,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,         65,        100,          0,         -1,         -1,        110,        100,        100,        100,        110,        100,         62,        110,        100,        100,        100,        110,        100,         62,        110,        100,        100,        100,        110,        100,         62,        110,        100,        100,        100,        100,        100,         62,        110,        100,        100,        100,        100,        100,         62, 
54 : butsu_attack_type_C_001,         55,         19,         22,          1,          0,    8913220,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         75,          0,        289,        289,        100,         40,        100,         40,        100,        100,        105,        105,        100,        100,        100,        100,        100,        105,        105,        100,        100,        100,        100,        100,        105,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100, 
55 : butsu_attack_type_C_002,         56,         19,         22,          2,          0,    8913220,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         70,         75,          0,        290,        290,        100,         41,        100,         41,        100,        100,        108,        108,        100,        100,        100,        100,        100,        108,        108,        100,        100,        100,        100,        100,        108,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100, 
56 : butsu_attack_type_C_003,         57,         19,         22,          3,          0,    8913220,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         70,         75,          0,        291,        291,        100,         42,        100,         42,        100,        100,        110,        110,        100,        100,        100,        100,        100,        110,        110,        100,        100,        100,        100,        100,        110,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100, 
57 : butsu_attack_type_D_001,         58,         20,         22,          4,          0,    8913221,          2,          0,          0,          0,          0,          0,          2,          0,          0,          3,          0,          0,          0,         70,         75,          0,         -1,         -1,        100,         43,        100,         43,        100,        100,        113,        113,        100,        100,        100,        100,        100,        113,        113,        100,        100,        100,        100,        100,        113,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        100, 
58 : butsu_attack_type_D_002,         59,         20,         22,          5,          0,    8913221,          2,          0,          0,          0,          0,          0,          2,          0,          0,          4,          0,          0,          0,         70,         75,          0,         -1,         -1,        100,         44,        100,         44,        100,        100,        115,        115,        100,        100,        100,        100,        100,        115,        115,        100,        100,        100,        100,        100,        115,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        100, 
