           km_, km_difference,  km_offset, km_alive_offset, km_dif_hp_ap, km_dif_others, km_btlrank_hp_ap, km_btlrank_others, km_btlrank_hp_ap_dec, km_dif_equip, km_btlrank_equip, 
28 : dif_minus099,        -99,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
29 : dif_minus098,        -98,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
30 : dif_minus097,        -97,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
31 : dif_minus096,        -96,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
32 : dif_minus095,        -95,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
33 : dif_minus094,        -94,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
34 : dif_minus093,        -93,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
35 : dif_minus092,        -92,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
36 : dif_minus091,        -91,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
37 : dif_minus090,        -90,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
38 : dif_minus089,        -89,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
39 : dif_minus088,        -88,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
40 : dif_minus087,        -87,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
41 : dif_minus086,        -86,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
42 : dif_minus085,        -85,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
43 : dif_minus084,        -84,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
44 : dif_minus083,        -83,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
45 : dif_minus082,        -82,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
46 : dif_minus081,        -81,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
47 : dif_minus080,        -80,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
48 : dif_minus079,        -79,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
49 : dif_minus078,        -78,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
50 : dif_minus077,        -77,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
51 : dif_minus076,        -76,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
52 : dif_minus075,        -75,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
53 : dif_minus074,        -74,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
54 : dif_minus073,        -73,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
55 : dif_minus072,        -72,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
56 : dif_minus071,        -71,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
57 : dif_minus070,        -70,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
58 : dif_minus069,        -69,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
59 : dif_minus068,        -68,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
60 : dif_minus067,        -67,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
61 : dif_minus066,        -66,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
62 : dif_minus065,        -65,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
63 : dif_minus064,        -64,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
64 : dif_minus063,        -63,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
65 : dif_minus062,        -62,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
66 : dif_minus061,        -61,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
67 : dif_minus060,        -60,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
68 : dif_minus059,        -59,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
69 : dif_minus058,        -58,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
70 : dif_minus057,        -57,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
71 : dif_minus056,        -56,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
72 : dif_minus055,        -55,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
73 : dif_minus054,        -54,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
74 : dif_minus053,        -53,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
75 : dif_minus052,        -52,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
76 : dif_minus051,        -51,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
77 : dif_minus050,        -50,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
78 : dif_minus049,        -49,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
79 : dif_minus048,        -48,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
80 : dif_minus047,        -47,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
81 : dif_minus046,        -46,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
82 : dif_minus045,        -45,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
83 : dif_minus044,        -44,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
84 : dif_minus043,        -43,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
85 : dif_minus042,        -42,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
86 : dif_minus041,        -41,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
87 : dif_minus040,        -40,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
88 : dif_minus039,        -39,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
89 : dif_minus038,        -38,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
90 : dif_minus037,        -37,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
91 : dif_minus036,        -36,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
92 : dif_minus035,        -35,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
93 : dif_minus034,        -34,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
94 : dif_minus033,        -33,      10000,      10000,       1000,       1000,      10000,      10000,      10000,          0,      10000, 
95 : dif_minus032,        -32,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
96 : dif_minus031,        -31,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
97 : dif_minus030,        -30,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
98 : dif_minus029,        -29,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
99 : dif_minus028,        -28,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
100 : dif_minus027,        -27,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
101 : dif_minus026,        -26,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
102 : dif_minus025,        -25,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
103 : dif_minus024,        -24,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
104 : dif_minus023,        -23,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
105 : dif_minus022,        -22,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
106 : dif_minus021,        -21,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
107 : dif_minus020,        -20,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
108 : dif_minus019,        -19,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
109 : dif_minus018,        -18,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
110 : dif_minus017,        -17,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
111 : dif_minus016,        -16,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
112 : dif_minus015,        -15,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2000,      10000, 
113 : dif_minus014,        -14,      10000,      10000,       1000,       1000,      10000,      10000,      10000,       2500,      10000, 
114 : dif_minus013,        -13,      10000,      10000,       2000,       2000,      10000,      10000,      10000,       3000,      10000, 
115 : dif_minus012,        -12,      10000,      10000,       2000,       2000,      10000,      10000,      10000,       3500,      10000, 
116 : dif_minus011,        -11,      10000,      10000,       3000,       3000,      10000,      10000,      10000,       4000,      10000, 
117 : dif_minus010,        -10,      10000,      10000,       3000,       3000,      10000,      10000,      10000,       4500,      10000, 
118 : dif_minus009,         -9,      10000,      10000,       4000,       4000,      10000,      10000,      10000,       5000,      10000, 
119 : dif_minus008,         -8,      10000,      10000,       4000,       4000,      10000,      10000,      10000,       5500,      10000, 
120 : dif_minus007,         -7,      10000,      10000,       5000,       5000,      10000,      10000,      10000,       6000,      10000, 
121 : dif_minus006,         -6,      10000,      10000,       5000,       5000,      10000,      10000,      10000,       6500,      10000, 
122 : dif_minus005,         -5,      10000,      10000,       6000,       6000,      10000,      10000,      10000,       7000,      10000, 
123 : dif_minus004,         -4,      10000,      10000,       6000,       6000,      10000,      10000,      10000,       7500,      10000, 
124 : dif_minus003,         -3,      10000,      10000,       7000,       7000,      10000,      10000,      10000,       8000,      10000, 
125 : dif_minus002,         -2,      10000,      10000,       8000,       8000,      10000,      10000,      10000,       8500,      10000, 
126 : dif_minus001,         -1,      10000,      10000,       9000,       9000,      10000,      10000,      10000,       9000,      10000, 
127 :    dif_000,          0,      10000,      10000,      10000,      10000,      10000,      10000,      10000,      10000,      10000, 
128 : dif_plus001,          1,      10000,      10000,      10000,      10000,      10000,      10000,      10000,      10000,      10000, 
129 : dif_plus002,          2,      10000,      10000,      10500,      10500,      10000,      10000,      10000,      10000,      10000, 
130 : dif_plus003,          3,      10000,      10000,      10500,      10500,      10000,      10000,      10000,      10000,      10000, 
131 : dif_plus004,          4,      10000,      10000,      11000,      11000,      10000,      10000,      10000,      10000,      10000, 
132 : dif_plus005,          5,      10500,      10000,      11000,      11000,      10000,      10000,      10000,      10500,      10000, 
133 : dif_plus006,          6,      10500,      10000,      11500,      11500,      10000,      10000,      10000,      10500,      10000, 
134 : dif_plus007,          7,      10500,      10000,      11500,      11500,      10000,      10000,      10000,      10500,      10000, 
135 : dif_plus008,          8,      10500,      10000,      12000,      12000,      10000,      10000,      10000,      10500,      10000, 
136 : dif_plus009,          9,      10500,      10000,      12000,      12000,      10000,      10000,      10000,      10500,      10000, 
137 : dif_plus010,         10,      11000,      10000,      12500,      12500,      10000,      10000,      10000,      11000,      10000, 
138 : dif_plus011,         11,      11000,      10000,      13000,      13000,      10000,      10000,      10000,      11000,      10000, 
139 : dif_plus012,         12,      11000,      10000,      13500,      13500,      10000,      10000,      10000,      11000,      10000, 
140 : dif_plus013,         13,      11000,      10000,      14000,      14000,      10000,      10000,      10000,      11000,      10000, 
141 : dif_plus014,         14,      11000,      10000,      14500,      14500,      10000,      10000,      10000,      11000,      10000, 
142 : dif_plus015,         15,      11500,      10000,      15000,      15000,      10000,      10000,      10000,      11500,      10000, 
143 : dif_plus016,         16,      11500,      10000,      15500,      15500,      10000,      10000,      10000,      11500,      10000, 
144 : dif_plus017,         17,      11500,      10000,      16000,      16000,      10000,      10000,      10000,      11500,      10000, 
145 : dif_plus018,         18,      11500,      10000,      16500,      16500,      10000,      10000,      10000,      11500,      10000, 
146 : dif_plus019,         19,      11500,      10000,      17000,      17000,      10000,      10000,      10000,      11500,      10000, 
147 : dif_plus020,         20,      12000,      10000,      17500,      17500,      10000,      10000,      10000,      12000,      10000, 
148 : dif_plus021,         21,      12000,      10000,      18000,      18000,      10000,      10000,      10000,      12000,      10000, 
149 : dif_plus022,         22,      12000,      10000,      18500,      18500,      10000,      10000,      10000,      12000,      10000, 
150 : dif_plus023,         23,      12000,      10000,      19000,      19000,      10000,      10000,      10000,      12000,      10000, 
151 : dif_plus024,         24,      12000,      10000,      19500,      19500,      10000,      10000,      10000,      12000,      10000, 
152 : dif_plus025,         25,      12500,      10000,      20000,      20000,      10000,      10000,      10000,      12500,      10000, 
153 : dif_plus026,         26,      12500,      10000,      20500,      20500,      10000,      10000,      10000,      12500,      10000, 
154 : dif_plus027,         27,      12500,      10000,      21000,      21000,      10000,      10000,      10000,      12500,      10000, 
155 : dif_plus028,         28,      12500,      10000,      21500,      21500,      10000,      10000,      10000,      12500,      10000, 
156 : dif_plus029,         29,      12500,      10000,      22000,      22000,      10000,      10000,      10000,      12500,      10000, 
157 : dif_plus030,         30,      13000,      10000,      22500,      22500,      10000,      10000,      10000,      13000,      10000, 
158 : dif_plus031,         31,      13000,      10000,      23000,      23000,      10000,      10000,      10000,      13000,      10000, 
159 : dif_plus032,         32,      13000,      10000,      23500,      23500,      10000,      10000,      10000,      13000,      10000, 
160 : dif_plus033,         33,      13000,      10000,      24000,      24000,      10000,      10000,      10000,      13000,      10000, 
161 : dif_plus034,         34,      13000,      10000,      24500,      24500,      10000,      10000,      10000,      13000,      10000, 
162 : dif_plus035,         35,      13500,      10000,      25000,      25000,      10000,      10000,      10000,      13500,      10000, 
163 : dif_plus036,         36,      13500,      10000,      25500,      25500,      10000,      10000,      10000,      13500,      10000, 
164 : dif_plus037,         37,      13500,      10000,      26000,      26000,      10000,      10000,      10000,      13500,      10000, 
165 : dif_plus038,         38,      13500,      10000,      26500,      26500,      10000,      10000,      10000,      13500,      10000, 
166 : dif_plus039,         39,      13500,      10000,      27000,      27000,      10000,      10000,      10000,      13500,      10000, 
167 : dif_plus040,         40,      14000,      10000,      27500,      27500,      10000,      10000,      10000,      14000,      10000, 
168 : dif_plus041,         41,      14000,      10000,      28000,      28000,      10000,      10000,      10000,      14000,      10000, 
169 : dif_plus042,         42,      14000,      10000,      28500,      28500,      10000,      10000,      10000,      14000,      10000, 
170 : dif_plus043,         43,      14000,      10000,      29000,      29000,      10000,      10000,      10000,      14000,      10000, 
171 : dif_plus044,         44,      14000,      10000,      29500,      29500,      10000,      10000,      10000,      14000,      10000, 
172 : dif_plus045,         45,      14500,      10000,      30000,      30000,      10000,      10000,      10000,      14500,      10000, 
173 : dif_plus046,         46,      14500,      10000,      30000,      30000,      10000,      10000,      10000,      14500,      10000, 
174 : dif_plus047,         47,      14500,      10000,      30000,      30000,      10000,      10000,      10000,      14500,      10000, 
175 : dif_plus048,         48,      14500,      10000,      30000,      30000,      10000,      10000,      10000,      14500,      10000, 
176 : dif_plus049,         49,      14500,      10000,      30000,      30000,      10000,      10000,      10000,      14500,      10000, 
177 : dif_plus050,         50,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
178 : dif_plus051,         51,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
179 : dif_plus052,         52,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
180 : dif_plus053,         53,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
181 : dif_plus054,         54,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
182 : dif_plus055,         55,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
183 : dif_plus056,         56,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
184 : dif_plus057,         57,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
185 : dif_plus058,         58,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
186 : dif_plus059,         59,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
187 : dif_plus060,         60,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
188 : dif_plus061,         61,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
189 : dif_plus062,         62,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
190 : dif_plus063,         63,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
191 : dif_plus064,         64,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
192 : dif_plus065,         65,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
193 : dif_plus066,         66,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
194 : dif_plus067,         67,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
195 : dif_plus068,         68,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
196 : dif_plus069,         69,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
197 : dif_plus070,         70,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
198 : dif_plus071,         71,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
199 : dif_plus072,         72,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
200 : dif_plus073,         73,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
201 : dif_plus074,         74,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
202 : dif_plus075,         75,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
203 : dif_plus076,         76,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
204 : dif_plus077,         77,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
205 : dif_plus078,         78,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
206 : dif_plus079,         79,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
207 : dif_plus080,         80,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
208 : dif_plus081,         81,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
209 : dif_plus082,         82,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
210 : dif_plus083,         83,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
211 : dif_plus084,         84,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
212 : dif_plus085,         85,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
213 : dif_plus086,         86,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
214 : dif_plus087,         87,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
215 : dif_plus088,         88,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
216 : dif_plus089,         89,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
217 : dif_plus090,         90,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
218 : dif_plus091,         91,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
219 : dif_plus092,         92,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
220 : dif_plus093,         93,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
221 : dif_plus094,         94,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
222 : dif_plus095,         95,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
223 : dif_plus096,         96,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
224 : dif_plus097,         97,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
225 : dif_plus098,         98,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
226 : dif_plus099,         99,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
227 : dif_plus100,        100,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
228 : dif_plus101,        101,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
229 : dif_plus102,        102,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
230 : dif_plus103,        103,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
231 : dif_plus104,        104,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
232 : dif_plus105,        105,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
233 : dif_plus106,        106,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
234 : dif_plus107,        107,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
235 : dif_plus108,        108,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
236 : dif_plus109,        109,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
237 : dif_plus110,        110,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
238 : dif_plus111,        111,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
239 : dif_plus112,        112,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
240 : dif_plus113,        113,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
241 : dif_plus114,        114,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
242 : dif_plus115,        115,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
243 : dif_plus116,        116,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
244 : dif_plus117,        117,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
245 : dif_plus118,        118,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
246 : dif_plus119,        119,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
247 : dif_plus120,        120,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
248 : dif_plus121,        121,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
249 : dif_plus122,        122,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
250 : dif_plus123,        123,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
251 : dif_plus124,        124,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
252 : dif_plus125,        125,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
253 : dif_plus126,        126,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 
254 : dif_plus127,        127,      15000,      10000,      30000,      30000,      10000,      10000,      10000,      15000,      10000, 

