           km_, km_totsugeki_exp, km_totsugeki_exp2, km_totsugeki_lv_base, km_totsugeki_lv_now, km_totsugeki_lv_battle, km_totsugeki_use_flag, km_sogeki_exp, km_sogeki_exp2, km_sogeki_lv_base, km_sogeki_lv_now, km_sogeki_lv_battle, km_sogeki_use_flag, km_kousaku_exp, km_kousaku_exp2, km_kousaku_lv_base, km_kousaku_lv_now, km_kousaku_lv_battle, km_kousaku_use_flag, km_kyujo_exp, km_kyujo_exp2, km_kyujo_lv_base, km_kyujo_lv_now, km_kyujo_lv_battle, km_kyujo_use_flag, km_senjutsu_exp, km_senjutsu_exp2, km_senjutsu_lv_base, km_senjutsu_lv_now, km_senjutsu_lv_battle, km_senjutsu_use_flag, km_senryaku_exp, km_senryaku_exp2, km_senryaku_lv_base, km_senryaku_lv_now, km_senryaku_lv_battle, km_senryaku_use_flag, km_kinki_exp, km_kinki_exp2, km_kinki_lv_base, km_kinki_lv_now, km_kinki_lv_battle, km_kinki_use_flag, 
25 : btl_free_npc_093,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
26 : btl_free_npc,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
27 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
28 : btl_free_npc,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
29 : btl_free_npc_073,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
30 : btl_free_npc_017,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
31 : btl_free_npc_043,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
32 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
33 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
34 : btl_free_npc_031,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
35 : btl_pc_loki,        109,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
36 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
37 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
38 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
39 : btl_free_npc,         89,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
40 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
41 : btl_free_npc_046,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
42 : btl_free_npc_097,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
43 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
44 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
45 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
46 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
47 : btl_free_npc,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
48 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
49 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
50 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
51 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
52 : btl_free_npc_072,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
53 : btl_free_npc_083,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
54 : btl_free_npc,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
55 : btl_free_npc_069,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
56 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
57 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
58 : btl_free_npc_007,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
59 : btl_free_npc_015,          0,          0,         -1,         -1,         -1,          0,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
60 : btl_free_npc_090,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
61 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
62 : btl_free_npc,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
63 : btl_pc_jorgen_class1,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
64 : btl_pc_jorgen_class2,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
65 : btl_pc_jorgen_class3,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
66 : btl_pc_jorgen_class4,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
67 : btl_pc_jorgen_class5,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
68 : btl_pc_jorgen_class6,        900,          0,          8,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
69 : btl_pc_jorgen_class7,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
70 : btl_pc_violet,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
71 : btl_pc_gabriel,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
72 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
73 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,         22,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
74 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
75 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
76 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
77 : btl_free_npc_026,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
