           km_, km_stat_entry, km_encount_data_id, km_entry_monster_union_id, km_map_symbol_id, km_union_type, km_appear_angle, km_left_turn, km_wait_no, km_is_friend_call, 
43 :    SYM_043,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
44 :    SYM_044,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
45 :    SYM_045,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
46 :    SYM_046,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
47 :    SYM_047,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
48 :    SYM_048,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
49 :    SYM_049,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
50 :    SYM_050,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
51 :    SYM_051,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
52 :    SYM_052,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
53 :    SYM_053,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
54 :    SYM_054,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
55 :    SYM_055,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
56 :    SYM_056,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
57 :    SYM_057,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
58 :    SYM_058,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
59 :    SYM_059,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
60 :    SYM_060,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
61 :    SYM_061,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
62 :    SYM_062,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 
63 :    SYM_063,         -1,         -1,         -1,         -1,          3,          0,          0,          0,          0, 

