           km_, km_atk_position,     km_hno, 
183 :          @,          1,         49, 
184 :          @,          1,         51, 
185 : mahou_attack_type_U_001,          0,         66, 
186 :          @,          0,         18, 
187 :          @,          1,         34, 
188 :          @,          1,         65, 
189 :          @,          1,         67, 
190 : mahou_attack_type_V_001,          1,         66, 
191 :          @,          1,         18, 
192 :          @,          1,         35, 
193 :          @,          1,         33, 
194 :          @,          1,         34, 
195 : butsu_guard_type_A_001,          0,         50, 
196 :          @,          0,         16, 
197 :          @,          0,         20, 
198 :          @,          1,         49, 
199 :          @,          1,         51, 
200 : butsu_guard_type_B_001,          0,         34, 
201 :          @,          0,         18, 
202 :          @,          0,         32, 
203 :          @,          1,         36, 
204 :          @,          1,         50, 
205 : butsu_guard_type_D_001,          0,         50, 
206 :          @,          0,         17, 
207 :          @,          0,         19, 
208 :          @,          1,         48, 
209 :          @,          1,         52, 
210 : butsu_guard_type_F_001,          0,          2, 
211 :          @,          0,          0, 
212 :          @,          0,          4, 
213 :          @,          1,         64, 
214 :          @,          1,         68, 
215 : butsu_guard_type_I_001,          0,         35, 
216 :          @,          0,          1, 
217 :          @,          0,          4, 
218 :          @,          0,         32, 
219 :          @,          0,         66, 
220 : butsu_guard_type_J_001,          0,         34, 
221 :          @,          0,          0, 
222 :          @,          0,          4, 
223 :          @,          1,         18, 
224 :          @,          1,         66, 
225 : mahou_guard_type_A_001,          0,          2, 
226 :          @,          0,         32, 
227 :          @,          0,         36, 
228 :          @,          1,         49, 
229 :          @,          1,         51, 
230 : mahou_guard_type_B_001,          0,         34, 
231 :          @,          0,         17, 
232 :          @,          0,         19, 
233 :          @,          1,         64, 
234 :          @,          1,         68, 
235 : mahou_guard_type_C_001,          0,         49, 
236 :          @,          0,         17, 
237 :          @,          0,         18, 
238 :          @,          1,         19, 
239 :          @,          1,         67, 
240 : mahou_guard_type_F_001,          0,         18, 
241 :          @,          0,         17, 
242 :          @,          0,         19, 
243 :          @,          1,         48, 
244 :          @,          1,         52, 
245 : mahou_guard_type_H_001,          0,         18, 
246 :          @,          0,         16, 
247 :          @,          0,         20, 
248 :          @,          1,         64, 
249 :          @,          1,         68, 
250 : mahou_guard_type_I_001,          0,         66, 
251 :          @,          0,          0, 
252 :          @,          0,          4, 
253 :          @,          1,         16, 
254 :          @,          1,         20, 
255 : mahou_guard_type_J_001,          1,         18, 
256 :          @,          1,         17, 
257 :          @,          1,         19, 
258 :          @,          1,         49, 
259 :          @,          1,         51, 
260 : mahou_guard_type_L_001,          0,         50, 
261 :          @,          0,          2, 
262 :          @,          0,         34, 
263 :          @,          1,         64, 
264 :          @,          1,         68, 
265 : speed_type_A_001,          0,         66, 
266 :          @,          0,          1, 
267 :          @,          0,          2, 
268 :          @,          1,          3, 
269 :          @,          1,         50, 
270 : speed_type_B_001,          0,         34, 
271 :          @,          0,         32, 
272 :          @,          0,         33, 
273 :          @,          0,         35, 
274 :          @,          0,         36, 
275 : speed_type_C_001,          0,         18, 
276 :          @,          0,         32, 
277 :          @,          0,         36, 
278 :          @,          1,         48, 
279 :          @,          1,         52, 
280 : speed_type_E_001,          0,         16, 
281 :          @,          0,         33, 
282 :          @,          0,         34, 
283 :          @,          1,         51, 
284 :          @,          1,         52, 
285 : speed_type_H_001,          0,          0, 
286 :          @,          0,         49, 
287 :          @,          0,         51, 
288 :          @,          1,         66, 
289 :          @,          1,         68, 
290 : speed_type_J_001,          0,          2, 
291 :          @,          0,         16, 
292 :          @,          0,         17, 
293 :          @,          0,         19, 
294 :          @,          0,         20, 
295 : speed_type_QUEST1_001,          0,         19, 
296 :          @,          0,         34, 
297 :          @,          0,         35, 
298 :          @,          1,         49, 
299 :          @,          1,         66, 
300 : heal_type_A_001,          0,          2, 
301 :          @,          0,         33, 
302 :          @,          0,         34, 
303 :          @,          1,         35, 
304 :          @,          1,         66, 
305 : heal_type_B_001,          0,         34, 
306 :          @,          0,         18, 
307 :          @,          0,         49, 
308 :          @,          1,         50, 
309 :          @,          1,         51, 
310 : heal_type_C_001,          0,         50, 
311 :          @,          0,          1, 
312 :          @,          0,          3, 
313 :          @,          1,         65, 
314 :          @,          1,         67, 
315 : heal_type_E_001,          0,         50, 
316 :          @,          0,          1, 
317 :          @,          0,          3, 
318 :          @,          1,         49, 
319 :          @,          1,         51, 
320 : heal_type_QUEST1_001,          0,         34, 
321 :          @,          0,         17, 
322 :          @,          1,         19, 
323 :          @,          1,         48, 
324 :          @,          1,         52, 
325 : monster_type_A_000,          0,         34, 
326 :          @,          0,         17, 
327 :          @,          0,         19, 
328 :          @,          1,         49, 
329 :          @,          1,         51, 
330 : monster_type_B_000,          0,         34, 
331 :          @,          0,         17, 
332 :          @,          0,         19, 
333 :          @,          1,         49, 
334 :          @,          1,         51, 
335 : monster_type_A_001,          0,         51, 
336 :          @,          0,         17, 
337 :          @,          0,         19, 
338 :          @,          0,         34, 
339 :          @,          1,         49, 
340 : monster_type_A_002,          0,         35, 
341 :          @,          0,         33, 
342 :          @,          0,         17, 
343 :          @,          1,         19, 
344 :          @,          1,         50, 
345 : monster_type_A_003,          0,         18, 
346 :          @,          0,         50, 
347 :          @,          0,         33, 
348 :          @,          0,         35, 
349 :          @,          1,         66, 
350 : monster_type_A_004,          0,         17, 
351 :          @,          0,         19, 
352 :          @,          0,         34, 
353 :          @,          1,         49, 
354 :          @,          1,         51, 
355 : monster_type_B_001,          0,         51, 
356 :          @,          0,         17, 
357 :          @,          0,         19, 
358 :          @,          0,         34, 
359 :          @,          1,         49, 
360 : monster_type_B_002,          0,         35, 
361 :          @,          0,         33, 
362 :          @,          0,         17, 
363 :          @,          1,         19, 
364 :          @,          1,         50, 
365 : monster_type_B_003,          0,         18, 
366 :          @,          0,         50, 
367 :          @,          0,         33, 
368 :          @,          0,         35, 
369 :          @,          1,         66, 
370 : monster_type_B_004,          0,         17, 
371 :          @,          0,         19, 
372 :          @,          0,         34, 
373 :          @,          1,         49, 
374 :          @,          1,         51, 
375 : monster_type_A_005,          0,         34, 
376 :          @,          0,         17, 
377 :          @,          0,         19, 
378 :          @,          1,         49, 
379 :          @,          1,         51, 
380 : monster_type_A_006,          0,         34, 
381 :          @,          0,         49, 
382 :          @,          0,         51, 
383 :          @,          0,         18, 
384 :          @,          1,         66, 
385 : monster_type_A_007,          0,         34, 
386 :          @,          0,         33, 
387 :          @,          0,         35, 
388 :          @,          1,         65, 
389 :          @,          1,         67, 
390 : monster_type_A_008,          0,         50, 
391 :          @,          0,         17, 
392 :          @,          0,         19, 
393 :          @,          1,         33, 
394 :          @,          1,         35, 
395 : monster_type_B_005,          0,         34, 
396 :          @,          0,         17, 
397 :          @,          0,         19, 
398 :          @,          1,         49, 
399 :          @,          1,         51, 
400 : monster_type_B_006,          0,         34, 
401 :          @,          0,         49, 
402 :          @,          0,         51, 
403 :          @,          0,         18, 
404 :          @,          1,         66, 
405 : monster_type_B_007,          0,         34, 
406 :          @,          0,         33, 
407 :          @,          0,         35, 
408 :          @,          1,         65, 
409 :          @,          1,         67, 
410 : monster_type_B_008,          0,         50, 
411 :          @,          0,         17, 
412 :          @,          0,         19, 
413 :          @,          1,         33, 
414 :          @,          1,         35, 
415 : monster_type_A_009,          0,         51, 
416 :          @,          0,         17, 
417 :          @,          0,         19, 
418 :          @,          0,         49, 
419 :          @,          1,         66, 
420 : monster_type_A_010,          0,         51, 
421 :          @,          0,         17, 
422 :          @,          0,         19, 
423 :          @,          0,         34, 
424 :          @,          1,         66, 
425 : monster_type_A_011,          0,         50, 
426 :          @,          0,         33, 
427 :          @,          0,         18, 
428 :          @,          0,         35, 
429 :          @,          1,         66, 
430 : monster_type_A_012,          0,         34, 
431 :          @,          0,         17, 
432 :          @,          0,         19, 
433 :          @,          0,         50, 
434 :          @,          1,         66, 
435 : monster_type_B_009,          0,         51, 
436 :          @,          0,         33, 
437 :          @,          0,         18, 
438 :          @,          0,         49, 
439 :          @,          1,         66, 
440 : monster_type_B_010,          0,         51, 
441 :          @,          0,         17, 
442 :          @,          0,         19, 
443 :          @,          0,         49, 
444 :          @,          1,         66, 
445 : monster_type_B_011,          0,         50, 
446 :          @,          0,         33, 
447 :          @,          0,         18, 
448 :          @,          0,         35, 
449 :          @,          1,         66, 
450 : monster_type_B_012,          0,         34, 
451 :          @,          0,         17, 
452 :          @,          0,         19, 
453 :          @,          0,         50, 
454 :          @,          1,         66, 
455 : summon_type_A_001,          0,         34, 
456 :          @,          0,         17, 
457 :          @,          0,         19, 
458 :          @,          1,         49, 
459 :          @,          1,         51, 
460 : guest_freefight_type_A_001,          0,         34, 
461 :          @,          0,         17, 
462 :          @,          0,         19, 
463 :          @,          1,         49, 
464 :          @,          1,         51, 
465 : guest_freefight_type_B_001,          0,         66, 
466 :          @,          0,         16, 
467 :          @,          0,         20, 
468 :          @,          1,         33, 
469 :          @,          1,         35, 
470 : btl_jin_ex,          0,         34, 
471 :          @,          0,         17, 
472 :          @,          0,         19, 
473 :          @,          1,         64, 
474 :          @,          1,         68, 
475 : btl_jin_ex,          0,         50, 
476 :          @,          0,         16, 
477 :          @,          0,         33, 
478 :          @,          0,         35, 
479 :          @,          0,         20, 
480 : btl_jin_ex,          0,         34, 
481 :          @,          0,          2, 
482 :          @,          0,         19, 
483 :          @,          1,         17, 
484 :          @,          1,         66, 
485 : btl_jin_ex,          0,         66, 
486 :          @,          0,         18, 
487 :          @,          0,         34, 
488 :          @,          1,         64, 
489 :          @,          1,         68, 

