           km_, km_btl_rank_dif, km_param_hpap_exp_scenario, km_param_others_exp_scenario, km_skill_category_exp_scenario, km_skill_exp_scenario, km_skill_dir_exp_scenario, km_param_hpap_exp_guild, km_param_others_exp_guild, km_skill_category_exp_guild, km_skill_exp_guild, km_skill_dir_exp_guild, 
37 : rank_dif_037,         37,        555,        555,         46,         27,         27,        555,        555,         46,         27,         27, 
38 : rank_dif_038,         38,        570,        570,         47,         28,         28,        570,        570,         47,         28,         28, 
39 : rank_dif_039,         39,        585,        585,         48,         29,         29,        585,        585,         48,         29,         29, 
40 : rank_dif_040,         40,        600,        600,         50,         30,         30,        600,        600,         50,         30,         30, 
41 : rank_dif_041,         41,        615,        615,         51,         30,         30,        615,        615,         51,         30,         30, 
42 : rank_dif_042,         42,        630,        630,         52,         31,         31,        630,        630,         52,         31,         31, 
43 : rank_dif_043,         43,        645,        645,         53,         32,         32,        645,        645,         53,         32,         32, 
44 : rank_dif_044,         44,        660,        660,         55,         33,         33,        660,        660,         55,         33,         33, 
45 : rank_dif_045,         45,        675,        675,         56,         33,         33,        675,        675,         56,         33,         33, 
46 : rank_dif_046,         46,        690,        690,         57,         34,         34,        690,        690,         57,         34,         34, 
47 : rank_dif_047,         47,        705,        705,         58,         35,         35,        705,        705,         58,         35,         35, 
48 : rank_dif_048,         48,        720,        720,         60,         36,         36,        720,        720,         60,         36,         36, 
49 : rank_dif_049,         49,        735,        735,         61,         36,         36,        735,        735,         61,         36,         36, 
50 : rank_dif_050,         50,        750,        750,         62,         37,         37,        750,        750,         62,         37,         37, 
51 : rank_dif_051,         51,        765,        765,         63,         38,         38,        765,        765,         63,         38,         38, 
52 : rank_dif_052,         52,        780,        780,         65,         39,         39,        780,        780,         65,         39,         39, 
53 : rank_dif_053,         53,        795,        795,         66,         39,         39,        795,        795,         66,         39,         39, 
54 : rank_dif_054,         54,        810,        810,         67,         40,         40,        810,        810,         67,         40,         40, 
55 : rank_dif_055,         55,        825,        825,         68,         41,         41,        825,        825,         68,         41,         41, 
56 : rank_dif_056,         56,        840,        840,         70,         42,         42,        840,        840,         70,         42,         42, 
57 : rank_dif_057,         57,        855,        855,         71,         42,         42,        855,        855,         71,         42,         42, 
58 : rank_dif_058,         58,        870,        870,         72,         43,         43,        870,        870,         72,         43,         43, 
59 : rank_dif_059,         59,        885,        885,         73,         44,         44,        885,        885,         73,         44,         44, 
60 : rank_dif_060,         60,        900,        900,         75,         45,         45,        900,        900,         75,         45,         45, 
61 : rank_dif_061,         61,        915,        915,         76,         45,         45,        915,        915,         76,         45,         45, 
62 : rank_dif_062,         62,        930,        930,         77,         46,         46,        930,        930,         77,         46,         46, 
63 : rank_dif_063,         63,        945,        945,         78,         47,         47,        945,        945,         78,         47,         47, 
64 : rank_dif_064,         64,        960,        960,         80,         48,         48,        960,        960,         80,         48,         48, 
65 : rank_dif_065,         65,        975,        975,         81,         48,         48,        975,        975,         81,         48,         48, 
66 : rank_dif_066,         66,        990,        990,         82,         49,         49,        990,        990,         82,         49,         49, 
67 : rank_dif_067,         67,       1005,       1005,         83,         50,         50,       1005,       1005,         83,         50,         50, 
68 : rank_dif_068,         68,       1020,       1020,         85,         51,         51,       1020,       1020,         85,         51,         51, 
69 : rank_dif_069,         69,       1035,       1035,         86,         51,         51,       1035,       1035,         86,         51,         51, 
70 : rank_dif_070,         70,       1050,       1050,         87,         52,         52,       1050,       1050,         87,         52,         52, 
71 : rank_dif_071,         71,       1065,       1065,         88,         53,         53,       1065,       1065,         88,         53,         53, 
72 : rank_dif_072,         72,       1080,       1080,         90,         54,         54,       1080,       1080,         90,         54,         54, 
73 : rank_dif_073,         73,       1095,       1095,         91,         54,         54,       1095,       1095,         91,         54,         54, 
74 : rank_dif_074,         74,       1110,       1110,         92,         55,         55,       1110,       1110,         92,         55,         55, 
75 : rank_dif_075,         75,       1125,       1125,         93,         56,         56,       1125,       1125,         93,         56,         56, 
76 : rank_dif_076,         76,       1140,       1140,         95,         57,         57,       1140,       1140,         95,         57,         57, 
77 : rank_dif_077,         77,       1155,       1155,         96,         57,         57,       1155,       1155,         96,         57,         57, 
78 : rank_dif_078,         78,       1170,       1170,         97,         58,         58,       1170,       1170,         97,         58,         58, 
79 : rank_dif_079,         79,       1185,       1185,         98,         59,         59,       1185,       1185,         98,         59,         59, 
80 : rank_dif_080,         80,       1200,       1200,        100,         60,         60,       1200,       1200,        100,         60,         60, 
81 : rank_dif_081,         81,       1215,       1215,        101,         60,         60,       1215,       1215,        101,         60,         60, 
82 : rank_dif_082,         82,       1230,       1230,        102,         61,         61,       1230,       1230,        102,         61,         61, 
83 : rank_dif_083,         83,       1245,       1245,        103,         62,         62,       1245,       1245,        103,         62,         62, 
84 : rank_dif_084,         84,       1260,       1260,        105,         63,         63,       1260,       1260,        105,         63,         63, 
85 : rank_dif_085,         85,       1275,       1275,        106,         63,         63,       1275,       1275,        106,         63,         63, 
86 : rank_dif_086,         86,       1290,       1290,        107,         64,         64,       1290,       1290,        107,         64,         64, 
87 : rank_dif_087,         87,       1305,       1305,        108,         65,         65,       1305,       1305,        108,         65,         65, 
88 : rank_dif_088,         88,       1320,       1320,        110,         66,         66,       1320,       1320,        110,         66,         66, 
89 : rank_dif_089,         89,       1335,       1335,        111,         66,         66,       1335,       1335,        111,         66,         66, 
90 : rank_dif_090,         90,       1350,       1350,        112,         67,         67,       1350,       1350,        112,         67,         67, 
91 : rank_dif_091,         91,       1365,       1365,        113,         68,         68,       1365,       1365,        113,         68,         68, 
92 : rank_dif_092,         92,       1380,       1380,        115,         69,         69,       1380,       1380,        115,         69,         69, 
93 : rank_dif_093,         93,       1395,       1395,        116,         69,         69,       1395,       1395,        116,         69,         69, 
94 : rank_dif_094,         94,       1410,       1410,        117,         70,         70,       1410,       1410,        117,         70,         70, 
95 : rank_dif_095,         95,       1425,       1425,        118,         71,         71,       1425,       1425,        118,         71,         71, 
96 : rank_dif_096,         96,       1440,       1440,        120,         72,         72,       1440,       1440,        120,         72,         72, 
97 : rank_dif_097,         97,       1455,       1455,        121,         72,         72,       1455,       1455,        121,         72,         72, 
98 : rank_dif_098,         98,       1470,       1470,        122,         73,         73,       1470,       1470,        122,         73,         73, 
99 : rank_dif_099,         99,       1485,       1485,        123,         74,         74,       1485,       1485,        123,         74,         74, 
100 :   rank_dif,        100,       1500,       1500,        125,         75,         75,       1500,       1500,        125,         75,         75, 
101 :   rank_dif,        101,       1515,       1515,        126,         75,         75,       1515,       1515,        126,         75,         75, 
102 :   rank_dif,        102,       1530,       1530,        127,         76,         76,       1530,       1530,        127,         76,         76, 
103 :   rank_dif,        103,       1545,       1545,        128,         77,         77,       1545,       1545,        128,         77,         77, 
104 :   rank_dif,        104,       1560,       1560,        130,         78,         78,       1560,       1560,        130,         78,         78, 
105 :   rank_dif,        105,       1575,       1575,        131,         78,         78,       1575,       1575,        131,         78,         78, 
106 :   rank_dif,        106,       1590,       1590,        132,         79,         79,       1590,       1590,        132,         79,         79, 
107 :   rank_dif,        107,       1605,       1605,        133,         80,         80,       1605,       1605,        133,         80,         80, 
108 :   rank_dif,        108,       1620,       1620,        135,         81,         81,       1620,       1620,        135,         81,         81, 
109 :   rank_dif,        109,       1635,       1635,        136,         81,         81,       1635,       1635,        136,         81,         81, 
110 :   rank_dif,        110,       1650,       1650,        137,         82,         82,       1650,       1650,        137,         82,         82, 
111 :   rank_dif,        111,       1665,       1665,        138,         83,         83,       1665,       1665,        138,         83,         83, 
112 :   rank_dif,        112,       1680,       1680,        140,         84,         84,       1680,       1680,        140,         84,         84, 
113 :   rank_dif,        113,       1695,       1695,        141,         84,         84,       1695,       1695,        141,         84,         84, 
114 :   rank_dif,        114,       1710,       1710,        142,         85,         85,       1710,       1710,        142,         85,         85, 
115 :   rank_dif,        115,       1725,       1725,        143,         86,         86,       1725,       1725,        143,         86,         86, 
116 :   rank_dif,        116,       1740,       1740,        145,         87,         87,       1740,       1740,        145,         87,         87, 
117 :   rank_dif,        117,       1755,       1755,        146,         87,         87,       1755,       1755,        146,         87,         87, 
118 :   rank_dif,        118,       1770,       1770,        147,         88,         88,       1770,       1770,        147,         88,         88, 
119 :   rank_dif,        119,       1785,       1785,        148,         89,         89,       1785,       1785,        148,         89,         89, 
120 :   rank_dif,        120,       1800,       1800,        150,         90,         90,       1800,       1800,        150,         90,         90, 
121 :   rank_dif,        121,       1815,       1815,        151,         90,         90,       1815,       1815,        151,         90,         90, 
122 :   rank_dif,        122,       1830,       1830,        152,         91,         91,       1830,       1830,        152,         91,         91, 
123 :   rank_dif,        123,       1845,       1845,        153,         92,         92,       1845,       1845,        153,         92,         92, 
124 :   rank_dif,        124,       1860,       1860,        155,         93,         93,       1860,       1860,        155,         93,         93, 
125 :   rank_dif,        125,       1875,       1875,        156,         93,         93,       1875,       1875,        156,         93,         93, 
126 :   rank_dif,        126,       1890,       1890,        157,         94,         94,       1890,       1890,        157,         94,         94, 
127 :   rank_dif,        127,       1905,       1905,        158,         95,         95,       1905,       1905,        158,         95,         95, 

