           km_, km_spbtl_id,    km_turn, km_ex_flag1, km_loca_id, km_loca_count,      km_sp,    km_ctrl,   km_sysid,  km_talkid, 
99 : QE0060_004_BTL,         91,          0,          1,         -1,         -1,         -1,          0,        133,         -1, 
100 : QE0840_001_BTL,         92,          0,          1,         -1,         -1,         -1,          0,        134,         -1, 
101 : QE1240_001_BTL,         93,          0,          1,         -1,         -1,         -1,          0,        135,         -1, 
102 : QE0150_001_BTL,         94,          0,          1,         -1,         -1,         -1,          0,        136,         -1, 
103 : QE0150_002_BTL,         95,          0,          1,         -1,         -1,         -1,          0,        137,         -1, 
104 : QE0150_003_BTL,         96,          0,          1,         -1,         -1,         -1,          0,        138,         -1, 
105 : QE0150_004_BTL,         97,          0,          1,         -1,         -1,         -1,          0,        139,         -1, 
106 : QE0160_001_BTL,         98,          0,          1,         -1,         -1,         -1,          0,        140,         -1, 
107 : QE0280_001_BTL,         99,          0,          1,         -1,         -1,         -1,          0,        141,         -1, 
108 : QE0350_001_BTL,        100,          0,          1,         -1,         -1,         -1,          0,        142,         -1, 
109 : QE0350_002_BTL,        101,          0,          1,         -1,         -1,         -1,          0,        143,         -1, 
110 : QE0400_001_BTL,        102,          0,          1,         -1,         -1,         -1,          0,        144,         -1, 
111 : QE1210_001_BTL,        103,          0,          1,         -1,         -1,         -1,          0,        145,         -1, 
112 : QE0180_001_BTL,        104,          0,          1,         -1,         -1,         -1,          0,        146,         -1, 
113 : QE0340_001_BTL,        105,          0,          1,         -1,         -1,         -1,          0,        147,         -1, 
114 : QE0340_002_BTL,        106,          0,          1,         -1,         -1,         -1,          0,        148,         -1, 
115 : QE0340_003_BTL,        107,          0,          1,         -1,         -1,         -1,          0,        149,         -1, 
116 : QE0340_004_BTL,        108,          0,          1,         -1,         -1,         -1,          0,        150,         -1, 
117 :      DLC01,        109,          0,          1,         -1,         -1,         -1,          0,        151,         -1, 
118 :      DLC02,        110,          0,          1,         -1,         -1,         -1,          0,        152,         -1, 
119 :      DLC03,        111,          0,          1,         -1,         -1,         -1,          0,        153,         -1, 
120 :      DLC04,        112,          0,          1,         -1,         -1,         -1,          0,        154,         -1, 
121 :      DLC05,        113,          0,          1,         -1,         -1,         -1,          0,        155,         -1, 
122 :      DLC06,        114,          0,          1,         -1,         -1,         -1,          0,        156,         -1, 
123 :      DLC07,        115,          0,          1,         -1,         -1,         -1,          0,        157,         -1, 
124 :      DLC08,        116,          0,          1,         -1,         -1,         -1,          0,        158,         -1, 

