           km_,   km_chara,   km_param, km_party_lock, km_party_guest, km_not_reserve, km_sort_id, km_chara_class, km_base_lv, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_eq_accessories_sp, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise,   km_money,  km_item_1, km_item_1_num,  km_item_2, km_item_2_num,  km_item_3, km_item_3_num,  km_item_4, km_item_4_num,  km_item_5, km_item_5_num,  km_item_6, km_item_6_num,  km_item_7, km_item_7_num,  km_item_8, km_item_8_num, km_aim_weapon, km_aim_accessory_01, km_aim_accessory_02, km_open_heikin, km_open_phy, km_open_mgc, km_end_of_the_rainbow, km_lootmes, km_ptalk_count, km_ptalk_mes, 
 9 : btl_free_npc,        184,          9,          0,          0,          0,        201,          0,          4,        300,         29,          4,         23,         16,         15,         79,         22,         48,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         66,         98,        207,        673,          0,          3,         -1,         -1,       1234,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1630,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        672,        204,        207,          1,          1,          1,         27,         37,         44,         50, 
10 : btl_free_npc,        185,         10,          0,          0,          0,        202,        180,          4,        277,         25,          4,         16,         22,         17,        161,         16,         61,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         20,         10,         10,          5,          0,        143,        165,        282,          0,          0,       1043,          0,       1316,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       2230,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        294,        210,        213,          1,          1,          1,         18,         40,         47,         53, 
11 : btl_free_npc,        186,         11,          0,          0,          0,        203,        181,          4,        292,         27,          4,         18,         26,         14,         67,         17,         56,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         20,         10,         10,          5,          0,        139,        165,        685,          0,          3,         -1,         -1,       1174,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       2090,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        678,        210,        213,          1,          1,          1,         20,         40,         47,         53, 
12 : btl_free_npc,        187,         12,          0,          0,          0,        204,          0,          4,        236,         28,          4,         25,         16,         19,        134,         16,         40,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         20,         10,         10,          5,         50,         98,        207,        282,          0,          1,         -1,         -1,       1234,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       2030,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        291,        204,        207,          1,          1,          1,         22,         43,         50,         56, 
13 : btl_free_npc_034,        188,         13,          0,          0,          0,        205,          0,          4,        245,         21,          3,         25,         15,         15,         55,         23,         69,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,         82,         98,        207,         55,          0,          1,         -1,         -1,       1204,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1180,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,          6,        204,        207,          1,          1,          1,         28,         35,         42,         48, 
14 : btl_free_npc_064,        189,         14,          0,          0,          0,        206,          1,          4,        294,         29,          4,         27,         18,         18,        158,         17,         70,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         74,         98,        165,        171,          0,          0,       1043,          0,       1266,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1800,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        189,        204,        207,          1,          1,          1,         26,         35,         42,         48, 
15 : btl_free_npc,        190,         15,          0,          0,          0,      10000,          0,          3,        210,         22,          3,         22,         16,         18,        153,         27,         41,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        165,        396,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        540,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        405,        204,        207,          1,          0,          0,          9,         36,         -1,         -1, 
16 : btl_free_npc,        191,         16,          0,          0,          0,      10001,          0,          3,        211,         24,          4,         23,         18,         16,        156,         18,         50,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         50,         98,        165,        441,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1130,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        462,        204,        207,          1,          0,          0,         20,         35,         -1,         -1, 
17 : btl_free_npc,        192,         17,          0,          0,          0,      10002,          0,          3,        198,         22,          3,         23,         19,         16,         34,         16,         66,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        207,        282,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1180,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        273,        204,        207,          1,          0,          0,         19,         35,         -1,         -1, 
18 : btl_free_npc,        193,         18,          0,          0,          0,      10003,          1,          3,        163,         23,          3,         27,         16,         16,         78,         15,         53,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         50,         98,        165,         99,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        510,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         36,        204,        207,          1,          0,          0,         18,         38,         -1,         -1, 
19 : btl_free_npc,        194,         19,          0,          0,          0,      10004,        180,          3,        172,         18,          3,         17,         25,         19,         55,         19,         48,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        139,        165,        111,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1460,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        108,        210,        213,          1,          0,          0,         20,         35,         -1,         -1, 
20 : btl_free_npc,        195,         20,          0,          0,          0,      10005,        180,          3,        199,         23,          3,         16,         21,         19,        161,         24,         55,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        151,        165,        282,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        970,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        273,        210,        213,          1,          0,          0,          6,         38,         -1,         -1, 
21 : btl_free_npc,        196,         21,          0,          0,          0,      10006,          0,          3,        192,         19,          3,         25,         17,         18,        121,         18,         49,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        207,        834,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1050,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        825,        204,        207,          1,          0,          0,          7,         36,         -1,         -1, 
22 : btl_free_npc,        197,         22,          0,          0,          0,      10007,          1,          3,        145,         23,          3,         27,         20,         16,         42,         17,         34,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        165,        396,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1420,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        405,        204,        207,          1,          0,          0,          9,         36,         -1,         -1, 
23 : btl_free_npc,        198,         23,          0,          0,          0,      10008,        180,          3,        144,         20,          3,         15,         23,         17,         30,         24,         58,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        151,        165,        822,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1380,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        810,        210,        213,          1,          0,          0,         11,         35,         -1,         -1, 
24 : btl_free_npc,        199,         24,          0,          0,          0,      10009,          0,          3,        206,         19,          3,         23,         17,         19,        116,         15,         30,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,          0,         98,        207,        685,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        890,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        675,        204,        207,          1,          0,          0,         10,         37,         -1,         -1, 
25 : btl_free_npc_093,        200,         25,          0,          0,          0,      10010,          0,          3,        165,         21,          3,         22,         16,         16,         56,         20,         58,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,         50,         98,        165,        282,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        530,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        273,        204,        207,          1,          0,          0,          9,         38,         -1,         -1, 
26 : btl_free_npc,        201,         26,          0,          0,          0,      10011,        180,          3,        153,         27,          4,         19,         23,         16,         44,         18,         51,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        139,        165,        673,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1470,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        666,        210,        213,          1,          0,          0,         12,         34,         -1,         -1, 
