           km_, km_preset_skill_type, km_btl_rank_min, km_btl_rank_max, km_check_num, km_growth_category, km_action_id_0, km_action_id_1, km_action_id_2, km_action_id_3, km_action_id_4, km_action_id_5, km_action_id_6, km_action_id_7, 
15 :          @,        167,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
16 :          @,        167,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
17 :          @,        167,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
18 : btl_pc_jorgen,        168,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
19 :          @,        168,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 :          @,        168,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
21 :          @,        168,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
22 :          @,        168,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 :          @,        168,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
24 : btl_pc_jorgen,        169,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :          @,        169,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :          @,        169,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
27 :          @,        169,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :          @,        169,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :          @,        169,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
30 : btl_pc_jorgen,        170,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
31 :          @,        170,          0,        255,          0,         22,       1915,       1920,       1924,       1929,       1933,         -1,         -1,         -1, 
32 :          @,        170,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
33 :          @,        170,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
34 :          @,        170,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
35 :          @,        170,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
36 : btl_pc_jorgen,        171,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
37 :          @,        171,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
38 :          @,        171,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
39 :          @,        171,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
40 :          @,        171,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
41 :          @,        171,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
42 : btl_pc_jorgen,        172,          0,        255,          6,         21,       1885,       1889,       1894,       1899,       1903,         -1,         -1,         -1, 
43 :          @,        172,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
44 :          @,        172,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
45 :          @,        172,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
46 :          @,        172,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
47 :          @,        172,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
48 : btl_pc_jorgen,        173,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
49 :          @,        173,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
50 :          @,        173,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
51 :          @,        173,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
52 :          @,        173,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
53 :          @,        173,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
54 : btl_pc_jorgen,        174,          0,        255,          6,         21,       1883,       1888,         -1,         -1,         -1,         -1,         -1,         -1, 
55 :          @,        174,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
56 :          @,        174,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
57 :          @,        174,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
58 :          @,        174,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
59 :          @,        174,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
60 : btl_pc_violet,        175,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
61 :          @,        175,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
62 :          @,        175,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
63 :          @,        175,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
64 :          @,        175,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
65 :          @,        175,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
66 : btl_pc_gabriel,        176,          0,        255,          6,         21,       1884,       1889,         -1,         -1,         -1,         -1,         -1,         -1, 
67 :          @,        176,          0,        255,          0,         22,       1913,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
68 :          @,        176,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
69 :          @,        176,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
70 :          @,        176,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
71 :          @,        176,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
72 :       emmy,        177,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
73 :          @,        177,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
74 :          @,        177,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
75 :          @,        177,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
76 :          @,        177,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
77 :          @,        177,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
78 : btl_pc_glenys,        178,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
79 :          @,        178,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
80 :          @,        178,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
81 :          @,        178,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
82 :          @,        178,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
83 :          @,        178,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
84 :      jager,        179,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
85 :          @,        179,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
86 :          @,        179,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
87 :          @,        179,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
88 :          @,        179,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
89 :          @,        179,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
90 : david_nassau_s,        180,          0,        255,          6,         21,       1883,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
91 :          @,        180,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
92 :          @,        180,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
93 :          @,        180,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
94 :          @,        180,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
95 :          @,        180,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
96 : btl_pc_loki,        181,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
97 :          @,        181,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
98 :          @,        181,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
99 :          @,        181,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
100 :          @,        181,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
101 :          @,        181,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
102 : btl_pc_nora,        182,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
103 :          @,        182,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
104 :          @,        182,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
105 :          @,        182,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
106 :          @,        182,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
107 :          @,        182,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
108 : btl_pc_roberto,        183,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
109 :          @,        183,          0,        255,          0,         22,       1915,       1919,       1923,         -1,         -1,         -1,         -1,         -1, 
110 :          @,        183,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
111 :          @,        183,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
112 :          @,        183,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
113 :          @,        183,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
114 : btl_pc_khrynia,        184,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
115 :          @,        184,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
116 :          @,        184,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
117 :          @,        184,          0,        255,          0,         24,       1975,       1980,       1984,       1989,       1994,       1998,         -1,         -1, 
118 :          @,        184,          0,        255,          0,         25,       2005,       2010,       2014,       2019,       2023,         -1,         -1,         -1, 
119 :          @,        184,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
120 : btl_pc_rhagoh,        185,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
121 :          @,        185,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
122 :          @,        185,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
123 :          @,        185,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
124 :          @,        185,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
125 :          @,        185,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
126 : btl_pc_paris,        186,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
127 :          @,        186,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
128 :          @,        186,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
129 :          @,        186,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
130 :          @,        186,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
131 :          @,        186,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
132 : btl_pc_kate,        187,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
133 :          @,        187,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
134 :          @,        187,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
135 :          @,        187,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
136 :          @,        187,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
137 :          @,        187,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
138 : btl_pc_sheryl,        188,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
139 :          @,        188,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
140 :          @,        188,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
141 :          @,        188,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
142 :          @,        188,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
143 :          @,        188,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
144 : irina_sykes_s,        189,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
145 :          @,        189,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
146 :          @,        189,          0,        255,          0,         23,       1945,       1949,       1954,       1958,         -1,         -1,         -1,         -1, 
147 :          @,        189,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
148 :          @,        189,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
149 :          @,        189,          0,        255,          0,         26,       2035,       2039,       2043,         -1,         -1,         -1,         -1,         -1, 
150 :     haruko,        190,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
151 :          @,        190,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
152 :          @,        190,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
153 :          @,        190,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
154 :          @,        190,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
155 :          @,        190,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
156 :    plocter,        191,          0,        255,          6,         21,       1883,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
157 :          @,        191,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
158 :          @,        191,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
159 :          @,        191,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
160 :          @,        191,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
161 :          @,        191,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
162 : btl_pc_baulson,        192,          0,        255,          6,         21,       1883,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
163 :          @,        192,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
164 :          @,        192,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
165 :          @,        192,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
166 :          @,        192,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
167 :          @,        192,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
168 : btl_pc_gaou,        193,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
169 :          @,        193,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
170 :          @,        193,          0,        255,          0,         23,       1945,       1950,       1954,       1959,       1963,         -1,         -1,         -1, 
171 :          @,        193,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
172 :          @,        193,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
173 :          @,        193,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
174 : duke_of_ghor,        194,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
175 :          @,        194,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
176 :          @,        194,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
177 :          @,        194,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
178 :          @,        194,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
179 :          @,        194,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
180 : btl_pc_zolean,        195,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
181 :          @,        195,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
182 :          @,        195,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
183 :          @,        195,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
184 :          @,        195,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
185 :          @,        195,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
186 : btl_pc_yuniver,        196,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
187 :          @,        196,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
188 :          @,        196,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
189 :          @,        196,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
190 :          @,        196,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
191 :          @,        196,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
192 : btl_pc_sibal,        197,          0,        255,          6,         21,       1885,       1889,       1894,       1898,         -1,         -1,         -1,         -1, 
193 :          @,        197,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
194 :          @,        197,          0,        255,          0,         23,       1943,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
195 :          @,        197,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
196 :          @,        197,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
197 :          @,        197,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
198 : btl_pc_darien,        198,          0,        255,          6,         21,       1885,       1889,       1894,       1898,         -1,         -1,         -1,         -1, 
199 :          @,        198,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
200 :          @,        198,          0,        255,          0,         23,       1943,       1948,         -1,         -1,         -1,         -1,         -1,         -1, 
201 :          @,        198,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
202 :          @,        198,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
203 :          @,        198,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
204 :      pagus,        199,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
205 :          @,        199,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
206 :          @,        199,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
207 :          @,        199,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
208 :          @,        199,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
209 :          @,        199,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
210 : btl_pc_maddox,        200,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
211 :          @,        200,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
212 :          @,        200,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
213 :          @,        200,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
214 :          @,        200,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
215 :          @,        200,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
216 : btl_pc_leshau,        201,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
217 :          @,        201,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
218 :          @,        201,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
219 :          @,        201,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
220 :          @,        201,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
221 :          @,        201,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
222 :     torgal,        202,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
223 :          @,        202,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
224 :          @,        202,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
225 :          @,        202,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
226 :          @,        202,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
227 :          @,        202,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
228 : btl_pc_caedmon,        203,          0,        255,          6,         21,       1883,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
229 :          @,        203,          0,        255,          0,         22,       1913,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
230 :          @,        203,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
231 :          @,        203,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
232 :          @,        203,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
233 :          @,        203,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
234 : btl_pc_allan,        204,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
235 :          @,        204,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
236 :          @,        204,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
237 :          @,        204,          0,        255,          0,         24,       1973,       1978,         -1,         -1,         -1,         -1,         -1,         -1, 
238 :          @,        204,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
239 :          @,        204,          0,        255,          0,         26,       2035,       2039,       2043,         -1,         -1,         -1,         -1,         -1, 
240 : btl_pc_wyngale,        205,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
241 :          @,        205,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
242 :          @,        205,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
