           km_, km_check_num, km_btl_command, km_logic_ctrl_ctrl_15, km_logic_ctrl_ctrl_14, km_logic_ctrl_ctrl_13, km_logic_ctrl_ctrl_12, km_logic_ctrl_ctrl_11, km_logic_ctrl_ctrl_10, km_logic_ctrl_ctrl_9, km_logic_ctrl_ctrl_8, km_logic_ctrl_ctrl_7, km_logic_ctrl_ctrl_6, km_logic_ctrl_ctrl_5, km_logic_ctrl_ctrl_4, km_logic_ctrl_ctrl_3, km_logic_ctrl_ctrl_2, km_logic_ctrl_ctrl_1, km_logic_ctrl_ctrl_0,   km_ratio, km_moral_above, km_moral_under,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2, 
19 :  ATTR_0900,         10,        107,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        351,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 :          @,          0,        106,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        376,         -1,         -1,         13,        340,         -1,         -1,         -1,         -1,         -1,         -1, 
21 :          @,          0,        105,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        340,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
22 :          @,          0,        108,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        338,    7667716,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 :          @,          0,        109,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        338,    7667717,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
24 :          @,          0,        110,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        365,         16,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :          @,          0,        111,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        365,          8,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :          @,          0,        113,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        397,        -10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
27 :          @,          0,        112,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        397,         -5,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :          @,          0,        104,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :  ATTR_0700,          3,        241,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         13,        592,    4915374,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
30 :          @,          0,        240,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         13,        592,    4915373,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
31 :          @,          0,        239,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         13,        592,    4915372,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
32 :  ATTR_0550,         21,        238,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915538,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
33 :          @,          0,        237,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915537,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
34 :          @,          0,        236,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915536,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
35 :          @,          0,        235,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915535,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
36 :          @,          0,        234,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915534,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
37 :          @,          0,        233,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915533,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
38 :          @,          0,        232,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915532,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
39 :          @,          0,        231,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915531,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
40 :          @,          0,        230,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915369,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
41 :          @,          0,        229,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915370,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
42 :          @,          0,        228,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915364,         -1,         13,        372,         -1,         -1,         13,        474,          3,         -1, 
43 :          @,          0,        227,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915363,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
44 :          @,          0,        226,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915368,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
45 :          @,          0,        225,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         17,        593,    4915367,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
46 :          @,          0,        249,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         17,        518,         20,          4,         17,        487,          0,       3900, 
47 :          @,          0,        248,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         17,        518,         20,          3,         17,        487,          0,       3900, 
48 :          @,          0,        247,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         17,        518,         20,          2,         17,        487,          0,       3900, 
49 :          @,          0,        246,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         17,        518,         20,          1,         17,        487,          0,       3900, 
50 :          @,          0,        245,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         17,        518,         20,          0,         17,        487,          0,       3900, 
51 :          @,          0,        250,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         17,        344,         -1,         -1,         17,        487,          0,       3900, 
52 :          @,          0,        224,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915366,         -1,         -1,         -1,         -1,         -1,         17,        485,          0,       4000, 
53 :  ATTR_0500,          5,        223,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         13,        594,    4915303,         -1,         13,        372,         -1,         -1,         14,        426,          0,         40, 
54 :          @,          0,        222,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        594,    4915304,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
55 :          @,          0,        221,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        594,    4915302,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
56 :          @,          0,        220,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        594,    4915301,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
57 :          @,          0,        219,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        594,    4915300,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
58 :  ATTR_0450,          4,        217,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915365,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
59 :          @,          0,        216,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915362,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
60 :          @,          0,        215,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915361,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
61 :          @,          0,        214,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915360,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
62 :  ATTR_0400,          3,        218,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915371,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
63 :          @,          0,        213,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915359,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
64 :          @,          0,        212,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        593,    4915358,         -1,         13,        372,         -1,         -1,         13,        483,         -1,         -1, 
65 :  ATTR_0290,         15,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        511,         30,        999,         13,        427,         80,        999, 
66 :          @,          0,        124,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        511,          0,         30,         13,        427,         80,        999, 
67 :          @,          0,        116,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667716,         -1,         13,        511,         60,        999, 
68 :          @,          0,        115,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667717,         -1,         13,        511,         70,        999, 
69 :          @,          0,        114,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        344,         -1,         -1,         13,        511,         80,        999,         -1,         -1,         -1,         -1, 
70 :          @,          0,        123,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         40,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667716,         -1,         13,        511,          0,         40, 
71 :          @,          0,        122,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667717,         -1,         13,        511,          0,         30, 
72 :          @,          0,        121,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          0,          0,         17,        344,         -1,         -1,         13,        511,          0,         20,         -1,         -1,         -1,         -1, 
73 :          @,          0,        127,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         40,          0,          0,         17,        344,         -1,         -1,         17,        448,    5570560,         -1,         17,        365,         16,         -1, 
74 :          @,          0,        126,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        344,         -1,         -1,         17,        448,    5570560,         -1,         17,        365,          8,         -1, 
75 :          @,          0,        125,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        344,         -1,         -1,         17,        448,    5570560,         -1,         -1,         -1,         -1,         -1, 
76 :          @,          0,        119,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        351,         -1,         -1,         13,        343,         -1,         -1,         13,        427,         50,        999, 
77 :          @,          0,        118,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        368,         -1,         -1,         -1,         -1,         -1,         -1,         13,        427,         50,        999, 
78 :          @,          0,        117,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         10,          0,          0,         17,        367,         -1,         -1,         -1,         -1,         -1,         -1,         13,        427,         50,        999, 
79 :          @,          0,        183,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        599,         -1,         -1,         -1,         -1,         -1,         -1, 
80 :  ATTR_0270,          2,        208,          0,          1,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         22,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
81 :          @,          0,        209,          0,          1,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
82 :  ATTR_0260,          4,         84,          0,          1,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        448,    5570573,         -1,         13,        191,          2,         -1,         -1,         -1,         -1,         -1, 
83 :          @,          0,         85,          0,          1,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        448,    5570573,         -1,         13,        191,          2,         -1,         -1,         -1,         -1,         -1, 
84 :          @,          0,         83,          0,          1,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         22,        448,    5570561,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
85 :          @,          0,         26,          0,          1,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          1,        100,          0,          0,         22,        448,    5570561,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
86 :  ATTR_0250,         30,         88,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         -1,         -1,         -1,         -1, 
87 :          @,          0,         89,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         -1,         -1,         -1,         -1, 
88 :          @,          0,         87,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         -1,         -1,         -1,         -1, 
89 :          @,          0,         69,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         13,        191,          4,         -1, 
90 :          @,          0,         70,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         13,        287,          4,          2, 
91 :          @,          0,         71,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         -1,         -1,         -1,         -1, 
92 :          @,          0,         72,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         13,        213,    5505718,         -1, 
93 :          @,          0,         73,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         -1,         -1,         -1,         -1,         13,        287,          2,         -1, 
94 :          @,          0,         67,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         -1,         -1,         -1,         -1, 
95 :          @,          0,         68,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         13,        213,    5505718,         -1, 
96 :          @,          0,         92,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         -1,         -1,         -1,         -1, 
97 :          @,          0,         93,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         -1,         -1,         -1,         -1, 
98 :          @,          0,         94,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         13,        213,    5505718,         -1, 
99 :          @,          0,         90,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         -1,         -1,         -1,         -1, 
100 :          @,          0,         91,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         13,        213,    5505718,         -1, 
101 :          @,          0,         62,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         13,        191,          4,         -1, 
102 :          @,          0,         63,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         13,        287,          4,          2, 
103 :          @,          0,         64,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         45,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         -1,         -1,         -1,         -1, 
104 :          @,          0,         65,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         13,        213,    5505718,         -1, 
105 :          @,          0,         66,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         -1,         -1,         -1,         -1,         13,        287,          2,         -1, 
106 :          @,          0,         60,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         45,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         -1,         -1,         -1,         -1, 
107 :          @,          0,         61,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         13,        213,    5505718,         -1, 
108 :          @,          0,         55,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         13,        191,          4,         -1, 
109 :          @,          0,         56,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         13,        287,          4,          2, 
110 :          @,          0,         57,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         -1,         -1,         -1,         -1, 
111 :          @,          0,         58,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         13,        213,    5505718,         -1, 
