           km_, km_get_item,    km_cost, km_base_item,   km_daiji, km_material_1, km_material_1_num, km_material_1_key, km_material_2, km_material_2_num, km_material_2_key, km_material_3, km_material_3_num, km_material_3_key, km_material_4, km_material_4_num, km_material_4_key, 
33 : hammer_m_WMD010_warriors,    8323606,       3310,    8323605,         -1,    9044243,          2,          0,    9044614,          5,          0,    9044415,          4,          0,         -1,          0,          0, 
34 : hammer_l_WLD010_warriors,    8323639,       3740,    8323638,         -1,    9044243,          2,          0,    9044386,          3,          0,    9044468,          6,          0,         -1,          0,          0, 
35 : hammer_x_WXD010_battle,    8323684,       2780,    8323683,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044613,          6,          0,         -1,          0,          0, 
36 : lance_s_WSE020_warriors,    8323725,       3460,    8323724,         -1,    9044243,          2,          0,    9044386,          3,          0,    9044495,          5,          0,         -1,          0,          0, 
37 : lance_m_WME030_warriors,    8323746,       3740,    8323745,         -1,    9044243,          2,          0,    9044386,          3,          0,    9044411,          6,          0,         -1,          0,          0, 
38 : lance_m_WME010_battle,    8323757,       2500,    8323756,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044693,          2,          0,         -1,          0,          0, 
39 : lance_l_WLE010_warriors,    8323783,       4180,    8323782,         -1,    9044243,          2,          0,    9044340,          4,          0,    9044399,          6,          0,         -1,          0,          0, 
40 : lance_l_WLE030_battle,    8323794,       2780,    8323793,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044613,          6,          0,         -1,          0,          0, 
41 : staff_s_WSF010_warriors,    8323858,       3170,    8323857,         -1,    9044243,          2,          0,    9044386,          3,          0,    9044535,          3,          0,         -1,          0,          0, 
42 : staff_m_WMF010_warriors,    8323895,       3460,    8323894,         -1,    9044243,          2,          0,    9044614,          5,          0,    9044516,          3,          0,         -1,          0,          0, 
43 : staff_m_WMF030_battle,    8323906,       2300,    8323905,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044613,          6,          0,         -1,          0,          0, 
44 : shield_s_WSG010_battle,    8324093,       1730,    8324092,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044693,          2,          0,         -1,          0,          0, 
45 : shield_m_WMG010_battle,    8324116,       1920,    8324115,         -1,    9044243,          2,          0,    9044263,          1,          0,    9044613,          6,          0,         -1,          0,          0, 
46 : sword_s_uniq_04_01,    8323157,       4590,    8323127,         -1,    9044263,          2,          0,    9044423,          4,          0,    9044580,          1,          0,         -1,          0,          0, 
47 : sword_s_uniq_04_02,    8323157,       4590,    8323155,         -1,    9044263,          2,          0,    9044423,          4,          0,    9044580,          1,          0,         -1,          0,          0, 
48 : staff_s_uniq_02,    8323890,       4490,    8323857,         -1,    9044263,          3,          0,    9044345,          2,          0,    9044456,          7,          0,         -1,          0,          0, 
49 : shield_s_uniq_01,    8324112,       3670,    8324092,         -1,    9044263,          3,          0,    9044556,          4,          0,    9044661,          5,          0,         -1,          0,          0, 
50 : sword_m_WMA020_warriors,    8323184,       4800,    8323183,         -1,    9044236,          2,          0,    9044594,          7,          0,    9044489,          5,          0,         -1,          0,          0, 
51 : sword_x_WXA010_warriors,    8323295,       6240,    8323294,         -1,    9044236,          2,          0,    9044594,          7,          0,    9044379,          7,          0,         -1,          0,          0, 
52 : katana_x_WXB010_warriors,    8323425,       6480,    8323424,         -1,    9044236,          2,          0,    9044468,          5,          0,    9044404,          7,          0,         -1,          0,          0, 
53 : axe_m_WMC030_warriors,    8323481,       5280,    8323480,         -1,    9044236,          2,          0,    9044516,          7,          0,    9044379,          7,          0,         -1,          0,          0, 
54 : axe_x_WXC010_warriors,    8323550,       6720,    8323549,         -1,    9044236,          2,          0,    9044451,          7,          0,    9044404,          7,          0,         -1,          0,          0, 
55 : hammer_x_WXD010_warriors,    8323685,       2000,    8323684,         -1,    9044236,          2,          0,    9044614,          5,          0,    9044719,          5,          0,         -1,          0,          0, 
56 : lance_m_WME010_warriors,    8323758,       6240,    8323757,         -1,    9044236,          2,          0,    9044624,          4,          0,    9044489,          5,          0,         -1,          0,          0, 
57 : lance_l_WLE030_warriors,    8323795,       6960,    8323794,         -1,    9044236,          2,          0,    9044624,          4,          0,    9044719,          5,          0,         -1,          0,          0, 
58 : staff_m_WMF030_warriors,    8323907,       5760,    8323906,         -1,    9044236,          2,          0,    9044683,          6,          0,    9044334,          2,          0,         -1,          0,          0, 
59 :     Leraje,    8323981,      12800,    8323980,         -1,    9044236,          2,          0,    9044365,          3,          0,    9044450,          6,          0,         -1,          0,          0, 
60 :      Camio,    8323995,      13440,    8323994,         -1,    9044236,          2,          0,    9044334,          2,          0,    9044450,          6,          0,         -1,          0,          0, 
61 :    Cimejes,    8324005,      14080,    8324004,         -1,    9044236,          2,          0,    9044365,          3,          0,    9044728,          3,          0,         -1,          0,          0, 
62 :     Beleth,    8324017,      14720,    8324016,         -1,    9044236,          2,          0,    9044460,          4,          0,    9044346,          3,          0,         -1,          0,          0, 
63 :     Berith,    8324027,      16640,    8324026,         -1,    9044236,          2,          0,    9044683,          8,          0,    9044384,          6,          0,         -1,          0,          0, 
64 :      Forus,    8324033,      15360,    8324032,         -1,    9044236,          3,          0,    9044619,          1,          0,    9044438,          6,          0,         -1,          0,          0, 
65 :      Marax,    8324043,      14720,    8324042,         -1,    9044236,          3,          0,    9044719,          5,          0,    9044450,          6,          0,         -1,          0,          0, 
66 :     Belial,    8324051,      32000,    8324050,         -1,    9044236,          2,          0,    9044379,          5,          0,    9044728,          3,          0,         -1,          0,          0, 
67 :     Purson,    8324057,      16000,    8324056,         -1,    9044236,          2,          0,    9044314,          3,          0,    9044384,          6,          0,         -1,          0,          0, 
68 :     Phenex,    8324067,      16640,    8324066,         -1,    9044236,          3,          0,    9044619,          1,          0,    9044389,          3,          0,         -1,          0,          0, 
69 :      Volac,    8324075,      18560,    8324074,         -1,    9044236,          2,          0,    9044460,          4,          0,    9044346,          3,          0,         -1,          0,          0, 
70 : shield_m_WMG020_battle,    8324128,       3200,    8324127,         -1,    9044236,          2,          0,    9044304,          2,          0,    9044404,          4,          0,         -1,          0,          0, 
71 : shield_l_WLG010_battle,    8324157,       3840,    8324156,         -1,    9044236,          2,          0,    9044354,          2,          0,    9044468,          5,          0,         -1,          0,          0, 
72 : sword_s_uniq_08,    8323159,       6120,    8323128,         -1,    9044264,          3,          0,    9044602,          6,          0,    9044661,          6,          0,         -1,          0,          0, 
73 : sword_l_uniq_04,    8323284,       7800,    8323244,         -1,    9043986,          1,          0,    9044252,          2,          0,    9044729,          3,          0,         -1,          0,          0, 
74 : katana_s_uniq_01,    8323350,       6460,    8323322,         -1,    9044264,          3,          0,    9044392,          4,          0,    9044599,          2,          0,         -1,          0,          0, 
75 : lance_s_uniq_01,    8323741,       8160,    8323725,         -1,    9044264,          3,          0,    9044348,          3,          0,    9044585,          6,          0,         -1,          0,          0, 
76 : staff_m_uniq_03,    8323936,       8160,    8323935,         -1,    9044252,          3,          0,    9044526,          6,          0,    9044191,          1,          0,         -1,          0,          0, 
77 : sword_s_uniq,    8323160,      11900,    8323158,         -1,    9043985,          1,          0,    9044253,          2,          0,    9044170,          1,          0,         -1,          0,          0, 
78 : hammer_m_uniq_03,    8323634,      14260,    8323606,         -1,    9044214,          1,          0,    9044324,          2,          0,    9044716,          1,          0,         -1,          0,          0, 
79 : lance_s_uniq_03,    8323742,      14880,    8323725,         -1,    9044213,          1,          0,    9044547,          3,          0,    9044608,          2,          0,         -1,          0,          0, 
80 : sword_s_WSA010_brave,    8323129,       8640,    8323128,         -1,    9044237,          2,          0,    9044459,          7,          0,    9044555,          6,          0,         -1,          0,          0, 
81 : sword_m_WMA010_brave,    8323173,       9600,    8323172,         -1,    9044237,          2,          0,    9044479,          5,          0,    9044556,          3,          0,         -1,          0,          0, 
82 : sword_m_WMA050_battle,    8323195,       4800,    8323194,         -1,    9044237,          2,          0,    9044643,          5,          0,    9044615,          2,          0,         -1,          0,          0, 
83 : sword_l_WLA010_brave,    8323245,      11040,    8323244,         -1,    9044237,          2,          0,    9044642,          5,          0,    9044626,          2,          0,         -1,          0,          0, 
84 : sword_l_WLA030_battle,    8323255,       5520,    8323254,         -1,    9044237,          2,          0,    9044661,          5,          0,    9044662,          2,          0,         -1,          0,          0, 
85 : katana_s_WSB020_brave,    8323323,       9120,    8323322,         -1,    9044237,          2,          0,    9044407,          7,          0,    9044400,          4,          0,         -1,          0,          0, 
86 : katana_s_WSB030_battle,    8323333,       4560,    8323332,         -1,    9044237,          2,          0,    9044412,          6,          0,    9044468,          8,          0,         -1,          0,          0, 
87 : katana_m_WMB010_brave,    8323356,      10080,    8323355,         -1,    9044237,          2,          0,    9044416,          6,          0,    9044683,          7,          0,         -1,          0,          0, 
88 : katana_m_WMB020_battle,    8323366,       5040,    8323365,         -1,    9044237,          2,          0,    9044379,          6,          0,    9044526,          6,          0,         -1,          0,          0, 
89 : katana_l_WLB010_brave,    8323397,      11520,    8323396,         -1,    9044237,          2,          0,    9044404,          7,          0,    9044672,          6,          0,         -1,          0,          0, 
90 : axe_s_WSC010_brave,    8323443,       9600,    8323442,         -1,    9044237,          2,          0,    9044319,          2,          0,    9044673,          6,          0,         -1,          0,          0, 
91 : axe_s_WSC020_battle,    8323453,       4800,    8323452,         -1,    9044237,          2,          0,    9044443,          7,          0,    9044692,          4,          0,         -1,          0,          0, 
92 : axe_m_WMC020_brave,    8323470,      10560,    8323469,         -1,    9044237,          2,          0,    9044625,          3,          0,    9044346,          3,          0,         -1,          0,          0, 
93 : axe_l_WLC020_brave,    8323515,      12000,    8323514,         -1,    9044237,          2,          0,    9044369,          2,          0,    9044418,          4,          0,         -1,          0,          0, 
94 : axe_l_WLC030_battle,    8323525,       6000,    8323524,         -1,    9044237,          2,          0,    9044409,          5,          0,    9044431,          3,          0,         -1,          0,          0, 
95 : hammer_s_WSD010_brave,    8323581,      10080,    8323580,         -1,    9044237,          2,          0,    9044384,          6,          0,    9044466,          3,          0,         -1,          0,          0, 
96 : hammer_m_WMD010_brave,    8323607,      11040,    8323606,         -1,    9044237,          2,          0,    9044459,          7,          0,    9044555,          6,          0,         -1,          0,          0, 
97 : hammer_m_WMD020_battle,    8323617,       5520,    8323616,         -1,    9044237,          2,          0,    9044479,          5,          0,    9044556,          3,          0,         -1,          0,          0, 
98 : hammer_l_WLD010_brave,    8323640,      12480,    8323639,         -1,    9044237,          2,          0,    9044642,          5,          0,    9044400,          4,          0,         -1,          0,          0, 
99 : hammer_l_WLD030_battle,    8323650,       6240,    8323649,         -1,    9044237,          2,          0,    9044643,          5,          0,    9044468,          8,          0,         -1,          0,          0, 
100 : hammer_x_WXD020_battle,    8323696,       6960,    8323695,         -1,    9044237,          2,          0,    9044661,          5,          0,    9044683,          7,          0,         -1,          0,          0, 
101 : lance_s_WSE020_brave,    8323726,      11520,    8323725,         -1,    9044237,          2,          0,    9044407,          7,          0,    9044710,          2,          0,         -1,          0,          0, 
102 : lance_m_WME030_brave,    8323747,      12480,    8323746,         -1,    9044237,          2,          0,    9044412,          6,          0,    9044334,          2,          0,         -1,          0,          0, 
103 : lance_l_WLE010_brave,    8323784,      13920,    8323783,         -1,    9044237,          2,          0,    9044416,          6,          0,    9044672,          6,          0,         -1,          0,          0, 
104 : lance_x_WXE010_battle,    8323829,       7440,    8323828,         -1,    9044237,          2,          0,    9044379,          6,          0,    9044412,          4,          0,         -1,          0,          0, 
105 : staff_s_WSF010_brave,    8323859,      10560,    8323858,         -1,    9044237,          2,          0,    9044404,          7,          0,    9044556,          3,          0,         -1,          0,          0, 
106 : staff_m_WMF010_brave,    8323896,      11520,    8323895,         -1,    9044237,          2,          0,    9044319,          2,          0,    9044626,          2,          0,         -1,          0,          0, 
107 : staff_m_WMF040_battle,    8323918,       5760,    8323917,         -1,    9044237,          2,          0,    9044443,          7,          0,    9044662,          2,          0,         -1,          0,          0, 
108 : staff_l_WLF020_battle,    8323944,       6480,    8323943,         -1,    9044237,          2,          0,    9044625,          3,          0,    9044711,          2,          0,         -1,          0,          0, 
109 :      Zepar,    8323985,      19200,    8323984,         -1,    9044237,          2,          0,    9044369,          2,          0,    9044574,          3,          0,         -1,          0,          0, 
110 :   Haagenti,    8324009,      21120,    8324008,         -1,    9044237,          2,          0,    9044409,          5,          0,    9044439,          4,          0,         -1,          0,          0, 
111 :     Haures,    8324037,      23040,    8324036,         -1,    9044237,          2,          0,    9044384,          6,          0,    9044418,          4,          0,         -1,          0,          0, 
112 :     Crocel,    8324079,      27840,    8324078,         -1,    9044237,          2,          0,    9044459,          7,          0,    9044431,          3,          0,         -1,          0,          0, 
113 : shield_s_WSG010_warriors,    8324094,       6480,    8324093,         -1,    9044237,          2,          0,    9044479,          5,          0,    9044556,          3,          0,         -1,          0,          0, 
114 : shield_m_WMG010_warriors,    8324117,       7200,    8324116,         -1,    9044237,          2,          0,    9044642,          5,          0,    9044400,          4,          0,         -1,          0,          0, 
115 : sword_s_WSA020_normal,    8323138,       4320,    8323128,         -1,    9044265,          2,          0,    9044590,          2,          0,    9044634,          5,          0,         -1,          0,          0, 
116 : lance_s_WSE010_normal,    8323735,       5760,    8323725,         -1,    9044265,          2,          0,    9044766,          8,          0,    9044738,          2,          0,         -1,          0,          0, 
117 : shield_s_WSG020_normal,    8324104,       4320,    8324093,         -1,    9044265,          2,          0,    9044485,          7,          0,    9044575,          6,          0,         -1,          0,          0, 
118 : sword_m_uniq_02,    8323230,      10200,    8323184,         -1,    9044265,          2,          0,    9044558,          4,          0,    9044446,          4,          0,         -1,          0,          0, 
119 : katana_m_uniq_01_01,    8323388,      10710,    8323355,         -1,    9044265,          2,          0,    9044193,          1,          0,    9044629,          3,          0,         -1,          0,          0, 
120 : katana_m_uniq_01_02,    8323388,      10710,    8323365,         -1,    9044265,          2,          0,    9044193,          1,          0,    9044629,          3,          0,         -1,          0,          0, 
121 : hammer_m_uniq_02,    8323635,      11700,    8323616,         -1,    9044265,          3,          0,    9044362,          1,          0,    9044387,          3,          0,         -1,          0,          0, 
122 : staff_l_uniq_03,    8323961,      13770,    8323943,         -1,    9044265,          3,          0,    9044305,          2,          0,    9044310,          2,          0,         -1,          0,          0, 
123 : sword_s_uniq_02_01,    8323161,      17820,    8323155,         -1,    9044237,          2,          0,    9044194,          1,          0,    9044557,          4,          0,         -1,          0,          0, 
124 : sword_s_uniq_02_02,    8323161,      17820,    8323127,         -1,    9044237,          2,          0,    9044194,          1,          0,    9044557,          4,          0,         -1,          0,          0, 
125 : sword_s_uniq_05,    8323162,      23220,    8323157,         -1,    9044237,          3,          0,    9044172,          1,          0,    9044622,          1,          0,         -1,          0,          0, 
126 : katana_x_uniq_05,    8323435,      25110,    8323425,         -1,    9044216,          1,          0,    9044639,          2,          0,    9044651,          4,          0,         -1,          0,          0, 
127 : staff_m_uniq_07,    8323937,      22320,    8323895,         -1,    9044215,          1,          0,    9044675,          2,          0,    9044652,          3,          0,         -1,          0,          0, 
128 : sword_m_WMA050_warriors,    8323196,       9600,    8323195,         -1,    9044244,          2,          0,    9044766,          5,          0,    9044379,          4,          0,         -1,          0,          0, 
129 : sword_m_WMA020_brave,    8323185,      12800,    8323184,         -1,    9044244,          2,          0,    9044766,          5,          0,    9044407,          3,          0,         -1,          0,          0, 
130 : sword_l_WLA030_warriors,    8323256,      11040,    8323255,         -1,    9044244,          2,          0,    9044766,          5,          0,    9044459,          7,          0,         -1,          0,          0, 
131 : sword_x_WXA010_brave,    8323296,      16640,    8323295,         -1,    9044244,          2,          0,    9044766,          5,          0,    9044672,          7,          0,         -1,          0,          0, 
132 : katana_s_WSB030_warriors,    8323334,       9120,    8323333,         -1,    9044244,          2,          0,    9044319,          6,          0,    9044767,          3,          0,         -1,          0,          0, 
133 : katana_m_WMB020_warriors_01,    8323367,      10080,    8323388,         -1,    9044244,          2,          0,    9044319,          6,          0,    9044625,          2,          0,         -1,          0,          0, 
134 : katana_m_WMB020_warriors_02,    8323367,      10080,    8323366,         -1,    9044244,          2,          0,    9044319,          6,          0,    9044625,          2,          0,         -1,          0,          0, 
135 : katana_x_WXB010_brave,    8323426,      17280,    8323425,         -1,    9044244,          2,          0,    9044319,          6,          0,    9044626,          1,          0,         -1,          0,          0, 
136 : axe_s_WSC020_warriors,    8323454,       9600,    8323453,         -1,    9044244,          2,          0,    9044376,          6,          0,    9044443,          6,          0,         -1,          0,          0, 
137 : axe_m_WMC030_brave,    8323482,      14080,    8323481,         -1,    9044244,          2,          0,    9044376,          6,          0,    9044418,          3,          0,         -1,          0,          0, 
138 : axe_l_WLC030_warriors,    8323526,      12000,    8323525,         -1,    9044244,          2,          0,    9044376,          6,          0,    9044661,          3,          0,         -1,          0,          0, 
139 : axe_x_WXC010_brave,    8323551,      17920,    8323550,         -1,    9044244,          2,          0,    9044376,          6,          0,    9044728,          2,          0,         -1,          0,          0, 
140 : hammer_m_WMD020_warriors,    8323618,      11040,    8323617,         -1,    9044244,          2,          0,    9044633,          2,          0,    9044412,          5,          0,         -1,          0,          0, 
141 : hammer_l_WLD030_warriors,    8323651,      12480,    8323650,         -1,    9044244,          2,          0,    9044633,          2,          0,    9044425,          4,          0,         -1,          0,          0, 
142 : hammer_x_WXD010_brave,    8323686,      18560,    8323685,         -1,    9044244,          2,          0,    9044633,          2,          0,    9044379,          4,          0,         -1,          0,          0, 
143 : hammer_x_WXD020_warriors,    8323697,      13920,    8323696,         -1,    9044244,          2,          0,    9044633,          2,          0,    9044407,          3,          0,         -1,          0,          0, 
144 : lance_m_WME010_brave,    8323759,      16640,    8323758,         -1,    9044244,          2,          0,    9044432,          6,          0,    9044459,          7,          0,         -1,          0,          0, 
145 : lance_l_WLE030_brave,    8323796,      18560,    8323795,         -1,    9044244,          2,          0,    9044432,          6,          0,    9044672,          7,          0,         -1,          0,          0, 
146 : lance_x_WXE010_warriors,    8323830,      14880,    8323829,         -1,    9044244,          2,          0,    9044432,          6,          0,    9044767,          3,          0,         -1,          0,          0, 
147 : staff_m_WMF030_brave,    8323908,      15360,    8323907,         -1,    9044244,          2,          0,    9044673,          5,          0,    9044450,          5,          0,         -1,          0,          0, 
148 : staff_m_WMF040_warriors,    8323919,      11520,    8323918,         -1,    9044244,          2,          0,    9044673,          5,          0,    9044625,          2,          0,         -1,          0,          0, 
149 : staff_l_WLF020_warriors,    8323945,      12960,    8323944,         -1,    9044244,          2,          0,    9044673,          5,          0,    9044626,          1,          0,         -1,          0,          0, 
150 : shield_m_WMG020_warriors,    8324129,       9600,    8324128,         -1,    9044244,          2,          0,    9044396,          2,          0,    9044443,          6,          0,         -1,          0,          0, 
151 : shield_l_WLG010_warriors,    8324158,      11520,    8324157,         -1,    9044244,          2,          0,    9044396,          2,          0,    9044418,          3,          0,         -1,          0,          0, 
152 : shield_l_WLG030_battle,    8324169,       7680,    8324168,         -1,    9044244,          2,          0,    9044396,          2,          0,    9044661,          3,          0,         -1,          0,          0, 
153 : shield_x_WXG010_battle,    8324195,       8960,    8324194,         -1,    9044244,          2,          0,    9044396,          2,          0,    9044728,          2,          0,         -1,          0,          0, 
154 : sword_m_WMA030_normal_01,    8323206,       6400,    8323173,         -1,    9044266,          3,          0,    9044335,          2,          0,    9044663,          2,          0,         -1,          0,          0, 
155 : sword_m_WMA030_normal_02,    8323206,       6400,    8323233,         -1,    9044266,          3,          0,    9044335,          2,          0,    9044663,          2,          0,         -1,          0,          0, 
156 : katana_s_WSB010_normal,    8323344,       6080,    8323323,         -1,    9044266,          3,          0,    9044398,          3,          0,    9044496,          3,          0,         -1,          0,          0, 
157 : axe_m_WMC010_normal,    8323491,       7040,    8323470,         -1,    9044266,          3,          0,    9044328,          2,          0,    9044674,          3,          0,         -1,          0,          0, 
158 : hammer_l_WLD020_normal,    8323661,       8320,    8323640,         -1,    9044266,          3,          0,    9044359,          2,          0,    9044675,          2,          0,         -1,          0,          0, 
159 : lance_m_WME020_normal,    8323768,       8320,    8323747,         -1,    9044266,          3,          0,    9044355,          2,          0,    9044730,          2,          0,         -1,          0,          0, 
160 :   Naberius,    8323988,      22400,    8323981,         -1,    9044254,          1,          0,    9044335,          2,          0,    9044663,          2,          0,         -1,          0,          0, 
161 :      Seere,    8324012,      24640,    8324005,         -1,    9044254,          1,          0,    9044328,          2,          0,    9044674,          3,          0,         -1,          0,          0, 
162 :     Guison,    8324030,      29120,    8324027,         -1,    9044254,          1,          0,    9044359,          2,          0,    9044730,          2,          0,         -1,          0,          0, 
163 :       Vine,    8324070,      29120,    8324067,         -1,    9044254,          1,          0,    9044355,          2,          0,    9044675,          2,          0,         -1,          0,          0, 
164 : sword_m_uniq_07,    8323231,      13600,    8323195,         -1,    9044254,          1,          0,    9044730,          2,          0,    9044366,          3,          0,         -1,          0,          0, 
165 : axe_x_uniq_03,    8323571,      19040,    8323550,         -1,    9044504,          1,          0,    9044244,          1,          0,    9044390,          3,          0,         -1,          0,          0, 
166 : staff_m_uniq_02_01,    8323939,      31680,    8323907,         -1,    9044502,          2,          0,    9044173,          1,          0,    9044320,          2,          0,         -1,          0,          0, 
167 : staff_m_uniq_02_02,    8323939,      31680,    8323918,         -1,    9044502,          2,          0,    9044173,          1,          0,    9044320,          2,          0,         -1,          0,          0, 
168 : hammer_s_uniq_01,    8323602,      27720,    8323581,         -1,    9044596,          2,          0,    9044174,          1,          0,    9044306,          3,          0,         -1,          0,          0, 
169 : hammer_l_uniq_05,    8323678,      32240,    8323640,         -1,    9044217,          1,          0,    9044703,          3,          0,    9044320,          3,          0,         -1,          0,          0, 
170 : lance_l_uniq_05,    8323822,      35960,    8323795,         -1,    9044218,          1,          0,    9044666,          2,          0,    9044581,          2,          0,         -1,          0,          0, 
171 : sword_s_WSA010_elite,    8323130,      19440,    8323129,         -1,    9044245,          3,          0,    9044684,          3,          0,    9044443,          4,          0,         -1,          0,          0, 
172 : sword_m_WMA010_elite_01,    8323174,      21600,    8323173,         -1,    9044245,          3,          0,    9044684,          3,          0,    9044766,          5,          0,         -1,          0,          0, 
