           km_,      km_id, 
175 : item_btl_pc_violet,          0, 
176 : item_btl_pc_gabriel,          0, 
177 :  item_emmy,          0, 
178 : item_btl_pc_glenys,          0, 
179 : item_jager,          0, 
180 : item_david_nassau_s,          0, 
181 : item_btl_pc_loki,          0, 
182 : item_btl_pc_nora,          0, 
183 : item_btl_pc_roberto,          0, 
184 : item_btl_pc_khrynia,          0, 
185 : item_btl_pc_rhagoh,          0, 
186 : item_btl_pc_paris,          0, 
187 : item_btl_pc_kate,          0, 
188 : item_btl_pc_sheryl,          0, 
189 : item_irina_sykes_s,          0, 
190 : item_haruko,          0, 
191 : item_plocter,          0, 
192 : item_btl_pc_baulson,          0, 
193 : item_btl_pc_gaou,          0, 
194 : item_duke_of_ghor,          0, 
195 : item_btl_pc_zolean,          0, 
196 : item_btl_pc_yuniver,          0, 
197 : item_btl_pc_sibal,          0, 
198 : item_btl_pc_darien,          0, 
199 : item_pagus,          0, 
200 : item_btl_pc_maddox,          0, 
201 : item_btl_pc_leshau,          0, 
202 : item_torgal,          0, 
203 : item_btl_pc_caedmon,          0, 
204 : item_btl_pc_allan,          0, 
205 : item_btl_pc_wyngale,          0, 
206 : item_btl_pc_leucetius,          0, 
207 : item_yakusouC,          0, 
208 : item_yakusouB,          0, 
209 : item_yakusouA,          0, 
210 : item_yakusouS,          0, 
211 : item_potionC,          0, 
212 : item_potionB,          0, 
213 : item_potionA,          0, 
214 : item_potionS,          0, 
215 : item_nuriC,          0, 
216 : item_nuriB,          0, 
217 : item_nuriA,          0, 
218 : item_nuriS,          0, 
219 : item_bombC,          0, 
220 : item_bombB,          0, 
221 : item_bombA,          0, 
222 : item_bombS,          0, 
223 : item_trapC,          0, 
224 : item_trapB,          0, 
225 : item_trapA,          0, 
226 : item_trapS,          0, 
227 : item_yakusouBnuriC,          0, 
228 : item_yakusouAbombC,          0, 
229 : item_nuriAyakusouA,          0, 
230 : item_yakusouSpotionS,          0, 
231 : item_yakusouSpotionA,          0, 
232 : item_nuriSpotionS,          0, 
233 : item_trapSyakusouS,          0, 
234 : arts_btl_7th_01,          0, 
235 : arts_btl_7th_02,          0, 
236 : arts_btl_7th_03,          0, 
237 : arts_btl_7th_04,          0, 
238 : arts_btl_7th_05,          0, 
239 : arts_btl_7th_06,          0, 
240 : arts_btl_7th_07,          0, 
241 : magic_btl_7th_01,          0, 
242 : magic_btl_7th_02,          0, 
243 : magic_btl_7th_03,          0, 
244 : magic_btl_7th_04,          0, 
245 : magic_btl_7th_05,          0, 
246 : magic_btl_7th_06,          0, 
247 : magic_btl_7th_07,          0, 
248 : item_btl_7th_01,          0, 
249 : item_btl_7th_02,          0, 
250 : item_btl_7th_03,          0, 
251 : item_btl_7th_04,          0, 
252 : item_btl_7th_05,          0, 
253 : item_btl_7th_06,          0, 
254 : item_btl_7th_07,          0, 

