           km_,   km_namen, km_class_ancestry, km_class_rank, km_class_type, km_class_lv, km_class_rankup,      km_hp,      km_ap,     km_spd, km_mgcskill_07, km_sp_ctrl_15, km_sp_ctrl_14, km_sp_ctrl_13, km_sp_ctrl_12, km_sp_ctrl_11, km_sp_ctrl_10, km_sp_ctrl_9, km_sp_ctrl_8, km_sp_ctrl_7, km_sp_ctrl_6, km_sp_ctrl_5, km_sp_ctrl_4, km_sp_ctrl_3, km_sp_ctrl_2, km_sp_ctrl_1, km_sp_ctrl_0,     km_str,     km_mgc, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcc_cnt, km_mgcc_threshold, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_class_bonus_1, km_class_bonus_2, km_class_bonus_3, km_class_bonus_4, km_logic_target_union, km_logic_target_unit, 
35 : class_fighter_type_F_006,         36,          1,          3,          6,          6,          1,        672,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         95,         13,         50,        697,         56,       2955, 
36 : class_fighter_type_G_001,         37,          1,          3,          7,          1,          0,        456,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        101,         -1,         50,        691,         56,       2955, 
37 : class_fighter_type_G_002,         38,          1,          3,          7,          2,          0,        480,         38,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        101,         19,         50,        691,         56,       2955, 
38 : class_fighter_type_G_003,         39,          1,          3,          7,          3,          1,        504,         40,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        102,         19,         50,        691,         56,       2955, 
39 : class_fighter_type_G_004,         40,          1,          3,          7,          4,          1,        540,         42,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        103,         20,         50,        691,         56,       2955, 
40 : class_fighter_type_G_005,         41,          1,          3,          7,          5,          1,        600,         46,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        104,         21,         50,        691,         56,       2955, 
41 : class_fighter_type_G_006,         42,          1,          3,          7,          6,          1,        672,         52,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        105,         22,         50,        691,         56,       2955, 
42 : class_fighter_type_H_001,         43,          1,          3,          8,          1,          0,        456,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         96,         -1,         50,        691,         56,       2955, 
43 : class_fighter_type_H_002,         44,          1,          3,          8,          2,          0,        480,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         96,         28,         50,        691,         56,       2955, 
44 : class_fighter_type_H_003,         45,          1,          3,          8,          3,          1,        504,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         97,         28,         50,        691,         56,       2955, 
45 : class_fighter_type_H_004,         46,          1,          3,          8,          4,          1,        540,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         98,         29,         50,        691,         56,       2955, 
46 : class_fighter_type_H_005,         47,          1,          3,          8,          5,          1,        600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         99,         30,         50,        691,         56,       2955, 
47 : class_fighter_type_H_006,         48,          1,          3,          8,          6,          1,        672,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         31,         50,        691,         56,       2955, 
48 : class_fighter_type_I_001,         49,          1,          3,          9,          1,          0,        456,         36,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        106,         -1,         50,        697,         56,       2955, 
49 : class_fighter_type_I_002,         50,          1,          3,          9,          2,          0,        480,         38,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        106,         38,         50,        697,         56,       2955, 
50 : class_fighter_type_I_003,         51,          1,          3,          9,          3,          1,        504,         40,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        107,         38,         50,        697,         56,       2955, 
51 : class_fighter_type_I_004,         52,          1,          3,          9,          4,          1,        540,         42,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        108,         39,         50,        697,         56,       2955, 
52 : class_fighter_type_I_005,         53,          1,          3,          9,          5,          1,        600,         46,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        109,         40,         50,        697,         56,       2955, 
53 : class_fighter_type_I_006,         54,          1,          3,          9,          6,          1,        672,         52,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        110,         41,         50,        697,         56,       2955, 
54 : class_fighter_type_J_001,         55,          1,          3,         10,          1,          0,        456,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        111,         -1,         50,        691,         56,       2955, 
55 : class_fighter_type_J_002,         56,          1,          3,         10,          2,          0,        480,         38,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        111,         33,         50,        691,         56,       2955, 
56 : class_fighter_type_J_003,         57,          1,          3,         10,          3,          1,        504,         40,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        112,         33,         50,        691,         56,       2955, 
