           km_, km_saisyu_type,  km_money1,   km_item1,   km_eqlv1,  km_money2,   km_item2,   km_eqlv2,  km_money3,   km_item3,   km_eqlv3,  km_money4,   km_item4,   km_eqlv4, 
111 : DRC_0101_D001,         46,          0,    9044296,         99,       5741,    9044296,         99,       6890,    9044296,         99,       8038,    9044296,         99, 
112 : DRC_0101_D002,         46,          0,    9044030,         99,       5741,    9044030,         99,       6890,    9044030,         99,       8038,    9044030,         99, 
113 : DKF_0101_D002,         46,          0,    9044295,         99,       5741,    9044295,         99,       6890,    9044295,         99,       8038,    9044295,         99, 
114 : DKF_0201_D001,         46,          0,    8913086,         99,          0,    8913086,         99,          0,    8913086,         99,          0,    8913086,         99, 
115 : DKF_0201_D002,         46,          0,    9044294,         99,       5741,    9044294,         99,       6890,    9044294,         99,       8038,    9044294,         99, 
116 : DKF_0102_D001,         46,          0,    9044033,         99,       5741,    9044033,         99,       6890,    9044033,         99,       8038,    9044033,         99, 
117 : VKL_0101_D001,         46,          0,    9044322,         99,       5741,    9044322,         99,       6890,    9044322,         99,       8038,    9044322,         99, 
118 : VKL_0201_D001,         46,          0,    8913079,         99,          0,    8913079,         99,          0,    8913079,         99,          0,    8913079,         99, 
119 : VKL_0201_D002,         46,          0,    9044034,         99,       5741,    9044034,         99,       6890,    9044034,         99,       8038,    9044034,         99, 
120 : VKL_0201_D003,         46,          0,    9044309,         99,       5741,    9044309,         99,       6890,    9044309,         99,       8038,    9044309,         99, 
121 : SBF_0203_D001,         47,          0,    9044035,         99,       7078,    9044035,         99,       8493,    9044035,         99,       9909,    9044035,         99, 
122 : SBF_0203_D002,         47,          0,    9044361,         99,       7078,    9044361,         99,       8493,    9044361,         99,       9909,    9044361,         99, 
123 : SBN_0104_D001,         47,          0,    9044037,         99,       8554,    9044037,         99,      10265,    9044037,         99,      11976,    9044037,         99, 
124 : SBN_0104_D002,         47,          0,    9044317,         99,       8554,    9044317,         99,      10265,    9044317,         99,      11976,    9044317,         99, 

