           km_, km_sword_exp, km_sword_exp2, km_sword_lv_base, km_sword_lv_now, km_sword_lv_battle, km_katana_exp, km_katana_exp2, km_katana_lv_base, km_katana_lv_now, km_katana_lv_battle, km_axe_exp, km_axe_exp2, km_axe_lv_base, km_axe_lv_now, km_axe_lv_battle, km_hammer_exp, km_hammer_exp2, km_hammer_lv_base, km_hammer_lv_now, km_hammer_lv_battle, km_spear_exp, km_spear_exp2, km_spear_lv_base, km_spear_lv_now, km_spear_lv_battle, km_mece_exp, km_mece_exp2, km_mece_lv_base, km_mece_lv_now, km_mece_lv_battle, 
18 : btl_free_npc,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
19 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
20 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
21 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
22 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
23 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
24 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
25 : btl_free_npc_093,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
26 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
27 : btl_free_npc,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
28 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
29 : btl_free_npc_073,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
30 : btl_free_npc_017,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
31 : btl_free_npc_043,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
32 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
33 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
34 : btl_free_npc_031,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
35 : btl_pc_loki,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
36 : btl_free_npc,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
37 : btl_free_npc,         23,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
38 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         24,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
39 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
40 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
41 : btl_free_npc_046,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1, 
42 : btl_free_npc_097,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
43 : btl_free_npc,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
44 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
45 : btl_free_npc,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
46 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
47 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
48 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
49 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
50 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
51 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
52 : btl_free_npc_072,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
53 : btl_free_npc_083,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
54 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
55 : btl_free_npc_069,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
56 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
57 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
58 : btl_free_npc_007,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
59 : btl_free_npc_015,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
60 : btl_free_npc_090,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
61 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
62 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
63 : btl_pc_jorgen_class1,          0,          0,         -1,         -1,         -1,        840,          0,          7,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
64 : btl_pc_jorgen_class2,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
65 : btl_pc_jorgen_class3,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       3277,          0,         23,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
66 : btl_pc_jorgen_class4,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
67 : btl_pc_jorgen_class5,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       1400,          0,         11,         -1,         -1, 
68 : btl_pc_jorgen_class6,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
69 : btl_pc_jorgen_class7,        420,          0,          4,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
70 : btl_pc_violet,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1, 
71 : btl_pc_gabriel,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
72 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
73 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
74 : btl_free_npc,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
75 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
76 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
77 : btl_free_npc_026,          0,          0,         -1,         -1,         -1,         22,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
78 : btl_free_npc_021,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
79 : btl_free_npc_088,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
80 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
81 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
82 : btl_free_npc,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
83 : btl_free_npc,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
84 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
85 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
86 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
87 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
88 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
89 : btl_free_npc_087,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1, 
90 : btl_free_npc,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
91 : btl_free_npc_022,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
92 : btl_free_npc_066,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
93 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
94 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
95 : btl_free_npc_006,          0,          0,         -1,         -1,         -1,         79,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
96 : btl_free_npc_020,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
97 : btl_free_npc_052,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
98 : btl_free_npc_089,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,          1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
99 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
100 : btl_pc_nora,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        421,          0,          4,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
101 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
102 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
103 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
104 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
105 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        441,          0,          4,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
106 : btl_free_npc_086,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
107 : btl_free_npc_077,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
