           km_,   km_money,   km_item1,   km_eqlv1,    km_num1,   km_item2,   km_eqlv2,    km_num2,   km_item3,   km_eqlv3,    km_num3,   km_item4,   km_eqlv4,    km_num4, 
30 : low_member_num_002,          0,    8913276,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
31 : low_member_personal_002,          0,    8913122,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
32 : low_zako_009,          0,    8913251,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
33 : low_zako_010,          0,    8913189,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
34 : low_material_018,          0,    8913135,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
35 : low_material_019,       4500,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
36 : low_material_020,          0,    8913210,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
37 : low_eq_002,          0,    8913228,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
38 : low_member_personal_003,          0,    8913137,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
39 : low_zako_011,       5600,    9044106,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
40 : low_zako_012,       5400,    9044106,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
41 : low_named_003,          0,    8913281,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
42 : low_material_021,          0,    8913130,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
43 : low_material_022,       4800,    9044106,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
44 : low_material_023,          0,    8913211,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
45 : low_material_024,       4900,    9044106,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
46 : low_material_025,          0,    8913145,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
47 : low_member_personal_004,       5400,    9044106,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
48 : low_zako_013,          0,    8913190,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
49 : low_member_personal_005,          0,    8913131,         99,          1,    8913070,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
50 : low_zako_014,          0,    8913126,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
51 : low_material_026,          0,    8913234,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
52 : low_zako_015,          0,    8913241,         99,          1,    8913073,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
53 : low_named_004,          0,    8913191,         99,          1,    8913311,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
54 : low_material_027,          0,    8913284,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
55 : low_member_personal_006,          0,    8913147,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
56 : low_zako_016,       7500,    9044106,         99,          6,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
57 : low_material_028,       7200,    9044106,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
58 : low_btl_chain_008,          0,    8323229,          0,          1,    9044227,         99,          1,    9044229,         99,          1,    9044248,         99,          2, 
59 : low_named_031,      50000,    8913271,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
60 : low_btl_treasure_008,          0,    8323740,          0,          1,    9044231,         99,          1,    9044249,         99,          2,         -1,         -1,          0, 
61 : low_named_032,     120000,    8913240,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
62 : neutral_zako_001,          0,    8913203,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
63 : neutral_named_001,          0,    8913204,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
64 : neutral_material_001,       1000,    9044105,         99,          1,    8913244,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
65 : neutral_material_002,          0,    8913264,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
66 : neutral_member_personal_001,        500,    9044105,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
67 : neutral_btl_chain_001,          0,    8913220,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
68 : neutral_zako_002,          0,    8913286,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
69 : neutral_named_002,          0,    8913192,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
70 : neutral_material_003,          0,    8913242,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
71 : neutral_material_004,       1200,    9044105,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
72 : neutral_material_005,          0,    8913274,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
73 : neutral_eq_001,          0,    8913107,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
74 : neutral_zako_003,          0,    8913108,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
75 : neutral_named_003,          0,    8913297,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
76 : neutral_material_006,        500,    9044105,         99,          2,    8913223,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
77 : neutral_material_007,       1800,    9044105,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
78 : neutral_eq_002,          0,    8913287,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
79 : neutral_btl_chain_002,       1300,    9044105,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
80 : neutral_zako_004,       1000,    9044105,         99,          4,    8913208,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
81 : neutral_named_004,          0,    8913193,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
82 : neutral_material_008,       2800,    9044105,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
83 : neutral_material_009,       2600,    9044105,         99,          3,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
84 : neutral_material_010,          0,    8913289,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
85 : neutral_eq_003,       2500,    9044105,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
86 : neutral_member_personal_002,       2600,    9044105,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
87 : neutral_btl_treasure_001,          0,    8913246,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
88 : neutral_zako_005,       3500,    9044105,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
89 : neutral_named_005,          0,    8913129,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
90 : neutral_material_011,          0,    8913298,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
91 : neutral_material_012,       2500,    9044105,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
92 : neutral_eq_004,       3600,    9044105,         99,          4,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
93 : neutral_member_num_001,          0,    8913275,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
94 : neutral_btl_chain_003,       3800,    9044105,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
95 : neutral_zako_006,          0,    8913252,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
96 : neutral_named_006,          0,    8913194,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
97 : neutral_material_013,          0,    8913250,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
98 : neutral_material_014,          0,    8913109,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
99 : neutral_material_015,          0,    8913124,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
100 : neutral_eq_005,       4500,    9044105,         99,          5,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
101 : neutral_btl_treasure_002,          0,    8913292,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
102 : neutral_zako_007,          0,    8913128,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
103 : neutral_named_007,          0,    8913280,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
104 : neutral_material_016,          0,    8913268,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
105 : neutral_material_017,          0,    8913140,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
106 : neutral_member_num_002,          0,    8913139,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
107 : neutral_zako_008,          0,    8913273,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
108 : neutral_named_008,          0,    8913195,         99,          1,    8913125,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
109 : neutral_material_018,       5200,    9044105,         99,          6,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
110 : neutral_material_019,          0,    8913136,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
111 : neutral_eq_006,       5400,    9044105,         99,          5,    8913141,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
112 : neutral_member_personal_003,          0,    8913230,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
113 : neutral_zako_009,          0,    8913138,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
114 : neutral_named_009,          0,    8913233,         99,          1,    8913143,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
115 : neutral_material_020,          0,    8913270,         99,          1,    8913123,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
116 : neutral_material_021,          0,    8913133,         99,          1,    8913068,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
117 : neutral_eq_007,          0,    8913300,         99,          1,    8913142,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
118 : neutral_zako_010,          0,    8913196,         99,          1,    8913150,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
119 : neutral_named_010,          0,    8913214,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
120 : neutral_material_022,          0,    8913144,         99,          1,    8913313,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
121 : neutral_material_023,          0,    8913272,         99,          1,    8913149,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
122 : neutral_zako_011,          0,    8913296,         99,          1,    8913151,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
123 : neutral_named_011,          0,    8913148,         99,          1,    8913071,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
124 : neutral_material_024,       6000,    9044105,         99,          6,    8913127,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
125 : neutral_eq_008,          0,    8913237,         99,          1,    8913146,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
126 : neutral_zako_012,       8000,    9044105,         99,          8,    8913074,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
127 : neutral_named_012,          0,    8913261,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
128 : neutral_material_025,       7500,    9044105,         99,          7,    8323967,          0,          1,         -1,         -1,          0,         -1,         -1,          0, 
129 : neutral_material_029,          0,    8913184,         99,          1,    9044241,         99,          2,    9044242,         99,          2,         -1,         -1,          0, 
130 : neutral_named_029,      20000,    8323181,          0,          1,    9044313,         99,          2,         -1,         -1,          0,         -1,         -1,          0, 
131 : neutral_material_030,          0,    8913185,         99,          1,    9044249,         99,          2,    9044317,         99,          2,         -1,         -1,          0, 
132 : neutral_named_030,      80000,    8323496,          0,          1,    9044313,         99,          2,         -1,         -1,          0,         -1,         -1,          0, 
133 : neutral_material_031,          0,    8913186,         99,          1,    9044233,         99,          1,    9044250,         99,          2,         -1,         -1,          0, 
134 : neutral_named_031,     150000,    8323228,          0,          1,    9044313,         99,          2,         -1,         -1,          0,         -1,         -1,          0, 
135 : neutral_material_032,          0,    8323821,          0,          1,    9044234,         99,          1,    9044275,         99,          2,         -1,         -1,          0, 
136 : neutral_named_032,     500000,    8913076,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
137 : chaos_zako_001,       5200,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
138 : chaos_named_001,       6100,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
139 : chaos_named_002,          0,    8913254,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
140 : chaos_named_003,       6000,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
141 : chaos_material_001,       5800,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
142 : chaos_material_002,       5100,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
143 : chaos_material_003,          0,    8913232,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
144 : chaos_eq_001,          0,    8913197,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
145 : chaos_member_num_001,       4600,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
146 : chaos_zako_002,          0,    8913152,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
147 : chaos_named_004,          0,    8913255,         99,          1,    8913170,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
148 : chaos_named_005,          0,    8913257,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
149 : chaos_named_006,          0,    8913198,         99,          1,    8913158,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
150 : chaos_material_004,          0,    8913154,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
151 : chaos_material_005,          0,    8913227,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
152 : chaos_material_006,          0,    8913175,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
153 : chaos_material_007,          0,    8913179,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
154 : chaos_eq_002,          0,    8913176,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
155 : chaos_btl_treasure_001,       6300,    9044107,         99,          2,    8913069,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
156 : chaos_zako_003,          0,    8913180,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
157 : chaos_named_007,          0,    8913285,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
158 : chaos_named_008,          0,    8913199,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
159 : chaos_named_009,          0,    8913235,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
160 : chaos_material_008,       6200,    9044107,         99,          2,    8913153,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
161 : chaos_material_009,          0,    8913181,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
162 : chaos_material_010,       5300,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
163 : chaos_material_011,          0,    8913260,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
164 : chaos_material_012,       6200,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
165 : chaos_eq_003,       5400,    9044107,         99,          2,    8913155,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
166 : chaos_zako_004,       7500,    9044107,         99,          2,    8913163,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
167 : chaos_named_010,       8000,    9044107,         99,          2,    8913160,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
168 : chaos_named_011,       5800,    9044107,         99,          2,    8913178,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
169 : chaos_named_012,          0,    8913294,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
170 : chaos_material_013,          0,    8913161,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
171 : chaos_material_014,          0,    8913174,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
172 : chaos_material_015,       7100,    9044107,         99,          2,    8913167,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
173 : chaos_material_016,       6800,    9044107,         99,          2,    8913165,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
174 : chaos_material_017,          0,    8913263,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
175 : chaos_material_018,          0,    8913177,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
176 : chaos_eq_004,       6100,    9044107,         99,          2,    8913173,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
177 : chaos_member_num_002,       6200,    9044107,         99,          2,    8913072,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
178 : chaos_member_personal_001,       5200,    9044107,         99,          2,    8913166,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
179 : chaos_btl_treasure_002,          0,    8913200,         99,          1,    8913164,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
180 : chaos_zako_005,          0,    8913159,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
181 : chaos_named_013,       5500,    9044107,         99,          2,    8913310,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
182 : chaos_named_014,      12000,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
183 : chaos_named_015,      12000,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
184 : chaos_named_016,          0,    8913215,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
185 : chaos_material_019,       5600,    9044107,         99,          2,    8913162,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
186 : chaos_material_020,       7200,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
187 : chaos_material_021,       6200,    9044107,         99,          2,    8913169,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
188 : chaos_material_022,       6600,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
189 : chaos_material_023,       5800,    9044107,         99,          2,    8913172,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
190 : chaos_material_024,       7400,    9044107,         99,          2,    8913156,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
191 : chaos_material_025,       6400,    9044107,         99,          2,    8913312,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
192 : chaos_material_026,       6000,    9044107,         99,          2,    8913171,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
193 : chaos_material_027,       7000,    9044107,         99,          2,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
194 : chaos_material_028,       6800,    9044107,         99,          2,    8913168,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
195 : chaos_eq_005,          0,    8913201,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
196 : chaos_member_personal_002,       6500,    9044107,         99,          2,    8913157,         99,          1,         -1,         -1,          0,         -1,         -1,          0, 
197 : chaos_zako_031,          0,    8323636,          0,          1,    9044228,         99,          1,    9044230,         99,          1,    9044242,         99,          2, 
198 : chaos_named_031,      30000,    8913282,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 
199 : chaos_zako_032,          0,    8323666,          0,          1,    9044232,         99,          1,    9044317,         99,          2,         -1,         -1,          0, 
200 : chaos_named_032,     100000,    8913262,         99,          1,         -1,         -1,          0,         -1,         -1,          0,         -1,         -1,          0, 

