           km_,   km_namen,    km_icon, km_eq_type, km_eq_sword, km_eq_katana,  km_eq_axe, km_eq_mace, km_eq_spear, km_eq_staff, km_eq_shield, km_eq_accessory,  km_size_s,  km_size_m,  km_size_l, km_size_ll,  km_eq_sub, km_eq_twoh, km_eq_subonly, km_eqset_qsitis, km_eqset_mitras, km_eqset_yamas, km_eqset_sovanis, km_eqonly_qsitis, km_eqonly_mitras, km_eqonly_yamas, km_eqonly_sovanis, km_eqonly_chara, 
113 : qsitis_staff_LL,         30,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
114 : mitras_staff_S,         27,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
115 : mitras_staff_M,         28,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
116 : mitras_staff_L,         29,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,         -1, 
117 : mitras_staff_LL,         30,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
118 : yamas_staff_S,         27,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
119 : yamas_staff_M,         28,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
120 : yamas_staff_L,         29,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
121 : yamas_staff_LL,         30,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,         -1, 
122 : sovanis_staff_S,         27,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
123 : sovanis_staff_M,         28,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
124 : sovanis_staff_L,         29,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          4,          0,          0,          0,          1,         -1, 
125 : sovanis_staff_LL,         30,         16,          2,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
126 :     shield,         31,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1, 
127 :   shield_S,         32,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,         20,         10,          0,          0,          0,          0,          0,          0,         -1, 
128 :   shield_M,         33,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,         30,         20,         10,          0,          0,          0,          0,          0,         -1, 
129 :   shield_L,         34,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0,         30,         20,          0,          0,          0,          0,          0,         -1, 
130 :  shield_LL,         35,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,         30,          0,          0,          0,          1,          0,         -1, 
131 : qsitis_shield_S,         32,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,         20,          0,          0,          0,          1,          0,          0,          0,         -1, 
132 : qsitis_shield_M,         33,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,         30,          0,          0,          0,          1,          0,          0,          0,         -1, 
133 : qsitis_shield_L,         34,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
134 : qsitis_shield_LL,         35,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,         -1, 
135 : mitras_shield_S,         32,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,         10,          0,          0,          0,          1,          0,          0,         -1, 
136 : mitras_shield_M,         33,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          0,         20,          0,          0,          0,          1,          0,          0,         -1, 
137 : mitras_shield_L,         34,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0,         30,          0,          0,          0,          1,          0,          0,         -1, 
