           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,   km_item1,    km_num1,   km_odds1,   km_item2,    km_num2,   km_odds2,   km_item3,    km_num3,   km_odds3,   km_item4,    km_num4,   km_odds4, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8, 
43 : mons_MJ1011_120_clr1,         44,         44,         16,         61,       1304,       4860,       2209,          0,          0,    9044412,          4,         50,    9044383,          4,         50,    9044527,          3,         40,    9044534,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
44 : mons_MJ1011_120_clr2,         45,         45,         16,         61,       1305,       7290,       3314,          0,          0,    9044476,          2,         30,    9044388,          3,         40,    9044533,          1,          5,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
45 : mons_MJ1010_NM_001,         46,         46,         16,         61,       1310,      25660,      11660,          0,          0,    9044383,          4,         50,    9044531,          1,         20,    9044476,          2,         30,    9044176,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
46 : mons_MJ1010_NM_002,         47,         47,         16,         61,       1311,       6670,       3030,          0,          0,    9044459,          4,         50,    9044443,          3,         40,    9044531,          1,         20,    9044169,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
47 : mons_MJ1010_NM_003,         48,         48,         16,         61,       1312,      40820,      18550,          0,          0,    9044388,          4,         50,    9044532,          1,         20,    9044182,          1,          5,    9044185,          1,          3,          3,          0,          3,          0,          0,          0,          3,          1, 
48 : mons_MJ1010_NM_004,         49,         49,         16,         61,       1313,      14130,       6420,          0,          0,    9044526,          4,         50,    9044432,          3,         40,    9044532,          1,         20,    9044172,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
49 : mons_MJ1010_NM_005,         50,         50,         16,         61,       1314,      42770,      19440,          0,          0,    9044476,          3,         40,    9044388,          4,         50,    9044534,          1,         20,    9044182,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
50 : mons_MJ1010_NM_006,         51,         51,         16,         61,       1315,      26440,      12020,          0,          0,    9044476,          4,         50,    9044388,          3,         40,    9044533,          1,         10,    9044187,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
51 : mons_MJ1010_NM_007,         52,         52,         16,         61,       1316,      39660,      18030,          0,          0,    9044476,          3,         40,    9044388,          4,         50,    9044533,          1,         10,    9044182,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
52 : mons_MJ1010_NM_008,         53,         53,         16,         61,       1317,      48990,      22270,          0,          0,    9044533,          1,         10,    9044405,          2,         30,    9044185,          1,          5,    9044188,          1,          3,          3,          0,          3,          0,          0,          0,          3,          1, 
53 : mons_MJ3010_100_clr0,         54,         54,         16,         61,       1400,        495,        225,          0,          0,    9044535,          3,         40,    9044395,          3,         40,    9044451,          3,         40,    9044541,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
54 : mons_MJ3010_100_clr1,         55,         55,         16,         61,       1401,       2376,       1080,          0,          0,    9044399,          3,         40,    9044392,          3,         40,    9044536,          3,         40,    9044542,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
55 : mons_MJ3010_100_clr2,         56,         56,         16,         61,       1402,       3861,       1755,          0,          0,    9044443,          3,         40,    9044412,          3,         40,    9044537,          2,         30,    9044172,          1,          3,          1,          0,          0,          1,          0,          1,          0,          0, 
56 : mons_MJ3011_120_clr0,         57,         57,         16,         61,       1403,       4455,       2025,          0,          0,    9044459,          4,         50,    9044412,          4,         50,    9044416,          4,         50,    9044544,          1,         20,          1,          0,          0,          1,          0,          1,          0,          0, 
57 : mons_MJ3011_120_clr1,         58,         58,         16,         61,       1404,       2970,       1350,          0,          0,    9044459,          3,         40,    9044379,          3,         40,    9044542,          1,          5,         -1,          0,          0,          1,          0,          0,          1,          0,          1,          0,          0, 
58 : mons_MJ3011_120_clr2,         59,         59,         16,         61,       1405,      11880,       5400,          0,          0,    9044381,          3,         40,    9044361,          1,          5,    9044545,          1,         10,    9044378,          1,         20,          1,          0,          0,          1,          0,          1,          0,          0, 
59 : mons_MJ3010_NM_001,         60,         60,         16,         61,       1410,       3920,       1780,          0,          0,    9044536,          4,         50,    9044404,          4,         50,    9044541,          1,         20,    9044170,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
60 : mons_MJ3010_NM_002,         61,         61,         16,         61,       1411,       4200,       1910,          0,          0,    9044535,          4,         50,    9044536,          4,         50,    9044412,          2,         30,    9044541,          1,         10,          3,          0,          0,          3,          0,          3,          0,          1, 
61 : mons_MJ3010_NM_003,         62,         62,         16,         61,       1412,       8470,       3850,          0,          0,    9044536,          4,         50,    9044459,          4,         50,    9044443,          3,         40,    9044541,          2,         30,          3,          0,          0,          3,          0,          3,          0,          1, 
62 : mons_MJ3010_NM_004,         63,         63,         16,         61,       1413,      15840,       7200,          0,          0,    9044459,          4,         50,    9044396,          3,         40,    9044542,          1,         20,    9044172,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
63 : mons_MJ3010_NM_005,         64,         64,         16,         61,       1414,      15680,       7130,          0,          0,    9044459,          4,         50,    9044396,          3,         40,    9044542,          1,         20,    9044172,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
64 : mons_MJ3010_NM_006,         65,         65,         16,         61,       1415,       7920,       3600,          0,          0,    9044536,          4,         50,    9044379,          4,         50,    9044537,          2,         30,    9044170,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
65 : mons_MJ3010_NM_007,         66,         66,         16,         61,       1416,      33580,      15260,          0,          0,    9044537,          2,         30,    9044419,          3,         40,    9044543,          1,         20,    9044178,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
66 : mons_MJ3010_NM_008,         67,         67,         16,         61,       1417,      47040,      21380,          0,          0,    9044377,          1,         20,    9044381,          2,         30,    9044182,          1,          5,    9044183,          1,          3,          3,          0,          0,          3,          0,          3,          0,          1, 
67 : mons_MJ3020_100_clr0,         68,         68,         16,         61,       1500,       2340,       1064,          0,          0,    9044451,          3,         40,    9044547,          3,         40,    9044416,          2,         30,    9044552,          1,          5,          1,          0,          0,          1,          0,          0,          1,          0, 
68 : mons_MJ3020_100_clr1,         69,         69,         16,         61,       1501,       5616,       2553,          0,          0,    9044547,          3,         40,    9044548,          2,         30,    9044549,          1,         10,    9044553,          1,          5,          1,          0,          0,          1,          0,          0,          1,          0, 
69 : mons_MJ3020_100_clr2,         70,         70,         16,         61,       1502,       9126,       4148,          0,          0,    9044367,          2,         30,    9044548,          3,         40,    9044476,          2,         30,    9044554,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
70 : mons_MJ3021_120_clr0,         71,         71,         16,         61,       1503,       3510,       1595,          0,          0,    9044547,          3,         40,    9044397,          3,         40,    9044552,          1,          5,         -1,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0, 
71 : mons_MJ3021_120_clr1,         72,         72,         16,         61,       1504,       7020,       3191,          0,          0,    9044419,          3,         40,    9044548,          2,         30,    9044549,          1,         10,    9044553,          1,          5,          1,          0,          0,          1,          0,          0,          1,          0, 
72 : mons_MJ3021_120_clr2,         73,         73,         16,         61,       1505,      10530,       4786,          0,          0,    9044367,          2,         30,    9044548,          3,         40,    9044476,          2,         30,    9044554,          1,         10,          1,          0,          0,          1,          0,          0,          1,          0, 
73 : mons_MJ3020_NM_001,         74,         74,         16,         61,       1510,       4960,       2250,          0,          0,    9044451,          4,         50,    9044546,          3,         40,    9044412,          2,         30,    9044552,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
74 : mons_MJ3020_NM_002,         75,         75,         16,         61,       1511,      71420,      32460,          0,          0,    9044367,          3,         40,    9044381,          3,         40,    9044185,          1,          5,    9044187,          1,          3,          3,          0,          0,          3,          0,          0,          3,          1, 
75 : mons_MJ3020_NM_003,         76,         76,         16,         61,       1512,      30050,      13660,          0,          0,    9044476,          3,         40,    9044548,          3,         40,    9044553,          1,         20,    9044179,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
76 : mons_MJ3020_NM_004,         77,         77,         16,         61,       1513,      61210,      27820,          0,          0,    9044367,          3,         40,    9044548,          3,         40,    9044553,          1,         20,    9044184,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
77 : mons_MJ3020_NM_005,         78,         78,         16,         61,       1514,      30610,      13910,          0,          0,    9044367,          3,         40,    9044549,          1,         20,    9044553,          1,         20,    9044179,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
78 : mons_MJ3020_NM_006,         79,         79,         16,         61,       1515,      59530,      27060,          0,          0,    9044367,          3,         40,    9044552,          1,         20,    9044182,          1,          5,    9044183,          1,          3,          3,          0,          0,          3,          0,          0,          3,          1, 
79 : mons_MJ3020_NM_007,         80,         80,         16,         61,       1516,      20030,       9100,          0,          0,    9044416,          3,         40,    9044548,          2,         30,    9044554,          1,         10,    9044175,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
80 : mons_MJ3020_NM_008,         81,         81,         16,         61,       1517,      61210,      27820,          0,          0,    9044476,          3,         40,    9044381,          2,         30,    9044552,          1,         20,    9044184,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
81 : mons_MJ4010_100_clr0,         82,         82,         16,         61,       1600,        990,        450,          0,          0,    9044556,          3,         40,    9044451,          3,         40,    9044382,          3,         40,    9044386,          3,         40,          1,          0,          1,          0,          0,          1,          0,          0, 
82 : mons_MJ4010_100_clr1,         83,         83,         16,         61,       1601,       3564,       1620,          0,          0,    9044412,          3,         40,    9044557,          2,         30,    9044558,          1,         10,    9044562,          1,          5,          1,          0,          1,          0,          0,          1,          0,          0, 
83 : mons_MJ4010_100_clr2,         84,         84,         16,         61,       1602,       6435,       2925,          0,          0,    9044476,          2,         30,    9044385,          3,         40,    9044410,          2,         30,    9044563,          1,          5,          1,          0,          1,          0,          0,          1,          0,          0, 
84 : mons_MJ4011_120_clr0,         85,         85,         16,         61,       1603,       1485,        675,          0,          0,    9044556,          3,         40,    9044451,          3,         40,    9044382,          3,         40,         -1,          0,          0,          1,          0,          1,          0,          0,          1,          0,          0, 
85 : mons_MJ4011_120_clr1,         86,         86,         16,         61,       1604,       4455,       2025,          0,          0,    9044443,          3,         40,    9044557,          2,         30,    9044558,          1,         10,    9044562,          1,          5,          1,          0,          1,          0,          0,          1,          0,          0, 
86 : mons_MJ4011_120_clr2,         87,         87,         16,         61,       1605,       8910,       4050,          0,          0,    9044410,          3,         40,    9044476,          3,         40,    9044388,          3,         40,    9044564,          1,         10,          1,          0,          1,          0,          0,          1,          0,          0, 
87 : mons_MJ4010_NM_001,         88,         88,         16,         61,       1610,      47520,      21600,          0,          0,    9044476,          3,         40,    9044388,          3,         40,    9044405,          2,         30,    9044183,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
88 : mons_MJ4010_NM_002,         89,         89,         16,         61,       1611,      16000,       7270,          0,          0,    9044556,          4,         50,    9044557,          3,         40,    9044558,          2,         30,    9044172,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
89 : mons_MJ4010_NM_003,         90,         90,         16,         61,       1612,      33900,      15410,          0,          0,    9044383,          3,         40,    9044410,          3,         40,    9044562,          1,         20,    9044176,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
90 : mons_MJ4010_NM_004,         91,         91,         16,         61,       1613,      33580,      15260,          0,          0,    9044383,          3,         40,    9044558,          1,         20,    9044562,          1,         20,    9044177,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
91 : mons_MJ4010_NM_005,         92,         92,         16,         61,       1614,       8630,       3920,          0,          0,    9044556,          4,         50,    9044459,          4,         50,    9044432,          3,         40,    9044558,          1,         10,          3,          0,          3,          0,          0,          3,          0,          1, 
92 : mons_MJ4010_NM_006,         93,         93,         16,         61,       1615,      30210,      13730,          0,          0,    9044410,          3,         40,    9044476,          3,         40,    9044563,          1,         20,    9044185,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
93 : mons_MJ4010_NM_007,         94,         94,         16,         61,       1616,      17270,       7850,          0,          0,    9044556,          4,         50,    9044557,          3,         40,    9044558,          2,         30,    9044172,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
94 : mons_MJ4010_NM_008,         95,         95,         16,         61,       1617,      29110,      13230,          0,          0,    9044476,          3,         40,    9044388,          1,         20,    9044563,          1,         20,    9044185,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
95 : mons_MC0010_100_clr0,         96,         96,         16,         61,       1700,        450,        205,          0,          0,    9044565,          3,         40,    9044566,          3,         40,    9044399,          3,         40,    9044571,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
96 : mons_MC0010_100_clr1,         97,         97,         16,         61,       1701,       6480,       2945,          0,          0,    9044567,          2,         30,    9044568,          1,         10,    9044381,          1,         10,    9044572,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
97 : mons_MC0010_100_clr2,         98,         98,         16,         61,       1702,       5850,       2659,          0,          0,    9044476,          2,         30,    9044567,          2,         30,    9044568,          1,         10,    9044573,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
98 : mons_MC0011_120_clr0,         99,         99,         16,         61,       1703,        675,        307,          0,          0,    9044565,          3,         40,    9044399,          3,         40,    9044571,          1,          5,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
99 : mons_MC0011_120_clr1,        100,        100,         16,         61,       1704,       8100,       3682,          0,          0,    9044476,          2,         30,    9044568,          1,         10,    9044572,          1,         10,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
100 : mons_MC0011_120_clr2,        101,        101,         16,         61,       1705,       6750,       3068,          0,          0,    9044476,          2,         30,    9044567,          2,         30,    9044573,          1,          5,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
101 : mons_MC0012_150_clr0,        102,        102,         16,         61,       1706,        675,        307,          0,          0,    9044565,          3,         40,    9044399,          3,         40,    9044571,          1,          5,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
102 : mons_MC0012_150_clr1,        103,        103,         16,         61,       1707,       8100,       3682,          0,          0,    9044476,          2,         30,    9044568,          1,         10,    9044572,          1,         10,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
103 : mons_MC0012_150_clr2,        104,        104,         16,         61,       1708,       6750,       3068,          0,          0,    9044476,          2,         30,    9044567,          2,         30,    9044573,          1,          5,         -1,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0, 
104 : mons_MC0010_NM_001,        105,        105,         16,         61,       1710,      42770,      19440,          0,          0,    9044476,          3,         40,    9044573,          1,         10,    9044182,          1,          5,    9044186,          1,          3,          3,          0,          3,          0,          0,          0,          3,          1, 
105 : mons_MC0010_NM_002,        106,        106,         16,         61,       1711,       7420,       3370,          0,          0,    9044392,          4,         50,    9044443,          3,         40,    9044571,          1,         20,    9044170,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
106 : mons_MC0010_NM_003,        107,        107,         16,         61,       1712,       7340,       3340,          0,          0,    9044392,          4,         50,    9044459,          4,         50,    9044571,          1,         20,    9044170,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
107 : mons_MC0010_NM_004,        108,        108,         16,         61,       1713,       7850,       3570,          0,          0,    9044392,          4,         50,    9044459,          4,         50,    9044419,          2,         30,    9044170,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
108 : mons_MC0010_NM_005,        109,        109,         16,         61,       1714,      31390,      14270,          0,          0,    9044398,          3,         40,    9044567,          2,         30,    9044571,          1,         10,    9044178,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
109 : mons_MC0010_NM_006,        110,        110,         16,         61,       1715,      10800,       4910,          0,          0,    9044459,          4,         50,    9044443,          4,         50,    9044419,          3,         40,    9044173,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
110 : mons_MC0010_NM_007,        111,        111,         16,         61,       1716,      23110,      10500,          0,          0,    9044476,          3,         40,    9044381,          2,         30,    9044572,          1,         10,    9044179,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
111 : mons_MC0010_NM_008,        112,        112,         16,         61,       1717,      18360,       8350,          0,          0,    9044476,          3,         40,    9044568,          1,         10,    9044573,          1,          5,    9044181,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
112 : mons_MC3010_100_clr0,        113,        113,         16,         61,       1800,       1820,        827,          0,          0,    9044574,          3,         40,    9044428,          3,         40,    9044575,          3,         40,    9044580,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
113 : mons_MC3010_100_clr1,        114,        114,         16,         61,       1801,       2184,        993,          0,          0,    9044395,          3,         40,    9044575,          3,         40,    9044428,          3,         40,    9044581,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
