           km_, km_saisyu_type,   km_item1,   km_odds1,   km_item2,   km_odds2,   km_item3,   km_odds3,   km_item4,   km_odds4, km_rare_item, km_rare_odds, 
121 : GTN_0101_H002,         27,         -2,         10,    9044366,         70,    9044196,         20,         -1,          0,    9044306,         10, 
122 : ETV_0101_C001,         11,         -2,         10,    9044328,         60,    9044349,         30,         -1,          0,    9044325,         10, 
123 : ETV_0101_C002,         11,         -2,         10,    9044328,         40,    9044349,         50,         -1,          0,    9044325,         10, 
124 : ETV_0101_M001,          3,         -2,         10,    9044266,         70,    9044254,         20,         -1,          0,    9044195,         10, 
125 : ETV_0101_M002,          3,         -2,         10,    9044266,         40,    9044254,         50,         -1,          0,    9044195,         10, 
126 : ETV_0101_H001,         35,         -2,         10,    9044355,         50,    9044196,         40,         -1,          0,    9044306,         10, 
127 : CRK_0101_C001,         11,         -2,         10,    9044328,         50,    9044335,         40,         -1,          0,    9044325,         10, 
128 : CRK_0101_C002,         11,         -2,         10,    9044335,         50,    9044349,         40,         -1,          0,    9044325,         10, 
129 : CRK_0101_C003,         11,         -2,         10,    9044335,         50,    9044349,         40,         -1,          0,    9044325,         10, 
130 : CRK_0101_C004,         11,         -2,         10,    9044349,         40,    9044325,         50,         -1,          0,    9044370,         10, 
131 : CRK_0101_C005,         11,         -2,         10,    9044325,         70,    9044383,         20,         -1,          0,    9044370,         10, 
132 : CRK_0101_H001,         27,         -2,         10,    9044366,         80,    9044398,         10,         -1,          0,    9044196,         10, 
133 : CRK_0101_H002,         27,         -2,         10,    9044366,         50,    9044195,         40,         -1,          0,    9044306,         10, 
134 : CRK_0101_H003,         27,         -2,         10,    9044366,         50,    9044271,         40,         -1,          0,    9044195,         10, 
135 : SBM_0101_C001,         11,         -2,         10,    9044359,         50,    9044350,         40,         -1,          0,    9044370,         10, 
136 : SBM_0101_C002,         11,         -2,         10,    9044359,         40,    9044350,         50,         -1,          0,    9044254,         10, 
137 : SBM_0101_H001,         27,         -2,         10,    9044366,         80,    9044401,         10,         -1,          0,    9044196,         10, 
138 : UMD_0103_M001,          3,         -2,         10,    9044244,         50,    9044266,         40,         -1,          0,    9044271,         10, 
139 : UMD_0103_M002,          3,         -2,         10,    9044244,         40,    9044359,         30,    9044266,         20,    9044271,         10, 
140 : UMD_0103_M003,          3,         -2,         10,    9044359,         40,    9044254,         50,         -1,          0,    9044271,         10, 
141 : UMD_0103_H001,         35,         -2,         10,    9044355,         50,    9044196,         40,         -1,          0,    9044197,         10, 
142 : UMD_0104_M001,          3,         -2,         10,    9044266,         50,    9044254,         40,         -1,          0,    9044306,         10, 
143 : UMD_0104_M002,          3,         -2,         10,    9044271,         50,    9044245,         40,         -1,          0,    9044306,         10, 
144 : UMD_0104_M003,          3,         -2,         10,    9044254,         50,    9044245,         40,         -1,          0,    9044306,         10, 
145 : BHK_0103_M001,          3,         -2,         10,    9044244,         50,    9044359,         40,         -1,          0,    9044271,         10, 
146 : BHK_0103_M002,          3,         -2,         10,    9044244,         30,    9044266,         60,         -1,          0,    9044271,         10, 
147 : BHK_0104_M002,          3,         -2,         10,    9044266,         20,    9044271,         40,    9044245,         30,    9044196,         10, 
148 : BHK_0104_M003,          3,         -2,         10,    9044271,         50,    9044245,         40,         -1,          0,    9044195,         10, 
149 : BHK_0104_H001,         35,         -2,         10,    9044355,         50,    9044306,         40,         -1,          0,    9044198,         10, 
150 : DKF_0101_C001,         11,         -2,         10,    9044332,         80,    9044413,         10,         -1,          0,    9044325,         10, 
151 : DKF_0101_C002,         11,         -2,         10,    9044332,         80,    9044400,         10,         -1,          0,    9044325,         10, 
152 : DKF_0101_C003,         11,         -2,         10,    9044342,         80,    9044369,         10,         -1,          0,    9044325,         10, 
153 : DKF_0101_C004,         11,         -2,         10,    9044342,         80,    9044419,         10,         -1,          0,    9044325,         10, 
154 : BDL_0501_M001,          3,         -2,         10,    9044244,         60,    9044359,         30,         -1,          0,    9044254,         10, 
155 : BDL_0501_M002,          3,         -2,         10,    9044244,         20,    9044359,         30,    9044266,         40,    9044254,         10, 
156 : BDL_0601_M001,          3,         -2,         10,    9044266,         50,    9044254,         40,         -1,          0,    9044271,         10, 
157 : BDL_0601_M002,          3,         -2,         10,    9044359,         40,    9044271,         30,    9044245,         20,    9044271,         10, 
158 : BDL_0601_M003,          3,         -2,         10,    9044266,         40,    9044245,         30,    9044238,         20,    9044271,         10, 
159 : BDL_0601_M004,          3,         -2,         10,    9044245,         50,    9044238,         40,         -1,          0,    9044196,         10, 
160 : BDL_0601_H001,         35,         -2,         10,    9044355,         50,    9044195,         40,         -1,          0,    9044306,         10, 
161 : DLD_0101_M001,          4,         -2,         10,    9044245,         80,    9044377,         10,         -1,          0,    9044267,         10, 
162 : DLD_0101_M002,          4,         -2,         10,    9044245,         50,    9044238,         40,         -1,          0,    9044267,         10, 
163 : DLD_0101_M003,          4,         -2,         10,    9044238,         50,    9044267,         40,         -1,          0,    9044198,         10, 
164 : DLD_0101_M004,          4,         -2,         10,    9044238,         50,    9044267,         40,         -1,          0,    9044198,         10, 
165 : DLD_0101_H001,         36,         -2,         10,    9044363,         50,    9044197,         40,         -1,          0,    9044199,         10, 
166 : SBM_0101_C003,         12,         -2,         10,    9044350,         70,    9044441,         10,    9044370,         10,    9044199,         10, 
167 : SBM_0101_H002,         28,         -2,         10,    9044356,         50,    9044255,         40,         -1,          0,    9044200,         10, 
168 : NUD_0401_M001,          4,         -2,         10,    9044245,         60,    9044238,         30,         -1,          0,    9044315,         10, 
169 : NUD_0401_M002,          4,         -2,         10,    9044245,         50,    9044238,         40,         -1,          0,    9044315,         10, 
170 : NUD_0401_M003,          4,         -2,         10,    9044245,         30,    9044238,         30,    9044267,         30,    9044197,         10, 
171 : NUD_0401_M004,          4,         -2,         10,    9044238,         40,    9044267,         30,    9044255,         20,    9044197,         10, 
172 : NUD_0401_M005,          4,         -2,         10,    9044238,         60,    9044197,         30,         -1,          0,    9044311,         10, 
173 : NUD_0401_M006,          4,         -2,         10,    9044238,         20,    9044198,         40,    9044255,         30,    9044311,         10, 
174 : NUD_0401_M007,          4,         -2,         10,    9044238,         50,    9044255,         40,         -1,          0,    9044198,         10, 
175 : NUD_0401_H001,         36,         -2,         10,    9044363,         50,    9044198,         40,         -1,          0,    9044200,         10, 
176 : NWD_0101_H001,         28,         -2,         10,    9044356,         80,    9044366,         10,         -1,          0,    9044199,         10, 
177 : NWD_0101_H002,         28,         -2,         10,    9044356,         80,    9044401,         10,         -1,          0,    9044200,         10, 
178 : NWD_0101_H003,         28,         -2,         10,    9044363,         50,    9044199,         20,    9044200,         20,    9044316,         10, 
179 : NWD_0102_H001,         28,         -2,         10,    9044356,         30,    9044255,         60,         -1,          0,    9044202,         10, 
180 : NWD_0102_H002,         28,         -2,         10,    9044363,         30,    9044200,         60,         -1,          0,    9044203,         10, 
181 : NWD_0103_M001,          5,         -2,         10,    9044246,         50,    9044273,         40,         -1,          0,    9044203,         10, 
182 : NWD_0103_H001,         29,         -2,         10,    9044360,         50,    9044203,         40,         -1,          0,    9044316,         10, 
183 : GST_0101_M001,          5,         -2,         10,    9044256,         50,    9044239,         40,         -1,          0,    9044204,         10, 
184 : GST_0101_M002,          5,         -2,         10,    9044239,         50,    9044246,         40,         -1,          0,    9044201,         10, 
185 : GST_0102_M001,          5,         -2,         10,    9044239,         30,    9044258,         30,    9044259,         30,    9044202,         10, 
186 : GST_0102_M002,          5,         -2,         10,    9044239,         30,    9044260,         30,    9044261,         30,    9044201,         10, 
187 : GST_0102_H001,         37,         -2,         10,    9044360,         50,    9044201,         40,         -1,          0,    9044205,         10, 
188 : GST_0103_M001,          5,         -2,         10,    9044246,         50,    9044273,         40,         -1,          0,    9044203,         10, 
189 : BND_0101_M001,          5,         -2,         10,    9043968,         70,    9044256,         20,         -1,          0,    9044201,         10, 
190 : BND_0101_M002,          5,         -2,         10,    9043969,         50,    9044256,         40,         -1,          0,    9044204,         10, 
191 : BND_0101_H001,         37,         -2,         10,    9043970,         50,    9044360,         40,         -1,          0,    9044402,         10, 
192 : BND_0101_M003,          5,         -2,         10,    9043968,         70,    9044239,         20,         -1,          0,    9044273,         10, 
193 : BND_0101_M004,          5,         -2,         10,    9043968,         50,    9044239,         40,         -1,          0,    9044273,         10, 
194 : BND_0101_H002,         37,         -2,         10,    9043970,         50,    9044402,         40,         -1,          0,    9044201,         10, 
195 : BND_0101_M005,          5,         -2,         10,    9043969,         70,    9044246,         20,         -1,          0,    9044202,         10, 
196 : BND_0101_M006,          5,         -2,         10,    9043969,         50,    9044246,         40,         -1,          0,    9044204,         10, 
197 : BND_0101_H003,         37,         -2,         10,    9044402,         80,    9044360,         10,         -1,          0,    9044204,         10, 
198 : FRN_0101_M001,          5,         -2,         10,    9044256,         50,    9044239,         40,         -1,          0,    9044246,         10, 
199 : FRN_0101_H001,         29,         -2,         10,    9044367,         85,    9044307,          5,         -1,          0,    9044246,         10, 
200 : FRN_0102_H001,         29,         -2,         10,    9044367,         50,    9044256,         40,         -1,          0,    9044246,         10, 
201 : FRN_0102_H002,         29,         -2,         10,    9044367,         50,    9044256,         20,    9044239,         20,    9044246,         10, 
202 : FRN_0102_H003,         29,         -2,         10,    9044367,         40,    9044239,         30,    9044246,         20,    9044202,         10, 
203 : FRN_0102_H004,         29,         -2,         10,    9044367,         20,    9044246,         20,    9044202,         50,    9044205,         10, 
204 : FRN_0103_L001,         21,         -2,         10,    9044343,         50,    9044273,         40,         -1,          0,    9044206,         10, 
205 : RBC_0101_M003,          5,         -2,         10,    9044256,         70,    9044239,         20,         -1,          0,    9044201,         10, 
206 : RBC_0101_H001,         37,         -2,         10,    9044360,         50,    9044204,         40,         -1,          0,    9044206,         10, 
207 : RBC_0401_M001,          5,         -2,         10,    9044239,         50,    9044246,         40,         -1,          0,    9044202,         10, 
208 : RBC_0401_M002,          5,         -2,         10,    9044258,         40,    9044260,         30,    9044247,         20,    9044203,         10, 
209 : RBC_0401_M003,          5,         -2,         10,    9044259,         40,    9044261,         30,    9044247,         20,    9044203,         10, 
210 : DLD_0101_M005,          6,         -2,         10,    9044247,         60,    9044240,         30,         -1,          0,    9044269,         10, 
211 : DLD_0101_M006,          6,         -2,         10,    9044247,         60,    9044240,         30,         -1,          0,    9044269,         10, 
212 : SBF_0102_C001,         13,         -2,         10,    9044350,         20,    9044329,         70,         -1,          0,    9044343,         10, 
213 : SBF_0102_M001,          5,         -2,         10,    9044239,         50,    9044273,         40,         -1,          0,    9044201,         10, 
214 : SBF_0102_M002,          5,         -2,         10,    9044258,         50,    9044260,         40,         -1,          0,    9044204,         10, 
215 : SBF_0102_M003,          5,         -2,         10,    9044259,         50,    9044261,         40,         -1,          0,    9044203,         10, 
216 : SBF_0102_M004,          5,         -2,         10,    9044239,         40,    9044246,         20,    9044247,         30,    9044202,         10, 
217 : SBF_0102_H001,         37,         -2,         10,    9044258,         50,    9044260,         40,         -1,          0,    9044205,         10, 
218 : SBF_0102_H002,         37,         -2,         10,    9044259,         50,    9044261,         40,         -1,          0,    9044206,         10, 
219 : SBF_0201_M001,          5,         -2,         10,    9044239,         20,    9044247,         40,    9044240,         30,    9044204,         10, 
220 : RBC_0401_L001,         22,         -2,         10,    9044343,         20,    9044269,         40,    9044206,         30,    9044208,         10, 
221 : DLP_0101_L001,         22,         -2,         10,    9044343,         20,    9044262,         40,    9044206,         30,    9044207,         10, 
222 : BDL_0301_L001,         22,         -2,         10,    9044343,         20,    9044262,         40,    9044205,         30,    9044208,         10, 
223 : BTE_0101_L001,         22,         -2,         10,    9044343,         20,    9044269,         40,    9044205,         30,    9044207,         10, 
224 : BDL_0101_M003,          6,         -2,         80,    9044240,         20,         -1,          0,         -1,          0,    9044262,         10, 
225 : BDL_0201_M002,          6,         -2,         70,    9044240,         20,    9044262,         10,         -1,          0,    9044269,         10, 
226 : BDL_0401_M001,          6,         -2,         70,    9044262,         10,    9044269,         20,         -1,          0,    9044269,         10, 
227 : BDL_0401_H001,         38,         -2,         70,    9044364,         10,    9044205,         20,         -1,          0,    9044312,         10, 
228 : NUD_0301_M001,          6,         -2,         70,    9044262,         10,    9044269,         20,         -1,          0,    9044205,         10, 
229 : NUD_0301_M002,          6,         -2,         60,    9044269,         20,    9044206,         20,         -1,          0,    9044312,         10, 
230 : SBN_0102_C001,         14,         -2,         10,    9044326,         80,    9044329,         10,         -1,          0,    9044333,         10, 
231 : SBN_0102_M001,          6,         -2,         10,    9044326,         50,    9044262,         40,         -1,          0,    9044274,         10, 
232 : SBN_0102_M002,          6,         -2,         10,    9044326,         50,    9044262,         20,    9044257,         20,    9044274,         10, 
233 : DRC_0101_H001,         38,         -2,         10,    9044364,         50,    9044208,         40,         -1,          0,    9044210,         10, 
234 : NWD_0104_H001,         30,         -2,         10,    9044364,         50,    9044207,         40,         -1,          0,    9044209,         10, 
235 : DKF_0201_C001,         14,         -2,         10,    9044336,         70,    9044347,         20,         -1,          0,    9044333,         10, 
236 : DKF_0201_C002,         14,         -2,         10,    9044336,         40,    9044347,         40,    9044760,         10,    9044333,         10, 
237 : DKF_0201_M001,          6,         -2,         10,    9044394,         40,    9044257,         50,         -1,          0,    9044322,         10, 
238 : DKF_0201_M002,          6,         -2,         10,    9044274,         80,    9044402,         10,         -1,          0,    9044210,         10, 
239 : DKF_0201_H001,         30,         -2,         10,    9044357,         60,    9044367,         10,    9044772,         20,    9044207,         10, 
240 : DKF_0102_L001,         22,         -2,         10,    9044257,         50,    9044274,         40,         -1,          0,    9044361,         10, 
241 : VKL_0101_M001,          6,         -2,         10,    9044258,         40,    9044259,         30,    9044257,         20,    9044241,         10, 
242 : VKL_0101_H001,         30,         -2,         10,    9044357,         80,    9044405,         10,         -1,          0,    9044208,         10, 
243 : VKL_0201_C001,         14,         -2,         10,    9043976,         30,    9044339,         60,         -1,          0,    9044333,         10, 
