           km_, km_check_num, km_union_type, km_check_num_1, km_union_id, km_entry_group_set, km_position_x, km_position_y, km_direction, km_wait_no, km_wait_turn, km_is_think, 
53 :          @,          0,          1,          5,          0,    8069158,          0,      -1200,         90,          0,          0,          0, 
54 :          @,          0,          1,          0,          1,    8069163,       1000,          0,        105,          0,          0,          0, 
55 :          @,          0,          1,          0,          2,    8069168,       1600,       1200,        165,          0,          0,          0, 
56 :          @,          0,          1,          0,          3,    8069173,      -1000,          0,         75,          0,          0,          0, 
57 :          @,          0,          1,          0,          4,    8069178,      -1600,       1200,         15,          0,          0,          0, 
58 : EV0310_001_BTL,          2,          0,          8,          0,        -10,       6000,       2000,        225,          0,          0,          0, 
59 :          @,          0,          0,          0,          1,        -11,       6800,       1200,        225,          0,          0,          0, 
60 :          @,          0,          0,          0,          2,        -12,       6600,       2400,        225,          0,          0,          0, 
61 :          @,          0,          0,          0,          3,        -13,       7200,       2000,        225,          0,          0,          0, 
62 :          @,          0,          0,          0,          4,        -14,       6400,       3200,        225,          0,          0,          0, 
63 :          @,          0,          0,          0,          5,        -15,       8000,       1600,        225,          0,          0,          0, 
64 :          @,          0,          0,          0,          6,        -16,       6400,       4000,        225,          0,          0,          0, 
65 :          @,          0,          0,          0,          7,        -17,       5600,       3200,        225,          0,          0,          0, 
66 :          @,          0,          1,         10,          0,    8069183,        400,      -2000,         45,          0,          0,          0, 
67 :          @,          0,          1,          0,          1,    8069188,       -800,       1200,         45,          0,          0,          0, 
68 :          @,          0,          1,          0,          2,    8069193,       4000,       -800,         45,          0,          0,          0, 
69 :          @,          0,          1,          0,          3,    8069198,       2000,        800,         45,          0,          0,          0, 
70 :          @,          0,          1,          0,          4,    8069203,      -1600,      -1200,         45,          0,          0,          0, 
71 :          @,          0,          1,          0,          5,    8069208,        800,      -2800,         90,          1,         -1,          1, 
72 :          @,          0,          1,          0,          6,    8069213,       -800,      -2800,         90,          2,         -1,          1, 
73 :          @,          0,          1,          0,          7,    8069218,       1200,      -3600,         90,          3,         -1,          1, 
74 :          @,          0,          1,          0,          8,    8069223,          0,      -3600,         90,          4,         -1,          1, 
75 :          @,          0,          1,          0,          9,    8069228,      -1200,      -3600,         90,          5,         -1,          1, 
76 : EV0330_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
77 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
78 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
79 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
80 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
81 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
82 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
83 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
84 :          @,          0,          1,          6,          0,    8069233,       2000,          0,        180,          0,          0,          0, 
85 :          @,          0,          1,          0,          1,    8069238,        200,      -1600,        180,          0,          0,          0, 
86 :          @,          0,          1,          0,          2,    8069243,       1200,      -1000,        180,          0,          0,          0, 
87 :          @,          0,          1,          0,          3,    8069248,        200,          0,        180,          0,          0,          0, 
88 :          @,          0,          1,          0,          4,    8069253,       1200,       1000,        180,          0,          0,          0, 
89 :          @,          0,          1,          0,          5,    8069258,        200,       1600,        180,          0,          0,          0, 
90 : EV0610_001_BTL,          2,          0,          8,          0,        -10,          0,      -1000,         90,          0,          0,          0, 
91 :          @,          0,          0,          0,          1,        -11,       -600,      -1600,         90,          0,          0,          0, 
92 :          @,          0,          0,          0,          2,        -12,      -1200,      -2200,         90,          0,          0,          0, 
93 :          @,          0,          0,          0,          3,        -13,      -1800,      -1600,         90,          0,          0,          0, 
94 :          @,          0,          0,          0,          4,        -14,        600,      -1600,         90,          0,          0,          0, 
95 :          @,          0,          0,          0,          5,        -15,       1200,      -2200,         90,          0,          0,          0, 
96 :          @,          0,          0,          0,          6,        -16,       1800,      -1600,         90,          0,          0,          0, 
97 :          @,          0,          0,          0,          7,        -17,       -600,      -2200,         90,          0,          0,          0, 
98 :          @,          0,          1,          1,          0,    8069263,          0,       1000,        270,          0,          0,          0, 
99 : EV0720_001_BTL,          2,          0,          8,          0,        -10,        100,       -500,        200,          0,          0,          0, 
100 :          @,          0,          0,          0,          1,        -11,        500,      -1600,        200,          0,          0,          0, 
101 :          @,          0,          0,          0,          2,        -12,       1300,       -700,        200,          0,          0,          0, 
102 :          @,          0,          0,          0,          3,        -13,       1000,        500,        200,          0,          0,          0, 
103 :          @,          0,          0,          0,          4,        -14,       -200,        700,        200,          0,          0,          0, 
104 :          @,          0,          0,          0,          5,        -15,       2100,       -500,        200,          0,          0,          0, 
105 :          @,          0,          0,          0,          6,        -16,      -1000,       -100,        200,          0,          0,          0, 
106 :          @,          0,          0,          0,          7,        -17,      -6400,      -8800,         90,          0,          0,          0, 
107 :          @,          0,          1,          9,          0,    8069268,      -6600,       5500,        270,          0,          0,          0, 
108 :          @,          0,          1,          0,          1,    8069273,      -5600,       6200,        270,          0,          0,          0, 
109 :          @,          0,          1,          0,          2,    8069278,       2400,      -8700,        200,          0,          0,          0, 
110 :          @,          0,          1,          0,          3,    8069283,       3300,      -7900,        200,          0,          0,          0, 
111 :          @,          0,          1,          0,          4,    8069288,      -6800,       2400,        270,          0,          0,          0, 
112 :          @,          0,          1,          0,          5,    8069293,      -5900,       7100,        270,          1,         -1,          1, 
113 :          @,          0,          1,          0,          6,    8069298,      -6700,       6500,        270,          2,         -1,          1, 
114 :          @,          0,          1,          0,          7,    8069303,      -5500,       7400,        270,          3,         -1,          1, 
115 :          @,          0,          1,          0,          8,    8069308,      -6600,       7400,        270,          4,         -1,          1, 
116 : EV0800_001_BTL,          2,          0,          8,          0,        -10,          0,       1000,        270,          0,          0,          0, 
117 :          @,          0,          0,          0,          1,        -11,       -600,       1600,        270,          0,          0,          0, 
118 :          @,          0,          0,          0,          2,        -12,      -1200,       2200,        270,          0,          0,          0, 
119 :          @,          0,          0,          0,          3,        -13,      -1800,       1600,        270,          0,          0,          0, 
120 :          @,          0,          0,          0,          4,        -14,        600,       1600,        270,          0,          0,          0, 
121 :          @,          0,          0,          0,          5,        -15,       1200,       2200,        270,          0,          0,          0, 
122 :          @,          0,          0,          0,          6,        -16,       1800,       1600,        270,          0,          0,          0, 
123 :          @,          0,          0,          0,          7,        -17,       -600,       2200,        270,          0,          0,          0, 
124 :          @,          0,          1,          3,          0,    8069313,      -1200,      -2200,         90,          0,          0,          0, 
125 :          @,          0,          1,          0,          1,    8069318,          0,      -1000,         90,          0,          0,          0, 
126 :          @,          0,          1,          0,          2,    8069323,       1200,      -2200,         90,          0,          0,          0, 
127 : EV0830_001_BTL,          2,          0,          8,          0,        -10,          0,       1000,        270,          0,          0,          0, 
128 :          @,          0,          0,          0,          1,        -11,       -600,       1600,        270,          0,          0,          0, 
129 :          @,          0,          0,          0,          2,        -12,      -1200,       2200,        270,          0,          0,          0, 
130 :          @,          0,          0,          0,          3,        -13,      -1800,       1600,        270,          0,          0,          0, 
131 :          @,          0,          0,          0,          4,        -14,        600,       1600,        270,          0,          0,          0, 
132 :          @,          0,          0,          0,          5,        -15,       1200,       2200,        270,          0,          0,          0, 
133 :          @,          0,          0,          0,          6,        -16,       1800,       1600,        270,          0,          0,          0, 
134 :          @,          0,          0,          0,          7,        -17,       -600,       2200,        270,          0,          0,          0, 
135 :          @,          0,          1,          5,          0,    8069328,          0,      -2800,         90,          0,          0,          0, 
136 :          @,          0,          1,          0,          1,    8069333,      -1800,      -3400,         90,          0,          0,          0, 
137 :          @,          0,          1,          0,          2,    8069338,       -600,      -1600,         90,          0,          0,          0, 
138 :          @,          0,          1,          0,          3,    8069343,        600,      -1600,         90,          0,          0,          0, 
139 :          @,          0,          1,          0,          4,    8069348,       1800,      -3400,         90,          0,          0,          0, 
140 : EV0870_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
141 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
142 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
143 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
144 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
145 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
146 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
147 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
148 :          @,          0,          1,          6,          0,    8069353,       1600,        300,        180,          0,          0,          0, 
149 :          @,          0,          1,          0,          1,    8069358,       2200,       -300,        180,          0,          0,          0, 
150 :          @,          0,          1,          0,          2,    8069363,       1000,      -2400,        180,          0,          0,          0, 
151 :          @,          0,          1,          0,          3,    8069368,       1600,      -1800,        180,          0,          0,          0, 
152 :          @,          0,          1,          0,          4,    8069373,       2800,       1200,        180,          0,          0,          0, 
153 :          @,          0,          1,          0,          5,    8069378,       2200,       1800,        180,          0,          0,          0, 
154 : EV1150_001_BTL,          2,          0,          8,          0,        -10,       2600,          0,        180,          0,          0,          0, 
155 :          @,          0,          0,          0,          1,        -11,       3000,      -1000,        180,          0,          0,          0, 
156 :          @,          0,          0,          0,          2,        -12,       3000,       1000,        180,          0,          0,          0, 
157 :          @,          0,          0,          0,          3,        -13,       3600,      -1800,        180,          0,          0,          0, 
158 :          @,          0,          0,          0,          4,        -14,       3600,       1800,        180,          0,          0,          0, 
159 :          @,          0,          0,          0,          5,        -15,       3600,          0,        180,          0,          0,          0, 
160 :          @,          0,          0,          0,          6,        -16,       4600,          0,        180,          0,          0,          0, 
161 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
162 :          @,          0,          1,         16,          0,    8069383,      -3800,          0,          0,          0,          0,          0, 
163 :          @,          0,          1,          0,          1,    8069388,      -3400,      -2800,          0,          0,          0,          0, 
164 :          @,          0,          1,          0,          2,    8069393,      -3400,       2800,          0,          0,          0,          0, 
165 :          @,          0,          1,          0,          3,    8069398,       5000,      -5700,         90,          1,         -1,          1, 
166 :          @,          0,          1,          0,          4,    8069403,       5300,      -4900,         90,          2,         -1,          1, 
167 :          @,          0,          1,          0,          5,    8069408,       4700,      -4900,         90,          3,         -1,          1, 
168 :          @,          0,          1,          0,          6,    8069413,       5600,      -5700,         90,          4,         -1,          1, 
169 :          @,          0,          1,          0,          7,    8069418,       4400,      -5700,         90,          5,         -1,          1, 
170 :          @,          0,          1,          0,          8,    8069423,     -14000,          0,          0,          6,         -1,          1, 
171 :          @,          0,          1,          0,          9,    8069428,      -6300,      -4000,          0,          7,         -1,          1, 
172 :          @,          0,          1,          0,         10,    8069433,      -6300,       4000,          0,          8,         -1,          1, 
173 :          @,          0,          1,          0,         11,    8069438,      -9600,      -1400,          0,          9,         -1,          1, 
174 :          @,          0,          1,          0,         12,    8069443,      -9600,       1400,          0,         10,         -1,          1, 
175 :          @,          0,          1,          0,         13,    8069448,       5600,      -5700,         90,         11,         -1,          1, 
176 :          @,          0,          1,          0,         14,    8069453,       5300,      -4900,         90,         12,         -1,          1, 
177 :          @,          0,          1,          0,         15,    8069458,       4700,      -4900,         90,         13,         -1,          1, 
178 : EV1155_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
179 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
180 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
181 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
182 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
183 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
184 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
185 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
186 :          @,          0,          1,          6,          0,    8069463,        900,          0,        180,          0,          0,          0, 
187 :          @,          0,          1,          0,          1,    8069468,        400,      -2000,        150,          0,          0,          0, 
188 :          @,          0,          1,          0,          2,    8069473,       1600,      -1200,        180,          0,          0,          0, 
189 :          @,          0,          1,          0,          3,    8069478,       2400,          0,        180,          0,          0,          0, 
190 :          @,          0,          1,          0,          4,    8069483,       1600,       1200,        180,          0,          0,          0, 
191 :          @,          0,          1,          0,          5,    8069488,        400,       2000,        210,          0,          0,          0, 
192 : EV1170_001_BTL,          2,          0,          8,          0,        -10,       5200,          0,        180,          0,          0,          0, 
193 :          @,          0,          0,          0,          1,        -11,       5600,       -800,        180,          0,          0,          0, 
194 :          @,          0,          0,          0,          2,        -12,       5600,        800,        180,          0,          0,          0, 
195 :          @,          0,          0,          0,          3,        -13,       6400,      -1200,        180,          0,          0,          0, 
196 :          @,          0,          0,          0,          4,        -14,       6400,          0,        180,          0,          0,          0, 
197 :          @,          0,          0,          0,          5,        -15,       6400,       1200,        180,          0,          0,          0, 
198 :          @,          0,          0,          0,          6,        -16,       6800,          0,        180,          0,          0,          0, 
199 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
200 :          @,          0,          1,         14,          0,    8069493,        800,       -400,          0,          0,          0,          0, 
201 :          @,          0,          1,          0,          1,    8069498,        800,        400,          0,          0,          0,          0, 
202 :          @,          0,          1,          0,          2,    8069503,       -800,      -2400,          0,          0,          0,          0, 
203 :          @,          0,          1,          0,          3,    8069508,       -400,      -1600,          0,          0,          0,          0, 
204 :          @,          0,          1,          0,          4,    8069513,       -400,       1600,          0,          0,          0,          0, 
205 :          @,          0,          1,          0,          5,    8069518,       -800,       2400,          0,          0,          0,          0, 
206 :          @,          0,          1,          0,          6,    8069523,      -2800,          0,          0,          0,          0,          0, 
207 :          @,          0,          1,          0,          7,    8069528,     -20800,          0,          0,          1,         -1,          1, 
208 :          @,          0,          1,          0,          8,    8069533,     -16000,      -1200,          0,          2,         -1,          1, 
209 :          @,          0,          1,          0,          9,    8069538,     -16000,       1200,          0,          3,         -1,          1, 
210 :          @,          0,          1,          0,         10,    8069543,     -19000,       -800,          0,          4,         -1,          1, 
211 :          @,          0,          1,          0,         11,    8069548,     -19000,        800,          0,          5,         -1,          1, 
212 :          @,          0,          1,          0,         12,    8069553,      -7600,      -5000,         90,          6,         -1,          1, 
213 :          @,          0,          1,          0,         13,    8069558,      -7600,       5000,        270,          7,         -1,          1, 
214 : EV1175_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
215 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
216 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
217 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
218 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
219 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
220 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
221 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
222 :          @,          0,          1,          6,          0,    8069563,       1600,          0,        180,          0,          0,          0, 
223 :          @,          0,          1,          0,          1,    8069568,       2000,      -2000,        150,          0,          0,          0, 
224 :          @,          0,          1,          0,          2,    8069573,        400,      -1200,        180,          0,          0,          0, 
225 :          @,          0,          1,          0,          3,    8069578,       3000,          0,        180,          0,          0,          0, 
226 :          @,          0,          1,          0,          4,    8069583,        400,       1200,        180,          0,          0,          0, 
227 :          @,          0,          1,          0,          5,    8069588,       2000,       2000,        210,          0,          0,          0, 
228 : EV1190_001_BTL,          2,          0,          8,          0,        -10,      16400,          0,        180,          0,          0,          0, 
229 :          @,          0,          0,          0,          1,        -11,      16800,       -800,        180,          0,          0,          0, 
230 :          @,          0,          0,          0,          2,        -12,      16800,        800,        180,          0,          0,          0, 
231 :          @,          0,          0,          0,          3,        -13,      17600,      -1200,        180,          0,          0,          0, 
232 :          @,          0,          0,          0,          4,        -14,      17600,          0,        180,          0,          0,          0, 
233 :          @,          0,          0,          0,          5,        -15,      17600,       1200,        180,          0,          0,          0, 
234 :          @,          0,          0,          0,          6,        -16,      18000,          0,        180,          0,          0,          0, 
235 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
236 :          @,          0,          1,         24,          0,    8069593,       2400,       -800,          0,          0,          0,          0, 
237 :          @,          0,          1,          0,          1,    8069598,       2000,          0,          0,          0,          0,          0, 
238 :          @,          0,          1,          0,          2,    8069603,       2400,        800,          0,          0,          0,          0, 
239 :          @,          0,          1,          0,          3,    8069608,       1600,       -800,          0,          0,          0,          0, 
240 :          @,          0,          1,          0,          4,    8069613,       1600,        800,          0,          0,          0,          0, 
241 :          @,          0,          1,          0,          5,    8069618,      -6400,       3200,          0,          1,         -1,          1, 
242 :          @,          0,          1,          0,          6,    8069623,      -8400,      -2400,          0,          2,         -1,          1, 
243 :          @,          0,          1,          0,          7,    8069628,      -8400,      -3200,          0,          3,         -1,          1, 
244 :          @,          0,          1,          0,          8,    8069633,       5400,       -600,        180,          4,         -1,          1, 
245 :          @,          0,          1,          0,          9,    8069638,       5400,        600,        180,          5,         -1,          1, 
246 :          @,          0,          1,          0,         10,    8069643,      -3100,          0,          0,          6,         -1,          1, 
247 :          @,          0,          1,          0,         11,    8069648,      -5800,       3100,         90,          7,         -1,          1, 
248 :          @,          0,          1,          0,         12,    8069648,      -5800,      -3100,        270,          8,         -1,          1, 
249 :          @,          0,          1,          0,         13,    8069648,      -6200,       3100,         90,          9,         -1,          1, 
250 :          @,          0,          1,          0,         14,    8069653,      -6600,       3100,         90,         10,         -1,          1, 
251 :          @,          0,          1,          0,         15,    8069653,      -6600,      -3100,        270,         11,         -1,          1, 
252 :          @,          0,          1,          0,         16,    8069653,      -6200,      -3100,        270,         12,         -1,          1, 
253 :          @,          0,          1,          0,         17,    8069658,     -10400,          0,          0,         13,         -1,          1, 
254 :          @,          0,          1,          0,         18,    8069663,      -9600,      -1200,          0,         14,         -1,          1, 
255 :          @,          0,          1,          0,         19,    8069668,      -9600,       1200,          0,         15,         -1,          1, 
256 :          @,          0,          1,          0,         20,    8069673,      -9800,      -2800,          0,         16,         -1,          1, 
257 :          @,          0,          1,          0,         21,    8069678,      -9800,       2800,          0,         17,         -1,          1, 
258 :          @,          0,          1,          0,         22,    8069683,      -9300,       -400,        180,         18,         -1,          1, 
259 :          @,          0,          1,          0,         23,    8069688,      -9300,        400,        180,         19,         -1,          1, 
260 : EV1195_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
261 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
262 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
263 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
264 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
265 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
266 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
267 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
268 :          @,          0,          1,          6,          0,    8069693,        900,          0,        180,          0,          0,          0, 
269 :          @,          0,          1,          0,          1,    8069698,       2400,      -2000,        150,          0,          0,          0, 
270 :          @,          0,          1,          0,          2,    8069703,       1600,      -1200,        180,          0,          0,          0, 
271 :          @,          0,          1,          0,          3,    8069708,       2400,          0,        180,          0,          0,          0, 
272 :          @,          0,          1,          0,          4,    8069713,       1600,       1200,        180,          0,          0,          0, 
273 :          @,          0,          1,          0,          5,    8069718,       2400,       2000,        210,          0,          0,          0, 
274 : EV1210_001_BTL,          2,          0,          8,          0,        -10,       9400,      -4600,        180,          0,          0,          0, 
275 :          @,          0,          0,          0,          1,        -11,       9200,      -5400,        180,          0,          0,          0, 
276 :          @,          0,          0,          0,          2,        -12,       9400,      -3800,        180,          0,          0,          0, 
277 :          @,          0,          0,          0,          3,        -13,      10000,      -3400,        180,          0,          0,          0, 
278 :          @,          0,          0,          0,          4,        -14,      10400,      -4000,        180,          0,          0,          0, 
279 :          @,          0,          0,          0,          5,        -15,      10000,      -4600,        180,          0,          0,          0, 
280 :          @,          0,          0,          0,          6,        -16,       9800,      -5200,        180,          0,          0,          0, 
281 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
282 :          @,          0,          1,         21,          0,    8069723,       -800,      -2800,          0,          0,          0,          0, 
283 :          @,          0,          1,          0,          1,    8069728,       -800,      -1200,          0,          0,          0,          0, 
284 :          @,          0,          1,          0,          2,    8069733,      -1000,      -2000,          0,          0,          0,          0, 
285 :          @,          0,          1,          0,          3,    8069738,       5800,       5800,        270,          0,          0,          0, 
286 :          @,          0,          1,          0,          4,    8069743,       5000,       5600,        270,          0,          0,          0, 
287 :          @,          0,          1,          0,          5,    8069748,      -3200,       6000,        300,          0,          0,          0, 
288 :          @,          0,          1,          0,          6,    8069753,      -4000,       6800,        300,          0,          0,          0, 
289 :          @,          0,          1,          0,          7,    8069758,       1000,      -5200,         45,          1,         -1,          1, 
290 :          @,          0,          1,          0,          8,    8069763,       2300,      -5600,         45,          2,         -1,          1, 
291 :          @,          0,          1,          0,          9,    8069768,        500,      -4300,         45,          3,         -1,          1, 
292 :          @,          0,          1,          0,         10,    8069773,       1900,      -4600,         45,          4,         -1,          1, 
293 :          @,          0,          1,          0,         11,    8069778,     -11800,       2000,          0,          5,         -1,          1, 
294 :          @,          0,          1,          0,         12,    8069783,     -10400,       -600,          0,          6,         -1,          1, 
295 :          @,          0,          1,          0,         13,    8069788,     -10400,        600,          0,          7,         -1,          1, 
296 :          @,          0,          1,          0,         14,    8069793,     -10800,       6800,          0,          8,         -1,          1, 
