           km_,   km_namen,    km_help, km_namen_suffix, km_StrNo_SkeletalMesh, km_material_id, km_StrNo_AnimSet_b, km_StrNo_AnimTree_b, km_StrNo_AnimSet_f, km_StrNo_AnimTree_f, km_trax_battle_basic, km_StrNo_sp_staus_pkgname00, km_StrNo_sp_dead_pkgname00, km_StrNo_seb_move, km_StrNo_seb_effect, km_ja_inter, km_StrNo_seb_actorvoice, km_StrNo_voice_cue_prefix, km_btl_voice_chara, km_menu_voice_id, km_blood_type, km_build_id, km_variation_id,    km_df_h,    km_df_m,    km_df_l,    km_lodh, km_chara_hit, km_model_collision_x, km_model_collision_y, km_model_collision_z, km_chara_camera_hit, km_figure_camera_size, km_camera_hit_on, km_z_offset, km_mot_guard_type, km_mot_dead_type, km_mot_sidemove_type, km_ragdoll, km_mot_movespeed_walk, km_mot_movespeed_run, km_mot_movespeed_rev, km_global_breed_category, km_global_breed, km_multi_lockup, km_move_style, km_mode_vibration, km_move_speed_battle_w, km_move_speed_battle_r, km_face_id, km_emblem_id, km_emblem_mat,     km_sex, km_friend_type, km_collision_weight, km_hp_gauge_announce, km_use_shadow, km_model_no_hide, km_nikusitsu, km_shield_count, km_pop_offset, km_on_leader, 
 9 :     haruko,         15,         11,         19,      62697,          0,      62698,      62699,      62700,      62701,          0,      62702,      62703,      62704,      62705,          1,      62706,      62707,          9,         12,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         14,         43,          0,          1,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
10 :      jager,         16,         12,         28,      62708,          0,      62709,      62710,      62711,      62712,          0,      62713,      62714,      62715,      62716,          1,      62717,      62718,         10,         16,          1,          0,          0,          0,        400,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         13,         57,          0,          0,          1,        800,          0,          0,          0,          0,          0,          0,          1, 
11 : rush_sykes_s,          5,          1,          8,      62719,          0,      62720,      62721,      62722,      62723,          0,      62724,      62725,      62726,      62727,          1,      62728,      62729,          0,          1,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          1,          0,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
12 : rush_sykes_s,          5,          1,          8,      62730,          0,      62731,      62732,      62733,      62734,          0,      62735,      62736,      62737,      62738,          1,      62739,      62740,          0,          1,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          1,          0,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
13 : irina_sykes_s,          6,          2,         46,      62741,          0,      62742,      62743,      62744,      62745,          0,      62746,      62747,      62748,      62749,          1,      62750,      62751,          1,         11,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          2,          1,          0,          1,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
14 : irina_sykes_s,          6,          2,         46,      62752,          0,      62753,      62754,      62755,      62756,          0,      62757,      62758,      62759,      62760,          1,      62761,      62762,          1,         11,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          2,          1,          0,          1,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
15 : david_nassau_s,          7,          3,         11,      62763,          0,      62764,      62765,      62766,      62767,          0,      62768,      62769,      62770,      62771,          1,      62772,      62773,          2,          2,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          5,          2,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
16 : emma_honeywell,          9,         -1,          9,      62774,          0,      62775,      62776,      62777,      62778,          0,      62779,      62780,      62781,      62782,          1,      62783,      62784,          4,          3,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,          4,          5,          0,          1,          1,        600,          0,          0,          0,          0,          0,          0,          1, 
17 :      jager,         16,         12,         28,      62785,          0,      62786,      62787,      62788,      62789,          0,      62790,      62791,      62792,      62793,          1,      62794,      62795,         10,         16,          1,          0,          0,          0,        400,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          3,          0,          0,          2,          6,         13,         57,          0,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
18 : btl_pc_gabriel,         17,         13,         22,      62796,          0,      62797,      62798,      62799,      62800,          0,      62801,      62802,      62803,      62804,          1,      62805,      62806,         11,         17,          1,          0,          0,          0,        400,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         15,          7,          0,          0,          1,        800,          0,          0,          0,          0,          0,          0,          1, 
19 : btl_pc_jorgen,         18,         14,         12,      62807,          0,      62808,      62809,      62810,      62811,          0,      62812,      62813,      62814,      62815,          1,      62816,      62817,         12,          5,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         16,         10,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
20 : btl_pc_roberto,         19,         15,         33,      62818,          0,      62819,      62820,      62821,      62822,          0,      62823,      62824,      62825,      62826,          1,      62827,      62828,         13,         18,          1,          0,          0,          0,        400,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         17,         37,          0,          0,          1,        800,          0,          0,          0,          0,          0,          0,          1, 
21 : btl_pc_loki,         20,         16,         24,      62829,          0,      62830,      62831,      62832,      62833,          0,      62834,      62835,      62836,      62837,          1,      62838,      62839,         14,          6,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         18,         15,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
22 : btl_pc_paris,         21,         17,         30,      62840,          0,      62841,      62842,      62843,      62844,          0,      62845,      62846,      62847,      62848,          1,      62849,      62850,         15,         19,          1,          0,          0,          0,        400,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         19,         21,          0,          0,          1,        800,          0,          0,          0,          0,          0,          0,          1, 
23 : btl_pc_rhagoh,         22,         18,         31,      62851,          0,      62852,      62853,      62854,      62855,          0,      62856,      62857,      62858,      62859,          1,      62860,      62861,         16,          7,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         20,          7,          0,          0,          1,        700,          0,          0,          0,          0,          0,          0,          1, 
24 : btl_pc_glenys,         23,         19,         39,      62862,          0,      62863,      62864,      62865,      62866,          0,      62867,      62868,      62869,      62870,          1,      62871,      62872,         17,          8,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         21,         16,          0,          1,          1,        600,          0,          0,          0,          0,          0,          0,          1, 
25 : btl_pc_violet,         24,         20,         42,      62873,          0,      62874,      62875,      62876,      62877,          0,      62878,      62879,      62880,      62881,          1,      62882,      62883,         18,         13,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         22,         22,          0,          1,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
26 : btl_pc_nora,         25,         21,         44,      62884,          0,      62885,      62886,      62887,      62888,          0,      62889,      62890,      62891,      62892,          1,      62893,      62894,         19,          9,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         23,         33,          0,          1,          1,        600,          0,          0,          0,          0,          0,          0,          1, 
27 : btl_pc_khrynia,         26,         22,         49,      62895,          0,      62896,      62897,      62898,      62899,          0,      62900,      62901,      62902,      62903,          1,      62904,      62905,         20,         14,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         24,         23,          0,          1,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
28 : btl_pc_kate,         27,         23,         23,      62906,          0,      62907,      62908,      62909,      62910,          0,      62911,      62912,      62913,      62914,          1,      62915,      62916,         21,         10,          1,          0,          0,          0,        400,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         25,         24,          0,          1,          1,        600,          0,          0,          0,          0,          0,          0,          1, 
29 : btl_pc_sheryl,         28,         24,         43,      62917,          0,      62918,      62919,      62920,      62921,          0,      62922,      62923,      62924,      62925,          1,      62926,      62927,         22,         15,          1,          0,          0,          0,        400,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         26,         25,          0,          1,          1,        500,          0,          0,          0,          0,          0,          0,          1, 
30 : btl_pc_baulson,         29,         25,         25,      62928,          0,      62929,      62930,      62931,      62932,          0,      62933,      62934,      62935,      62936,          1,      62937,      62938,         23,         32,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         27,         64,          0,          0,          1,       2400,          0,          0,          0,          0,          0,          0,          1, 
31 : btl_pc_gaou,         30,         26,         18,      62939,          0,      62940,      62941,      62942,      62943,          0,      62944,      62945,      62946,      62947,          1,      62948,      62949,         24,         33,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         28,         17,          0,          0,          1,       2400,          0,          0,          0,          0,          0,          0,          1, 
32 : btl_pc_zolean,         31,         27,         34,      62950,          0,      62951,      62952,      62953,      62954,          0,      62955,      62956,      62957,      62958,          1,      62959,      62960,         25,         34,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         29,         11,          0,          0,          1,       2400,          0,          0,          0,          0,          0,          0,          1, 
33 : btl_pc_yuniver,         32,         28,         20,      62961,          0,      62962,      62963,      62964,      62965,          0,      62966,      62967,      62968,      62969,          1,      62970,      62971,         26,         35,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         30,         19,          0,          0,          1,       2400,          0,          0,          0,          0,          0,          0,          1, 
34 : btl_pc_darien,         33,         29,         35,      62972,          0,      62973,      62974,      62975,      62976,          0,      62977,      62978,      62979,      62980,          1,      62981,      62982,         27,         26,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         31,          8,          0,          0,          1,        400,          0,          0,          0,          0,          0,          0,          1, 
35 : btl_pc_sibal,         34,         30,         40,      62983,          0,      62984,      62985,      62986,      62987,          0,      62988,      62989,      62990,      62991,          1,      62992,      62993,         28,         27,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         32,         12,          0,          0,          1,        400,          0,          0,          0,          0,          0,          0,          1, 
36 : btl_pc_leshau,         35,         31,         26,      62994,          0,      62995,      62996,      62997,      62998,          0,      62999,      63000,      63001,      63002,          1,      63003,      63004,         29,         28,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         33,         18,          0,          0,          1,        400,          0,          0,          0,          0,          0,          0,          1, 
37 : btl_pc_maddox,         36,         32,         15,      63005,          0,      63006,      63007,      63008,      63009,          0,      63010,      63011,      63012,      63013,          1,      63014,      63015,         30,         29,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         34,         13,          0,          0,          1,        400,          0,          0,          0,          0,          0,          0,          1, 
38 : btl_pc_allan,         37,         33,         21,      63016,          0,      63017,      63018,      63019,      63020,          0,      63021,      63022,      63023,      63024,          1,      63025,      63026,         31,         21,          1,          0,          0,          0,        400,        200,         20,          1,         45,        204,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          3,          1,          0,          0,          2,          6,         35,         14,          0,          0,          1,       1000,          0,          0,          0,          0,          0,          0,          1, 
39 : btl_pc_caedmon,         38,         34,         38,      63027,          0,      63028,      63029,      63030,      63031,          0,      63032,      63033,      63034,      63035,          1,      63036,      63037,         32,         22,          1,          0,          0,          0,        400,        200,         20,          1,         45,        204,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          3,          1,          0,          0,          2,          6,         36,         31,          0,          0,          1,       1000,          0,          0,          0,          0,          0,          0,          1, 
40 : btl_pc_leucetius,         39,         35,         17,      63038,          0,      63039,      63040,      63041,      63042,          0,      63043,      63044,      63045,      63046,          1,      63047,      63048,         33,         23,          1,          0,          0,          0,        400,        200,         20,          1,         45,        204,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          3,          1,          0,          0,          2,          6,         37,         66,          0,          0,          1,       1000,          0,          0,          0,          0,          0,          0,          1, 
41 : btl_pc_wyngale,         40,         36,         47,      63049,          0,      63050,      63051,      63052,      63053,          0,      63054,      63055,      63056,      63057,          1,      63058,      63059,         34,         24,          1,          0,          0,          0,        400,        200,         20,          1,         45,        204,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          3,          1,          0,          0,          2,          6,         38,         26,          0,          0,          1,       1000,          0,          0,          0,          0,          0,          0,          1, 
42 : CC0500_0_MAT0,         73,         -1,          1,      63060,          0,      63061,      63062,      63063,      63064,          0,      63065,      63066,      63067,      63068,          1,      63069,      63070,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         48,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
43 : CC0500_1_MAT1,         73,         -1,          1,      63071,          1,      63072,      63073,      63074,      63075,          0,      63076,      63077,      63078,      63079,          1,      63080,      63081,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         49,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
44 : CC0500_2_MAT2,         73,         -1,          1,      63082,          2,      63083,      63084,      63085,      63086,          0,      63087,      63088,      63089,      63090,          1,      63091,      63092,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         50,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
45 : CA0500_0_MAT0,         73,         -1,          1,      63093,          0,      63094,      63095,      63096,      63097,          0,      63098,      63099,      63100,      63101,          1,      63102,      63103,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         72,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
46 : CA0500_1_MAT1,         73,         -1,          1,      63104,          1,      63105,      63106,      63107,      63108,          0,      63109,      63110,      63111,      63112,          1,      63113,      63114,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         46,         72,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
47 : CA0500_2_MAT2,         73,         -1,          1,      63115,          2,      63116,      63117,      63118,      63119,          0,      63120,      63121,      63122,      63123,          1,      63124,      63125,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         47,         72,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
48 : CG0500_0_MAT0,         73,         -1,          1,      63126,          0,      63127,      63128,      63129,      63130,          0,      63131,      63132,      63133,      63134,          1,      63135,      63136,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
49 : CG0500_1_MAT1,         73,         -1,          1,      63137,          1,      63138,      63139,      63140,      63141,          0,      63142,      63143,      63144,      63145,          1,      63146,      63147,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         52,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
50 : CG0500_2_MAT2,         73,         -1,          1,      63148,          2,      63149,      63150,      63151,      63152,          0,      63153,      63154,      63155,      63156,          1,      63157,      63158,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         53,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
51 : CF0500_0_MAT0,         73,         -1,          1,      63159,          0,      63160,      63161,      63162,      63163,          0,      63164,      63165,      63166,      63167,          1,      63168,      63169,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         54,         75,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
52 : CF0500_1_MAT1,         73,         -1,          1,      63170,          1,      63171,      63172,      63173,      63174,          0,      63175,      63176,      63177,      63178,          1,      63179,      63180,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         55,         75,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
53 : CF0500_2_MAT2,         73,         -1,          1,      63181,          2,      63182,      63183,      63184,      63185,          0,      63186,      63187,      63188,      63189,          1,      63190,      63191,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         56,         75,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
54 : CC0500_10_MAT0,         74,         -1,          1,      63192,          0,      63193,      63194,      63195,      63196,          0,      63197,      63198,      63199,      63200,          1,      63201,      63202,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         48,        109,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
55 : CC0500_11_MAT1,         74,         -1,          1,      63203,          1,      63204,      63205,      63206,      63207,          0,      63208,      63209,      63210,      63211,          1,      63212,      63213,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         49,        109,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
56 : CC0500_12_MAT2,         74,         -1,          1,      63214,          2,      63215,      63216,      63217,      63218,          0,      63219,      63220,      63221,      63222,          1,      63223,      63224,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         50,        109,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
57 : CA0500_10_MAT0,         74,         -1,          1,      63225,          0,      63226,      63227,      63228,      63229,          0,      63230,      63231,      63232,      63233,          1,      63234,      63235,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,        109,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
