           km_, km_union_type, km_check_num, km_union_id,   km_namen, km_union_jin, km_unit_id, km_guest_label, 
80 : Event_GUEST_EV0310_001,          1,         10,          1,         -1,         48,          1,          1, 
81 :          @,          1,          0,          1,         -1,         48,          2,          2, 
82 :          @,          1,          0,          1,         -1,         48,          3,          3, 
83 :          @,          1,          0,          1,         -1,         48,          4,        387, 
84 :          @,          1,          0,          1,         -1,         48,          5,        388, 
85 :          @,          1,          0,          1,         -1,         48,          1,          5, 
86 :          @,          1,          0,          1,         -1,         48,          2,          4, 
87 :          @,          1,          0,          1,         -1,         48,          3,        389, 
88 :          @,          1,          0,          1,         -1,         48,          4,        390, 
89 :          @,          1,          0,          1,         -1,         48,          5,        391, 
90 : Event_GUEST_EV0720_001,          1,          5,          1,          1,        332,          1,        392, 
91 :          @,          1,          0,          1,          1,        332,          2,        393, 
92 :          @,          1,          0,          1,          1,        332,          3,        394, 
93 :          @,          1,          0,          1,          1,        332,          4,         -1, 
94 :          @,          1,          0,          1,          1,        332,          5,         -1, 
95 : quest_guest_01,          1,          5,          1,          2,          0,          1,          7, 
96 :          @,          1,          0,          1,          2,          0,          2,         -1, 
97 :          @,          1,          0,          1,          2,          0,          3,         -1, 
98 :          @,          1,          0,          1,          2,          0,          4,         -1, 
99 :          @,          1,          0,          1,          2,          0,          5,         -1, 
100 : quest_guest_02,          1,          5,          1,          3,          0,          1,         70, 
101 :          @,          1,          0,          1,          3,          0,          2,         71, 
102 :          @,          1,          0,          1,          3,          0,          3,         -1, 
103 :          @,          1,          0,          1,          3,          0,          4,         -1, 
104 :          @,          1,          0,          1,          3,          0,          5,         -1, 
105 : quest_guest_03,          1,          5,          1,          4,        330,          1,         70, 
106 :          @,          1,          0,          1,          4,        330,          2,         71, 
107 :          @,          1,          0,          1,          4,        330,          3,         -1, 
108 :          @,          1,          0,          1,          4,        330,          4,         -1, 
109 :          @,          1,          0,          1,          4,        330,          5,         -1, 
110 : quest_guest_04,          1,          5,          1,          5,        331,          1,        224, 
111 :          @,          1,          0,          1,          5,        331,          2,         -1, 
112 :          @,          1,          0,          1,          5,        331,          3,         -1, 
113 :          @,          1,          0,          1,          5,        331,          4,         -1, 
114 :          @,          1,          0,          1,          5,        331,          5,         -1, 
115 : quest_guest_05,          1,          5,          1,          6,        330,          1,        224, 
116 :          @,          1,          0,          1,          6,        330,          2,         -1, 
117 :          @,          1,          0,          1,          6,        330,          3,         -1, 
118 :          @,          1,          0,          1,          6,        330,          4,         -1, 
119 :          @,          1,          0,          1,          6,        330,          5,         -1, 
120 : quest_guest_07,          1,          5,          1,          7,        330,          1,        165, 
121 :          @,          1,          0,          1,          7,        330,          2,         -1, 
122 :          @,          1,          0,          1,          7,        330,          3,         -1, 
123 :          @,          1,          0,          1,          7,        330,          4,         -1, 
124 :          @,          1,          0,          1,          7,        330,          5,         -1, 
125 : quest_guest,          1,          5,          1,          8,        330,          1,        130, 
126 :          @,          1,          0,          1,          8,        330,          2,        294, 
127 :          @,          1,          0,          1,          8,        330,          3,         -1, 
128 :          @,          1,          0,          1,          8,        330,          4,         -1, 
129 :          @,          1,          0,          1,          8,        330,          5,         -1, 
130 : quest_guest,          1,          5,          1,          9,        330,          1,        131, 
131 :          @,          1,          0,          1,          9,        330,          2,         -1, 
132 :          @,          1,          0,          1,          9,        330,          3,         -1, 
133 :          @,          1,          0,          1,          9,        330,          4,         -1, 
134 :          @,          1,          0,          1,          9,        330,          5,         -1, 
135 : quest_guest_08,          1,          5,          1,         10,        330,          1,        165, 
136 :          @,          1,          0,          1,         10,        330,          2,         -1, 
137 :          @,          1,          0,          1,         10,        330,          3,         -1, 
138 :          @,          1,          0,          1,         10,        330,          4,         -1, 
139 :          @,          1,          0,          1,         10,        330,          5,         -1, 
140 : quest_guest,          1,          5,          1,         11,        330,          1,        227, 
141 :          @,          1,          0,          1,         11,        330,          2,         -1, 
142 :          @,          1,          0,          1,         11,        330,          3,         -1, 
143 :          @,          1,          0,          1,         11,        330,          4,         -1, 
144 :          @,          1,          0,          1,         11,        330,          5,         -1, 
145 : quest_guest,          1,          5,          1,         12,        330,          1,        164, 
146 :          @,          1,          0,          1,         12,        330,          2,         -1, 
147 :          @,          1,          0,          1,         12,        330,          3,         -1, 
148 :          @,          1,          0,          1,         12,        330,          4,         -1, 
149 :          @,          1,          0,          1,         12,        330,          5,         -1, 
150 : quest_guest,          1,          5,          1,         13,        330,          1,        398, 
151 :          @,          1,          0,          1,         13,        330,          2,         -1, 
152 :          @,          1,          0,          1,         13,        330,          3,         -1, 
153 :          @,          1,          0,          1,         13,        330,          4,         -1, 
154 :          @,          1,          0,          1,         13,        330,          5,         -1, 
155 : BF_GUEST_QE0090_001,          1,          5,          1,         14,        330,          1,        165, 
156 :          @,          1,          0,          1,         14,        330,          2,        395, 
157 :          @,          1,          0,          1,         14,        330,          3,        396, 
158 :          @,          1,          0,          1,         14,        330,          4,        397, 
159 :          @,          1,          0,          1,         14,        330,          5,         -1, 
160 : quest_guest,          1,          5,          1,         15,        330,          1,        225, 
161 :          @,          1,          0,          1,         15,        330,          2,         -1, 
162 :          @,          1,          0,          1,         15,        330,          3,         -1, 
163 :          @,          1,          0,          1,         15,        330,          4,         -1, 
164 :          @,          1,          0,          1,         15,        330,          5,         -1, 
165 : BF_GUEST_QE0060_001,          1,          5,          1,         16,        330,          1,        224, 
166 :          @,          1,          0,          1,         16,        330,          2,         -1, 
167 :          @,          1,          0,          1,         16,        330,          3,         -1, 
168 :          @,          1,          0,          1,         16,        330,          4,         -1, 
169 :          @,          1,          0,          1,         16,        330,          5,         -1, 
170 : quest_guest,          1,          5,          1,         17,        330,          1,        299, 
171 :          @,          1,          0,          1,         17,        330,          2,         -1, 
172 :          @,          1,          0,          1,         17,        330,          3,         -1, 
173 :          @,          1,          0,          1,         17,        330,          4,         -1, 
174 :          @,          1,          0,          1,         17,        330,          5,         -1, 
175 : quest_guest,          1,          5,          1,         18,        330,          1,        297, 
176 :          @,          1,          0,          1,         18,        330,          2,        399, 
177 :          @,          1,          0,          1,         18,        330,          3,        400, 
178 :          @,          1,          0,          1,         18,        330,          4,         -1, 
179 :          @,          1,          0,          1,         18,        330,          5,         -1, 
180 : quest_guest,          1,          5,          1,         19,        330,          1,        296, 
181 :          @,          1,          0,          1,         19,        330,          2,         -1, 
182 :          @,          1,          0,          1,         19,        330,          3,         -1, 
183 :          @,          1,          0,          1,         19,        330,          4,         -1, 
184 :          @,          1,          0,          1,         19,        330,          5,         -1, 
185 : add_unit_EV0830_001,          0,          5,          1,         -1,        345,          1,          0, 
186 :          @,          0,          0,          1,         -1,        345,          2,         -1, 
187 :          @,          0,          0,          1,         -1,        345,          3,         -1, 
188 :          @,          0,          0,          1,         -1,        345,          4,         -1, 
189 :          @,          0,          0,          1,         -1,        345,          5,         -1, 
190 : add_unit_QE0290_001,          0,          5,          1,         -1,        345,          1,          2, 
191 :          @,          0,          0,          1,         -1,        345,          2,         -1, 
192 :          @,          0,          0,          1,         -1,        345,          3,         -1, 
193 :          @,          0,          0,          1,         -1,        345,          4,         -1, 
194 :          @,          0,          0,          1,         -1,        345,          5,         -1, 
195 : add_unit_QE0310_001,          0,          5,          1,         -1,        345,          1,          3, 
196 :          @,          0,          0,          1,         -1,        345,          2,         -1, 
197 :          @,          0,          0,          1,         -1,        345,          3,         -1, 
198 :          @,          0,          0,          1,         -1,        345,          4,         -1, 
199 :          @,          0,          0,          1,         -1,        345,          5,         -1, 
200 : add_unit_QE0330_001,          0,          5,          1,         -1,        345,          1,        162, 
201 :          @,          0,          0,          1,         -1,        345,          2,         -1, 
202 :          @,          0,          0,          1,         -1,        345,          3,         -1, 
203 :          @,          0,          0,          1,         -1,        345,          4,         -1, 
204 :          @,          0,          0,          1,         -1,        345,          5,         -1, 
205 :   WADA_001,          0,         10,          1,         -1,          0,          1,          0, 
206 :          @,          0,          0,          1,         -1,          0,          2,        293, 
207 :          @,          0,          0,          1,         -1,          0,          3,         -1, 
208 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
209 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
210 :          @,          0,          0,          2,         -1,          0,          1,          1, 
211 :          @,          0,          0,          2,         -1,          0,          2,          2, 
212 :          @,          0,          0,          2,         -1,          0,          3,         -1, 
213 :          @,          0,          0,          2,         -1,          0,          4,         -1, 
214 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
215 :   WADA_002,          0,         15,          1,         -1,          0,          1,          0, 
216 :          @,          0,          0,          1,         -1,          0,          2,        297, 
217 :          @,          0,          0,          1,         -1,          0,          3,        298, 
218 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
219 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
220 :          @,          0,          0,          2,         -1,          0,          1,        293, 
221 :          @,          0,          0,          2,         -1,          0,          2,        228, 
222 :          @,          0,          0,          2,         -1,          0,          3,        141, 
223 :          @,          0,          0,          2,         -1,          0,          4,         -1, 
224 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
225 :          @,          0,          0,          3,         -1,          0,          1,          1, 
226 :          @,          0,          0,          3,         -1,          0,          2,        296, 
227 :          @,          0,          0,          3,         -1,          0,          3,        142, 
228 :          @,          0,          0,          3,         -1,          0,          4,         -1, 
229 :          @,          0,          0,          3,         -1,          0,          5,         -1, 
230 :   WADA_003,          0,         30,          1,         -1,          0,          1,          0, 
231 :          @,          0,          0,          1,         -1,          0,          2,          3, 
232 :          @,          0,          0,          1,         -1,          0,          3,        110, 
233 :          @,          0,          0,          1,         -1,          0,          4,        111, 
234 :          @,          0,          0,          1,         -1,          0,          5,        112, 
235 :          @,          0,          0,          2,         -1,          0,          1,          1, 
236 :          @,          0,          0,          2,         -1,          0,          2,        113, 
237 :          @,          0,          0,          2,         -1,          0,          3,        114, 
238 :          @,          0,          0,          2,         -1,          0,          4,        115, 
239 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
240 :          @,          0,          0,          3,         -1,          0,          1,        293, 
241 :          @,          0,          0,          3,         -1,          0,          2,        116, 
242 :          @,          0,          0,          3,         -1,          0,          3,        117, 
243 :          @,          0,          0,          3,         -1,          0,          4,         -1, 
244 :          @,          0,          0,          3,         -1,          0,          5,         -1, 
245 :          @,          0,          0,          4,         -1,          0,          1,          5, 
246 :          @,          0,          0,          4,         -1,          0,          2,        119, 
247 :          @,          0,          0,          4,         -1,          0,          3,        120, 
248 :          @,          0,          0,          4,         -1,          0,          4,         -1, 
249 :          @,          0,          0,          4,         -1,          0,          5,         -1, 
250 :          @,          0,          0,          5,         -1,          0,          1,        162, 
251 :          @,          0,          0,          5,         -1,          0,          2,        121, 
252 :          @,          0,          0,          5,         -1,          0,          3,        122, 
253 :          @,          0,          0,          5,         -1,          0,          4,         -1, 
254 :          @,          0,          0,          5,         -1,          0,          5,         -1, 
255 :          @,          1,          0,          6,         -1,          0,          1,        165, 
256 :          @,          1,          0,          6,         -1,          0,          2,        101, 
257 :          @,          1,          0,          6,         -1,          0,          3,         -1, 
258 :          @,          1,          0,          6,         -1,          0,          4,         -1, 
259 :          @,          1,          0,          6,         -1,          0,          5,         -1, 
260 : TDBG_MEMTEST,          0,         25,          1,         -1,          0,          1,          0, 
261 :          @,          0,          0,          1,         -1,          0,          2,          3, 
262 :          @,          0,          0,          1,         -1,          0,          3,         81, 
263 :          @,          0,          0,          1,         -1,          0,          4,         82, 
264 :          @,          0,          0,          1,         -1,          0,          5,         83, 
265 :          @,          0,          0,          2,         -1,          0,          1,          1, 
266 :          @,          0,          0,          2,         -1,          0,          2,         84, 
267 :          @,          0,          0,          2,         -1,          0,          3,         85, 
268 :          @,          0,          0,          2,         -1,          0,          4,         86, 
269 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
270 :          @,          0,          0,          3,         -1,          0,          1,        293, 
271 :          @,          0,          0,          3,         -1,          0,          2,         87, 
272 :          @,          0,          0,          3,         -1,          0,          3,         88, 
273 :          @,          0,          0,          3,         -1,          0,          4,         -1, 
274 :          @,          0,          0,          3,         -1,          0,          5,         -1, 
275 :          @,          0,          0,          4,         -1,          0,          1,          5, 
276 :          @,          0,          0,          4,         -1,          0,          2,         90, 
277 :          @,          0,          0,          4,         -1,          0,          3,         91, 
278 :          @,          0,          0,          4,         -1,          0,          4,         -1, 
279 :          @,          0,          0,          4,         -1,          0,          5,         -1, 
280 :          @,          0,          0,          5,         -1,          0,          1,        162, 
281 :          @,          0,          0,          5,         -1,          0,          2,         92, 
282 :          @,          0,          0,          5,         -1,          0,          3,         93, 
283 :          @,          0,          0,          5,         -1,          0,          4,         -1, 
284 :          @,          0,          0,          5,         -1,          0,          5,         -1, 
285 : HDBG_DATA00,          0,         40,          1,         -1,          0,          1,          0, 
286 :          @,          0,          0,          1,         -1,          0,          2,         43, 
287 :          @,          0,          0,          1,         -1,          0,          3,         44, 
288 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
289 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
290 :          @,          0,          0,          2,         -1,          0,          1,        293, 
291 :          @,          0,          0,          2,         -1,          0,          2,         45, 
292 :          @,          0,          0,          2,         -1,          0,          3,         46, 
293 :          @,          0,          0,          2,         -1,          0,          4,         -1, 
294 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
295 :          @,          0,          0,          3,         -1,          0,          1,          1, 
296 :          @,          0,          0,          3,         -1,          0,          2,         47, 
297 :          @,          0,          0,          3,         -1,          0,          3,         48, 
298 :          @,          0,          0,          3,         -1,          0,          4,         -1, 
299 :          @,          0,          0,          3,         -1,          0,          5,         -1, 
300 :          @,          0,          0,          4,         -1,          0,          1,          2, 
301 :          @,          0,          0,          4,         -1,          0,          2,         49, 
302 :          @,          0,          0,          4,         -1,          0,          3,         50, 
303 :          @,          0,          0,          4,         -1,          0,          4,         -1, 
304 :          @,          0,          0,          4,         -1,          0,          5,         -1, 
305 :          @,          0,          0,          5,         -1,          0,          1,          3, 
306 :          @,          0,          0,          5,         -1,          0,          2,         52, 
307 :          @,          0,          0,          5,         -1,          0,          3,         53, 
308 :          @,          0,          0,          5,         -1,          0,          4,         -1, 
309 :          @,          0,          0,          5,         -1,          0,          5,         -1, 
310 :          @,          0,          0,          6,         -1,          0,          1,          4, 
311 :          @,          0,          0,          6,         -1,          0,          2,         54, 
312 :          @,          0,          0,          6,         -1,          0,          3,         55, 
313 :          @,          0,          0,          6,         -1,          0,          4,         -1, 
314 :          @,          0,          0,          6,         -1,          0,          5,         -1, 
315 :          @,          0,          0,          7,         -1,          0,          1,          5, 
316 :          @,          0,          0,          7,         -1,          0,          2,         56, 
317 :          @,          0,          0,          7,         -1,          0,          3,         57, 
318 :          @,          0,          0,          7,         -1,          0,          4,         -1, 
319 :          @,          0,          0,          7,         -1,          0,          5,         -1, 
320 :          @,          0,          0,          8,         -1,          0,          1,         58, 
321 :          @,          0,          0,          8,         -1,          0,          2,         59, 
322 :          @,          0,          0,          8,         -1,          0,          3,         60, 
323 :          @,          0,          0,          8,         -1,          0,          4,         61, 
324 :          @,          0,          0,          8,         -1,          0,          5,         62, 
325 : TDBG_MEMTEST_02,          0,         30,          1,         -1,          0,          1,        355, 
326 :          @,          0,          0,          1,         -1,          0,          2,        356, 
327 :          @,          0,          0,          1,         -1,          0,          3,        357, 
328 :          @,          0,          0,          1,         -1,          0,          4,         -1, 
329 :          @,          0,          0,          1,         -1,          0,          5,         -1, 
330 :          @,          0,          0,          2,         -1,          0,          1,        358, 
331 :          @,          0,          0,          2,         -1,          0,          2,        359, 
332 :          @,          0,          0,          2,         -1,          0,          3,        360, 
333 :          @,          0,          0,          2,         -1,          0,          4,        361, 
334 :          @,          0,          0,          2,         -1,          0,          5,         -1, 
335 :          @,          0,          0,          3,         -1,          0,          1,          0, 
336 :          @,          0,          0,          3,         -1,          0,          2,        293, 
337 :          @,          0,          0,          3,         -1,          0,          3,        162, 
338 :          @,          0,          0,          3,         -1,          0,          4,        101, 
339 :          @,          0,          0,          3,         -1,          0,          5,         -1, 
340 :          @,          0,          0,          4,         -1,          0,          1,        298, 
341 :          @,          0,          0,          4,         -1,          0,          2,        226, 
342 :          @,          0,          0,          4,         -1,          0,          3,        296, 
343 :          @,          0,          0,          4,         -1,          0,          4,        227, 
344 :          @,          0,          0,          4,         -1,          0,          5,         -1, 
345 :          @,          0,          0,          5,         -1,          0,          1,          3, 
346 :          @,          0,          0,          5,         -1,          0,          2,          7, 
347 :          @,          0,          0,          5,         -1,          0,          3,        297, 
348 :          @,          0,          0,          5,         -1,          0,          4,         -1, 
349 :          @,          0,          0,          5,         -1,          0,          5,         -1, 
350 :          @,          1,          0,          6,         -1,          0,          1,          5, 
351 :          @,          1,          0,          6,         -1,          0,          2,        335, 
352 :          @,          1,          0,          6,         -1,          0,          3,        299, 
353 :          @,          1,          0,          6,         -1,          0,          4,        225, 
354 :          @,          1,          0,          6,         -1,          0,          5,         72, 

