           km_,    km_turn,   km_mons1,   km_mons2,   km_mons3,   km_mons4,   km_mons5,   km_mons6,   km_mons7,   km_mons8, km_mes_win, km_mes_lose, km_ctrl_win, km_ctrl_lose, 
88 : QE0060_003_BTL,         -1,       1769,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
89 : QE0060_004_BTL,         -1,       1789,       1790,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
90 : QE0840_001_BTL,         -1,       1823,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
91 : QE1240_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
92 : QE0150_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
93 : QE0150_002_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
94 : QE0150_003_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
95 : QE0150_004_BTL,         -1,       1868,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
96 : QE0160_001_BTL,         11,       1871,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
97 : QE0280_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
98 : QE0350_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
99 : QE0350_002_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
100 : QE0400_001_BTL,         -1,       1884,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
101 : QE1210_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
102 : QE0180_001_BTL,         -1,       1902,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
103 : QE0340_001_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
104 : QE0340_002_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
105 : QE0340_003_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
106 : QE0340_004_BTL,       9999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        377,          0,          0, 
107 :      DLC01,         -1,        771,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
108 :      DLC02,         -1,        772,        773,        774,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
109 :      DLC03,         -1,        781,        782,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
110 :      DLC04,         -1,        783,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
111 :      DLC05,         -1,        784,        785,        786,        787,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
112 :      DLC06,         -1,        788,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
113 :      DLC07,         -1,        789,        793,        791,        795,        792,        794,        790,         -1,         -1,        376,          0,          0, 
114 :      DLC08,         -1,        796,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        376,          0,          0, 
115 :     turn03,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        375,        376,          0,          0, 
116 :     kill01,         -1,       1946,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        375,        376,          0,          0, 
117 :     kill02,         -1,       1946,       1946,         -1,         -1,         -1,         -1,         -1,         -1,        375,        376,          0,          0, 
118 : turn03_kill01,          3,       1946,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        375,        376,          0,          0, 

