           km_,     km_lv1, km_lv1para,     km_lv2, km_lv2para,     km_lv3, km_lv3para,     km_lv4, km_lv4para,     km_lv5, km_lv5para,     km_lv6, km_lv6para,     km_lv7, km_lv7para,     km_lv8, km_lv8para,     km_lv9, km_lv9para,    km_lv10, km_lv10para,    km_lv11, km_lv11para,    km_lv12, km_lv12para,    km_lv13, km_lv13para,    km_lv14, km_lv14para,    km_lv15, km_lv15para,    km_lv16, km_lv16para,    km_lv17, km_lv17para,    km_lv18, km_lv18para,    km_lv19, km_lv19para,    km_lv20, km_lv20para,    km_lv21, km_lv21para,    km_lv22, km_lv22para,    km_lv23, km_lv23para,    km_lv24, km_lv24para,    km_lv25, km_lv25para,    km_lv26, km_lv26para,    km_lv27, km_lv27para,    km_lv28, km_lv28para,    km_lv29, km_lv29para,    km_lv30, km_lv30para,    km_lv31, km_lv31para,    km_lv32, km_lv32para,    km_lv33, km_lv33para,    km_lv34, km_lv34para,    km_lv35, km_lv35para,    km_lv36, km_lv36para,    km_lv37, km_lv37para,    km_lv38, km_lv38para,    km_lv39, km_lv39para,    km_lv40, km_lv40para,    km_lv41, km_lv41para,    km_lv42, km_lv42para,    km_lv43, km_lv43para,    km_lv44, km_lv44para,    km_lv45, km_lv45para,    km_lv46, km_lv46para,    km_lv47, km_lv47para,    km_lv48, km_lv48para,    km_lv49, km_lv49para,    km_lv50, km_lv50para,    km_lv51, km_lv51para,    km_lv52, km_lv52para,    km_lv53, km_lv53para,    km_lv54, km_lv54para,    km_lv55, km_lv55para,    km_lv56, km_lv56para,    km_lv57, km_lv57para,    km_lv58, km_lv58para,    km_lv59, km_lv59para,    km_lv60, km_lv60para,    km_lv61, km_lv61para,    km_lv62, km_lv62para,    km_lv63, km_lv63para,    km_lv64, km_lv64para,    km_lv65, km_lv65para,    km_lv66, km_lv66para,    km_lv67, km_lv67para,    km_lv68, km_lv68para,    km_lv69, km_lv69para,    km_lv70, km_lv70para,    km_lv71, km_lv71para,    km_lv72, km_lv72para,    km_lv73, km_lv73para,    km_lv74, km_lv74para,    km_lv75, km_lv75para,    km_lv76, km_lv76para,    km_lv77, km_lv77para,    km_lv78, km_lv78para,    km_lv79, km_lv79para,    km_lv80, km_lv80para,    km_lv81, km_lv81para,    km_lv82, km_lv82para,    km_lv83, km_lv83para,    km_lv84, km_lv84para,    km_lv85, km_lv85para,    km_lv86, km_lv86para,    km_lv87, km_lv87para,    km_lv88, km_lv88para,    km_lv89, km_lv89para,    km_lv90, km_lv90para,    km_lv91, km_lv91para,    km_lv92, km_lv92para,    km_lv93, km_lv93para,    km_lv94, km_lv94para,    km_lv95, km_lv95para,    km_lv96, km_lv96para,    km_lv97, km_lv97para,    km_lv98, km_lv98para,    km_lv99, km_lv99para,   km_lv100, km_lv100para, 
24 : STR_001_mons_boss_fighter,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,          6,       6400,          6,       6560,          6,       6720,          6,       6880,          6,       7040,          6,       7200,          6,       7360,          6,       7520,          6,       7680,          6,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
25 : STR_001_mons_boss_mage,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,          6,       6400,          6,       6560,          6,       6720,          6,       6880,          6,       7040,          6,       7200,          6,       7360,          6,       7520,          6,       7680,          6,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
26 : STR_001_mons_boss_normal,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,          6,       6400,          6,       6560,          6,       6720,          6,       6880,          6,       7040,          6,       7200,          6,       7360,          6,       7520,          6,       7680,          6,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
27 : MGC_001_pc_fighter,          0,          0,        168,         12,        336,         12,        504,         12,        672,         12,        840,         12,       1008,         12,       1176,         12,       1344,         12,       1512,         12,       1680,         12,       1848,         12,       2016,         12,       2184,         12,       2352,         12,       2520,         12,       2688,         12,       2856,         12,       3024,         12,       3192,         12,       3360,         12,       3528,         12,       3696,         12,       3864,         12,       4032,         12,       4200,         12,       4368,         12,       4536,         12,       4704,         12,       4872,         12,       5040,         12,       5208,         12,       5376,         12,       5544,         12,       5712,         12,       5880,         12,       6048,         12,       6216,         12,       6384,         12,       6552,         12,       6720,         12,       6888,         12,       7056,         12,       7224,         12,       7392,         12,       7560,         12,       7728,         12,       7896,         12,       8064,         12,       8232,         12,       8400,         12,       8568,         12,       8736,         12,       8904,         12,       9072,         12,       9240,         12,       9408,         12,       9576,         12,       9744,         12,       9912,         12,      10080,         12,      10248,         12,      10416,         12,      10584,         12,      10752,         12,      10920,         12,      11088,         12,      11256,         12,      11424,         12,      11592,         12,      11760,         12,      11928,         12,      12096,         12,      12264,         12,      12432,         12,      12600,         12,      12768,         12,      12936,         12,      13104,         12,      13272,         12,      13440,         12,      13608,         12,      13776,         12,      13944,         12,      14112,         12,      14280,         12,      14448,         12,      14616,         12,      14784,         12,      14952,         12,      15120,         12,      15288,         12,      15456,         12,      15624,         12,      15792,         12,      15960,         12,      16128,         12,      16296,         12,      16464,         12,      16632,         12, 
28 : MGC_001_pc_mage,          0,          0,        152,         14,        304,         14,        456,         14,        608,         14,        760,         14,        912,         14,       1064,         14,       1216,         14,       1368,         14,       1520,         14,       1672,         14,       1824,         14,       1976,         14,       2128,         14,       2280,         14,       2432,         14,       2584,         14,       2736,         14,       2888,         14,       3040,         14,       3192,         14,       3344,         14,       3496,         14,       3648,         14,       3800,         14,       3952,         14,       4104,         14,       4256,         14,       4408,         14,       4560,         14,       4712,         14,       4864,         14,       5016,         14,       5168,         14,       5320,         14,       5472,         14,       5624,         14,       5776,         14,       5928,         14,       6080,         14,       6232,         14,       6384,         14,       6536,         14,       6688,         14,       6840,         14,       6992,         14,       7144,         14,       7296,         14,       7448,         14,       7600,         14,       7752,         14,       7904,         14,       8056,         14,       8208,         14,       8360,         14,       8512,         14,       8664,         14,       8816,         14,       8968,         14,       9120,         14,       9272,         14,       9424,         14,       9576,         14,       9728,         14,       9880,         14,      10032,         14,      10184,         14,      10336,         14,      10488,         14,      10640,         14,      10792,         14,      10944,         14,      11096,         14,      11248,         14,      11400,         14,      11552,         14,      11704,         14,      11856,         14,      12008,         14,      12160,         14,      12312,         14,      12464,         14,      12616,         14,      12768,         14,      12920,         14,      13072,         14,      13224,         14,      13376,         14,      13528,         14,      13680,         14,      13832,         14,      13984,         14,      14136,         14,      14288,         14,      14440,         14,      14592,         14,      14744,         14,      14896,         14,      15048,         14, 
29 : MGC_001_pc_normal,          0,          0,        160,         13,        320,         13,        480,         13,        640,         13,        800,         13,        960,         13,       1120,         13,       1280,         13,       1440,         13,       1600,         13,       1760,         13,       1920,         13,       2080,         13,       2240,         13,       2400,         13,       2560,         13,       2720,         13,       2880,         13,       3040,         13,       3200,         13,       3360,         13,       3520,         13,       3680,         13,       3840,         13,       4000,         13,       4160,         13,       4320,         13,       4480,         13,       4640,         13,       4800,         13,       4960,         13,       5120,         13,       5280,         13,       5440,         13,       5600,         13,       5760,         13,       5920,         13,       6080,         13,       6240,         13,       6400,         13,       6560,         13,       6720,         13,       6880,         13,       7040,         13,       7200,         13,       7360,         13,       7520,         13,       7680,         13,       7840,         13,       8000,         13,       8160,         13,       8320,         13,       8480,         13,       8640,         13,       8800,         13,       8960,         13,       9120,         13,       9280,         13,       9440,         13,       9600,         13,       9760,         13,       9920,         13,      10080,         13,      10240,         13,      10400,         13,      10560,         13,      10720,         13,      10880,         13,      11040,         13,      11200,         13,      11360,         13,      11520,         13,      11680,         13,      11840,         13,      12000,         13,      12160,         13,      12320,         13,      12480,         13,      12640,         13,      12800,         13,      12960,         13,      13120,         13,      13280,         13,      13440,         13,      13600,         13,      13760,         13,      13920,         13,      14080,         13,      14240,         13,      14400,         13,      14560,         13,      14720,         13,      14880,         13,      15040,         13,      15200,         13,      15360,         13,      15520,         13,      15680,         13,      15840,         13, 
30 : MGC_001_athlum_fighter,          0,          0,        168,         11,        336,         11,        504,         11,        672,         11,        840,         11,       1008,         11,       1176,         11,       1344,         11,       1512,         11,       1680,         11,       1848,         11,       2016,         11,       2184,         11,       2352,         11,       2520,         11,       2688,         11,       2856,         11,       3024,         11,       3192,         11,       3360,         11,       3528,         11,       3696,         11,       3864,         11,       4032,         11,       4200,         11,       4368,         11,       4536,         11,       4704,         11,       4872,         11,       5040,         11,       5208,         11,       5376,         11,       5544,         11,       5712,         11,       5880,         11,       6048,         11,       6216,         11,       6384,         11,       6552,         11,       6720,         11,       6888,         11,       7056,         11,       7224,         11,       7392,         11,       7560,         11,       7728,         11,       7896,         11,       8064,         11,       8232,         11,       8400,         11,       8568,         11,       8736,         11,       8904,         11,       9072,         11,       9240,         11,       9408,         11,       9576,         11,       9744,         11,       9912,         11,      10080,         11,      10248,         11,      10416,         11,      10584,         11,      10752,         11,      10920,         11,      11088,         11,      11256,         11,      11424,         11,      11592,         11,      11760,         11,      11928,         11,      12096,         11,      12264,         11,      12432,         11,      12600,         11,      12768,         11,      12936,         11,      13104,         11,      13272,         11,      13440,         11,      13608,         11,      13776,         11,      13944,         11,      14112,         11,      14280,         11,      14448,         11,      14616,         11,      14784,         11,      14952,         11,      15120,         11,      15288,         11,      15456,         11,      15624,         11,      15792,         11,      15960,         11,      16128,         11,      16296,         11,      16464,         11,      16632,         11, 
31 : MGC_001_athlum_mage,          0,          0,        152,         11,        304,         11,        456,         11,        608,         11,        760,         11,        912,         11,       1064,         11,       1216,         11,       1368,         11,       1520,         11,       1672,         11,       1824,         11,       1976,         11,       2128,         11,       2280,         11,       2432,         11,       2584,         11,       2736,         11,       2888,         11,       3040,         11,       3192,         11,       3344,         11,       3496,         11,       3648,         11,       3800,         11,       3952,         11,       4104,         11,       4256,         11,       4408,         11,       4560,         11,       4712,         11,       4864,         11,       5016,         11,       5168,         11,       5320,         11,       5472,         11,       5624,         11,       5776,         11,       5928,         11,       6080,         11,       6232,         11,       6384,         11,       6536,         11,       6688,         11,       6840,         11,       6992,         11,       7144,         11,       7296,         11,       7448,         11,       7600,         11,       7752,         11,       7904,         11,       8056,         11,       8208,         11,       8360,         11,       8512,         11,       8664,         11,       8816,         11,       8968,         11,       9120,         11,       9272,         11,       9424,         11,       9576,         11,       9728,         11,       9880,         11,      10032,         11,      10184,         11,      10336,         11,      10488,         11,      10640,         11,      10792,         11,      10944,         11,      11096,         11,      11248,         11,      11400,         11,      11552,         11,      11704,         11,      11856,         11,      12008,         11,      12160,         11,      12312,         11,      12464,         11,      12616,         11,      12768,         11,      12920,         11,      13072,         11,      13224,         11,      13376,         11,      13528,         11,      13680,         11,      13832,         11,      13984,         11,      14136,         11,      14288,         11,      14440,         11,      14592,         11,      14744,         11,      14896,         11,      15048,         11, 
32 : MGC_001_athlum_normal,          0,          0,        160,         11,        320,         11,        480,         11,        640,         11,        800,         11,        960,         11,       1120,         11,       1280,         11,       1440,         11,       1600,         11,       1760,         11,       1920,         11,       2080,         11,       2240,         11,       2400,         11,       2560,         11,       2720,         11,       2880,         11,       3040,         11,       3200,         11,       3360,         11,       3520,         11,       3680,         11,       3840,         11,       4000,         11,       4160,         11,       4320,         11,       4480,         11,       4640,         11,       4800,         11,       4960,         11,       5120,         11,       5280,         11,       5440,         11,       5600,         11,       5760,         11,       5920,         11,       6080,         11,       6240,         11,       6400,         11,       6560,         11,       6720,         11,       6880,         11,       7040,         11,       7200,         11,       7360,         11,       7520,         11,       7680,         11,       7840,         11,       8000,         11,       8160,         11,       8320,         11,       8480,         11,       8640,         11,       8800,         11,       8960,         11,       9120,         11,       9280,         11,       9440,         11,       9600,         11,       9760,         11,       9920,         11,      10080,         11,      10240,         11,      10400,         11,      10560,         11,      10720,         11,      10880,         11,      11040,         11,      11200,         11,      11360,         11,      11520,         11,      11680,         11,      11840,         11,      12000,         11,      12160,         11,      12320,         11,      12480,         11,      12640,         11,      12800,         11,      12960,         11,      13120,         11,      13280,         11,      13440,         11,      13600,         11,      13760,         11,      13920,         11,      14080,         11,      14240,         11,      14400,         11,      14560,         11,      14720,         11,      14880,         11,      15040,         11,      15200,         11,      15360,         11,      15520,         11,      15680,         11,      15840,         11, 
33 : MGC_001_mons_fighter,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,         10,       6400,         10,       6560,         10,       6720,         10,       6880,         10,       7040,         10,       7200,         10,       7360,         10,       7520,         10,       7680,         10,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
34 : MGC_001_mons_mage,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,         10,       6400,         10,       6560,         10,       6720,         10,       6880,         10,       7040,         10,       7200,         10,       7360,         10,       7520,         10,       7680,         10,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
35 : MGC_001_mons_normal,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,         10,       6400,         10,       6560,         10,       6720,         10,       6880,         10,       7040,         10,       7200,         10,       7360,         10,       7520,         10,       7680,         10,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
36 : MGC_001_mons_boss_fighter,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,          6,       6400,          6,       6560,          6,       6720,          6,       6880,          6,       7040,          6,       7200,          6,       7360,          6,       7520,          6,       7680,          6,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
37 : MGC_001_mons_boss_mage,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,          6,       6400,          6,       6560,          6,       6720,          6,       6880,          6,       7040,          6,       7200,          6,       7360,          6,       7520,          6,       7680,          6,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
38 : MGC_001_mons_boss_normal,          0,          0,        160,         10,        320,         10,        480,         10,        640,         10,        800,         10,        960,         10,       1120,         10,       1280,         10,       1440,         10,       1600,         10,       1760,         10,       1920,         10,       2080,         10,       2240,         10,       2400,         10,       2560,         10,       2720,         10,       2880,         10,       3040,         10,       3200,         10,       3360,         10,       3520,         10,       3680,         10,       3840,         10,       4000,         10,       4160,         10,       4320,         10,       4480,         10,       4640,         10,       4800,         10,       4960,         10,       5120,         10,       5280,         10,       5440,         10,       5600,         10,       5760,         10,       5920,         10,       6080,         10,       6240,          6,       6400,          6,       6560,          6,       6720,          6,       6880,          6,       7040,          6,       7200,          6,       7360,          6,       7520,          6,       7680,          6,       7840,          6,       8000,          6,       8160,          6,       8320,          6,       8480,          6,       8640,          6,       8800,          6,       8960,          6,       9120,          6,       9280,          6,       9440,          6,       9600,          6,       9760,          6,       9920,          6,      10080,          6,      10240,          6,      10400,          6,      10560,          6,      10720,          6,      10880,          6,      11040,          6,      11200,          6,      11360,          6,      11520,          6,      11680,          6,      11840,          6,      12000,          6,      12160,          6,      12320,          6,      12480,          6,      12640,          6,      12800,          6,      12960,          6,      13120,          6,      13280,          6,      13440,          6,      13600,          6,      13760,          6,      13920,          6,      14080,          6,      14240,          2,      14400,          2,      14560,          2,      14720,          2,      14880,          2,      15040,          2,      15200,          2,      15360,          2,      15520,          2,      15680,          2,      15840,          2, 
39 : SPD_001_pc_fighter,          0,          0,        168,          5,        336,          5,        504,          5,        672,          5,        840,          5,       1008,          5,       1176,          5,       1344,          5,       1512,          5,       1680,          5,       1848,          5,       2016,          5,       2184,          5,       2352,          5,       2520,          5,       2688,          5,       2856,          5,       3024,          5,       3192,          5,       3360,          5,       3528,          5,       3696,          5,       3864,          5,       4032,          5,       4200,          5,       4368,          5,       4536,          5,       4704,          5,       4872,          5,       5040,          5,       5208,          5,       5376,          5,       5544,          5,       5712,          5,       5880,          5,       6048,          5,       6216,          5,       6384,          5,       6552,          5,       6720,          5,       6888,          5,       7056,          5,       7224,          5,       7392,          5,       7560,          5,       7728,          5,       7896,          5,       8064,          5,       8232,          5,       8400,          5,       8568,          5,       8736,          5,       8904,          5,       9072,          5,       9240,          5,       9408,          5,       9576,          5,       9744,          5,       9912,          5,      10080,          5,      10248,          5,      10416,          5,      10584,          5,      10752,          5,      10920,          5,      11088,          5,      11256,          5,      11424,          5,      11592,          5,      11760,          5,      11928,          5,      12096,          5,      12264,          5,      12432,          5,      12600,          5,      12768,          5,      12936,          5,      13104,          5,      13272,          5,      13440,          5,      13608,          5,      13776,          5,      13944,          5,      14112,          5,      14280,          5,      14448,          5,      14616,          5,      14784,          5,      14952,          5,      15120,          5,      15288,          5,      15456,          5,      15624,          5,      15792,          5,      15960,          5,      16128,          5,      16296,          5,      16464,          5,      16632,          5, 
40 : SPD_001_pc_mage,          0,          0,        168,          5,        336,          5,        504,          5,        672,          5,        840,          5,       1008,          5,       1176,          5,       1344,          5,       1512,          5,       1680,          5,       1848,          5,       2016,          5,       2184,          5,       2352,          5,       2520,          5,       2688,          5,       2856,          5,       3024,          5,       3192,          5,       3360,          5,       3528,          5,       3696,          5,       3864,          5,       4032,          5,       4200,          5,       4368,          5,       4536,          5,       4704,          5,       4872,          5,       5040,          5,       5208,          5,       5376,          5,       5544,          5,       5712,          5,       5880,          5,       6048,          5,       6216,          5,       6384,          5,       6552,          5,       6720,          5,       6888,          5,       7056,          5,       7224,          5,       7392,          5,       7560,          5,       7728,          5,       7896,          5,       8064,          5,       8232,          5,       8400,          5,       8568,          5,       8736,          5,       8904,          5,       9072,          5,       9240,          5,       9408,          5,       9576,          5,       9744,          5,       9912,          5,      10080,          5,      10248,          5,      10416,          5,      10584,          5,      10752,          5,      10920,          5,      11088,          5,      11256,          5,      11424,          5,      11592,          5,      11760,          5,      11928,          5,      12096,          5,      12264,          5,      12432,          5,      12600,          5,      12768,          5,      12936,          5,      13104,          5,      13272,          5,      13440,          5,      13608,          5,      13776,          5,      13944,          5,      14112,          5,      14280,          5,      14448,          5,      14616,          5,      14784,          5,      14952,          5,      15120,          5,      15288,          5,      15456,          5,      15624,          5,      15792,          5,      15960,          5,      16128,          5,      16296,          5,      16464,          5,      16632,          5, 
