           km_,   km_namen,    km_help, km_adv_rank, km_adv_number, km_adv_reward, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_guild_c, km_guild_n, km_guild_l, km_event_flag_rw, km_e_num_rw, km_target_type, km_type1_monster, km_type1_num, km_type2_item, km_type2_param_id, km_type2_param_num, km_type2_num, km_type3_class, km_type3_param_id, km_type3_param_num, km_type3_num, km_type4_num, km_type5_num, 
24 : low_zako_007,          7,          7,          3,          7,         24,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,         99,         14,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
25 : low_zako_008,          8,          8,          3,          8,         25,          0,       3200,          0,         -1,          0,          0,        292,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        211,          8,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
26 : low_named_002,         18,         18,          3,         18,         26,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        232,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
27 : low_material_015,         37,         37,          3,         35,         27,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044441,          0,          0,          5,         -1,          0,          0,          0,          0,          0, 
28 : low_material_016,         38,         38,          3,         36,         28,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044437,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
29 : low_material_017,         39,         39,          3,         37,         29,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044447,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
30 : low_member_num_002,         54,         54,          3,         52,         30,          0,       3200,          0,         -1,          0,          0,        292,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         10,          0,          0,          1,          0,          0, 
31 : low_member_personal_002,         56,         56,          3,         54,         31,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          3,         33,          1,          0,          0, 
32 : low_zako_009,          9,          9,          3,          9,         32,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        162,         13,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
33 : low_zako_010,         10,         10,          4,         10,         33,          0,       3800,          0,         -1,          0,          0,        292,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        313,         12,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
34 : low_material_018,         40,         40,          3,         38,         34,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044476,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
35 : low_material_019,         41,         41,          3,         39,         35,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044488,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
36 : low_material_020,         42,         42,          3,         40,         36,          0,       3800,          0,         -1,          0,          0,        293,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044455,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
37 : low_eq_002,         52,         52,          4,         50,         37,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    8323909,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
38 : low_member_personal_003,         57,         57,          4,         55,         38,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          4,         25,          1,          0,          0, 
39 : low_zako_011,         11,         11,          4,         11,         39,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        239,         15,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
40 : low_zako_012,         12,         12,          4,         12,         40,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        301,          9,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
41 : low_named_003,         19,         19,          4,         19,         41,          0,       5000,          0,         -1,          0,          0,        293,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        302,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
42 : low_material_021,         43,         43,          4,         41,         42,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044474,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
43 : low_material_022,         44,         44,          4,         42,         43,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044434,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
44 : low_material_023,         45,         45,          4,         43,         44,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044424,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
45 : low_material_024,         46,         46,          4,         44,         45,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044427,          0,          0,          5,         -1,          0,          0,          0,          0,          0, 
46 : low_material_025,         47,         47,          4,         45,         46,          0,       5000,          0,         -1,          0,          0,        293,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044477,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
47 : low_member_personal_004,         58,         58,          4,         56,         47,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          2,         40,          1,          0,          0, 
48 : low_zako_013,         13,         13,          5,         13,         48,          0,       5600,          0,         -1,          0,          0,        293,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        325,         16,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
49 : low_member_personal_005,         59,         59,          5,         57,         49,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          3,         45,          1,          0,          0, 
50 : low_zako_014,         14,         14,          5,         14,         50,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        124,         15,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
51 : low_material_026,         48,         48,          5,         46,         51,          0,       6100,          0,         -1,          0,          0,        294,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044454,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
52 : low_zako_015,         15,         15,          5,         15,         52,          0,       6400,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          1,         22,         14,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
53 : low_named_004,         20,         20,          5,         20,         53,          0,       6400,          0,         -1,          0,          0,        294,          0,          0,          1,          0,          0,          1,         -1,          0,          1,         56,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
54 : low_material_027,         49,         49,          5,         47,         54,          0,       6400,          0,         -1,          0,          0,        295,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044475,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
55 : low_member_personal_006,         60,         60,          5,         58,         55,          0,       6400,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          4,         30,          1,          0,          0, 
56 : low_zako_016,         16,         16,          5,         16,         56,          0,       6850,          0,         -1,          0,          0,        295,          0,          0,          1,          0,          0,          1,         -1,          0,          1,        175,         24,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
57 : low_material_028,         50,         50,          5,         48,         57,          0,       6850,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          0,          1,         -1,          0,          2,         -1,          0,    9044472,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
58 : low_btl_chain_008,         61,         61,          8,         61,         58,          0,       5600,          0,         -1,          0,          0,        174,          0,          0,          1,          0,          0,          1,     109002,          1,          4,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,        100,          0, 
59 : low_named_031,         21,         21,          8,         59,         59,          0,       5600,          0,         -1,          0,          0,        174,          0,          0,          1,          0,          0,          1,     109002,          1,          1,        412,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
60 : low_btl_treasure_008,         62,         62,         11,         62,         60,          0,       6400,          0,         -1,          0,          0,        177,          0,          0,          1,          0,          0,          1,     109005,          1,          5,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,        150, 
61 : low_named_032,         22,         22,         11,         60,         61,          0,       6400,          0,         -1,          0,          0,        177,          0,          0,          1,          0,          0,          1,     109005,          1,          1,        415,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
62 : neutral_zako_001,         63,         63,          1,          1,         62,          0,        900,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        160,          8,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
63 : neutral_named_001,         75,         75,          1,         13,         63,          0,        900,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,         75,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
64 : neutral_material_001,         91,         91,          1,         25,         64,          0,        900,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044235,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
65 : neutral_material_002,         92,         92,          1,         26,         65,          0,        900,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044318,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
66 : neutral_member_personal_001,        130,        130,          1,         60,         66,          0,        900,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          2,         26,          1,          0,          0, 
67 : neutral_btl_chain_001,        133,        133,          1,         63,         67,          0,        900,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          4,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,         10,          0, 
68 : neutral_zako_002,         64,         64,          1,          2,         68,          0,       1500,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        135,          6,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
69 : neutral_named_002,         76,         76,          1,         14,         69,          0,       1500,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        292,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
70 : neutral_material_003,         93,         93,          1,         27,         70,          0,       1500,          0,         -1,          0,          0,        296,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044243,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
71 : neutral_material_004,         94,         94,          1,         28,         71,          0,       1500,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044358,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
72 : neutral_material_005,         95,         95,          1,         29,         72,          0,       1500,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044395,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
73 : neutral_eq_001,        120,        120,          1,         50,         73,          0,       1500,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323172,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
74 : neutral_zako_003,         65,         65,          2,          3,         74,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        146,          7,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
75 : neutral_named_003,         77,         77,          2,         15,         75,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,         66,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
76 : neutral_material_006,         96,         96,          2,         30,         76,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044304,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
77 : neutral_material_007,         97,         97,          2,         31,         77,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044169,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
78 : neutral_eq_002,        121,        121,          2,         51,         78,          0,       1600,          0,         -1,          0,          0,        296,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323229,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
79 : neutral_btl_chain_002,        134,        134,          2,         64,         79,          0,       1600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          4,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,         30,          0, 
80 : neutral_zako_004,         66,         66,          2,          4,         80,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,         85,         12,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
81 : neutral_named_004,         78,         78,          2,         16,         81,          0,       2600,          0,         -1,          0,          0,        296,          0,          0,          1,          0,          1,          0,         -1,          0,          1,         28,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
82 : neutral_material_008,         98,         98,          2,         32,         82,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044265,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
83 : neutral_material_009,         99,         99,          2,         33,         83,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044337,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
84 : neutral_material_010,        100,        100,          2,         34,         84,          0,       2600,          0,         -1,          0,          0,        296,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044215,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
85 : neutral_eq_003,        122,        122,          2,         52,         85,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323515,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
86 : neutral_member_personal_002,        131,        131,          2,         61,         86,          0,       2600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          2,         30,          1,          0,          0, 
87 : neutral_btl_treasure_001,        136,        136,          2,         66,         87,          0,       2600,          0,         -1,          0,          0,        297,          0,          0,          1,          0,          1,          0,         -1,          0,          5,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          5, 
88 : neutral_zako_005,         67,         67,          3,          5,         88,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,          7,          6,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
89 : neutral_named_005,         79,         79,          3,         17,         89,          0,       3100,          0,         -1,          0,          0,        297,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        354,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
90 : neutral_material_011,        101,        101,          3,         35,         90,          0,       3100,          0,         -1,          0,          0,        297,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044254,          0,          0,          5,         -1,          0,          0,          0,          0,          0, 
91 : neutral_material_012,        102,        102,          3,         36,         91,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044349,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
92 : neutral_eq_004,        123,        123,          3,         53,         92,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323602,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
93 : neutral_member_num_001,        128,        128,          2,         58,         93,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         34,          0,          0,          1,          0,          0, 
94 : neutral_btl_chain_003,        135,        135,          3,         65,         94,          0,       3100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          4,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,         50,          0, 
95 : neutral_zako_006,         68,         68,          3,          6,         95,          0,       3200,          0,         -1,          0,          0,        297,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        147,         12,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
96 : neutral_named_006,         80,         80,          3,         18,         96,          0,       3200,          0,         -1,          0,          0,        297,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        105,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
97 : neutral_material_013,        103,        103,          3,         37,         97,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044267,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
98 : neutral_material_014,        104,        104,          3,         38,         98,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044417,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
99 : neutral_material_015,        105,        105,          3,         39,         99,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044176,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
100 : neutral_eq_005,        124,        124,          3,         54,        100,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323357,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
101 : neutral_btl_treasure_002,        137,        137,          3,         67,        101,          0,       3200,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          5,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,         30, 
102 : neutral_zako_007,         69,         69,          4,          7,        102,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        352,          9,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
103 : neutral_named_007,         81,         81,          4,         19,        103,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        207,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
104 : neutral_material_016,        106,        106,          4,         40,        104,          0,       3800,          0,         -1,          0,          0,        298,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044272,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
105 : neutral_material_017,        107,        107,          4,         41,        105,          0,       3800,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044356,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
106 : neutral_member_num_002,        129,        129,          3,         59,        106,          0,       3800,          0,         -1,          0,          0,        298,          0,          0,          1,          0,          1,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         11,          0,          0,          1,          0,          0, 
107 : neutral_zako_008,         70,         70,          4,          8,        107,          0,       5000,          0,         -1,          0,          0,        298,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        148,         16,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
108 : neutral_named_008,         82,         82,          4,         20,        108,          0,       5000,          0,         -1,          0,          0,        298,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        155,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
109 : neutral_material_018,        108,        108,          4,         42,        109,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044268,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
110 : neutral_material_019,        109,        109,          4,         43,        110,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044367,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
