           km_, km_check_num, km_command, km_logic_target_unit, km_logic_ctrl_15, km_logic_ctrl_14, km_logic_ctrl_13, km_logic_ctrl_12, km_logic_ctrl_11, km_logic_ctrl_10, km_logic_ctrl_9, km_logic_ctrl_8, km_logic_ctrl_7, km_logic_ctrl_6, km_logic_ctrl_5, km_logic_ctrl_4, km_logic_ctrl_3, km_logic_ctrl_2, km_logic_ctrl_1, km_logic_ctrl_0,   km_ratio,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2,  km_ex_tgt, km_ex_cond, km_ex_arg_1, km_ex_arg_2, 
 9 : CALL_FRIEND_POST01,          1,          5,          6,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        482,          4,         -1,         -1,         -1,         -1,         -1,         13,        555,          3,          8,          0,        675,          3,          1, 
10 : OVER_DRIVE_PRE01,          1,          5,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
11 : OVER_DRIVE_PRE02,          1,          5,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        426,          0,         30,         13,        362,         29,         -1,         13,        394,         28,         -1,         13,        672,         28,         -1, 
12 : OVER_DRIVE_PRE03,          1,          5,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        492,          3,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
13 : OVER_DRIVE_PRE04,          1,          5,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        427,         60,        999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 : OVER_DRIVE_PRE05,          1,          5,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
15 : MULTI_HANYO,          3,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
16 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
17 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
18 : waiting_03,         12,         36,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         22,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
19 :          @,          0,         36,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 :          @,          0,         36,        752,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,        100,         22,        448,    5570561,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
21 :          @,          0,         36,        801,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,        100,         22,        448,    5570573,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
22 :          @,          0,         35,         27,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         13,        520,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 :          @,          0,         36,        304,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         22,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
24 :          @,          0,         36,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         22,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :          @,          0,         36,        304,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :          @,          0,         36,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
27 :          @,          0,         36,        925,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         22,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :          @,          0,         36,        925,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,        100,         22,         82,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :          @,          0,         35,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
30 : waiting_04,          4,         40,       1539,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        348,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
31 :          @,          0,         41,       1539,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        349,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
32 :          @,          0,         42,       1539,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        351,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
33 :          @,          0,         37,         50,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
34 : waiting_02,          2,         34,       1539,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        576,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
35 :          @,          0,         33,         24,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
36 : CLASS_general,          3,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
37 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
38 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
39 : QE0270_vs3rd,          5,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
40 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        340,         -1,         -1,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1, 
41 :          @,          0,          3,         16,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         22,        338,    7667718,         -1,         -1,         -1,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
42 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
43 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
44 : CLASS_DEFENDER,          3,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
45 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
46 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
47 : CLASS_DEFENDER,          4,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
48 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         15,        584,         -1,         -1,         15,        586,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
49 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
50 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
51 : CLASS_DEFENDER,          5,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
52 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         21,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
53 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         15,        584,         -1,         -1,         15,        586,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
54 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
55 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
56 : CLASS_ATTACKER,          3,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
57 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
58 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
59 : CLASS_ATTACKER,          4,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
60 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        340,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
61 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
62 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
63 : CLASS_ATTACKER,          7,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
64 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        351,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
65 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        349,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
66 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        348,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
67 :          @,          0,          6,         23,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
68 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
69 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
70 : CLASS_HEALER,         11,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         33,         22,          3,          0,         20,         22,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
71 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
72 :          @,          0,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         50,         22,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
73 :          @,          0,          5,        752,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         50,         22,        448,    5570561,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
74 :          @,          0,          5,        304,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         33,         22,        426,         30,         60,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
75 :          @,          0,          5,        925,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         25,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
76 :          @,          0,          5,        254,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         25,         22,        426,         60,         90,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
77 :          @,          0,          5,       2143,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         10,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
78 :          @,          0,          0,       2084,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         10,         21,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
79 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
80 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
81 : CLASS_HEALER,         17,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         50,         22,          3,          0,         20,         22,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
82 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
83 :          @,          0,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          1,         67,         22,        426,          0,         30,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
84 :          @,          0,          5,        752,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          1,         67,         22,        448,    5570561,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
85 :          @,          0,          5,        304,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          1,         50,         22,        426,         30,         60,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
86 :          @,          0,          5,        925,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          1,         30,         22,        426,          0,         50,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
87 :          @,          0,          5,        254,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          1,         30,         22,        426,         60,         90,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
88 :          @,          0,          5,       2143,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          1,         20,         22,        426,          0,         50,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
89 :          @,          0,          0,       2084,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         20,         21,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
90 :          @,          0,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         33,         22,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
91 :          @,          0,          5,        752,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         33,         22,        448,    5570561,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
92 :          @,          0,          5,        304,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         25,         22,        426,         30,         60,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
93 :          @,          0,          5,        925,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         15,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
94 :          @,          0,          5,        254,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         15,         22,        426,         60,         90,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
95 :          @,          0,          5,       2143,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         10,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
96 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
97 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
