           km_, km_action_id, km_category_sort_id, km_skill_sort_id, km_skill_growth_type, km_display_is_disp, km_display_is_last, km_display_reserve_0, km_display_reserve_1, km_display_reserve_2, km_display_reserve_3, km_display_reserve_4, km_display_reserve_5, 
47 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
48 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
49 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
50 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
51 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
52 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
53 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
54 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
55 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
56 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
57 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
58 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
60 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
61 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
62 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
63 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
64 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
65 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
66 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
67 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
68 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
69 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
70 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
71 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
72 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
73 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
74 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
75 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
76 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
77 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
78 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
79 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
80 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
81 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
82 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
83 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
84 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
85 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
86 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
87 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
88 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
89 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
90 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
91 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
92 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
93 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
94 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
95 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
96 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
97 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
98 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
99 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
100 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
101 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
102 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
103 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
104 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
105 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
106 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
107 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
108 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
109 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
110 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
111 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
112 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
113 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
114 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
115 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
116 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
117 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
118 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
119 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
120 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
121 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
122 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
123 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
124 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
125 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
126 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
127 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
128 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
129 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
130 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
131 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
132 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
133 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
134 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
135 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
136 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
137 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
138 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
139 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
140 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
141 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
142 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
143 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
144 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
145 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
146 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
147 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
148 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
149 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
150 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
151 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
152 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
153 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
154 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
155 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
156 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
157 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
158 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
159 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
160 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
161 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
162 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
163 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
164 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
165 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
166 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
167 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
168 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
169 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
170 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
171 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
172 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
173 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
174 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
175 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
176 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
177 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
178 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
179 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
180 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
181 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
182 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
183 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
184 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
185 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
186 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
187 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
188 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
189 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
190 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
191 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
192 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
193 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
194 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
195 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
196 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
197 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
198 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
199 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
200 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
201 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
202 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
203 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
204 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
205 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
206 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
207 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
208 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
209 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
210 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
211 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
212 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
213 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
214 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
215 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
216 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
217 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
218 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
219 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
220 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
221 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
222 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
223 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
224 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
225 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
226 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
227 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
228 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
229 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
230 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
231 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
232 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
233 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
234 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
235 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
236 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
237 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
238 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
239 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
240 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
241 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
242 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
243 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
244 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
245 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
246 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
247 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
248 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
249 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
250 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
251 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
252 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
253 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
254 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
255 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
256 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
257 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
258 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
259 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
260 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
261 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
262 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
263 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
264 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
265 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
266 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
267 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
268 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
269 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
270 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
271 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
272 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
273 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
274 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
275 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
276 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
277 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
278 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
279 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
280 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
281 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
282 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
283 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
