           km_,   km_chara,     km_pay, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_need_clear_adventure, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_respawn, km_respawn_btlnum, km_respawn_time,   km_ASC_c,   km_ASC_n,   km_ASC_l,   km_CPC_c,   km_CPC_n,   km_CPC_l,   km_ERC_c,   km_ERC_n,   km_ERC_l,   km_VAL_c,   km_VAL_n,   km_VAL_l,   km_RIO_c,   km_RIO_n,   km_RIO_l,   km_BAR_c,   km_BAR_n,   km_BAR_l,   km_GOL_c,   km_GOL_n,   km_GOL_l,   km_MEL_c,   km_MEL_n,   km_MEL_l,   km_NGP_c,   km_NGP_n,   km_NGP_l,   km_UNB_c,   km_UNB_n,   km_UNB_l, 
 9 : btl_free_npc,         16,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 : btl_free_npc,         17,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 : btl_free_npc,         18,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : btl_free_npc,         19,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : btl_free_npc,         20,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : btl_free_npc,         21,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : btl_free_npc,         22,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : btl_free_npc,         23,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : btl_free_npc,         24,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : btl_free_npc_093,         25,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : btl_free_npc,         26,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : btl_free_npc,         27,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : btl_free_npc,         28,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 : btl_free_npc_073,         29,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 : btl_free_npc_017,         30,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
24 : btl_free_npc_043,         31,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
25 : btl_free_npc,         32,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
26 : btl_free_npc,         33,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
27 : btl_free_npc_031,         34,          0,          0,        900,          0,         -1,          0,          0,         -1,         -1,          8,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
28 : btl_pc_loki,         35,       3000,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,          0,        180,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
29 : btl_free_npc,         36,       1260,          0,       1500,       3800,         -1,          0,          0,         68,         -1,          0,          0,          1,          1,         20,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
30 : btl_free_npc,         37,       1300,          0,       1500,          0,         -1,          0,          0,         71,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
31 : btl_free_npc,         38,       1090,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
32 : btl_free_npc,         39,       1050,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
33 : btl_free_npc,         40,       1490,          0,       1500,          0,         -1,          0,          0,         -1,        296,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
34 : btl_free_npc_046,         41,       1260,          0,       1500,          0,         -1,          0,          0,         70,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
35 : btl_free_npc_097,         42,       1300,          0,       1500,          0,         -1,          0,          0,         73,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
36 : btl_free_npc,         43,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 : btl_free_npc,         44,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
38 : btl_free_npc,         45,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
39 : btl_free_npc,         46,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
40 : btl_free_npc,         47,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
41 : btl_free_npc,         48,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
42 : btl_free_npc,         49,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
43 : btl_free_npc,         50,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
44 : btl_free_npc,         51,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
45 : btl_free_npc_072,         52,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
46 : btl_free_npc_083,         53,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
47 : btl_free_npc,         54,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
48 : btl_free_npc_069,         55,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
49 : btl_free_npc,         56,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
50 : btl_free_npc,         57,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
51 : btl_free_npc_007,         58,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
52 : btl_free_npc_015,         59,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
53 : btl_free_npc_090,         60,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
54 : btl_free_npc,         61,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
55 : btl_free_npc,         62,          0,          0,       1500,          0,         -1,          0,          0,         -1,         -1,         12,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
56 : btl_pc_jorgen_class1,         63,      22400,          0,       1600,          0,     103040,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
57 : btl_pc_jorgen_class2,         64,      10240,          0,       1600,          0,     103041,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
58 : btl_pc_jorgen_class3,         65,      96000,          0,       1600,          0,     103042,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 : btl_pc_jorgen_class4,         66,      96000,          0,       1600,          0,     103043,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
60 : btl_pc_jorgen_class5,         67,      96000,          0,       1600,          0,     103044,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
61 : btl_pc_jorgen_class6,         68,      96000,          0,       1600,          0,     103045,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
62 : btl_pc_jorgen_class7,         69,       4000,          0,       1600,          0,     103046,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
63 : btl_pc_violet,         70,      14400,          0,       1600,          0,     103010,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
64 : btl_pc_gabriel,         71,       8800,          0,       1600,          0,     103003,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
65 : btl_pc_caedmon,         72,      19200,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,          0,        180,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
66 : btl_free_npc,         73,       2770,          0,       1600,       3800,         -1,          0,          0,         74,         -1,          0,          0,          1,          1,         20,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
67 : btl_free_npc,         74,       2910,          0,       1600,          0,         -1,          0,          0,         76,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
68 : btl_free_npc,         75,       2510,          0,       1600,          0,         -1,          0,          0,         -1,        291,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
69 : btl_free_npc,         76,       2550,          0,       1600,          0,         -1,          0,          0,         78,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
70 : btl_free_npc,         77,       3000,          0,       1600,       3800,         -1,          0,          0,         79,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
71 : btl_free_npc_026,         78,       2160,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
72 : btl_free_npc_021,         79,       2580,          0,       1600,          0,         -1,          0,          0,         77,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
73 : btl_free_npc_088,         80,       2550,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
74 : btl_free_npc,         81,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
75 : btl_free_npc,         82,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
76 : btl_free_npc,         83,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
