           km_,      km_id,      km_lv,     km_num,   km_bonus, km_break_mons_work, km_is_rush_get, km_is_break, km_is_steal, km_is_surely, km_is_bonus_target, km_yoyaku_unit, km_yoyaku_message, km_yoyaku_name, km_aim_eq_slot, km_aim_eq_cast, km_rob_message, km_rob_name, 
125 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
126 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
127 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
128 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
129 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
130 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
131 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
132 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
133 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
134 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
135 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
136 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
137 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
138 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
139 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
140 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
141 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
142 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
143 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
144 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
145 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
146 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
147 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
148 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
149 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
150 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
151 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
152 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
153 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
154 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
155 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
156 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
157 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
158 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
159 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
160 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
161 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
162 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
163 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
164 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
165 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
166 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
167 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
168 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
169 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
170 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
171 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
172 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
173 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
174 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
175 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
176 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
177 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
178 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
179 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
180 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
181 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
182 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
183 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
184 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
185 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
186 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
187 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
188 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
189 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
190 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
191 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
192 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
