           km_, km_preset_skill_type, km_btl_rank_min, km_btl_rank_max, km_check_num, km_growth_category, km_action_id_0, km_action_id_1, km_action_id_2, km_action_id_3, km_action_id_4, km_action_id_5, km_action_id_6, km_action_id_7, km_action_id_8, km_action_id_9, km_action_id_10, km_action_id_11, km_action_id_12, km_action_id_13, km_action_id_14, km_action_id_15, 
12 :          @,          3,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
13 :          @,          3,          0,        255,          0,          3,        860,        884,        908,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 :          @,          3,          0,        255,          0,          4,       1160,       1184,       1208,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
15 : btl_pc_jorgen,          4,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
16 :          @,          4,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
17 :          @,          4,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
18 :          @,          4,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
19 : btl_pc_jorgen,          5,          0,        255,          4,          1,        260,        284,        309,        333,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
20 :          @,          5,          0,        255,          0,          2,        560,        584,        609,        633,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
21 :          @,          5,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
22 :          @,          5,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
23 : btl_pc_jorgen,          6,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
24 :          @,          6,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
25 :          @,          6,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
26 :          @,          6,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
27 : btl_pc_jorgen,          7,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
28 :          @,          7,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
29 :          @,          7,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
30 :          @,          7,          0,        255,          0,          4,       1160,       1185,       1209,       1233,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
31 : btl_pc_jorgen,          8,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
32 :          @,          8,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
33 :          @,          8,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
34 :          @,          8,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
35 : btl_pc_jorgen,          9,          0,        255,          4,          1,        258,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
36 :          @,          9,          0,        255,          0,          2,        558,        583,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
37 :          @,          9,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
38 :          @,          9,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
39 : btl_pc_violet,         10,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
40 :          @,         10,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
41 :          @,         10,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
42 :          @,         10,          0,        255,          0,          4,       1158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
43 : btl_pc_gabriel,         11,          0,        255,          4,          1,        258,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
44 :          @,         11,          0,        255,          0,          2,        558,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
45 :          @,         11,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
46 :          @,         11,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
47 :       emmy,         12,          0,        255,          4,          1,        258,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
48 :          @,         12,          0,        255,          0,          2,        558,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
49 :          @,         12,          0,        255,          0,          3,        860,        884,        908,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
50 :          @,         12,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
51 : btl_pc_glenys,         13,          0,        255,          4,          1,        259,        283,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
52 :          @,         13,          0,        255,          0,          2,        560,        584,        608,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
53 :          @,         13,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
54 :          @,         13,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
55 :      jager,         14,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
56 :          @,         14,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
57 :          @,         14,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
58 :          @,         14,          0,        255,          0,          4,       1160,       1184,       1208,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
59 : david_nassau_s,         15,          0,        255,          4,          1,        258,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
60 :          @,         15,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
61 :          @,         15,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
62 :          @,         15,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
63 : btl_pc_loki,         16,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
64 :          @,         16,          0,        255,          0,          2,        558,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
65 :          @,         16,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
66 :          @,         16,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
67 : btl_pc_nora,         17,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
68 :          @,         17,          0,        255,          0,          2,        559,        583,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
69 :          @,         17,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
70 :          @,         17,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
71 : btl_pc_roberto,         18,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
72 :          @,         18,          0,        255,          0,          2,        560,        584,        608,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
73 :          @,         18,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
74 :          @,         18,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
75 : btl_pc_khrynia,         19,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
76 :          @,         19,          0,        255,          0,          2,        560,        585,        609,        633,        709,        733,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
77 :          @,         19,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
78 :          @,         19,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
79 : btl_pc_rhagoh,         20,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
80 :          @,         20,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
81 :          @,         20,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
82 :          @,         20,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
83 : btl_pc_paris,         21,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
84 :          @,         21,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
85 :          @,         21,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
86 :          @,         21,          0,        255,          0,          4,       1160,       1184,       1208,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
87 : btl_pc_kate,         22,          0,        255,          4,          1,        260,        284,        308,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
88 :          @,         22,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
89 :          @,         22,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
90 :          @,         22,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
91 : btl_pc_sheryl,         23,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
92 :          @,         23,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
93 :          @,         23,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
94 :          @,         23,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
95 : irina_sykes_s,         24,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
96 :          @,         24,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
97 :          @,         24,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
98 :          @,         24,          0,        255,          0,          4,       1159,       1183,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
99 :     haruko,         25,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
100 :          @,         25,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
101 :          @,         25,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
102 :          @,         25,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
103 :    plocter,         26,          0,        255,          4,          1,        258,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
104 :          @,         26,          0,        255,          0,          2,        558,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
105 :          @,         26,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
106 :          @,         26,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
107 : btl_pc_baulson,         27,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
108 :          @,         27,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
109 :          @,         27,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
110 :          @,         27,          0,        255,          0,          4,       1158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
111 : btl_pc_gaou,         28,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
112 :          @,         28,          0,        255,          0,          2,        560,        585,        609,        633,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
113 :          @,         28,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
114 :          @,         28,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
115 : duke_of_ghor,         29,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
116 :          @,         29,          0,        255,          0,          2,        560,        585,        609,        633,        759,        783,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
117 :          @,         29,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
118 :          @,         29,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
119 : btl_pc_zolean,         30,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
120 :          @,         30,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
121 :          @,         30,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
122 :          @,         30,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
123 : btl_pc_yuniver,         31,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
124 :          @,         31,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
125 :          @,         31,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
126 :          @,         31,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
127 : btl_pc_sibal,         32,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
128 :          @,         32,          0,        255,          0,          2,        560,        585,        609,        633,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
129 :          @,         32,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
130 :          @,         32,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
131 : btl_pc_darien,         33,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
132 :          @,         33,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
133 :          @,         33,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
134 :          @,         33,          0,        255,          0,          4,       1160,       1184,       1208,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
135 :      pagus,         34,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
136 :          @,         34,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
137 :          @,         34,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
138 :          @,         34,          0,        255,          0,          4,       1158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
139 : btl_pc_maddox,         35,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
140 :          @,         35,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
141 :          @,         35,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
142 :          @,         35,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
143 : btl_pc_leshau,         36,          0,        255,          4,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
144 :          @,         36,          0,        255,          0,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
145 :          @,         36,          0,        255,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
146 :          @,         36,          0,        255,          0,          4,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
147 :     torgal,         37,          0,        255,          3,          5,       1358,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
148 :          @,         37,          0,        255,          0,          6,       1458,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
149 :          @,         37,          0,        255,          0,          7,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
150 : btl_pc_caedmon,         38,          0,        255,          3,          5,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
151 :          @,         38,          0,        255,          0,          6,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
