           km_, km_oh_oh_exp, km_oh_oh_exp2, km_oh_oh_lv_base, km_oh_oh_lv_now, km_oh_oh_lv_battle, km_oh_th_exp, km_oh_th_exp2, km_oh_th_lv_base, km_oh_th_lv_now, km_oh_th_lv_battle, km_oh_ww_exp, km_oh_ww_exp2, km_oh_ww_lv_base, km_oh_ww_lv_now, km_oh_ww_lv_battle, km_th_th_exp, km_th_th_exp2, km_th_th_lv_base, km_th_th_lv_now, km_th_th_lv_battle, km_s_fw_exp, km_s_fw_exp2, km_s_fw_lv_base, km_s_fw_lv_now, km_s_fw_lv_battle, km_s_oh_exp, km_s_oh_exp2, km_s_oh_lv_base, km_s_oh_lv_now, km_s_oh_lv_battle, km_s_th_exp, km_s_th_exp2, km_s_th_lv_base, km_s_th_lv_now, km_s_th_lv_battle, 
10 : btl_free_npc,         39,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
11 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
12 : btl_free_npc,          0,          0,         -1,         -1,         -1,         54,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
13 : btl_free_npc_034,         55,          0,          2,         -1,         -1,         55,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
14 : btl_free_npc_064,         53,          0,          2,         -1,         -1,         53,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
15 : btl_free_npc,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
16 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
17 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
18 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
19 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
20 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
21 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
22 : btl_free_npc,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
23 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
24 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
25 : btl_free_npc_093,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
26 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
27 : btl_free_npc,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
28 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
29 : btl_free_npc_073,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
30 : btl_free_npc_017,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
31 : btl_free_npc_043,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
32 : btl_free_npc,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
33 : btl_free_npc,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
34 : btl_free_npc_031,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
35 : btl_pc_loki,          0,          0,         -1,         -1,         -1,       1125,          0,         12,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
36 : btl_free_npc,         30,          0,          2,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
37 : btl_free_npc,         53,          0,          2,         -1,         -1,         53,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
38 : btl_free_npc,         54,          0,          2,         -1,         -1,         54,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
39 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
40 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
41 : btl_free_npc_046,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
42 : btl_free_npc_097,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
43 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
44 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
45 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
46 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
47 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
48 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
49 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
50 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
51 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
52 : btl_free_npc_072,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
53 : btl_free_npc_083,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
54 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
55 : btl_free_npc_069,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
56 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
57 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
58 : btl_free_npc_007,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
59 : btl_free_npc_015,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
60 : btl_free_npc_090,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
61 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
62 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
63 : btl_pc_jorgen_class1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        607,          0,          9,         -1,         -1,        607,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
64 : btl_pc_jorgen_class2,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
65 : btl_pc_jorgen_class3,       1466,          0,         14,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
66 : btl_pc_jorgen_class4,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
67 : btl_pc_jorgen_class5,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       1400,          0,         14,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
68 : btl_pc_jorgen_class6,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
69 : btl_pc_jorgen_class7,         30,          0,          2,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
70 : btl_pc_violet,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
71 : btl_pc_gabriel,         30,          0,          2,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
72 : btl_free_npc,         30,          0,          2,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
73 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
74 : btl_free_npc,         30,          0,          2,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
75 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
76 : btl_free_npc,         30,          0,          2,         -1,         -1,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
77 : btl_free_npc_026,         52,          0,          2,         -1,         -1,         52,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
78 : btl_free_npc_021,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
79 : btl_free_npc_088,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
80 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
81 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
82 : btl_free_npc,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
83 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
84 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
85 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
86 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
87 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
88 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
89 : btl_free_npc_087,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
90 : btl_free_npc,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
91 : btl_free_npc_022,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
