           km_,   km_namen,    km_help, km_primary_model, km_primary_material_id, km_primary_bind_effect_id, km_secondly_model, km_secondly_material_id, km_secondly_bind_effect_id,    km_icon,  km_sortid,   km_price,    km_sell, km_break_cost, km_no_sell, km_no_break, km_no_menu, km_ep_remnant, km_category, km_add_attribute, km_add_impress, km_internal_attr_fire, km_internal_attr_thunder, km_internal_attr_ice, km_internal_attr_acid, km_internal_attr_poison, km_internal_attr_dr_null0, km_internal_attr_dr_null1, km_internal_attr_dr_null2, km_internal_attr_dr_null3, km_internal_attr_dr_null4, km_internal_attr_dr_null5, km_internal_attr_dr_null6, km_internal_attr_dr_null7, km_internal_attr_dr_null8, km_internal_attr_dr_null9, km_internal_attr_control_flag18, km_set_status, km_reset_status, km_prg_num_new, km_lvup_type,      km_ct, km_ap_butsu,  km_ap_mgc, km_dp_butsu,  km_dp_mgc, km_eva_butsu, km_eva_mgc, km_cro_onrate, km_cro_scrate, km_crd_onrate, km_crd_scrate, km_critical_lv, km_exp_eq_style, km_exp_eq_category, km_exp_mgc_category, km_exp_item_category, km_exp_arts_skill, km_exp_technique, km_exp_power, km_exp_magic_skill, km_exp_item_skill, km_exp_master,   km_item1,    km_num1,   km_item2,    km_num2,   km_item3,    km_num3,   km_item4,    km_num4, km_eq_rank, km_eq_not_aim, km_eq_release_mep, km_eq_not_force_replace,  km_heikin,   km_butsu,     km_mgc, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
 9 : remnant_hammer_WMD040_daidaros,         10,         10,         83,          0,         10,         -1,          0,         -1,         14,        150,          0,          0,          0,          1,          1,          0,          1,         69,          6,        946,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         -1,         23,          0,          9,        142,         96,         47,         31,          7,          0,         28,         80,         43,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 : remnant_lance__WLE050_maristosk,         11,         11,         84,          0,          3,         -1,          0,         -1,         15,        160,          0,          0,          0,          1,          1,          0,          1,         95,         12,        948,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         24,          0,         14,        102,        156,         25,         36,          8,          0,         36,         80,         58,         80,         18,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 : remnant_staff__WSF040_ribathi_staff,         12,         12,         86,          0,          4,         -1,          0,         -1,         16,        170,          0,          0,          0,          1,          1,          0,          1,        110,          6,        950,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         -1,         25,          0,          6,         95,        146,         32,         48,          5,          0,         30,         80,         48,         80,         20,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        230,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : remnant_lance__WME040_schiavona_____kai,         23,         23,         85,          0,          8,         -1,          0,         -1,         15,        111,          0,          0,          0,          1,          1,          0,          1,         94,         12,        937,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,         -1,         24,          0,         15,        158,        132,         47,         41,         11,          0,         35,         80,         55,         80,         17,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : remnant_lance__WME040_schiavona_____shin,         24,         24,         85,          0,          7,         -1,          0,         -1,         15,        112,          0,          0,          0,          1,          1,          0,          1,         94,         12,        937,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,         -1,         24,          0,         20,        184,        185,         57,         54,         18,          0,         35,         80,         55,         80,         17,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : remnant_sword__WLA060_koorinoken____kai,         25,         25,         79,          0,          8,         -1,          0,         -1,         11,        121,          0,          0,          0,          1,          1,          0,          1,         11,          3,        939,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         20,          0,         10,        145,        146,         44,         43,         11,          0,         34,         80,         53,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : remnant_sword__WLA060_koorinoken____shin,         26,         26,         79,          0,          7,         -1,          0,         -1,         11,        122,          0,          0,          0,          1,          1,          0,          1,         11,          3,        939,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         20,          0,         13,        183,        185,         56,         54,         18,          0,         34,         80,         53,         80,          2,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : remnant_sword__WXA030_obushidan_____kai,         27,         27,         80,          0,          8,         -1,          0,         -1,         11,        131,          0,          0,          0,          1,          1,          0,          1,         16,          3,        941,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         20,          0,         13,        153,        156,         38,         37,          9,          0,         31,         80,         50,         80,          3,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : remnant_sword__WXA030_obushidan_____shin,         28,         28,         80,          0,          7,         -1,          0,         -1,         11,        132,          0,          0,          0,          1,          1,          0,          1,         16,          3,        941,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         20,          0,         17,        195,        196,         47,         47,         14,          0,         31,         80,         50,         80,          3,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : remnant_katana_WMB040_gekabijin_____kai,         29,         29,         81,          0,          8,         -1,          0,         -1,         12,        141,          0,          0,          0,          1,          1,          0,          1,         31,          3,        943,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         16,         -1,         21,          0,          6,        177,        175,         16,         12,         13,          0,         30,         80,         48,         80,          5,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : remnant_katana_WMB040_gekabijin_____shin,         30,         30,         81,          0,          7,         -1,          0,         -1,         12,        142,          0,          0,          0,          1,          1,          0,          1,         31,          3,        943,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         16,         -1,         21,          0,          8,        223,        222,         17,         18,         20,          0,         30,         80,         48,         80,          5,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : remnant_axe____WXC030_bilqis________kai,         21,         21,         82,          0,         18,         -1,          0,         -1,         13,        101,          0,          0,          0,          1,          1,          0,          1,         58,          9,        945,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,         -1,         22,          0,         13,        172,        141,         36,         33,          6,          0,         31,         80,         50,         80,         11,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : remnant_axe____WXC030_bilqis________shin,         22,         22,         82,          0,         17,         -1,          0,         -1,         13,        102,          0,          0,          0,          1,          1,          0,          1,         58,          9,        945,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,         -1,         22,          0,         17,        206,        186,         43,         42,         10,          0,         31,         80,         50,         80,         11,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 : remnant_hammer_WMD040_daidaros______kai,         31,         31,         83,          0,         18,         -1,          0,         -1,         14,        151,          0,          0,          0,          1,          1,          0,          1,         69,          6,        947,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         -1,         23,          0,         11,        158,        127,         51,         43,          9,          0,         28,         80,         43,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 : remnant_hammer_WMD040_daidaros______shin,         32,         32,         83,          0,         17,         -1,          0,         -1,         14,        152,          0,          0,          0,          1,          1,          0,          1,         69,          6,        947,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         -1,         23,          0,         15,        187,        171,         63,         57,         14,          0,         28,         80,         43,         80,         13,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
24 : remnant_lance__WLE050_maristosk_____kai,         33,         33,         84,          0,          8,         -1,          0,         -1,         15,        161,          0,          0,          0,          1,          1,          0,          1,         95,         12,        949,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         24,          0,         17,        138,        169,         34,         36,         10,          0,         36,         80,         58,         80,         18,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
25 : remnant_lance__WLE050_maristosk_____shin,         34,         34,         84,          0,          7,         -1,          0,         -1,         15,        162,          0,          0,          0,          1,          1,          0,          1,         95,         12,        949,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         24,          0,         23,        194,        194,         43,         44,         16,          0,         36,         80,         58,         80,         18,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
26 : remnant_staff__WSF040_ribathi_staff_kai,         35,         35,         86,          0,          8,         -1,          0,         -1,         16,        171,          0,          0,          0,          1,          1,          0,          1,        110,          6,        951,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         -1,         25,          0,          7,        129,        159,         41,         51,          6,          0,         30,         80,         48,         80,         20,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        240,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
27 : remnant_staff__WSF040_ribathi_staff_shin,         36,         36,         86,          0,          7,         -1,          0,         -1,         16,        172,          0,          0,          0,          1,          1,          0,          1,        110,          6,        951,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         -1,         25,          0,         10,        170,        189,         59,         62,         10,          0,         30,         80,         48,         80,         20,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        250,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
28 : remnant_accessory_shirma_rurion,         18,         18,         -1,          0,         -1,         -1,          0,         -1,         40,        250,          0,          0,          0,          1,          1,          0,          1,        147,          0,       1169,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
29 : remnant_accessory_blood_challis,         19,         19,         -1,          0,         -1,         -1,          0,         -1,         35,        260,          0,          0,          0,          1,          1,          0,          1,        147,          0,       1170,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
30 : remnant_accessory_rubber_soul,         14,         14,         -1,          0,         -1,         -1,          0,         -1,         37,        210,          0,          0,          0,          1,          1,          0,          1,        147,          0,       1171,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
31 : remnant_accessory_dead_heart,         15,         15,         -1,          0,         -1,         -1,          0,         -1,         32,        220,          0,          0,          0,          1,          1,          0,          1,        147,          0,       1172,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
32 : remnant_accessory_ria_fall,         16,         16,         -1,          0,         -1,         -1,          0,         -1,         35,        230,          0,          0,          0,          1,          1,          0,          1,        147,          0,       1173,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
33 : remnant_accessory_bunshin_remnant,         17,         17,         -1,          0,         -1,         -1,          0,         -1,         40,        240,          0,          0,          0,          1,          1,          0,          1,        147,          0,       1174,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
34 : remnant_accessory_wonder_bangle,         13,         13,         -1,          0,         -1,         -1,          0,         -1,         35,        200,          0,          0,          0,          1,          1,          0,          1,        156,          0,       1175,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
35 : remnant_accessory_heartache,         20,         20,         -1,          0,         -1,         -1,          0,         -1,         32,        270,          0,          0,          0,          1,          1,          0,          1,        157,          0,       1176,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,         -1,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        200,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
36 : ancientry_sword_WMA070,         38,         38,         87,          0,         -1,         -1,          0,         -1,         11,        500,     189000,       9450,          0,          0,          1,          0,          0,          2,          8,        847,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         26,         -1,         20,          0,          6,        133,        133,         44,         44,         15,          0,         29,         80,         46,         80,          1,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        131,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 : ancientry_katana_WXB020,         39,         39,         88,          0,         -1,         -1,          0,         -1,         12,        501,     255150,      12758,          0,          0,          1,          0,          0,         25,         11,        848,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,         -1,         21,          0,          8,        147,        144,         27,         28,          4,          0,         28,         80,         44,         80,          7,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        131,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
38 : ancientry_axe_WSC030,         40,         40,         89,          0,         -1,         -1,          0,         -1,         13,        502,     189000,       9450,          0,          0,          1,          0,          0,         43,          5,        849,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         -1,         22,          0,          4,        149,        100,         58,         40,          5,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        131,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
39 : ancientry_hammer_WLD050,         41,         41,         90,          0,         -1,         -1,          0,         -1,         14,        503,     245700,      12285,          0,          0,          1,          0,          0,         66,          5,        845,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,         -1,         23,          0,          9,        122,        153,         34,         40,          4,          0,         26,         80,         42,         80,         14,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        131,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
