           km_, km_vendor_name, km_goods_list, km_city_asc, km_city_cpc, km_city_erc, km_city_val, km_city_rio, km_city_bar, km_city_gol, km_city_mel, km_city_ngp, km_city_unb, km_on_trade, km_t_help_top1, km_t_help_top2, km_t_help_top3, km_t_help_top4, km_t_help_top5, km_t_help_top6, km_t_help_buy1, km_t_help_buy2, km_t_help_buy3, km_t_help_buy4, km_t_help_buy5, km_t_help_buy6, km_t_help_buy7, km_t_help_buy8, km_t_help_buy9, km_t_help_buy10, km_t_help_buy11, km_t_help_buy12, km_t_help_buy13, km_t_help_sell1, km_t_help_sell2, km_t_help_sell3, km_t_help_sell4, km_t_help_sell5, km_t_help_sell6, km_t_help_sell7, 
 9 :    CPC_R01,        759,   10420265,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
10 :    ERC_I01,        761,   10682380,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          4,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
11 :    ERC_Z01,        762,   10682403,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
12 :    ERC_R01,        763,   10682407,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
13 :    ERC_W01,        764,   10682368,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          2,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
14 :    ERC_I02,        765,   10682390,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          4,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
15 :    ERC_M01,        766,   10682396,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
16 :    ERC_R02,        767,   10682416,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
17 :    VAL_R01,        794,   11206685,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
18 :    VAL_W01,        795,   11206656,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          2,         76,         77,         78,         -1,         79,         -1,         80,         81,         82,         83,         84,         86,         87,         88,         89,         90,         85,         91,         92,         93,         94,         95,         96,         98,         99,        100, 
19 :    VAL_I01,        797,   11206659,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          4,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
20 :    VAL_M01,        798,   11206679,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
21 :    RIO_W01,        786,   11010048,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
22 :    RIO_Z01,        788,   11010053,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
23 :    RIO_R01,        789,   11010062,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
24 :    BAR_W01,        751,   10354688,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
25 :    BAR_Z01,        753,   10354691,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
26 :    BAR_R01,        754,   10354697,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,         76,         77,         78,         -1,         79,         -1,         80,         81,         82,         83,         84,         86,         87,         88,         89,         90,         85,         91,         92,         93,         94,         95,         96,         98,         99,        100, 
27 :    GOL_W01,        768,   10813440,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
28 :    GOL_Z01,        770,   10813447,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
29 :    GOL_R01,        771,   10813453,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
30 :    MEL_W01,        772,   10878976,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          2,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
31 :    MEL_I01,        774,   10878982,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          4,        101,        102,        103,         -1,        104,         -1,        105,        106,        107,        108,        109,        111,        112,        113,        114,        115,        110,        116,        117,        118,        119,        120,        121,        123,        124,        125, 
32 :    MEL_M01,        775,   10878999,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          3,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
33 :    MEL_Z01,        776,   10879002,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
34 :    NGP_R01,        777,   10944547,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
35 :    NGP_R02,        778,   10944550,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
36 :    NGP_R03,        779,   10944554,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
37 :    NGP_Z01,        780,   10944561,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,         26,         27,         28,         -1,         29,         -1,         30,         31,         32,         33,         34,         36,         37,         38,         39,         40,         35,         41,         42,         43,         44,         45,         46,         48,         49,         50, 
38 :    NGP_R04,        781,   10944558,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
39 :    NGP_W01,        782,   10944512,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          2,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
40 :    NGP_I01,        784,   10944520,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          4,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
41 :    NGP_M01,        785,   10944539,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          3,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
42 :    NGP_Z02,        779,   10944543,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
43 :    UNB_M01,        790,   11141141,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          3,        101,        102,        103,         -1,        104,         -1,        105,        106,        107,        108,        109,        111,        112,        113,        114,        115,        110,        116,        117,        118,        119,        120,        121,        123,        124,        125, 
44 :    UNB_W01,        791,   11141120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
45 :    UNB_I01,        793,   11141126,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          4,         51,         52,         53,         -1,         54,         -1,         55,         56,         57,         58,         59,         61,         62,         63,         64,         65,         60,         66,         67,         68,         69,         70,         71,         73,         74,         75, 
46 : ASC_WA_001,        800,   10747904,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 
47 : ASC_AL_001,        800,   10747956,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          2,          3,         -1,          4,         -1,          5,          6,          7,          8,          9,         11,         12,         13,         14,         15,         10,         16,         17,         18,         19,         20,         21,         23,         24,         25, 

