           km_,    km_type, km_trade_rank, km_sort_priority, km_get_item, km_get_eplv,   km_zaiko,    km_cost, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8,     km_ASC,     km_CPC,     km_ERC,     km_VAL,     km_RIO,     km_BAR,     km_GOL,     km_MEL,     km_NGP,     km_UNB,     km_etc, 
11 :     rank_2,          0,          3,          4,    9044324,         99,          3,        144,         14,          0,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
12 :     rank_2,          0,          3,          5,    9044253,         99,          2,       1080,         14,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
13 :     rank_2,          0,          3,          6,    9044389,         99,          2,        329,         14,          0,          0,         10,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
14 :     rank_2,          0,          3,          7,    9044213,         99,          1,      81000,         14,         14,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 :     rank_2,          0,          3,          8,    9044214,         99,          1,      81000,         14,         16,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 :     rank_2,          0,          3,          9,    8323795,          0,          1,       7830,         14,          0,          0,          0,          0,          0,         13,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
17 :     rank_2,          1,          3,         10,    8323284,          0,          1,       5278,         15,          0,          0,          0,          0,          0,         16,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 :     rank_2,          1,          3,         11,    8323350,          0,          1,       7267,         17,          0,          0,          0,          0,          0,         21,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
19 :     rank_3,          0,          4,          1,    9044075,         99,          1,        360,         28,          0,          0,          0,          0,         23,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
20 :     rank_3,          0,          4,          2,    9044083,         99,          1,        360,         28,          0,          0,          0,          0,         24,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
21 :     rank_3,          0,          4,          3,    9044067,         99,          1,        360,         28,          0,          0,          0,          0,         26,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
22 :     rank_3,          0,          4,          4,    9044043,         99,          1,        360,         28,          0,          0,          0,          0,         27,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
23 :     rank_3,          0,          4,          5,    9044215,         99,          1,     121500,         28,         28,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
24 :     rank_3,          0,          4,          6,    9044216,         99,          1,     121500,         28,         30,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
25 :     rank_3,          1,          4,          7,    8323388,          0,          1,      12050,         31,          0,          0,          0,          0,          0,         36,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
26 :     rank_3,          1,          4,          8,    8323542,          0,          1,      14340,         33,          0,          0,          0,          0,          0,         40,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
27 :     rank_3,          1,          4,          9,    8324104,          0,          1,       4860,         34,          0,          0,          0,          0,          0,         45,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
28 :     rank_4,          0,          5,          1,    9044052,         99,          1,        540,         43,          0,          0,          0,          0,         36,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
29 :     rank_4,          0,          5,          2,    9044068,         99,          1,        540,         43,          0,          0,          0,          0,         37,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
30 :     rank_4,          0,          5,          3,    9044044,         99,          1,        540,         43,          0,          0,          0,          0,         38,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
31 :     rank_4,          0,          5,          4,    9044092,         99,          1,        540,         43,          0,          0,          0,          0,         40,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
32 :     rank_4,          0,          5,          5,    9044060,         99,          1,        540,         43,          0,          0,          0,          0,         41,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
33 :     rank_4,          0,          5,          6,    9044390,         99,          3,        658,         43,          0,          0,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0, 
34 :     rank_4,          0,          5,          7,    9044349,         99,          1,       2160,         43,          0,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
35 :     rank_4,          0,          5,          8,    9044342,         99,          2,        576,         43,          0,         36,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
36 :     rank_4,          0,          5,          9,    9044218,         99,          1,     162000,         43,         43,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 :     rank_4,          0,          5,         10,    9044217,         99,          1,     162000,         43,         45,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
38 :     rank_4,          0,          5,         11,    8323173,          1,          1,      22680,         43,          0,          0,          0,          0,          0,         52,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
39 :     rank_4,          0,          5,         12,    8323285,         -1,          1,      13685,         43,          0,          0,          0,          0,          0,         62,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
40 :     rank_5,          0,          6,          1,    9044077,         99,          1,        720,         57,          0,          0,          0,          0,         43,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
41 :     rank_5,          0,          6,          2,    9044085,         99,          1,        720,         57,          0,          0,          0,          0,         45,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
42 :     rank_5,          0,          6,          3,    9044069,         99,          1,        720,         57,          0,          0,          0,          0,         45,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
43 :     rank_5,          0,          6,          4,    9044373,         99,          1,      12250,         57,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0, 
44 :     rank_5,          1,          6,          5,    9044307,         99,          1,        320,         57,          0,          0,          0,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
45 :     rank_5,          0,          6,          6,    9044221,         99,          1,     202500,         57,         57,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
46 :     rank_5,          0,          6,          7,    9044222,         99,          1,     202500,         57,         57,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
47 :     rank_5,          0,          6,          8,    9044219,         99,          1,     202500,         57,         59,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
48 :     rank_5,          0,          6,          9,    9044220,         99,          3,     607500,         57,         59,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
49 :     rank_5,          1,          6,         10,    8323990,          0,          1,      37800,         61,          0,          0,          0,          0,          0,         78,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
50 :     rank_5,          1,          6,         11,    8323823,          0,          1,      33280,         62,          0,          0,          0,          0,          0,         80,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
51 :     rank_5,          1,          6,         12,    8324151,          0,          1,      58050,         63,          0,          0,          0,          0,          0,         63,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
52 :     rank_6,          0,          7,          1,    9044086,         99,          1,       1440,         72,          0,          0,          0,          0,         72,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
53 :     rank_6,          0,          7,          2,    9044078,         99,          1,       1440,         72,          0,          0,          0,          0,         73,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
54 :     rank_6,          0,          7,          3,    9044343,         99,          1,       3240,         72,          0,         64,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
55 :     rank_6,          0,          7,          4,    9044374,         99,          3,      14700,         72,          0,          0,         64,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0, 
56 :     rank_6,          1,          7,          5,    9044308,         99,          1,        380,         72,          0,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
57 :     rank_6,          0,          7,          6,    9044224,         99,          1,     243000,         72,         79,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
58 :     rank_6,          0,          7,          7,    9044226,         99,          1,     243000,         72,         79,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 :     rank_6,          0,          7,          8,    9044225,         99,          1,     243000,         72,         81,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
60 :     rank_6,          0,          7,          9,    9044223,         99,          1,     243000,         72,         81,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
61 :     rank_6,          1,          7,         10,    8323418,          0,          1,      50490,         76,          0,          0,          0,          0,          0,        100,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
62 :     rank_6,          1,          7,         11,    8323825,          0,          1,      61010,         77,          0,          0,          0,          0,          0,        102,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
63 :     rank_6,          1,          7,         12,    8323509,          0,          1,      46280,         79,          0,          0,          0,          0,          0,        105,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
64 :     rank_7,          0,          8,          1,    9044071,         99,          1,       2880,         86,          0,          0,          0,          0,         86,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
65 :     rank_7,          0,          8,          2,    9044055,         99,          1,       2880,         86,          0,          0,          0,          0,         88,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
66 :     rank_7,          0,          8,          3,    9044087,         99,          1,       2880,         86,          0,          0,          0,          0,         89,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
67 :     rank_7,          0,          8,          4,    9044095,         99,          1,       2880,         86,          0,          0,          0,          0,         90,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
68 :     rank_7,          0,          8,          5,    9044391,         99,          5,       1151,         86,          0,          0,         86,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0, 
69 :     rank_7,          0,          8,          6,    9044357,         99,          2,       2080,         86,          0,          0,          0,         64,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
70 :     rank_7,          1,          8,          7,    9044257,         99,          1,       2520,         86,          0,          0,          0,         66,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
71 :     rank_7,          0,          8,          8,    9044228,         99,          1,     283500,         86,        100,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
72 :     rank_7,          0,          8,          9,    9044229,         99,          1,     283500,         86,        100,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
73 :     rank_7,          0,          8,         10,    9044230,         99,          1,     283500,         86,        102,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
74 :     rank_7,          0,          8,         11,    9044227,         99,          1,     283500,         86,        102,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
75 :     rank_7,          1,          8,         12,    8323437,          0,          1,      72290,         89,          0,          0,          0,          0,          0,        123,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
76 :     rank_7,          1,          8,         13,    8323667,          0,          1,      59670,         90,          0,          0,          0,          0,          0,        126,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
77 :     rank_7,          1,          8,         14,    8323978,          0,          1,      97540,         91,          0,          0,          0,          0,          0,        127,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
78 :     rank_7,          1,          8,         15,    8323290,          0,          1,      61580,         93,          0,          0,          0,          0,          0,        129,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
79 :     rank_8,          0,          9,          1,    9044048,         99,          1,       5760,        100,          0,          0,          0,          0,         86,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
80 :     rank_8,          0,          9,          2,    9044064,         99,          1,       5760,        100,          0,          0,          0,          0,         88,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
81 :     rank_8,          0,          9,          3,    9044080,         99,          1,       5760,        100,          0,          0,          0,          0,         89,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
82 :     rank_8,          0,          9,          4,    9044056,         99,          1,       5760,        100,          0,          0,          0,          0,         90,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
83 :     rank_8,          0,          9,          5,    9044072,         99,          1,       5760,        100,          0,          0,          0,          0,         91,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
84 :     rank_8,          1,          9,          9,    9044309,         99,          1,        500,        100,          0,          0,          0,         72,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
85 :     rank_8,          0,          9,          6,    9044233,         99,          1,     445500,        100,        108,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
86 :     rank_8,          0,          9,          7,    9044231,         99,          1,     324000,        100,        108,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
87 :     rank_8,          0,          9,          8,    9044232,         99,          1,     324000,        100,        109,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
88 :     rank_8,          0,          9,         10,    9044234,         99,          1,     445500,        100,        109,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
89 :     rank_8,          1,          9,         11,    8324155,          0,          1,     155930,        103,          0,          0,          0,          0,          0,        157,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
90 :     rank_8,          1,          9,         12,    8323438,          0,          1,     210500,        105,          0,          0,          0,          0,          0,        158,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
91 :     rank_8,          1,          9,         13,    8323181,          0,          1,     283500,        106,          0,          0,          0,          0,          0,        161,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
92 :     rank_8,          1,          9,         14,    8324301,         99,          1,      43290,        108,          0,          0,          0,          0,          0,        162,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
93 : rank_8_SP01,          1,          9,         11,    8323108,          0,          1,     113400,        108,         21,          0,          0,          0,          0,        129,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
94 : rank_8_SP02,          1,          9,         12,    8323109,          0,          1,     153090,        108,         21,          0,          0,          0,          0,        129,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
95 : rank_8_SP03,          1,          9,         13,    8323110,          0,          1,     113400,        108,         21,          0,          0,          0,          0,        129,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
96 : rank_8_SP04,          1,          9,         14,    8323111,          0,          1,     147420,        108,         21,          0,          0,          0,          0,        129,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
97 : rank_8_SP05,          1,          9,         15,    8323112,          0,          1,     136080,        108,         21,          0,          0,          0,          0,        129,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
98 : rank_8_SP06,          1,          9,         16,    8323113,          0,          1,     136080,        108,         21,          0,          0,          0,          0,        129,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
99 : rank_8_SP07,          1,          9,         17,    8323114,          0,          1,     113400,        108,         21,          0,          0,          0,          0,        129,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
100 : rank_8_SP08,          0,          9,         18,    8323115,          0,          1,     357210,        108,         21,          0,          0,          0,          0,        129,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
101 : rank_8_SP09,          0,          9,         19,    8323116,          0,          1,     209790,        108,         21,          0,          0,          0,          0,        129,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
102 : rank_8_SP10,          0,          9,         20,    8323117,          0,          1,     255150,        108,         21,          0,          0,          0,          0,        129,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 

