           km_,      km_id, km_eq_work,      km_lv,   km_price, km_need_item_01, km_need_num_01, km_need_item_02, km_need_num_02, km_need_item_03, km_need_num_03, km_need_item_04, km_need_num_04, km_sort_id, 
21 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
22 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
23 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
24 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
25 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
26 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
27 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
28 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
29 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
30 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
31 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
32 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
33 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
34 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
35 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
36 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
37 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
38 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
39 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
40 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
41 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
42 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
43 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
44 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
45 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
46 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
47 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
48 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
49 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
50 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
51 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
52 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
53 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
54 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
55 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
56 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
57 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
58 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
59 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
60 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
61 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
62 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
63 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
64 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
65 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
66 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
67 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
68 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
69 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
70 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
71 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
72 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
73 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
74 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
75 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
76 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
77 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
78 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
79 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
80 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
81 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
82 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
83 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
84 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
85 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
86 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
87 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
88 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
89 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
90 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
91 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
92 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
93 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
94 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
95 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
96 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
97 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
98 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
99 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
100 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
101 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
102 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
103 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
104 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
105 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
106 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
107 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
108 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
109 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
110 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
111 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
112 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
113 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
114 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
115 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
116 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
117 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
118 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
119 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
120 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
121 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
122 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
123 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
124 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
125 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
126 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
127 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
128 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
129 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
130 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
131 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
132 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
133 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
134 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
135 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
136 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
137 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
138 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
139 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
140 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
141 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
142 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
143 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
144 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
145 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
146 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
147 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
148 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
149 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
150 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
151 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
152 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
153 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
154 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
155 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
156 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
157 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
158 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
159 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
160 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
161 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
162 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
163 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
164 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
165 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
166 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
167 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
168 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
169 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
170 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
171 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
172 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
173 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
174 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
175 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
176 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
177 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
178 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
179 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
180 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
181 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
182 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
183 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
184 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
185 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
186 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
187 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
188 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
189 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
190 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
191 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
192 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
193 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
194 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
195 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
196 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
197 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
198 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
199 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
200 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
201 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
202 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
203 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
204 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
205 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
206 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
207 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
208 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
209 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
210 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
211 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
212 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
213 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
214 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
215 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
216 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
217 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
218 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
219 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
220 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
221 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
222 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
223 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
224 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
225 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
226 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
227 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
228 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
229 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
230 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
231 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
232 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
233 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
234 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
235 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
236 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
237 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
238 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
239 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
240 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
241 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
242 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
