           km_, km_cue_id_main, km_cue_id_sub, km_script_id, km_play_odds, km_lock_id, km_type_org, km_type_insert, km_play_only1, km_cue_ctrl_11, km_cue_ctrl_12, km_cue_ctrl_13, km_cue_ctrl_14, km_cue_ctrl_15, km_cue_ctrl_16, km_cue_ctrl_17, km_cue_ctrl_18, km_cue_ctrl_21, km_cue_ctrl_22, km_cue_ctrl_23, km_cue_ctrl_24, km_cue_ctrl_25, km_cue_ctrl_26, km_cue_ctrl_27, km_cue_ctrl_28, km_cue_ctrl_31, km_cue_ctrl_32, km_cue_ctrl_33, km_cue_ctrl_34, km_cue_ctrl_35, km_cue_ctrl_36, km_cue_ctrl_37, km_cue_ctrl_38, 
15 : attack_affection_large,          5,         -1,         15,        100,          2,          1,          0,          0,          1,          2,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : unit_todome,          6,         -1,         16,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : unit_todome,          7,         -1,         17,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : union_todome,          8,         -1,         18,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : union_todome,          9,         -1,         19,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : common_damage,         10,          1,         20,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : common_damege,         10,          2,         21,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          0,          0,          0,          0,          0,          0,          0, 
22 : common_damege,         10,          3,         22,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
23 : common_big_damage,         11,          1,         23,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
24 : common_big_damage,         11,          2,         24,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
25 : common_big_damage,         11,          3,         25,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
26 :       Dead,         12,          1,         26,        100,          4,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
27 :       Dead,         12,          2,         27,        100,          4,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
28 : guard_compete,         13,         -1,         28,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
29 : bounce_and_counter,         14,         -1,         29,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
30 :      avoid,         15,         -1,         30,        100,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0, 
31 : critical_guard,         16,         -1,         31,        100,          5,          1,          0,          0,         13,         14,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
32 : recovery_normal,         17,         -1,         32,        100,          6,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
33 : recovery_like,         18,         -1,         33,        100,          6,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
34 : rebirth_normal,         19,         -1,         34,        100,          7,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         18,          0,          0,          0,          0,          0,          0, 
35 : rebirth_like,         20,         -1,         35,        100,          7,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         18,          0,          0,          0,          0,          0,          0, 
36 : movement_magic_burst,         21,         -1,         36,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 : learn_skill,         22,         -1,         37,        100,          9,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         29,          0,          0,          0,          0, 
38 :     Escape,         23,         -1,         38,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         29,         30,          0,          0,          0,          0,          0,          0, 
39 : unit_tension_up,         24,         -1,         39,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         26,          0,          0,          0,          0,          0,          0,          0, 
40 : unit_tension_down,         25,         -1,         40,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         27,          0,          0,          0,          0,          0,          0,          0, 
41 : union_tension_up,         26,         -1,         41,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         24,          0,          0,          0,          0,          0,          0,          0, 
42 : union_tension_down,         27,         -1,         42,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         25,          0,          0,          0,          0,          0,          0,          0, 
43 : team_tension,         28,         -1,         43,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         24,         26,          0,          0,          0,          0,          0,          0, 
44 : common_technique,         29,         -1,         44,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,          0,          0,          0,          0,          0, 
45 : common_special_technique,         30,         -1,         45,        100,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,          0,          0,          0,          0,          0, 
46 : kakeai_normal_attack,         31,         -1,         46,         50,         20,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,         21,         29,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
47 : btlvoice_032,         32,         -1,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
48 : kakeai_critical_attack,         33,         -1,         48,         50,         20,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
49 : kakeai_attack_affection_cheap,         34,         -1,         49,         50,         20,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
50 : kakeai_attack_affection_large,         35,         -1,         50,         50,         20,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
51 : kakeai_unit_todome,         36,         -1,         51,         50,         21,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
52 : kakeai_union_todome,         37,         -1,         52,         50,         21,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
53 : kakeai_common_big_damage,         38,         -1,         53,         50,         22,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
54 : kakeai_dead_unit,         39,         -1,         54,         50,         22,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
55 : kakeai_dead_union,         40,         -1,         55,         50,         22,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
56 : kakeai_guard,         41,         -1,         56,         50,         22,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         13,         14,         15,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
57 : kakeai_recovery,         42,         -1,         57,         50,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
58 : kakeai_rebirth,         43,         -1,         58,         50,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         19,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 : kekeai_learn_skill,         44,         -1,         59,         50,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
60 : kakeai_escape,         45,         -1,         60,         50,         25,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
61 : kakeai_unit_tension_up,         46,         -1,         61,         50,         26,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
62 : kakeai_unit_tension_down,         47,         -1,         62,         50,         27,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
63 : kakeai_union_tension_up,         48,         -1,         63,         50,         26,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         26,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
64 : kakeai_union_tension_down,         49,         -1,         64,         50,         27,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
65 : bs_pc_lockup_normal,         50,         -1,         65,        100,         30,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
66 : bs_pc_lockup_ikeike,         51,         -1,         66,        100,         30,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
67 : bs_pc_rear_attack_normal,         52,         -1,         67,        100,         31,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
68 : bs_pc_rear_attack_ikeike,         53,         -1,         68,        100,         31,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
69 : bs_pc_side_attack_normal,         54,         -1,         69,        100,         31,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
70 : bs_pc_side_attack_ikeike,         55,         -1,         70,        100,         31,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
71 : bs_pc_reinforce_normal,         56,         -1,         71,        100,         32,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
72 : bc_pc_reinforce_ikeike,         57,         -1,         72,        100,         32,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
73 : bs_mons_lockup_normal,         58,         -1,         73,        100,         33,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
74 : bs_mons_lockup_naenae,         59,         -1,         74,        100,         33,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
75 : bs_mons_rear_attack_normal,         60,         -1,         75,        100,         34,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
76 : bs_mons_rear_attack_naenae,         61,         -1,         76,        100,         34,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
77 : bs_mons_side_attack_normal,         62,         -1,         77,        100,         34,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
78 : bs_mons_side_attack_naenae,         63,         -1,         78,        100,         34,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
79 : bs_mons_reinforce_normal,         64,         -1,         79,        100,         35,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
80 : bs_mons_reinforce_naenae,         65,         -1,         80,        100,         35,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
81 : bs_kakeai_attack,         66,         -1,         81,         50,         40,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
82 : bs_kakeai_defence,         67,         -1,         82,         50,         41,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
83 : sps_encount_weak,         68,         -1,         83,        100,         50,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         24,         25,         26,         27,         28,          0,          0,          0, 
84 : sps_encount_strong,         69,         -1,         84,        100,         50,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         24,         25,         26,         27,         28,          0,          0,          0, 
85 : sps_encount_boss,         70,         -1,         85,        100,         50,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         24,         25,         26,         27,         28,          0,          0,          0, 
86 : sps_encount_chara_mons,         71,         -1,         86,        100,         70,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         68,         69,          0,          0,          0,          0,          0,          0, 
87 : sps_dead_chara,         72,         -1,         87,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
88 : sps_dead_chara,         73,         -1,         88,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
89 : sps_dead_chara,         74,         -1,         89,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
90 : sps_dead_chara,         75,         -1,         90,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
91 : sps_dead_chara,         76,         -1,         91,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
92 : sps_dead_chara,         77,         -1,         92,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
93 : sps_dead_chara,         78,         -1,         93,        100,         10,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0, 
94 : sps_gameover,         79,         -1,         94,        100,         51,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,          0,          0,          0,          0,          0,          0,          0, 
95 : sps_win_yoyu,         80,         -1,         95,        100,         52,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,          9,          0,          0,          0,          0,          0,          0, 
96 : sps_win_giri,         81,         -1,         96,        100,         53,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,          9,          0,          0,          0,          0,          0,          0, 
97 : sps_kill_count,         82,         -1,         97,        100,         54,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
98 : sps_turn_count,         83,         -1,         98,        100,         54,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
99 :   sp_skill,         84,          1,         99,        100,         60,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         29,         30,          0,          0,          0, 
100 :   sp_skill,         84,          2,        100,        100,         60,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          3,         29,         30,          0,          0,          0, 

