           km_, km_ad_label,   km_title,    km_help,  km_number,    km_rank,   km_extra, km_progress,     km_new, 
33 : adventure_034,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
34 : adventure_035,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
35 : adventure_036,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
36 : adventure_037,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
37 : adventure_038,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
38 : adventure_039,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
39 : adventure_040,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
40 : adventure_041,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
41 : adventure_042,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
42 : adventure_043,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
43 : adventure_044,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
44 : adventure_045,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
45 : adventure_046,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
46 : adventure_047,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
47 : adventure_048,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
48 : adventure_049,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
49 : adventure_050,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
50 : adventure_051,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
51 : adventure_052,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
52 : adventure_053,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
53 : adventure_054,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
54 : adventure_055,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
55 : adventure_056,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
56 : adventure_057,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
57 : adventure_058,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
58 : adventure_059,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
59 : adventure_060,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
60 : adventure_061,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
61 : adventure_062,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
62 : adventure_063,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
63 : adventure_064,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
64 : adventure_065,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
65 : adventure_066,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
66 : adventure_067,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
67 : adventure_068,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
68 : adventure_069,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
69 : adventure_070,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
70 : adventure_071,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
71 : adventure_072,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
72 : adventure_073,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
73 : adventure_074,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
74 : adventure_075,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
75 : adventure_076,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
76 : adventure_077,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
77 : adventure_078,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
78 : adventure_079,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
79 : adventure_080,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
80 : adventure_081,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
81 : adventure_082,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
82 : adventure_083,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
83 : adventure_084,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
84 : adventure_085,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
85 : adventure_086,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
86 : adventure_087,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
87 : adventure_088,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
88 : adventure_089,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
89 : adventure_090,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
90 : adventure_091,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
91 : adventure_092,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
92 : adventure_093,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
93 : adventure_094,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
94 : adventure_095,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
95 : adventure_096,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
96 : adventure_097,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
97 : adventure_098,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
98 : adventure_099,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
99 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
100 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
101 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
102 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
103 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
104 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
105 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
106 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
107 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
108 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
109 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
110 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
111 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
112 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
113 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
114 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
115 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
116 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
117 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
118 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
119 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
120 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
121 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
122 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
123 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
124 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
125 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
126 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
127 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
128 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
129 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
130 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
131 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
132 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
133 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
134 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
135 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
136 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
137 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
138 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
139 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
140 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
141 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
142 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 
143 :  adventure,         -1,         -1,         -1,          0,          0,          0,          0,          0, 

