           km_,   km_namen,    km_icon, km_StrNo_material,  km_hero01,  km_hero02,  km_hero03,  km_hero04,  km_hero05,  km_hero06,  km_hero07,  km_hero08,  km_hero09,  km_hero10,  km_hero11,  km_hero12,  km_hero13, 
26 : emblem_38_mat,         38,         38,      82919,          1,          0,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
27 : emblem_29_mat,         29,         29,      82920,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          1, 
28 : emblem_29_mat,         29,         29,      82921,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          0,          1,          1, 
29 : emblem_29_mat,         29,         29,      82922,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          1, 
30 : emblem_29_mat,         29,         29,      82923,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          1, 
31 : emblem_29_mat,         29,         29,      82924,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
32 : emblem_30_mat,         30,         30,      82925,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          1,          0,          1, 
33 : emblem_30_mat,         30,         30,      82926,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          1,          0,          1, 
34 : emblem_30_mat,         30,         30,      82927,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          1,          0,          1, 
35 : emblem_30_mat,         30,         30,      82928,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          1,          0,          1, 
36 : emblem_30_mat,         30,         30,      82929,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
37 : emblem_31_mat,         31,         31,      82930,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          0, 
38 : emblem_31_mat,         31,         31,      82931,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          0, 
39 : emblem_31_mat,         31,         31,      82932,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          0, 
40 : emblem_31_mat,         31,         31,      82933,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          0, 
41 : emblem_31_mat,         31,         31,      82934,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
42 : emblem_32_mat,         32,         32,      82935,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          1,          0,          1, 
43 : emblem_32_mat,         32,         32,      82936,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          1,          0,          1, 
44 : emblem_32_mat,         32,         32,      82937,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          1,          0,          1, 
45 : emblem_32_mat,         32,         32,      82938,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          1,          0,          1, 
46 : emblem_32_mat,         32,         32,      82939,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
47 : emblem_15_mat,         15,         15,      82940,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          1, 
48 : emblem_15_mat,         15,         15,      82941,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          0,          1,          1, 
49 : emblem_15_mat,         15,         15,      82942,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          1, 
50 : emblem_15_mat,         15,         15,      82943,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          1, 
51 : emblem_15_mat,         15,         15,      82944,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
52 : emblem_16_mat,         16,         16,      82945,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          1, 
53 : emblem_16_mat,         16,         16,      82946,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          0,          0,          1, 
54 : emblem_16_mat,         16,         16,      82947,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          1, 
55 : emblem_16_mat,         16,         16,      82948,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          0,          1, 
56 : emblem_16_mat,         16,         16,      82949,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
57 : emblem_42_mat,         42,         41,      82950,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
58 : emblem_42_mat,         42,         41,      82951,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
59 : emblem_42_mat,         42,         41,      82952,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
60 : emblem_42_mat,         42,         41,      82953,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
61 : emblem_42_mat,         42,         41,      82954,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
62 : emblem_27_mat,         27,         27,      82955,          0,          1,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0, 
63 : emblem_27_mat,         27,         27,      82956,          0,          1,          0,          0,          1,          1,          0,          0,          0,          1,          0,          1,          0, 
64 : emblem_27_mat,         27,         27,      82957,          0,          1,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          0, 
65 : emblem_27_mat,         27,         27,      82958,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0, 
66 : emblem_27_mat,         27,         27,      82959,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
67 : emblem_28_mat,         28,         28,      82960,          0,          1,          0,          1,          0,          1,          0,          0,          0,          0,          1,          0,          1, 
68 : emblem_28_mat,         28,         28,      82961,          0,          1,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          1, 
69 : emblem_28_mat,         28,         28,      82962,          0,          1,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          1, 
70 : emblem_28_mat,         28,         28,      82963,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          1,          0,          1, 
71 : emblem_28_mat,         28,         28,      82964,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
72 : emblem_13_mat,         13,         13,      82965,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0, 
73 : emblem_13_mat,         13,         13,      82966,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          0, 
74 : emblem_13_mat,         13,         13,      82967,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0, 
75 : emblem_13_mat,         13,         13,      82968,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0, 
76 : emblem_13_mat,         13,         13,      82969,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0, 
77 : emblem_13_mat,         13,         13,      82970,          0,          0,          0,          0,          1,          1,          0,          0,          0,          1,          0,          1,          0, 
78 : emblem_13_mat,         13,         13,      82971,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          0, 
79 : emblem_13_mat,         13,         13,      82972,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0, 
80 : emblem_13_mat,         13,         13,      82973,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0, 
81 : emblem_13_mat,         13,         13,      82974,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0, 
82 : emblem_13_mat,         13,         13,      82975,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          1,          0, 
83 : emblem_13_mat,         13,         13,      82976,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          1,          1,          0, 
84 : emblem_13_mat,         13,         13,      82977,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          1,          1, 
85 : emblem_13_mat,         13,         13,      82978,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          1, 
86 : emblem_13_mat,         13,         13,      82979,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          1, 
87 : emblem_13_mat,         13,         13,      82980,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          1, 
88 : emblem_13_mat_sp1,         13,         13,      82981,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0, 
89 : emblem_13_mat_sp1,         13,         13,      82982,          0,          0,          0,          0,          1,          1,          0,          0,          0,          1,          0,          0,          0, 
90 : emblem_13_mat_sp1,         13,         13,      82983,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0, 
91 : emblem_13_mat_sp1,         13,         13,      82984,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          0,          0, 
92 : emblem_13_mat_sp2,         13,         13,      82985,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0, 
93 : emblem_13_mat_sp2,         13,         13,      82986,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,          0, 
94 : emblem_13_mat_sp2,         13,         13,      82987,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0, 
95 : emblem_13_mat_sp2,         13,         13,      82988,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          1,          0,          0, 
96 : emblem_13_mat_sp3,         13,         13,      82989,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0, 
97 : emblem_13_mat_sp3,         13,         13,      82990,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          0, 
98 : emblem_13_mat_sp3,         13,         13,      82991,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0, 
99 : emblem_13_mat_sp3,         13,         13,      82992,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          1,          0, 
100 : emblem_13_mat_sp4,         13,         13,      82993,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1, 
101 : emblem_13_mat_sp4,         13,         13,      82994,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1, 
102 : emblem_13_mat_sp4,         13,         13,      82995,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1, 
103 : emblem_13_mat_sp4,         13,         13,      82996,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          1, 
104 : emblem_03_mat,          3,          3,      82997,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
105 : emblem_07_mat,          7,          7,      82998,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
106 : emblem_08_mat,          8,          8,      82999,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
107 : emblem_09_mat,          9,          9,      83000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
108 : emblem_10_mat,         10,         10,      83001,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
109 : emblem_14_mat,         14,         14,      83002,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
110 : emblem_33_mat,         33,         33,      83003,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
111 : emblem_34_mat,         34,         34,      83004,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
112 : emblem_39_mat,         39,          0,      83005,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
113 : emblem_40_mat,         40,         39,      83006,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
114 : emblem_41_mat,         41,         40,      83007,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
115 : emblem_43_mat,         43,         42,      83008,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
116 : emblem_44_mat,         43,         42,      83009,          1,          0,          1,          1,          0,          0,          0,          0,          1,          1,          1,          1,          1, 
117 : emblem_45_mat,         43,         42,      83010,          1,          0,          1,          1,          0,          0,          1,          0,          0,          1,          1,          1,          1, 
118 : emblem_46_mat,         43,         42,      83011,          1,          0,          1,          1,          0,          0,          0,          1,          0,          1,          1,          1,          1, 
119 : emblem_47_mat,         43,         42,      83012,          1,          0,          1,          0,          1,          1,          0,          0,          0,          1,          1,          1,          1, 
120 : emblem_48_mat,         43,         42,      83013,          1,          0,          1,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 
121 : emblem_49_mat,         43,         42,      83014,          1,          0,          1,          1,          0,          1,          0,          0,          0,          1,          1,          1,          1, 

