           km_,   km_namen,    km_help,    km_icon, km_pc_command,  km_lockup, km_lost_lockup, km_sub_target, km_lost_chain, km_order_is_last, km_look_self_ltu, km_move_command, km_no_action, km_forced_ending, km_pos_flank, km_pos_back, km_bonus_st, km_bonus_impress, km_bonus_select_front_ratio, km_bonus_selected_front_ratio, km_logic_target_unit, km_logic_target_union, 
87 : heal_08_famble,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1025,         -1, 
88 : heal_08_famble_L,         20,         46,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1182,         -1, 
89 : heal_08_famble_M,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1025,         -1, 
90 : heal_08_union,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        975,         -1, 
91 : heal_08_union2,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        975,         -1, 
92 : heal_08_union_L,         20,         46,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1128,         -1, 
93 : heal_08_union_M,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        975,         -1, 
94 : heal_08_union_M2,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        975,         -1, 
95 :    heal_08,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        925,         -1, 
96 :    heal_08,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        925,         -1, 
97 :  heal_08_L,         20,         46,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1074,         -1, 
98 :  heal_08_M,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        925,         -1, 
99 : heal_08_M2,         20,         20,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        925,         -1, 
100 : heal_09_union,         21,         21,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1285,         -1, 
101 : heal_09_union2,         21,         21,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1285,         -1, 
102 :    heal_09,         21,         21,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1235,         -1, 
103 : heal_09_01,         21,         21,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1235,         -1, 
104 : atk_normal_01,         23,         23,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1335,         -1, 
105 : atk_normal_02,         24,         24,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1336,         -1, 
106 : atk_normal_03,         25,         25,          2,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1341,         -1, 
107 : atk_normal_04,         26,         26,          2,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1393,         -1, 
108 : atk_normal_05,         27,         27,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1398,         -1, 
109 : atk_normal_06,         28,         28,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1403,         -1, 
110 : atk_normal_07,         29,         29,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1408,         -1, 
111 : atk_normal_08,         30,         30,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1413,         -1, 
112 : atk_normal_09,         31,         31,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1418,         -1, 
113 : atk_normal,         32,         32,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1423,         -1, 
114 : atk_full_01,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1428,         -1, 
115 : atk_full_01_01,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1428,         -1, 
116 : atk_full_01_02,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1428,         -1, 
117 : atk_full_01_03,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         -1,          0,          0,       1428,         -1, 
118 : atk_full_01_04,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1,         -1,          0,          0,       1428,         -1, 
119 : atk_full_01_05,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1428,         -1, 
120 : atk_full_01_06,         33,         33,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1428,         -1, 
121 : atk_full_02,         34,         34,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1483,         -1, 
122 : atk_full_02_01,         34,         34,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1483,         -1, 
123 : atk_full_02_02,         34,         34,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1483,         -1, 
124 : atk_full_02_03,         34,         34,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1483,         -1, 
125 : atk_full_03,         35,         35,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1539,         -1, 
126 : atk_full_03_01,         35,         35,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1539,         -1, 
127 : atk_full_03_02,         35,         35,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1539,         -1, 
128 : atk_type_01,         36,         36,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1594,         -1, 
129 : atk_type_01_cls1,         36,         36,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1594,         -1, 
130 : atk_type_02,         37,         37,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1619,         -1, 
131 : atk_type_02_cls1,         37,         37,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1619,         -1, 
132 : atk_type_03_01,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
133 : atk_type_04_01,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
134 : atk_type_05_01,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
135 : atk_type_03a,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
136 : atk_type_04a,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
137 : atk_type_05a,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
138 : atk_type_03a_01,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
139 : atk_type_04a_01,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
140 : atk_type_05a_01,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
141 : atk_type_03b,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
142 : atk_type_04b,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
143 : atk_type_05b,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
144 : atk_type_03b_01,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
145 : atk_type_04b_01,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
146 : atk_type_05b_01,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
147 : atk_type_03c,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
148 : atk_type_04c,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
149 : atk_type_05c,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
150 : atk_type_03c_01,         38,         38,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1644,         -1, 
151 : atk_type_04c_01,         39,         39,         11,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1647,         -1, 
152 : atk_type_05c_01,         40,         40,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1651,         -1, 
153 : atk_type_06,         41,         41,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1654,         -1, 
154 : atk_type_07,         42,         42,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1658,         -1, 
155 : atk_type_08,         43,         43,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1684,         -1, 
156 : atk_type_08_01,         43,         43,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1684,         -1, 
157 : atk_type_08_02,         43,         43,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1684,         -1, 
158 : atk_type_09,         44,         44,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1688,         -1, 
159 : atk_type_09_B,         44,         44,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1688,         -1, 
160 : atk_type_09_01,         44,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1744,         -1, 
161 : atk_type_09_01_B,         44,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1744,         -1, 
162 : atk_type_09_02,         44,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1744,         -1, 
163 : atk_type_09b,         44,         44,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1688,         -1, 
164 : atk_type_09b_B,         44,         44,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1688,         -1, 
165 : atk_type_09_01b,         44,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1744,         -1, 
166 : atk_type_09_01b_B,         44,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1744,         -1, 
167 : atk_type_09_02b,         44,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1744,         -1, 
168 :   atk_type,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
