           km_,    km_type, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
106 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
107 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
108 : plocter_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
109 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
110 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
111 : plocter_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
112 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
113 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
114 : btl_pc_baulson_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
115 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
116 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
117 : btl_pc_baulson_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
118 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
119 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
120 : btl_pc_gaou_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
121 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
122 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
123 : btl_pc_gaou_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
124 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
125 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
126 : duke_of_ghor_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
127 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
128 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
129 : duke_of_ghor_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
130 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
131 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
132 : btl_pc_zolean_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
133 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
134 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
135 : btl_pc_zolean_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
136 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
137 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
138 : btl_pc_yuniver_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
139 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
140 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
141 : btl_pc_yuniver_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
142 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
143 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
144 : btl_pc_sibal_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
145 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
146 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
147 : btl_pc_sibal_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
148 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
149 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
150 : btl_pc_darien_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
151 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
152 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
153 : btl_pc_darien_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
154 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
155 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
156 :   pagus_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
157 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
158 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
159 :   pagus_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
160 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
161 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
162 : btl_pc_maddox_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
163 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
164 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
165 : btl_pc_maddox_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
166 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
167 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
168 : btl_pc_leshau_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
169 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
170 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
171 : btl_pc_leshau_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
172 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
173 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
174 :  torgal_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
175 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
176 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
177 :  torgal_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
178 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
179 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
180 : btl_pc_caedmon_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
181 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
182 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
183 : btl_pc_caedmon_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
184 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
185 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
186 : btl_pc_allan_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
187 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
188 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
189 : btl_pc_allan_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
190 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
191 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
192 : btl_pc_wyngale_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
193 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
194 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
195 : btl_pc_wyngale_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
196 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
197 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
198 : btl_pc_leucetius_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
199 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
200 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
201 : btl_pc_leucetius_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
202 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
203 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
204 : multi_fighter_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
205 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
206 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
207 : multi_fighter_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
208 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
209 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
210 : multi_mage_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
211 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
212 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
213 : multi_mage_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
214 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
215 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
216 : multi_mknight_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
217 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
218 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
219 : multi_mknight_02,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
220 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
221 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
222 : multi_ifighter_01,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
223 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
224 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
225 : multi_ifighter_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
226 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
227 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
228 : multi_item_01,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
229 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
230 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
231 : multi_item_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
232 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
233 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
234 : btl_7th_01,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
235 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
236 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
237 : btl_7th_01,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
238 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
239 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
240 : btl_7th_02,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
241 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
242 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
243 : btl_7th_02,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
244 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
245 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
246 : btl_7th_03,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
247 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
248 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
249 : btl_7th_03,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
250 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
251 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
252 : btl_7th_04,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
253 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
254 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
255 : btl_7th_04,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
256 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
257 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
258 : btl_7th_05,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
259 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
260 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
261 : btl_7th_05,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
262 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
263 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
264 : btl_7th_06,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
265 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
266 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
267 : btl_7th_06,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
268 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
269 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
270 : btl_7th_07,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
271 :          @,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
272 :          @,          3,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
273 : btl_7th_07,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
274 :          @,          2,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
275 :          @,          3,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 

