           km_, km_eq_label,     km_exp,   km_level, km_phy_atk_base, km_phy_atk_now, km_phy_atk_battle, km_mgc_atk_base, km_mgc_atk_now, km_mgc_atk_battle, km_phy_guard_base, km_phy_guard_now, km_phy_guard_battle, km_mgc_guard_base, km_mgc_guard_now, km_mgc_guard_battle, km_phy_guard_ratio_base, km_phy_guard_ratio_now, km_phy_guard_ratio_battle, km_mgc_guard_ratio_base, km_mgc_guard_ratio_now, km_mgc_guard_ratio_battle, km_co_exec_ratio_base, km_co_exec_ratio_now, km_co_exec_ratio_battle, km_co_success_ratio_base, km_co_success_ratio_now, km_co_success_ratio_battle, km_cd_exec_ratio_base, km_cd_exec_ratio_now, km_cd_exec_ratio_battle, km_cd_success_ratio_base, km_cd_success_ratio_now, km_cd_success_ratio_battle, km_atk_attr_zan_base, km_atk_attr_zan_now, km_atk_attr_zan_battle, km_atk_attr_da_base, km_atk_attr_da_now, km_atk_attr_da_battle, km_atk_attr_syo_base, km_atk_attr_syo_now, km_atk_attr_syo_battle, km_atk_attr_kan_base, km_atk_attr_kan_now, km_atk_attr_kan_battle, km_atk_type_fire_base, km_atk_type_fire_now, km_atk_type_fire_battle, km_atk_type_thunder_base, km_atk_type_thunder_now, km_atk_type_thunder_battle, km_atk_type_ice_base, km_atk_type_ice_now, km_atk_type_ice_battle, km_atk_type_acid_base, km_atk_type_acid_now, km_atk_type_acid_battle, km_atk_type_poison_base, km_atk_type_poison_now, km_atk_type_poison_battle, km_sp01_base, km_sp01_now, km_sp01_battle, km_sp02_base, km_sp02_now, km_sp02_battle, km_sp03_base, km_sp03_now, km_sp03_battle, km_sp04_base, km_sp04_now, km_sp04_battle, km_sp05_base, km_sp05_now, km_sp05_battle, km_sp06_base, km_sp06_now, km_sp06_battle, km_sp07_base, km_sp07_now, km_sp07_battle, km_sp08_base, km_sp08_now, km_sp08_battle, km_sp09_base, km_sp09_now, km_sp09_battle, km_sp10_base, km_sp10_now, km_sp10_battle, km_sp11_base, km_sp11_now, km_sp11_battle, km_sp12_base, km_sp12_now, km_sp12_battle, km_sp13_base, km_sp13_now, km_sp13_battle, km_sp14_base, km_sp14_now, km_sp14_battle, km_sp15_base, km_sp15_now, km_sp15_battle, km_sp16_base, km_sp16_now, km_sp16_battle, 
 9 :    S_pagus,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
10 :   M_torgal,    8324014,      21278,          3,        148,        148,        148,        124,        124,        124,         39,         39,         39,         28,         28,         28,         11,         11,         11,          0,          0,          0,          0,         24,         24,          0,         80,         80,          0,         38,         38,          0,         80,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
11 :   S_torgal,    8324014,       4628,          1,        140,        140,        140,        117,        117,        117,         37,         37,         37,         26,         26,         26,         10,         10,         10,          0,          0,          0,          0,         24,         24,          0,         80,         80,          0,         38,         38,          0,         80,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
12 : M_david_nassau_s,    8323183,          0,          0,         29,         29,          0,         38,         38,          0,          7,          7,          0,         11,         11,          0,          6,          6,          0,          0,          0,          0,          0,         29,          0,          0,         80,          0,          0,         46,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : S_david_nassau_s,    8324092,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          4,          0,          2,          2,          0,          0,          0,          0,          0,          0,          0,          0,         38,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
14 : M_btl_pc_baulson,    8323833,      24165,          3,        136,        136,          0,        110,        110,          0,         36,         36,          0,         29,         29,          0,         18,         18,          0,          0,          0,          0,          0,         28,          0,          0,         80,          0,          0,         44,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
15 : S_btl_pc_baulson,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
16 : M_btl_free_npc,    8323782,          0,          0,         38,         38,          0,         25,         25,          0,         11,         11,          0,          6,          6,          0,          5,          5,          0,          0,          0,          0,          0,         30,          0,          0,         80,          0,          0,         48,          0,          0,         80,          0,          0,          0,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
17 : S_btl_free_npc,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
18 : M_btl_free_npc,    8323745,          0,          0,         36,         36,          0,         24,         24,          0,          9,          9,          0,          8,          8,          0,          6,          6,          0,          0,          0,          0,          0,         29,          0,          0,         80,          0,          0,         46,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
19 : S_btl_free_npc,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
20 : M_btl_free_npc,    8323355,         54,          0,         43,         43,          0,         40,         40,          0,          7,          7,          0,          7,          7,          0,          3,          3,          0,          0,          0,          0,          0,         25,          0,          0,         80,          0,          0,         40,          0,          0,         80,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
21 : S_btl_free_npc,    8324116,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,          8,          0,          6,          6,          0,          0,          0,          0,          0,          0,          0,          0,         40,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
22 : M_btl_free_npc,    8323757,          0,          0,         39,         39,          0,         41,         41,          0,         10,         10,          0,         12,         12,          0,          6,          6,          0,          0,          0,          0,          0,         29,          0,          0,         80,          0,          0,         46,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
23 : S_btl_free_npc,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
24 : M_btl_free_npc,    8323354,          0,          0,         31,         31,          0,         29,         29,          0,          6,          6,          0,          4,          4,          0,          2,          2,          0,          0,          0,          0,          0,         25,          0,          0,         80,          0,          0,         40,          0,          0,         80,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
25 : S_btl_free_npc,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
26 : M_btl_free_npc_034,    8323127,          0,          0,         25,         25,          0,         27,         27,          0,         11,         11,          0,         12,         12,          0,          6,          6,          0,          0,          0,          0,          0,         25,          0,          0,         80,          0,          0,         40,          0,          0,         80,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
27 : S_btl_free_npc_034,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
28 : M_btl_free_npc_064,    8323243,          0,          0,         28,         28,          0,         32,         32,          0,          9,          9,          0,          5,          5,          0,          5,          5,          0,          0,          0,          0,          0,         28,          0,          0,         80,          0,          0,         44,          0,          0,         80,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
29 : S_btl_free_npc_064,    8324115,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,          0,          4,          4,          0,          0,          0,          0,          0,          0,          0,          0,         40,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
30 : M_btl_free_npc,    8323468,          0,          0,         35,         35,          0,         21,         21,          0,         13,         13,          0,          7,          7,          0,          5,          5,          0,          0,          0,          0,          0,         24,          0,          0,         80,          0,          0,         38,          0,          0,         80,          0,          0,          0,          0,          0,          0,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
