           km_,   km_namen,    km_help, km_sys_msg, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,  km_is_dlc, km_continue_count, km_getskill_magic1, km_getskill_magic2, km_getskill_magic3, km_getskill_magic4, km_getskill_magic5, km_getskill_magic6, km_getskill_magic7, km_getskill_item1, km_getskill_item2, km_getskill_item3, km_getskill_item4, km_getskill_item5, km_getskill_item6, 
34 : QE0290_D_000,         35,         35,        338,         17,         71,       1206,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
35 : QE0300_D_000,         36,         36,        338,         17,         71,       1207,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
36 : QE0310_D_000,         37,         37,        338,         17,         71,       1204,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 : QE0390_D_000,         38,         38,        338,         17,         71,       1000,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
38 : QE0440_D_000,         39,         39,        338,         17,         71,       1702,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
39 : QE0460_D_000,         40,         40,        338,         17,         71,       1102,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
40 : QE0460_D_001,         41,         41,        338,         17,         71,       1208,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
41 : QE0470_D_000,         42,         42,        338,         17,         71,       1209,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
42 : QE0650_D_000,         43,         43,        338,         17,         71,       1804,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
43 : QE0650_D_001,         44,         44,        338,         17,         71,       1004,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
44 : QE1020_D_000,         45,         45,        338,         17,         71,       1500,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
45 : QE1020_D_002,         46,         46,        338,         17,         71,       1005,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
46 : QE1020_D_003,         47,         47,        338,         17,         71,       1703,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
47 : QE1020_D_004,         48,         48,        338,         17,         71,       1705,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
48 : QE1020_D_005,         49,         49,        338,         17,         71,       1803,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
49 : QE1020_D_006,         50,         50,        338,         17,         71,       1009,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
50 : QE1070_D_000,         51,         51,        338,         17,         71,       1600,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
51 : QE1080_D_000,         52,         52,        338,         17,         71,       1501,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
52 : QE1090_D_000,         53,         53,        338,         17,         71,       1801,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
53 : QE1100_D_000,         54,         54,        338,         17,         71,       2002,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
54 : QE1250_D_000,         55,         55,        338,         17,         71,       1800,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
55 : QE0120_R_000,         56,         56,        338,         17,         71,       1806,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
56 : QE0130_R_000,         57,         57,        338,         17,         71,       1700,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
57 : QE0000_M_001,         58,         58,        337,         17,         71,      60000,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
58 : QE0000_M_002,         59,         59,        337,         17,         71,      60001,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
59 : QE0540_R_000,         60,         60,        338,         17,         71,       1807,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
60 : QE0000_M_003,         61,         61,        337,         17,         71,      60002,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
61 :   QEOTHR_D,         62,         62,        338,         17,         71,      20000,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
62 :   QEOTHR_D,         63,         63,        338,         17,         71,      20001,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
63 :   QEOTHR_D,         64,         64,        338,         17,         71,      20002,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
64 :   QEOTHR_D,         65,         65,        338,         17,         71,      20003,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
65 :   QEOTHR_D,         66,         66,        338,         17,         71,      20004,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
66 :   QEOTHR_D,         67,         67,        338,         17,         71,      20005,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
67 :   QEOTHR_D,         68,         68,        338,         17,         71,      20006,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
68 :   QEOTHR_D,         69,         69,        338,         17,         71,      20007,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
69 :   QEOTHR_D,         70,         70,        338,         17,         71,      20008,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
70 :   QEOTHR_D,         71,         71,        338,         17,         71,      20009,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
71 :   QEOTHR_D,         72,         72,        338,         17,         71,      20010,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
72 :   QEOTHR_D,         73,         73,        338,         17,         71,      20011,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
73 :   QEOTHR_D,         74,         74,        338,         17,         71,      20012,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
74 :   QEOTHR_D,         75,         75,        338,         17,         71,      20013,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
75 :   QEOTHR_D,         76,         76,        338,         17,         71,      20014,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
76 :   QEOTHR_D,         77,         77,        338,         17,         71,      20015,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
77 :   QEOTHR_D,         78,         78,        338,         17,         71,      20016,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
78 :   QEOTHR_D,         79,         79,        338,         17,         71,      20017,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
79 :   QEOTHR_D,         80,         80,        338,         17,         71,      20018,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
80 :   QEOTHR_D,         81,         81,        338,         17,         71,      20019,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
81 :   QEOTHR_D,         82,         82,        338,         17,         71,      20020,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
82 :   QEOTHR_D,         83,         83,        338,         17,         71,      20021,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
83 :   QEOTHR_D,         84,         84,        338,         17,         71,      20022,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
84 :   QEOTHR_D,         85,         85,        338,         17,         71,      20023,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
85 :   QEOTHR_D,         86,         86,        338,         17,         71,      20024,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
86 :   QEOTHR_D,         87,         87,        338,         17,         71,      20025,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
87 :   QEOTHR_D,         88,         88,        338,         17,         71,      20026,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
88 :   QEOTHR_D,         89,         89,        338,         17,         71,      20027,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
89 :   QEOTHR_D,         90,         90,        338,         17,         71,      20028,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
90 :   QEOTHR_D,         91,         91,        338,         17,         71,      20029,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
91 :   QEOTHR_D,         92,         92,        338,         17,         71,      20030,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
92 :   QEOTHR_D,         93,         93,        338,         17,         71,      20031,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
93 :   QEOTHR_D,         94,         94,        338,         17,         71,      20032,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
94 :   QEOTHR_D,         95,         95,        338,         17,         71,      20033,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
95 :   QEOTHR_D,         96,         96,        338,         17,         71,      20034,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
96 :   QEOTHR_D,         97,         97,        338,         17,         71,      20035,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
97 :   QEOTHR_D,         98,         98,        338,         17,         71,      20036,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
98 :   QEOTHR_D,         99,         99,        338,         17,         71,      20037,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
99 :   QEOTHR_D,        100,        100,        338,         17,         71,      20038,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
100 :   QEOTHR_D,        101,        101,        338,         17,         71,      20039,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
101 :   QEOTHR_D,        102,        102,        338,         17,         71,      20040,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
102 :   QEOTHR_D,        103,        103,        338,         17,         71,      20041,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
103 :   QEOTHR_D,        104,        104,        338,         17,         71,      20042,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
104 :   QEOTHR_D,        105,        105,        338,         17,         71,      20043,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
105 :   QEOTHR_D,        106,        106,        338,         17,         71,      20044,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
106 :   QEOTHR_D,        107,        107,        338,         17,         71,      20045,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
107 :   QEOTHR_D,        108,        108,        338,         17,         71,      20046,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
108 :   QEOTHR_D,        109,        109,        338,         17,         71,      20047,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
109 :   QEOTHR_D,        110,        110,        338,         17,         71,      20048,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
110 :   QEOTHR_D,        111,        111,        338,         17,         71,      20049,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
111 : DLP_MAP_001,        112,        112,        338,         17,         71,      40000,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
112 : DKF_MAP_001,        113,        113,        338,         17,         71,      40001,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
113 : DKF_MAP_002,        114,        114,        338,         17,         71,      40002,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
114 : FRN_MAP_001,        115,        115,        338,         17,         71,      40003,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
115 : GTN_MAP_001,        116,        116,        338,         17,         71,      40004,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
116 : BTE_MAP_001,        117,        117,        338,         17,         71,      40005,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
117 : VKL_MAP_001,        118,        118,        338,         17,         71,      40006,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
118 : CRK_MAP_001,        119,        119,        338,         17,         71,      40007,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
119 : ETV_MAP_001,        120,        120,        338,         17,         71,      40008,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
120 : ETB_MAP_001,        121,        121,        338,         17,         71,      40009,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
121 : GSS_MAP_001,        122,        122,        338,         17,         71,      40010,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
122 : STR_MAP_001,        123,        123,        338,         17,         71,      40011,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
123 : STR_MAP_002,        124,        124,        338,         17,         71,      40012,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
124 : STB_MAP_001,        125,        125,        338,         17,         71,      40013,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
125 : DRC_MAP_001,        126,        126,        338,         17,         71,      40014,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
126 : RBC_MAP_001,        127,        127,        338,         17,         71,      40015,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
127 : RBC_MAP_002,        128,        128,        338,         17,         71,      40016,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
128 : RBC_MAP_003,        129,        129,        338,         17,         71,      40017,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
129 : GAS_MAP_001,        130,        130,        338,         17,         71,      40018,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
130 : GAS_MAP_002,        131,        131,        338,         17,         71,      40019,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
131 : GAS_MAP_003,        132,        132,        338,         17,         71,      40020,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
132 : DLD_MAP_001,        133,        133,        338,         17,         71,      40021,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
133 : DLD_MAP_002,        134,        134,        338,         17,         71,      40022,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
134 : BDL_MAP_001,        135,        135,        338,         17,         71,      40023,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
135 : BDL_MAP_002,        136,        136,        338,         17,         71,      40024,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
136 : BDL_MAP_003,        137,        137,        338,         17,         71,      40025,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
137 : NWD_MAP_001,        138,        138,        338,         17,         71,      40026,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
138 : NWD_MAP_002,        139,        139,        338,         17,         71,      40027,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
139 : UMD_MAP_001,        140,        140,        338,         17,         71,      40028,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
140 : UMD_MAP_002,        141,        141,        338,         17,         71,      40029,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
141 : NUD_MAP_001,        142,        142,        338,         17,         71,      40030,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
142 : NUD_MAP_002,        143,        143,        338,         17,         71,      40031,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
143 : NUD_MAP_003,        144,        144,        338,         17,         71,      40032,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
144 : GSD_MAP_001,        145,        145,        338,         17,         71,      40033,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
145 : BND_MAP_001,        146,        146,        338,         17,         71,      40034,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
146 : BND_MAP_002,        147,        147,        338,         17,         71,      40035,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
